Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.071571,0.077714,0.061364,0.067890,20330,832914
2017-11-23,0.070398,0.077245,0.069694,0.071671,15825,814512
2017-11-22,0.072636,0.074037,0.069807,0.070097,11113,835475
2017-11-21,0.072981,0.074910,0.068465,0.072466,8223,834428
2017-11-20,0.070625,0.076507,0.068368,0.072970,10595,802687
2017-11-19,0.071348,0.077547,0.068023,0.069767,10120,806005
2017-11-18,0.066456,0.085087,0.064899,0.073374,10806,746197
2017-11-17,0.071399,0.073197,0.066168,0.066941,10588,796814
2017-11-16,0.075072,0.077978,0.071013,0.071518,16023,832679
2017-11-15,0.080660,0.084294,0.065475,0.074684,27142,889215
2017-11-14,0.087022,0.091379,0.077729,0.080608,8821,953351
2017-11-13,0.073622,0.087915,0.061873,0.086841,19508,801521
2017-11-12,0.069421,0.080278,0.060091,0.073514,6302,751004
2017-11-11,0.071937,0.074900,0.067003,0.069468,2801,773324
2017-11-10,0.091518,0.100543,0.072198,0.072198,9981,977590
2017-11-09,0.079943,0.094552,0.074535,0.091258,15321,848460
2017-11-08,0.066402,0.089853,0.066012,0.080024,15305,700217
2017-11-07,0.066740,0.070888,0.064996,0.066614,7691,699247
2017-11-06,0.073416,0.073963,0.066598,0.066847,6896,764182
2017-11-05,0.067837,0.079634,0.067118,0.073252,9983,701608
2017-11-04,0.068573,0.074257,0.063462,0.067946,5022,704575
2017-11-03,0.083020,0.089484,0.066756,0.069179,11168,847406
2017-11-02,0.079326,0.097332,0.070513,0.083128,14666,804214
2017-11-01,0.071769,0.091273,0.064412,0.079261,15011,722847
2017-10-31,0.095053,0.139843,0.071126,0.074638,39495,950884
2017-10-30,0.062553,0.099172,0.055492,0.093669,54640,621449
2017-10-29,0.050025,0.066008,0.049845,0.063280,14541,493556
2017-10-28,0.042156,0.057659,0.042070,0.050040,9101,413037
2017-10-27,0.048187,0.048196,0.040864,0.042036,4400,468835
2017-10-26,0.041480,0.048312,0.040367,0.048178,5513,400775
2017-10-25,0.046757,0.051632,0.040809,0.041489,4084,448595
2017-10-24,0.046051,0.057013,0.041857,0.046642,7785,438853
2017-10-23,0.045477,0.053625,0.038192,0.046200,13592,430345
2017-10-22,0.051350,0.055594,0.041742,0.045277,5901,482474
2017-10-21,0.056053,0.057973,0.048850,0.051275,7387,522934
2017-10-20,0.054824,0.062028,0.051395,0.056171,9215,507722
2017-10-19,0.055891,0.058157,0.054585,0.054809,4201,513790
2017-10-18,0.054072,0.058604,0.048764,0.055827,6405,493494
2017-10-17,0.056063,0.063686,0.051819,0.054070,7756,507847
2017-10-16,0.057352,0.064482,0.054657,0.056053,4955,515651
2017-10-15,0.075135,0.076078,0.054470,0.057344,9978,670471
2017-10-14,0.058406,0.084031,0.054509,0.075001,14308,517146
2017-10-13,0.064897,0.066760,0.042583,0.058390,11508,570220
2017-10-12,0.056251,0.071571,0.054406,0.064694,8393,490551
2017-10-11,0.058290,0.059352,0.055874,0.056204,3983,504307
2017-10-10,0.058597,0.061672,0.056459,0.058300,6850,503035
2017-10-09,0.067848,0.068357,0.054047,0.058271,12161,577852
2017-10-08,0.066186,0.068666,0.059813,0.067830,11636,559480
2017-10-07,0.067978,0.068889,0.061180,0.066360,7360,569991
2017-10-06,0.066561,0.074607,0.063480,0.067957,12605,553555
2017-10-05,0.069704,0.076357,0.066454,0.066454,11556,574961
2017-10-04,0.072366,0.075606,0.068867,0.069718,9818,591976
2017-10-03,0.073546,0.081940,0.070850,0.072158,11473,596658
2017-10-02,0.079062,0.081779,0.072411,0.073990,10437,636052
2017-10-01,0.081867,0.084953,0.079106,0.079731,8253,653004
2017-09-30,0.078978,0.086590,0.078043,0.082279,8846,624582
2017-09-29,0.082460,0.084840,0.077089,0.078973,9572,646463
2017-09-28,0.084925,0.092809,0.080276,0.084352,22653,660051
2017-09-27,0.082446,0.089296,0.081759,0.085006,32829,635140
2017-09-26,0.079801,0.090659,0.078775,0.082677,11838,609445
2017-09-25,0.085254,0.087872,0.078378,0.080673,34135,645341
2017-09-24,0.068241,0.088958,0.063429,0.085592,85861,511911
2017-09-23,0.069746,0.073431,0.067133,0.068246,25528,518485
2017-09-22,0.066709,0.079929,0.066573,0.069484,8449,491438
2017-09-21,0.080307,0.083106,0.066170,0.066786,10763,586185
2017-09-20,0.085073,0.091103,0.080032,0.084047,10879,615193
2017-09-19,0.089643,0.101373,0.079713,0.085197,12425,642167
2017-09-18,0.077014,0.103448,0.076283,0.088778,18380,546419
2017-09-17,0.076184,0.079670,0.072282,0.077168,6775,535331
2017-09-16,0.078269,0.091616,0.073212,0.077840,11502,544656
2017-09-15,0.067274,0.086060,0.061577,0.078437,8636,463603
2017-09-14,0.092556,0.102859,0.064244,0.066753,16275,631481
2017-09-13,0.084127,0.097870,0.072865,0.092551,15276,568450
2017-09-12,0.103700,0.108566,0.079798,0.084101,27347,693648
2017-09-11,0.073666,0.110869,0.062751,0.107227,34170,487748
2017-09-10,0.076452,0.083754,0.057767,0.073097,13269,500942
2017-09-09,0.080116,0.082701,0.069479,0.076371,7089,519629
2017-09-08,0.086590,0.090827,0.075017,0.078792,19330,555869
2017-09-07,0.098119,0.100806,0.082846,0.086614,14878,623289
2017-09-06,0.090467,0.109034,0.090467,0.098307,13748,568598
2017-09-05,0.091101,0.108750,0.076588,0.090361,21921,566456
2017-09-04,0.103699,0.116048,0.089410,0.090636,12466,637949
2017-09-03,0.112793,0.122801,0.099654,0.103655,13451,686207
2017-09-02,0.137698,0.146468,0.110121,0.112730,10677,828496
2017-09-01,0.107080,0.159210,0.099161,0.137656,32251,638000
2017-08-31,0.140685,0.145043,0.099903,0.108906,31817,829760
2017-08-30,0.140271,0.173623,0.135080,0.141781,31982,818241
2017-08-29,0.151280,0.153668,0.132236,0.140232,37154,872461
2017-08-28,0.159704,0.190931,0.138189,0.151028,32238,910755
2017-08-27,0.166351,0.194481,0.143968,0.159544,62629,937694
2017-08-26,0.124994,0.219956,0.113313,0.166393,91527,696262
2017-08-25,0.088983,0.130415,0.088965,0.124634,45724,490045
2017-08-24,0.080497,0.104617,0.077061,0.089122,19066,438435
2017-08-23,0.074384,0.082918,0.065418,0.080471,22321,400161
2017-08-22,0.069539,0.077778,0.058886,0.071244,12187,369580
2017-08-21,0.056235,0.073839,0.056160,0.069379,15293,295397
2017-08-20,0.059181,0.066636,0.056584,0.057329,15026,306929
2017-08-19,0.078112,0.083401,0.055290,0.059458,21480,399972
