Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002601,0.008196,0.002601,0.005613,28815,8291
2017-11-23,0.002038,0.003699,0.002022,0.002607,3766,6496
2017-11-22,0.001836,0.002153,0.001633,0.002039,919,5853
2017-11-21,0.001911,0.002318,0.001624,0.001864,4066,6094
2017-11-20,0.001924,0.002312,0.001659,0.001911,2215,6134
2017-11-19,0.001955,0.002265,0.001503,0.001931,677,6233
2017-11-18,0.001835,0.002490,0.001707,0.001958,2286,5849
2017-11-17,0.002179,0.002192,0.001611,0.001841,846,6946
2017-11-16,0.001482,0.002317,0.001453,0.002068,479,4725
2017-11-15,0.001507,0.001802,0.001385,0.001472,635,4806
2017-11-14,0.001321,0.001525,0.001227,0.001503,437,4213
2017-11-13,0.001060,0.001812,0.001055,0.001319,802,3379
2017-11-12,0.001280,0.001468,0.001051,0.001058,751,4082
2017-11-11,0.001195,0.007615,0.001125,0.001281,1132,3809
2017-11-10,0.001306,0.001674,0.001116,0.001199,359,4164
2017-11-09,0.001311,0.001816,0.001227,0.001288,317,4180
2017-11-08,0.001361,0.001640,0.001276,0.001318,108,4338
2017-11-07,0.001360,0.001474,0.001335,0.001365,294,4336
2017-11-06,0.001525,0.001834,0.001262,0.001362,1057,4863
2017-11-05,0.001331,0.001912,0.001292,0.001522,3124,4242
2017-11-04,0.001437,0.001913,0.001261,0.001333,973,4581
2017-11-03,0.001332,0.001499,0.001317,0.001440,112,4246
2017-11-02,0.001591,0.001625,0.000803,0.001334,2139,5074
2017-11-01,0.001220,0.001901,0.001054,0.001590,276,3891
2017-10-31,0.001154,0.001879,0.001120,0.001221,426,3678
2017-10-30,0.002122,0.002131,0.001050,0.001111,733,6766
2017-10-29,0.001374,0.002214,0.001056,0.002192,2090,4379
2017-10-28,0.001296,0.002620,0.001178,0.001376,928,4132
2017-10-27,0.001200,0.001359,0.001094,0.001292,1044,3826
2017-10-26,0.001209,0.001469,0.001134,0.001201,506,3855
2017-10-25,0.001326,0.001395,0.001015,0.001209,210,4226
2017-10-24,0.001382,0.001819,0.001184,0.001313,815,4407
2017-10-23,0.001478,0.001682,0.001191,0.001388,514,4712
2017-10-22,0.001442,0.002011,0.001297,0.001483,2197,4598
2017-10-21,0.002224,0.002257,0.001441,0.001442,360,7090
2017-10-20,0.002288,0.002431,0.001935,0.002226,384,7294
2017-10-19,0.002111,0.002474,0.001985,0.002287,470,6731
2017-10-18,0.002097,0.002120,0.001573,0.002110,374,6686
2017-10-17,0.001988,0.002227,0.001835,0.002097,78,6337
2017-10-16,0.004226,0.004496,0.001919,0.001987,1032,13473
2017-10-15,0.002016,0.004249,0.001803,0.004217,262,6426
2017-10-14,0.002533,0.002774,0.001863,0.002012,2387,8075
2017-10-13,0.002576,0.003082,0.002359,0.002532,1170,8213
2017-10-12,0.002081,0.002869,0.001796,0.002568,1545,6636
2017-10-11,0.002552,0.002877,0.001944,0.002080,920,8138
2017-10-10,0.002110,0.002758,0.002110,0.002553,1179,6726
2017-10-09,0.002356,0.002986,0.002110,0.002110,609,7511
2017-10-08,0.002886,0.003026,0.002260,0.002355,3292,9203
2017-10-07,0.003372,0.003785,0.002436,0.002465,3244,10751
2017-10-06,0.002397,0.003502,0.002365,0.003371,6407,7643
2017-10-05,0.002281,0.002940,0.002184,0.002397,2474,7271
2017-10-04,0.002353,0.002513,0.002229,0.002278,1095,7501
2017-10-03,0.002469,0.002546,0.002171,0.002347,740,7873
2017-10-02,0.002325,0.004297,0.001890,0.002469,6390,7413
2017-10-01,0.002541,0.002581,0.001871,0.002326,1210,8102
2017-09-30,0.002110,0.003530,0.002036,0.002540,1276,6729
2017-09-29,0.003028,0.003032,0.002064,0.002110,1126,9656
2017-09-28,0.003189,0.003854,0.002509,0.003030,4762,10166
2017-09-27,0.002049,0.003946,0.002035,0.003189,65873,6532
2017-09-26,0.002332,0.002433,0.001967,0.002124,187,7436
2017-09-25,0.002498,0.002663,0.002071,0.002331,2007,7966
2017-09-24,0.002547,0.002589,0.001873,0.002501,2309,8121
2017-09-23,0.002513,0.002963,0.002196,0.002547,1388,8012
2017-09-22,0.002624,0.002752,0.002288,0.002520,817,8366
2017-09-21,0.002800,0.003383,0.002420,0.002627,1760,8927
2017-09-20,0.002245,0.003645,0.002238,0.002814,7020,7157
2017-09-19,0.003000,0.003017,0.002228,0.002248,515,9565
2017-09-18,0.002242,0.003019,0.002164,0.002993,1100,7147
2017-09-17,0.002317,0.002317,0.002005,0.002246,456,7388
2017-09-16,0.002566,0.002889,0.002285,0.002319,972,8182
2017-09-15,0.002484,0.002978,0.002112,0.002542,369,7921
2017-09-14,0.002921,0.003133,0.002466,0.002466,865,9314
2017-09-13,0.003526,0.003526,0.002615,0.002964,1752,11241
