Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001940,0.002575,0.001878,0.002396,5975,-
2017-11-23,0.002500,0.002508,0.001606,0.001944,9302,-
2017-11-22,0.002225,0.002593,0.002006,0.002500,5640,-
2017-11-21,0.002438,0.002589,0.001958,0.002220,6993,-
2017-11-20,0.002871,0.003203,0.002174,0.002438,8121,-
2017-11-19,0.002096,0.003210,0.001941,0.002873,13392,-
2017-11-18,0.002643,0.002850,0.001519,0.002100,7928,-
2017-11-17,0.002785,0.003131,0.002535,0.002706,5857,-
2017-11-16,0.003040,0.003125,0.002511,0.002721,3193,-
2017-11-15,0.002054,0.003131,0.002054,0.003030,9892,-
2017-11-14,0.002795,0.003063,0.002224,0.002350,13411,-
2017-11-13,0.002520,0.003286,0.002520,0.002789,12811,-
2017-11-12,0.003046,0.003359,0.002442,0.002517,14719,-
2017-11-11,0.002798,0.003800,0.002794,0.003098,7863,-
2017-11-10,0.003959,0.004108,0.002760,0.002860,10636,-
2017-11-09,0.004550,0.004772,0.003550,0.003748,17578,-
2017-11-08,0.004550,0.004956,0.003698,0.004556,28915,-
2017-11-07,0.004909,0.005686,0.004301,0.004496,36665,-
2017-11-06,0.003924,0.006968,0.003233,0.004983,171070,-
2017-11-05,0.002382,0.004121,0.002250,0.003916,43763,-
2017-11-04,0.003288,0.003613,0.001833,0.002455,31273,-
2017-11-03,0.004390,0.004879,0.002326,0.003294,38318,-
2017-11-02,0.004399,0.007271,0.003614,0.004390,127920,-
2017-11-01,0.007355,0.007355,0.004018,0.004454,159036,-
2017-10-31,0.015053,0.015642,0.006971,0.007176,714305,-
2017-10-30,0.005520,0.050374,0.005520,0.015216,2110390,-
2017-10-29,0.003637,0.005558,0.002759,0.005531,49370,-
2017-10-28,0.009034,0.009352,0.000540,0.003639,91608,-
2017-10-27,0.013227,0.016189,0.006468,0.009026,106841,-
2017-10-26,0.017241,0.021374,0.012247,0.013234,233302,-
2017-10-25,0.003833,0.018534,0.002360,0.017278,302903,-
2017-10-24,0.001415,0.008454,0.001402,0.003653,27270,-
