Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000071,0.000075,0.000065,0.000068,1390,1051850
2017-11-23,0.000061,0.000073,0.000045,0.000071,1885,901031
2017-11-22,0.000029,0.000066,0.000023,0.000063,1893,429258
2017-11-21,0.000054,0.000066,0.000029,0.000029,1675,804697
2017-11-20,0.000059,0.000061,0.000051,0.000054,1097,875934
2017-11-19,0.000052,0.000067,0.000046,0.000059,2287,766711
2017-11-18,0.000046,0.000058,0.000041,0.000051,2063,677941
2017-11-17,0.000051,0.000054,0.000040,0.000046,1554,759977
2017-11-16,0.000064,0.000064,0.000047,0.000051,682,945936
2017-11-15,0.000064,0.000069,0.000059,0.000063,5876,946086
2017-11-14,0.000039,0.000065,0.000039,0.000064,19263,581763
2017-11-13,0.000035,0.000042,0.000034,0.000039,798,517898
2017-11-12,0.000038,0.000045,0.000034,0.000035,1777,561881
2017-11-11,0.000047,0.000048,0.000036,0.000038,1431,692685
2017-11-10,0.000055,0.000058,0.000044,0.000047,946,823408
2017-11-09,0.000045,0.000055,0.000042,0.000055,980,676343
2017-11-08,0.000052,0.000057,0.000045,0.000046,942,775888
2017-11-07,0.000045,0.000054,0.000043,0.000052,1054,665250
2017-11-06,0.000035,0.000074,0.000033,0.000045,7039,522079
2017-11-05,0.000037,0.000047,0.000034,0.000035,3510,547116
2017-11-04,0.000044,0.000044,0.000026,0.000036,1903,651896
2017-11-03,0.000027,0.000046,0.000026,0.000044,1051,400953
2017-11-02,0.000037,0.000040,0.000024,0.000026,555,543294
2017-11-01,0.000036,0.000041,0.000035,0.000036,323,541716
2017-10-31,0.000048,0.000049,0.000036,0.000037,903,713356
2017-10-30,0.000047,0.000049,0.000034,0.000048,1183,699833
2017-10-29,0.000042,0.000049,0.000042,0.000048,1818,624915
2017-10-28,0.000044,0.000044,0.000040,0.000042,3197,647792
2017-10-27,0.000054,0.000055,0.000041,0.000044,745,799741
2017-10-26,0.000055,0.000058,0.000051,0.000054,917,815567
2017-10-25,0.000053,0.000055,0.000050,0.000055,439,784009
2017-10-24,0.000053,0.000056,0.000050,0.000053,1588,787307
