Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.107490,0.191773,0.105662,0.114103,844,72733
2017-11-23,0.107750,0.202979,0.107030,0.118310,1197,72458
2017-11-22,0.099518,0.152046,0.095068,0.107784,760,66494
2017-11-21,0.098927,0.152474,0.098407,0.099277,1129,65728
2017-11-20,0.089751,0.134104,0.089399,0.098908,802,59253
2017-11-19,0.081587,0.136548,0.081371,0.089792,1310,53536
2017-11-18,0.085817,0.092662,0.078871,0.081738,419,55984
2017-11-17,0.100850,0.113529,0.085090,0.086147,689,64969
2017-11-16,0.126180,0.126180,0.083926,0.101011,449,80808
2017-11-15,0.097681,0.127703,0.097681,0.125522,992,62149
2017-11-14,0.104980,0.122370,0.096766,0.097614,999,66362
2017-11-13,0.080195,0.118275,0.071241,0.104759,451,50369
2017-11-12,0.086894,0.087908,0.075635,0.080079,12,54242
2017-11-11,0.105592,0.109369,0.086057,0.086958,89,65544
2017-11-10,0.078845,0.196914,0.078845,0.105969,92,48635
2017-11-09,0.091401,0.155139,0.030339,0.106687,2331,55965
2017-11-08,0.013521,0.099656,0.013440,0.019211,150,8214
2017-11-07,0.017537,0.020172,0.013327,0.013563,93,10580
2017-11-06,0.011681,0.024566,0.011307,0.017565,70,6993
2017-11-05,0.008114,0.036150,0.008057,0.011656,502,6716
2017-11-04,0.025299,0.045118,0.008051,0.008130,30,20857
2017-11-03,0.028374,0.029313,0.025178,0.025365,165,23190
2017-11-02,0.023752,0.057946,0.023752,0.028411,345,19270
2017-11-01,0.019654,0.091847,0.019291,0.023726,585,11070
2017-10-31,0.045223,0.127065,0.009359,0.019668,1425,25471
2017-10-30,0.089337,0.089422,0.044657,0.045377,1211,50318
2017-10-29,0.080706,0.096247,0.080614,0.089797,1356,45457
2017-10-28,0.080630,0.099152,0.079540,0.080588,1394,45115
2017-10-27,0.081002,0.098138,0.079727,0.080411,925,44937
2017-10-26,0.083722,0.115350,0.080172,0.080984,889,45550
2017-10-25,0.080236,0.153426,0.050116,0.083732,1829,43639
2017-10-24,0.086458,0.134647,0.079871,0.080204,419,46650
2017-10-23,0.079525,0.145429,0.079192,0.086649,1481,42548
2017-10-22,0.107886,0.150947,0.074292,0.079653,2150,57266
2017-10-21,0.108753,0.170674,0.105415,0.107853,1383,56674
2017-10-20,0.111239,0.169216,0.100672,0.108982,1342,57969
2017-10-19,0.139625,0.145396,0.110339,0.111208,730,72294
2017-10-18,0.115991,0.140224,0.105689,0.139553,782,59547
2017-10-17,0.119280,0.173405,0.107396,0.115983,1008,60757
2017-10-16,0.109057,0.177063,0.097874,0.119261,1976,55064
2017-10-15,0.102104,0.187977,0.094924,0.109042,2498,51033
2017-10-14,0.092583,0.156941,0.091717,0.101922,1361,45831
2017-10-13,0.104244,0.197604,0.090247,0.092558,662,51130
2017-10-12,0.141554,0.158797,0.095280,0.103924,2316,68761
2017-10-11,0.124356,0.157376,0.087192,0.141434,1423,59792
2017-10-10,0.142676,0.164728,0.123420,0.124376,667,67934
2017-10-09,0.133481,0.170639,0.133103,0.142686,1489,62929
2017-10-08,0.116289,0.150522,0.115556,0.133447,1321,54262
2017-10-07,0.109565,0.131489,0.108693,0.116601,900,50603
2017-10-06,0.108221,0.136702,0.107992,0.109529,1609,49463
2017-10-05,0.105409,0.135006,0.103513,0.108222,752,47682
2017-10-04,0.108165,0.159927,0.105061,0.105313,970,48393
2017-10-03,0.089158,0.167726,0.060260,0.107915,1685,39440
2017-10-02,0.123035,0.157627,0.088154,0.089154,674,53875
2017-10-01,0.121699,0.225178,0.119721,0.123089,1183,52693
2017-09-30,0.166588,0.171152,0.119733,0.121633,1303,71390
2017-09-29,0.251449,0.251477,0.137725,0.166567,2816,106450
2017-09-28,0.119535,0.374637,0.118256,0.138538,2296,50013
2017-09-27,0.128129,0.159883,0.106234,0.119530,1102,53081
2017-09-26,0.118512,0.152222,0.105836,0.128488,1057,48553
2017-09-25,0.168929,0.176222,0.097936,0.118524,1074,68288
2017-09-24,0.208406,0.226230,0.080854,0.169100,1228,83330
2017-09-23,0.238765,0.360741,0.187006,0.208424,1038,94385
2017-09-22,0.253460,0.391665,0.234378,0.239441,2051,99035
