Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000964,0.001001,0.000895,0.000905,1,29153
2017-11-23,0.000987,0.000992,0.000895,0.000966,15,29835
2017-11-22,0.000893,0.000995,0.000889,0.000987,18,26980
2017-11-21,0.000989,0.000991,0.000702,0.000890,246,29894
2017-11-20,0.001207,0.001207,0.000874,0.000989,42,36470
2017-11-19,0.000977,0.001217,0.000960,0.001207,2,29536
2017-11-18,0.000999,0.001014,0.000611,0.000979,46,30206
2017-11-17,0.000941,0.001037,0.000913,0.001003,10,28455
2017-11-16,0.001168,0.001250,0.000871,0.000943,103,35321
2017-11-15,0.001032,0.001392,0.000727,0.001162,210,31199
2017-11-14,0.000894,0.001037,0.000618,0.001031,60,27023
2017-11-13,0.000945,0.000971,0.000466,0.000892,6,28555
2017-11-12,0.000401,0.001521,0.000390,0.000943,31,12108
2017-11-11,0.001393,0.001603,0.000387,0.000401,169,42096
2017-11-10,0.000642,0.001425,0.000504,0.001398,39,19394
2017-11-09,0.000730,0.000732,0.000499,0.000640,86,22069
2017-11-08,0.000712,0.000930,0.000638,0.000731,553,21511
2017-11-07,0.001186,0.001459,0.000709,0.000714,136,35858
2017-11-06,0.001283,0.001832,0.000764,0.001188,396,38778
2017-11-05,0.000516,0.001293,0.000441,0.001280,55,15609
2017-11-04,0.001348,0.001348,0.000287,0.000517,38,40737
2017-11-03,0.000555,0.001787,0.000551,0.001351,29,16764
2017-11-02,0.002199,0.002413,0.000549,0.000555,40,66480
2017-11-01,0.000311,0.002296,0.000309,0.002197,2302,9411
2017-10-31,0.000577,0.000579,0.000304,0.000312,76,17455
2017-10-30,0.001005,0.001020,0.000575,0.000579,61,30379
2017-10-29,0.000652,0.001031,0.000583,0.001011,61,19704
2017-10-28,0.000403,0.000655,0.000401,0.000653,27,12195
2017-10-27,0.000755,0.000857,0.000402,0.000402,2,22821
2017-10-26,0.000459,0.000757,0.000402,0.000755,114,13867
2017-10-25,0.000386,0.000499,0.000377,0.000459,29,11676
2017-10-24,0.000586,0.000634,0.000384,0.000386,26,17699
2017-10-23,0.000628,0.000630,0.000547,0.000587,23,18969
2017-10-22,0.000804,0.000845,0.000628,0.000629,14,24315
2017-10-21,0.000469,0.000926,0.000445,0.000804,154,14168
2017-10-20,0.000906,0.000909,0.000404,0.000470,74,27386
2017-10-19,0.000279,0.000919,0.000277,0.000906,23,8445
2017-10-18,0.000672,0.000672,0.000257,0.000279,278,20316
2017-10-17,0.000520,0.001357,0.000505,0.000672,787,15722
2017-10-16,0.000578,0.000581,0.000506,0.000520,14,17474
2017-10-15,0.000733,0.000736,0.000556,0.000578,59,22165
2017-10-14,0.001019,0.001029,0.000615,0.000732,26,30803
2017-10-13,0.000979,0.001058,0.000973,0.001019,132,29603
2017-10-12,0.000871,0.000976,0.000869,0.000976,124,26329
2017-10-11,0.000480,0.000966,0.000476,0.000870,138,14506
2017-10-10,0.000672,0.000682,0.000476,0.000480,96,20307
2017-10-09,0.000690,0.001014,0.000668,0.000672,40,20870
2017-10-08,0.000889,0.000893,0.000636,0.000690,226,26866
2017-10-07,0.000879,0.001681,0.000872,0.000891,1527,26569
2017-10-06,0.000951,0.001281,0.000833,0.000879,113,28736
2017-10-05,0.000939,0.001255,0.000903,0.000951,134,28392
2017-10-04,0.000860,0.001144,0.000830,0.000938,516,25984
2017-10-03,0.001144,0.001587,0.000849,0.000858,1219,34568
2017-10-02,0.000530,0.002736,0.000446,0.001144,4077,16014
2017-10-01,0.000384,0.002757,0.000311,0.000530,3550,11616
2017-09-30,0.000565,0.000699,0.000361,0.000384,149,17087
2017-09-29,0.000568,0.000664,0.000509,0.000565,12,17176
2017-09-28,0.000337,0.000571,0.000333,0.000569,16,10175
2017-09-27,0.000700,0.000713,0.000333,0.000337,3,21158
2017-09-26,0.000388,0.000713,0.000381,0.000702,1,11727
2017-09-25,0.000588,0.000761,0.000385,0.000388,2,17769
2017-09-24,0.000518,0.000666,0.000516,0.000588,29,15646
2017-09-23,0.000330,0.000681,0.000327,0.000518,3,9968
2017-09-22,0.000404,0.000412,0.000285,0.000331,8,12222
2017-09-21,0.000433,0.000483,0.000391,0.000405,8,13098
2017-09-20,0.000313,0.000607,0.000308,0.000435,11,9464
2017-09-19,0.000517,0.000518,0.000311,0.000314,5,15637
2017-09-18,0.000474,0.000545,0.000474,0.000516,4,14343
2017-09-17,0.000669,0.000669,0.000419,0.000475,4,20210
2017-09-16,0.000680,0.000699,0.000640,0.000669,1,20561
2017-09-15,0.000324,0.000347,0.000299,0.000330,2,9808
2017-09-14,0.000547,0.000554,0.000322,0.000322,2,16529
2017-09-13,0.000482,0.000553,0.000392,0.000547,43,14561
2017-09-12,0.000421,0.000484,0.000307,0.000484,151,12737
2017-09-11,0.000553,0.000569,0.000419,0.000421,16,16702
2017-09-10,0.000694,0.000705,0.000530,0.000553,23,20979
2017-09-09,0.000756,0.000866,0.000686,0.000696,7,22840
2017-09-08,0.000663,0.000767,0.000513,0.000754,32,20043
2017-09-07,0.000724,0.000782,0.000657,0.000663,72,21900
2017-09-06,0.000730,0.000918,0.000638,0.000726,56,22066
2017-09-05,0.000550,0.000743,0.000518,0.000729,61,16622
2017-09-04,0.000959,0.000960,0.000176,0.000547,522,29002
