Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.047660,0.050095,0.047034,0.049603,152866,10499100
2017-11-23,0.047711,0.050922,0.046300,0.048289,289804,10508100
2017-11-22,0.046903,0.049515,0.045051,0.047726,253359,10328400
2017-11-21,0.047884,0.048957,0.044761,0.045576,140178,10536900
2017-11-20,0.047939,0.050620,0.047087,0.047876,288688,10546600
2017-11-19,0.046799,0.048874,0.045450,0.047961,178219,10294000
2017-11-18,0.043971,0.052901,0.043339,0.046886,475754,9666670
2017-11-17,0.048872,0.050762,0.043709,0.044140,291883,10741400
2017-11-16,0.047688,0.053901,0.046692,0.050367,808367,10479900
2017-11-15,0.041848,0.049243,0.039737,0.047440,636996,9192080
2017-11-14,0.040495,0.042776,0.039602,0.041820,95694,8891640
2017-11-13,0.035342,0.042384,0.035342,0.041061,180792,7759120
2017-11-12,0.039312,0.039312,0.031893,0.035643,159392,8627450
2017-11-11,0.043068,0.045322,0.038715,0.039341,131920,9448540
2017-11-10,0.050757,0.051960,0.039728,0.043156,210674,11132800
2017-11-09,0.046298,0.052061,0.046073,0.050607,342984,10149700
2017-11-08,0.044832,0.049423,0.043958,0.046346,311570,9824450
2017-11-07,0.042867,0.045991,0.042867,0.044759,114782,9391950
2017-11-06,0.044286,0.046711,0.042564,0.042936,155951,9698610
2017-11-05,0.044704,0.046794,0.043029,0.045000,93849,9786670
2017-11-04,0.044792,0.048366,0.042232,0.044789,153845,9803970
2017-11-03,0.043547,0.049964,0.042375,0.044191,158633,9528380
2017-11-02,0.042727,0.052380,0.037888,0.043604,448082,9345280
2017-11-01,0.048329,0.050815,0.043244,0.043687,381248,10569000
2017-10-31,0.053677,0.055042,0.046242,0.048300,665199,11734200
2017-10-30,0.061446,0.061446,0.052767,0.053860,456249,13425900
2017-10-29,0.062951,0.068353,0.052834,0.060815,1707150,13752800
2017-10-28,0.053083,0.063111,0.051625,0.061374,709515,11593100
2017-10-27,0.049815,0.055601,0.047454,0.052939,522577,10874000
2017-10-26,0.049258,0.054623,0.047171,0.049804,386269,10751500
2017-10-25,0.049607,0.053981,0.045602,0.049207,581440,10824100
2017-10-24,0.044758,0.051976,0.041591,0.049642,301909,9761360
2017-10-23,0.048488,0.049458,0.040559,0.044856,178054,10573300
2017-10-22,0.044507,0.051062,0.043298,0.049521,189984,9702800
2017-10-21,0.048638,0.049385,0.041190,0.044494,182389,10598800
2017-10-20,0.051078,0.052374,0.046845,0.048741,274346,11128800
2017-10-19,0.048886,0.053882,0.047984,0.051063,313197,10648100
2017-10-18,0.047771,0.051150,0.043447,0.049139,548265,10401200
2017-10-17,0.046215,0.062946,0.043030,0.047264,1552210,10059300
2017-10-16,0.045535,0.047348,0.042573,0.046208,164342,9908050
2017-10-15,0.046222,0.047076,0.042820,0.045529,172206,10054900
2017-10-14,0.045771,0.050548,0.044562,0.046723,157781,9952550
2017-10-13,0.044178,0.050478,0.041122,0.045759,353622,9603220
2017-10-12,0.047011,0.049028,0.040664,0.044638,655304,10216400
2017-10-11,0.043053,0.053643,0.042943,0.046923,1206350,9351980
2017-10-10,0.036135,0.046214,0.033590,0.043061,460258,7847180
2017-10-09,0.040223,0.041210,0.031068,0.035181,464889,8732220
2017-10-08,0.044441,0.045084,0.039197,0.040075,484949,9642990
2017-10-07,0.048328,0.048981,0.042567,0.044560,212420,10484600
2017-10-06,0.046005,0.050611,0.045826,0.048313,225796,9977110
2017-10-05,0.048884,0.050814,0.044669,0.046134,273733,10597200
2017-10-04,0.047301,0.053214,0.045975,0.048672,472085,10252700
2017-10-03,0.052571,0.053260,0.044787,0.047407,539077,11391100
2017-10-02,0.056902,0.058962,0.051213,0.053361,666495,12324400
2017-10-01,0.059702,0.061469,0.055142,0.057059,549025,12928100
2017-09-30,0.053276,0.064767,0.051525,0.059497,1282300,11526000
2017-09-29,0.058233,0.058233,0.050773,0.053269,525952,12598400
2017-09-28,0.059745,0.061503,0.054839,0.058320,797382,12922600
2017-09-27,0.058675,0.062989,0.055866,0.059325,851873,12685500
2017-09-26,0.060305,0.062532,0.058127,0.059532,790737,13032500
2017-09-25,0.053655,0.062675,0.050888,0.060078,2227980,11590600
2017-09-24,0.050339,0.057939,0.045279,0.053564,1412620,10871000
2017-09-23,0.047465,0.052579,0.046725,0.050343,417858,10245700
2017-09-22,0.047671,0.053571,0.045711,0.047347,888493,10285700
2017-09-21,0.054312,0.057839,0.044262,0.047690,807777,11715600
2017-09-20,0.055064,0.059193,0.051701,0.054580,939876,11873300
2017-09-19,0.064377,0.064503,0.052110,0.054981,1706000,13876100
2017-09-18,0.059011,0.065598,0.055222,0.063444,1714540,12709900
2017-09-17,0.062179,0.063818,0.049545,0.059129,1478440,13387000
2017-09-16,0.048593,0.063814,0.046940,0.062705,2352570,10460000
2017-09-15,0.042667,0.056223,0.030261,0.049501,1955970,9177870
2017-09-14,0.048270,0.067530,0.042116,0.044011,5459850,10379200
2017-09-13,0.031974,0.060170,0.027459,0.048272,3175160,6874090
2017-09-12,0.035226,0.036751,0.030115,0.032096,524238,7570580
2017-09-11,0.035704,0.037835,0.032804,0.035150,606671,7670040
2017-09-10,0.033437,0.042486,0.030820,0.036105,1777610,7181710
2017-09-09,0.020452,0.036835,0.019970,0.033964,4361580,4391220
2017-09-08,0.032524,0.034099,0.017833,0.020406,2164540,6980130
2017-09-07,0.035615,0.036359,0.030738,0.033138,444671,7642720
2017-09-06,0.034108,0.038873,0.032086,0.035660,617038,7315450
2017-09-05,0.030648,0.038500,0.025696,0.034323,855783,6571100
2017-09-04,0.043624,0.044221,0.026846,0.030802,706432,9352580
2017-09-03,0.046034,0.047241,0.041449,0.043539,201867,9864040
2017-09-02,0.052056,0.052056,0.045022,0.046008,445795,11151000
2017-09-01,0.051724,0.053084,0.050309,0.051400,170029,11078900
2017-08-31,0.050377,0.052806,0.047678,0.051697,150760,10788100
2017-08-30,0.049376,0.051117,0.045727,0.050404,220078,10568400
2017-08-29,0.052030,0.053092,0.048841,0.050337,213234,11134500
2017-08-28,0.051554,0.052737,0.047214,0.051985,160336,11030600
2017-08-27,0.055009,0.055584,0.048635,0.050883,262167,11763200
2017-08-26,0.056897,0.058511,0.053721,0.055015,169805,12165100
2017-08-25,0.055926,0.059330,0.055493,0.056844,155563,11955800
2017-08-24,0.055668,0.056964,0.054463,0.055450,173324,11894000
2017-08-23,0.054224,0.059027,0.053197,0.056051,227128,11582900
2017-08-22,0.054088,0.054545,0.050631,0.054213,268609,11551000
2017-08-21,0.057552,0.057844,0.052718,0.054048,274715,12284100
2017-08-20,0.056883,0.058911,0.055726,0.057490,137019,12138100
2017-08-19,0.059188,0.062281,0.054218,0.056921,326685,12628100
2017-08-18,0.060130,0.065776,0.058479,0.059405,377403,12823800
2017-08-17,0.066031,0.066187,0.057894,0.060524,606455,14077200
2017-08-16,0.066960,0.073628,0.063807,0.066014,938108,14273000
2017-08-15,0.077359,0.104130,0.058657,0.066716,4494640,16483700
2017-08-14,0.058105,0.080751,0.054097,0.076122,1207250,12376300
2017-08-13,0.065915,0.066362,0.056811,0.058106,535874,14037800
2017-08-12,0.055796,0.067349,0.054930,0.065227,1722860,11878000
2017-08-11,0.050395,0.057096,0.049714,0.055788,756839,10724200
2017-08-10,0.048318,0.053527,0.045369,0.051012,553422,10279900
2017-08-09,0.050374,0.050422,0.046781,0.048282,242673,10713400
2017-08-08,0.052970,0.052999,0.047296,0.050134,412479,11261300
2017-08-07,0.050360,0.055821,0.045841,0.051491,1202740,10704400
2017-08-06,0.043358,0.057580,0.041814,0.050822,971701,9212610
2017-08-05,0.043265,0.044223,0.040370,0.043358,292089,9189830
2017-08-04,0.040248,0.044342,0.039963,0.043262,348465,8547500
2017-08-03,0.039780,0.040505,0.038595,0.040282,97986,8444860
2017-08-02,0.038510,0.040927,0.038510,0.039804,97507,8172710
2017-08-01,0.038625,0.039693,0.035487,0.039142,122341,8195720
2017-07-31,0.037865,0.039747,0.037359,0.038482,67230,8031290
2017-07-30,0.038128,0.039216,0.036315,0.037878,64639,8083910
2017-07-29,0.039085,0.039985,0.034932,0.038135,107330,8286080
2017-07-28,0.040915,0.042343,0.038546,0.039317,282317,8671630
2017-07-27,0.037793,0.040949,0.037751,0.040101,209409,8005830
2017-07-26,0.038165,0.040284,0.034326,0.040186,220983,8083490
2017-07-25,0.042257,0.043040,0.036264,0.038162,348814,8948830
2017-07-24,0.041713,0.043569,0.040258,0.042260,366127,8828500
2017-07-23,0.049266,0.050896,0.037409,0.041475,1062460,10425500
2017-07-22,0.043190,0.049367,0.041704,0.049367,707570,9138480
2017-07-21,0.044308,0.047999,0.040097,0.043183,659691,9369870
2017-07-20,0.037822,0.045874,0.037064,0.044815,637346,7997470
2017-07-19,0.039783,0.044347,0.035348,0.037805,696152,8411640
2017-07-18,0.034886,0.041220,0.032752,0.039748,432826,7371750
2017-07-17,0.027613,0.036919,0.027604,0.034862,278277,5833650
2017-07-16,0.029384,0.031754,0.026351,0.027506,141637,6207190
2017-07-15,0.031649,0.032421,0.028158,0.029389,197255,6682270
2017-07-14,0.035662,0.036173,0.030520,0.031591,151282,7527540
2017-07-13,0.040366,0.040854,0.035324,0.035653,212849,8519320
