Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.172057,0.201695,0.166403,0.201042,1486680,49237600
2017-11-23,0.175978,0.186453,0.171673,0.172331,1059520,50359700
2017-11-22,0.169943,0.180232,0.166128,0.176455,1508720,48632600
2017-11-21,0.195498,0.200870,0.168233,0.170324,2261270,55945700
2017-11-20,0.193540,0.245316,0.186145,0.197336,5835710,55385300
2017-11-19,0.182007,0.203811,0.171533,0.189565,3531190,52085000
2017-11-18,0.151158,0.194486,0.136316,0.184065,2643510,43257000
2017-11-17,0.132352,0.154047,0.120602,0.154047,986438,37875300
2017-11-16,0.144766,0.147133,0.129894,0.132924,670416,41427900
2017-11-15,0.138912,0.152475,0.135491,0.145176,515612,39752700
2017-11-14,0.143027,0.150446,0.133523,0.137053,555592,40930000
2017-11-13,0.130328,0.148434,0.130328,0.142889,457430,37296000
2017-11-12,0.162614,0.162614,0.127297,0.130133,810831,46535400
2017-11-11,0.149949,0.162316,0.147345,0.162316,611035,42911100
2017-11-10,0.166030,0.176774,0.147505,0.150365,1037280,47512900
2017-11-09,0.166752,0.182609,0.163467,0.165387,924937,47719600
2017-11-08,0.155242,0.180585,0.151116,0.167451,931716,44425800
2017-11-07,0.156029,0.157926,0.147550,0.155454,463039,44650900
2017-11-06,0.155453,0.160951,0.146675,0.156132,839219,44486200
2017-11-05,0.159026,0.162519,0.149159,0.155190,619576,45508500
2017-11-04,0.164685,0.170329,0.157771,0.159384,533975,47127900
2017-11-03,0.159154,0.168408,0.152783,0.163965,733898,45545300
2017-11-02,0.180755,0.184229,0.156095,0.159025,988862,51726800
2017-11-01,0.159958,0.204511,0.151581,0.180812,3133780,45775400
2017-10-31,0.165092,0.174303,0.146464,0.161632,956200,47244600
2017-10-30,0.150135,0.186663,0.149040,0.162415,1704170,42964200
2017-10-29,0.147117,0.154342,0.144492,0.150732,229723,42100700
2017-10-28,0.147729,0.150938,0.143754,0.147218,188744,42275700
2017-10-27,0.139625,0.149028,0.136067,0.147354,246288,39956500
2017-10-26,0.145116,0.154387,0.138987,0.139382,220197,41527900
2017-10-25,0.154967,0.155108,0.144206,0.146606,170930,44347000
2017-10-24,0.152796,0.166973,0.149860,0.154866,334629,43725600
2017-10-23,0.156742,0.157010,0.142174,0.152610,184110,44855100
2017-10-22,0.162273,0.174827,0.151015,0.156615,284899,46437800
2017-10-21,0.175020,0.175020,0.154538,0.161937,208200,50085600
2017-10-20,0.180496,0.193751,0.160840,0.175322,416205,51652600
2017-10-19,0.162124,0.192776,0.159010,0.180417,808318,46395200
2017-10-18,0.159990,0.162359,0.140408,0.162038,334873,45784400
2017-10-17,0.163433,0.167434,0.142447,0.158198,296487,46769800
2017-10-16,0.167585,0.176913,0.152633,0.162666,339813,47957900
2017-10-15,0.179970,0.187880,0.161191,0.167337,318204,51502300
2017-10-14,0.182639,0.201460,0.176612,0.176612,738487,52265900
2017-10-13,0.175760,0.185596,0.124630,0.175273,799815,50297500
