Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002389,0.004130,0.002315,0.002806,355,67559
2017-11-23,0.002639,0.003091,0.002405,0.002428,51,74628
2017-11-22,0.002463,0.003544,0.002342,0.002647,218,69645
2017-11-21,0.002557,0.003748,0.002339,0.002460,25,72300
2017-11-20,0.002560,0.002642,0.002316,0.002556,40,72395
2017-11-19,0.003112,0.003688,0.002312,0.002332,59,88002
2017-11-18,0.002460,0.003468,0.002221,0.003118,60,69561
2017-11-17,0.002823,0.002889,0.002284,0.002469,1092,79838
2017-11-16,0.002558,0.002880,0.002500,0.002828,153,72325
2017-11-15,0.002439,0.002746,0.002350,0.002544,23,68966
2017-11-14,0.002408,0.002502,0.002245,0.002437,23,68103
2017-11-13,0.002088,0.002914,0.002074,0.002403,44,59045
2017-11-12,0.001932,0.002169,0.001678,0.002085,54,54642
2017-11-11,0.001850,0.002801,0.001757,0.001930,61,52323
2017-11-10,0.002102,0.002138,0.001724,0.001868,5,59443
2017-11-09,0.001886,0.002241,0.001831,0.002078,26,53337
2017-11-08,0.002012,0.002198,0.001864,0.001893,44,56889
2017-11-07,0.002122,0.002414,0.001978,0.002017,40,60010
2017-11-06,0.002739,0.002743,0.002040,0.002127,46,77453
2017-11-05,0.001938,0.002778,0.001871,0.002735,71,54796
2017-11-04,0.002007,0.002133,0.001846,0.001940,46,56748
2017-11-03,0.001774,0.002021,0.001774,0.002012,11,50165
2017-11-02,0.001750,0.002970,0.001750,0.001776,88,49478
2017-11-01,0.001990,0.002142,0.001624,0.001748,668,56277
2017-10-31,0.001955,0.002027,0.001887,0.002007,13,55288
2017-10-30,0.001977,0.002703,0.001925,0.001963,11,55912
2017-10-29,0.001890,0.002280,0.001864,0.001999,26,53452
2017-10-28,0.001905,0.001940,0.001816,0.001893,39,53872
2017-10-27,0.001880,0.001915,0.001825,0.001900,10,53176
2017-10-26,0.001834,0.001911,0.001822,0.001882,28,51872
2017-10-25,0.001798,0.001856,0.001744,0.001835,15,50845
2017-10-24,0.001936,0.001942,0.001775,0.001786,29,54738
2017-10-23,0.002444,0.002581,0.001820,0.001940,49,69115
2017-10-22,0.001953,0.002478,0.001863,0.002464,34,55235
2017-10-21,0.002343,0.002406,0.001952,0.001952,50,66271
2017-10-20,0.002280,0.002386,0.002192,0.002348,36,64476
2017-10-19,0.002291,0.002485,0.002167,0.002279,24,64781
2017-10-18,0.002408,0.002408,0.002152,0.002290,24,68105
2017-10-17,0.002542,0.002602,0.002393,0.002408,17,71894
2017-10-16,0.002845,0.002880,0.002505,0.002542,9,80442
2017-10-15,0.002753,0.003728,0.002384,0.002844,59,77850
2017-10-14,0.002993,0.003010,0.002412,0.002748,38,84646
2017-10-13,0.002718,0.003091,0.002537,0.002992,61,76876
2017-10-12,0.002413,0.002960,0.002407,0.002710,53,68239
2017-10-11,0.002524,0.002559,0.002398,0.002411,28,71383
2017-10-10,0.002537,0.002576,0.002375,0.002525,150,71735
2017-10-09,0.002438,0.002581,0.002413,0.002537,50,68939
2017-10-08,0.002383,0.002559,0.002351,0.002437,96,67393
2017-10-07,0.002497,0.002499,0.002324,0.002387,17,70626
2017-10-06,0.002462,0.002557,0.002423,0.002497,10,69613
2017-10-05,0.002532,0.002619,0.002456,0.002462,99,71598
2017-10-04,0.002592,0.002826,0.002517,0.002530,28,73292
2017-10-03,0.002725,0.003739,0.002394,0.002586,69,77067
2017-10-02,0.004271,0.004769,0.002413,0.002725,1025,120790
2017-10-01,0.001955,0.008503,0.001941,0.004311,1658,55296
2017-09-30,0.001627,0.002132,0.001597,0.001954,40,46010
2017-09-29,0.002013,0.002013,0.001619,0.001627,24,56920
2017-09-28,0.001851,0.002017,0.001824,0.002014,8,52352
2017-09-27,0.001751,0.002010,0.001751,0.001851,27,49523
2017-09-26,0.001957,0.001977,0.001676,0.001756,48,55350
2017-09-25,0.001982,0.002134,0.001821,0.001936,19,56048
2017-09-24,0.001818,0.001998,0.001747,0.001984,55,51425
2017-09-23,0.001557,0.001855,0.001552,0.001819,8,44022
2017-09-22,0.001593,0.001662,0.001537,0.001563,2,45050
2017-09-21,0.001852,0.001864,0.001578,0.001595,16,52366
2017-09-20,0.001878,0.001943,0.001734,0.001861,80,53120
