Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,68.63,75.29,67.61,74.61,582957,41135200
2017-11-23,65.73,70.82,63.26,69.21,646454,39399100
2017-11-22,65.19,66.83,64.23,65.96,417550,39077000
2017-11-21,66.43,68.41,63.65,65.10,409973,39817800
2017-11-20,68.34,68.41,64.96,66.61,475053,40962800
2017-11-19,63.70,68.72,63.08,68.38,483081,38184200
2017-11-18,65.09,70.06,63.26,63.81,534814,39013600
2017-11-17,67.32,67.60,64.18,65.26,429369,40349300
2017-11-16,71.63,71.92,66.71,66.84,426625,42936200
2017-11-15,73.73,75.77,70.11,71.40,495609,44195300
2017-11-14,76.73,85.38,69.45,73.54,1350920,45994000
2017-11-13,63.30,78.43,63.00,77.05,408701,37941600
2017-11-12,72.27,75.51,60.73,63.16,561220,43317000
2017-11-11,54.50,81.21,54.48,73.06,1376080,32665300
2017-11-10,61.36,64.25,54.77,54.77,302234,36777200
2017-11-09,58.10,62.74,57.04,61.41,367451,34823800
2017-11-08,56.70,58.42,54.30,58.22,420882,33987700
2017-11-07,55.68,57.52,55.13,56.64,264962,33373800
2017-11-06,57.18,66.54,54.52,55.91,651530,34276600
2017-11-05,59.25,62.62,56.83,57.10,432655,35512900
2017-11-04,59.58,62.34,58.59,59.27,353043,35712500
2017-11-03,53.36,61.22,52.29,59.61,397285,31984800
2017-11-02,57.44,58.02,50.22,53.52,323099,34428200
2017-11-01,60.05,61.10,56.23,57.71,310006,35992300
2017-10-31,60.95,61.26,57.16,60.15,370058,36534000
2017-10-30,63.94,76.59,59.01,60.94,834942,38327400
2017-10-29,58.54,64.30,58.09,64.18,363574,35088900
2017-10-28,59.34,59.78,57.30,58.56,314276,35567900
2017-10-27,60.63,61.36,59.01,59.19,348699,36338900
2017-10-26,61.36,62.57,60.28,60.81,262683,36782000
2017-10-25,60.46,61.65,58.32,61.41,270665,36240800
2017-10-24,56.77,64.28,55.95,60.43,372687,34030300
2017-10-23,61.17,61.31,55.43,56.83,311860,36666700
2017-10-22,57.76,61.64,57.60,61.23,278435,34622600
2017-10-21,67.17,68.06,54.48,56.63,438978,40264600
2017-10-20,69.42,70.33,67.26,67.28,339867,41613300
2017-10-19,70.83,72.06,68.83,69.45,387425,42458300
2017-10-18,72.68,72.68,66.86,70.92,338636,43561600
2017-10-17,75.68,75.89,71.34,72.69,450807,45360100
2017-10-16,72.46,75.89,71.08,75.80,392971,43430800
2017-10-15,73.47,74.01,68.99,72.40,233233,44040600
2017-10-14,72.68,74.47,72.09,73.49,236095,43561500
