Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.152263,0.159321,0.142384,0.159321,775396,15226300
2017-11-23,0.161831,0.162470,0.148402,0.152467,877033,16183100
2017-11-22,0.162881,0.172750,0.156438,0.161474,1053700,16288100
2017-11-21,0.180000,0.184662,0.159064,0.165794,1832400,18000000
2017-11-20,0.152868,0.234514,0.149124,0.181202,9863900,15286800
2017-11-19,0.131064,0.161019,0.130068,0.152853,2363160,13106400
2017-11-18,0.135208,0.136277,0.125119,0.133244,553472,13520800
2017-11-17,0.147178,0.153050,0.123846,0.133581,937349,14717800
2017-11-16,0.165780,0.169381,0.138341,0.142666,1618600,16578000
2017-11-15,0.176176,0.213483,0.158460,0.166214,7260780,17617600
2017-11-14,0.078510,0.256980,0.078510,0.170818,30004200,7851000
2017-11-13,0.020089,0.082123,0.018838,0.082123,398436,2008900
2017-11-12,0.019667,0.024999,0.016695,0.020042,2876,1966660
2017-11-11,0.029180,0.030268,0.019212,0.019671,7305,2918030
2017-11-10,0.025330,0.036087,0.025330,0.029275,4856,2533000
2017-11-09,0.026088,0.029159,0.022084,0.025668,13519,2608800
2017-11-08,0.022542,0.026628,0.021684,0.026124,1530,2254220
2017-11-07,0.023709,0.026759,0.021670,0.022641,4036,2370900
2017-11-06,0.022862,0.030258,0.021701,0.023734,5816,2286240
2017-11-05,0.028035,0.028507,0.022586,0.022846,966,2803490
2017-11-04,0.029565,0.029862,0.025139,0.028084,11716,2956480
2017-11-03,0.032463,0.033352,0.022761,0.029711,5602,3246340
2017-11-02,0.031171,0.037029,0.017309,0.032434,34540,3117060
2017-11-01,0.031987,0.033755,0.021220,0.031287,15490,3198660
2017-10-31,0.035323,0.036595,0.029157,0.032010,12425,3532260
2017-10-30,0.033743,0.036810,0.028139,0.035403,32332,3374310
2017-10-29,0.031376,0.037206,0.029842,0.033915,30496,3137630
2017-10-28,0.029918,0.032904,0.028377,0.031447,10799,2991790
2017-10-27,0.029957,0.032155,0.028734,0.029844,9352,2995740
2017-10-26,0.031624,0.032641,0.026674,0.029986,12183,3162360
2017-10-25,0.028164,0.031699,0.027471,0.031669,37149,2816420
2017-10-24,0.030407,0.031322,0.028043,0.028146,6561,3040680
2017-10-23,0.027189,0.033703,0.026980,0.030384,7896,2718860
2017-10-22,0.033387,0.033944,0.025153,0.027231,8647,3338730
2017-10-21,0.033465,0.036492,0.024339,0.033379,74993,3346500
2017-10-20,0.025127,0.034615,0.024648,0.033547,45939,2512720
2017-10-19,0.028041,0.028086,0.025126,0.025126,8575,2804080
2017-10-18,0.025783,0.028157,0.022860,0.028025,47954,2578310
2017-10-17,0.022066,0.031334,0.018470,0.025773,29155,2206650
2017-10-16,0.014237,0.022361,0.014226,0.022123,8640,1423740
2017-10-15,0.014532,0.014673,0.013654,0.014240,2208,1453210
2017-10-14,0.013362,0.014523,0.013110,0.014515,4204,1336220
2017-10-13,0.008705,0.015834,0.008652,0.013353,3533,870522
2017-10-12,0.007531,0.015220,0.007416,0.008683,1880,753110
