Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003215,0.003336,0.003028,0.003208,14,40335
2017-11-23,0.003290,0.003306,0.003035,0.003219,224,41279
2017-11-22,0.003002,0.003320,0.002990,0.003291,48,37668
2017-11-21,0.002884,0.003280,0.002877,0.002995,452,36191
2017-11-20,0.002493,0.002900,0.002480,0.002884,527,31284
2017-11-19,0.002648,0.002920,0.002386,0.002495,195,33218
2017-11-18,0.002460,0.002673,0.002358,0.002652,7,30862
2017-11-17,0.003373,0.003453,0.002308,0.002469,113,42322
2017-11-16,0.003140,0.003379,0.002885,0.003379,32,39400
2017-11-15,0.002579,0.003131,0.002579,0.003124,11,32352
2017-11-14,0.002547,0.002688,0.002468,0.002577,9,31957
2017-11-13,0.003053,0.003400,0.002410,0.002542,134,38303
2017-11-12,0.002735,0.003297,0.002270,0.003048,449,34319
2017-11-11,0.002498,0.003385,0.002400,0.002737,502,31347
2017-11-10,0.003065,0.003432,0.002507,0.002507,956,38461
2017-11-09,0.003211,0.003283,0.003046,0.003056,2,40287
2017-11-08,0.003060,0.003913,0.003042,0.003214,228,38392
2017-11-07,0.003062,0.003102,0.003005,0.003070,9,38417
2017-11-06,0.003327,0.003341,0.003056,0.003067,12,41743
2017-11-05,0.003541,0.003570,0.003259,0.003320,16,44426
2017-11-04,0.003440,0.003624,0.003128,0.003548,2,43162
2017-11-03,0.004425,0.004571,0.003201,0.003449,5,55515
2017-11-02,0.002961,0.004469,0.002961,0.004430,24,37145
2017-11-01,0.002771,0.004283,0.002687,0.002957,197,34765
2017-10-31,0.003922,0.004215,0.002561,0.002773,417,49205
2017-10-30,0.003940,0.004136,0.003227,0.003935,1057,49439
2017-10-29,0.003322,0.003982,0.002941,0.003963,1053,41682
2017-10-28,0.002939,0.003367,0.002924,0.003327,32,36879
2017-10-27,0.002760,0.002983,0.002740,0.002931,4,34626
2017-10-26,0.003154,0.003184,0.003133,0.003149,2,39571
2017-10-25,0.003145,0.003160,0.002529,0.003154,4,39465
2017-10-24,0.003167,0.003309,0.003118,0.003144,1,39740
2017-10-23,0.003767,0.003822,0.002731,0.003174,6,47263
2017-10-22,0.003308,0.003807,0.003188,0.003773,715,41498
2017-10-21,0.003903,0.003903,0.003104,0.003307,185,48974
2017-10-20,0.003309,0.003972,0.002473,0.003912,6,41512
2017-10-19,0.003185,0.003570,0.002247,0.003308,590,39958
2017-10-18,0.003808,0.003809,0.002927,0.003183,462,47784
2017-10-17,0.003756,0.003927,0.003756,0.003808,623,47130
2017-10-16,0.003700,0.003775,0.003448,0.003756,5,46419
2017-10-15,0.003277,0.003931,0.003243,0.003699,851,41112
2017-10-14,0.003280,0.003938,0.003021,0.003271,749,41157
2017-10-13,0.003536,0.003820,0.003203,0.003279,615,44371
2017-10-12,0.003089,0.003619,0.003081,0.003526,481,38754
2017-10-11,0.003096,0.003210,0.003057,0.003086,19,38842
2017-10-10,0.003207,0.003257,0.003070,0.003096,200,40234
2017-10-09,0.003222,0.003263,0.002987,0.003207,3,40425
2017-10-08,0.003022,0.003229,0.002812,0.003221,6,37912
2017-10-07,0.002974,0.003130,0.002942,0.003030,232,37316
2017-10-06,0.003113,0.003186,0.002945,0.002973,2,39058
2017-10-05,0.002913,0.003144,0.002864,0.003113,518,36546
2017-10-04,0.002937,0.002956,0.002855,0.002910,491,36854
2017-10-03,0.002906,0.002934,0.002732,0.002931,3,36459
2017-10-02,0.002900,0.003576,0.002883,0.002906,61,36387
2017-10-01,0.003563,0.003579,0.002815,0.002901,14,44701
2017-09-30,0.003421,0.003573,0.003418,0.003561,1,42923
2017-09-29,0.002600,0.003450,0.002510,0.003421,13,32622
2017-09-28,0.003492,0.003537,0.002699,0.003525,6,43816
2017-09-27,0.002529,0.003506,0.002521,0.003492,10,31725
2017-09-26,0.002517,0.002548,0.002474,0.002509,2,31584
2017-09-25,0.002534,0.003217,0.002512,0.002518,9,31792
2017-09-24,0.002993,0.002993,0.002526,0.002537,5,37551
2017-09-23,0.002742,0.002993,0.002715,0.002993,17,34397
2017-09-22,0.002498,0.002871,0.002496,0.002749,21,31346
2017-09-21,0.002638,0.002890,0.002482,0.002501,2302,33098
2017-09-20,0.002661,0.002752,0.002615,0.002651,6,33390
2017-09-19,0.003036,0.003052,0.002640,0.002665,4,38095
2017-09-18,0.002476,0.003032,0.002476,0.003029,13,31062
2017-09-17,0.003009,0.003198,0.002473,0.002481,11,37749
2017-09-16,0.002893,0.003410,0.002552,0.003011,23,36301
2017-09-15,0.002336,0.003340,0.002179,0.002901,8,29311
2017-09-14,0.003683,0.003732,0.002318,0.002318,1,46212
2017-09-13,0.004028,0.004043,0.002725,0.003683,615,50536
2017-09-12,0.003329,0.004072,0.003241,0.004043,71,41765
2017-09-11,0.003018,0.003375,0.002771,0.003326,15,37861
2017-09-10,0.003465,0.003465,0.003013,0.003023,94,43474
2017-09-09,0.003463,0.003526,0.003364,0.003474,60,43450
2017-09-08,0.003105,0.004557,0.003078,0.003456,81,38953
2017-09-07,0.003093,0.003138,0.003015,0.003104,7,38801
2017-09-06,0.002961,0.003296,0.002961,0.003098,14,37156
2017-09-05,0.003574,0.003574,0.002771,0.002958,12,44842
2017-09-04,0.003187,0.004125,0.002824,0.003556,414,39987
2017-09-03,0.003043,0.003613,0.002939,0.003186,50,38183
2017-09-02,0.003250,0.003288,0.002965,0.003041,4,40774
2017-09-01,0.003127,0.003296,0.003097,0.003246,4,39236
2017-08-31,0.003022,0.003144,0.003022,0.003127,13,37922
2017-08-30,0.003032,0.003070,0.002965,0.003028,4,38042
2017-08-29,0.002897,0.003111,0.002871,0.003036,12,36343
2017-08-28,0.002823,0.002892,0.002646,0.002892,312,35421
2017-08-27,0.002824,0.002880,0.002808,0.002826,13,35428
2017-08-26,0.002839,0.002845,0.002775,0.002824,12,35619
2017-08-25,0.002814,0.002901,0.002794,0.002838,99,35302
