Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.013570,0.014902,0.013168,0.013231,30,128056
2017-11-23,0.013116,0.014145,0.010817,0.013589,426,123771
2017-11-22,0.012677,0.013472,0.012623,0.013122,16,119624
2017-11-21,0.013660,0.013958,0.011980,0.012646,42,128904
2017-11-20,0.013191,0.013732,0.013033,0.013658,55,124477
2017-11-19,0.013330,0.014038,0.013078,0.013197,81,125791
2017-11-18,0.013348,0.013428,0.011556,0.013355,11,125956
2017-11-17,0.014146,0.014479,0.011967,0.013399,482,133490
2017-11-16,0.014454,0.014604,0.013327,0.014169,25,136397
2017-11-15,0.013276,0.018673,0.013276,0.014381,47,125278
2017-11-14,0.014913,0.015347,0.012912,0.013267,4,140727
2017-11-13,0.018415,0.018776,0.010854,0.014882,24,173768
2017-11-12,0.013146,0.025066,0.010666,0.018323,34,124052
2017-11-11,0.015055,0.015378,0.012862,0.013156,7,142060
2017-11-10,0.014757,0.015964,0.013594,0.015108,38,139250
2017-11-09,0.012577,0.016139,0.011549,0.014713,5,118680
2017-11-08,0.014623,0.016213,0.012203,0.012590,713,137991
2017-11-07,0.013988,0.014674,0.013988,0.014669,5,131992
2017-11-06,0.015026,0.015073,0.013959,0.014010,4,141795
2017-11-05,0.016046,0.019948,0.014756,0.014993,129,151418
2017-11-04,0.015216,0.016425,0.014767,0.016077,24,143581
2017-11-03,0.019454,0.020286,0.015100,0.015255,4,183580
2017-11-02,0.019197,0.019651,0.019103,0.019480,8,181147
2017-11-01,0.013744,0.018710,0.013587,0.018643,0,129697
2017-10-31,0.015823,0.015899,0.012435,0.013121,40,149313
2017-10-30,0.016624,0.017499,0.014996,0.015877,43,156867
2017-10-29,0.015695,0.016911,0.015653,0.016721,41,148099
2017-10-28,0.016226,0.016527,0.015545,0.015716,10,153115
2017-10-27,0.016483,0.016953,0.016037,0.016182,57,155540
2017-10-26,0.015712,0.016534,0.015610,0.016479,1,148266
2017-10-25,0.015433,0.015961,0.014931,0.015714,13,145635
2017-10-24,0.016482,0.018841,0.015342,0.015427,18,155533
2017-10-23,0.016802,0.017049,0.015916,0.016519,21,158548
2017-10-22,0.016586,0.016910,0.015763,0.016829,2,156510
2017-10-21,0.019010,0.020282,0.016309,0.016581,144,179382
2017-10-20,0.022510,0.023209,0.018057,0.019050,151,212415
2017-10-19,0.021302,0.023031,0.016626,0.022504,172,201016
2017-10-18,0.028753,0.028754,0.021263,0.021291,69,271321
2017-10-17,0.021627,0.032117,0.021604,0.028751,213,204084
2017-10-16,0.024241,0.046211,0.021484,0.021624,1033,228746
2017-10-15,0.022128,0.024483,0.020169,0.024238,1,208812
2017-10-14,0.025097,0.025433,0.020642,0.022089,87,236823
2017-10-13,0.031350,0.031552,0.018973,0.025090,69,295827
2017-10-12,0.013562,0.031253,0.013527,0.031253,1318,127973
2017-10-11,0.014523,0.014989,0.013426,0.013550,28,137041
2017-10-10,0.015683,0.017343,0.013927,0.014376,565,147987
2017-10-09,0.017155,0.022856,0.015684,0.015684,641,161882
2017-10-08,0.017085,0.021514,0.016953,0.017151,77,161221
2017-10-07,0.017758,0.021764,0.013649,0.017131,43,167569
2017-10-06,0.017586,0.018007,0.016285,0.017752,78,165951
2017-10-05,0.019039,0.019051,0.016408,0.017586,125,179655
2017-10-04,0.025133,0.025292,0.018891,0.019021,5,237160
2017-10-03,0.014362,0.027583,0.013880,0.025074,14,135522
2017-10-02,0.019921,0.024021,0.012193,0.014361,690,187985
2017-10-01,0.019639,0.020155,0.019276,0.019930,73,185317
2017-09-30,0.018024,0.019630,0.018007,0.019628,50,170078
2017-09-29,0.016947,0.018567,0.016379,0.018021,15,159921
2017-09-28,0.019244,0.023161,0.016898,0.016960,391,181591
2017-09-27,0.016530,0.049059,0.015593,0.019244,9790,155987
2017-09-26,0.020840,0.021104,0.016547,0.016577,337,196658
