Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.584071,0.591088,0.555541,0.578606,298469,57255800
2017-11-23,0.646295,0.661402,0.588312,0.588312,457487,63355600
2017-11-22,0.566390,0.645516,0.526503,0.645516,400217,55522600
2017-11-21,0.511709,0.578474,0.494634,0.565440,326625,50162300
2017-11-20,0.460224,0.517410,0.450104,0.512075,253512,45115200
2017-11-19,0.440501,0.462595,0.426209,0.460739,253402,43181900
2017-11-18,0.443317,0.488459,0.434133,0.440332,239385,43457800
2017-11-17,0.466662,0.469492,0.440874,0.445170,254677,45746400
2017-11-16,0.480937,0.560417,0.465026,0.466787,289265,47145800
2017-11-15,0.482041,0.487580,0.470478,0.480047,191827,47254000
2017-11-14,0.473879,0.500735,0.473879,0.481375,140091,46453900
2017-11-13,0.443661,0.496358,0.434112,0.472813,140773,43491600
2017-11-12,0.551226,0.551226,0.422751,0.443210,121478,54036100
2017-11-11,0.520313,0.708520,0.518732,0.551518,445094,51005700
2017-11-10,0.533918,0.556392,0.484079,0.521910,555587,52339400
2017-11-09,0.405107,0.551059,0.401168,0.532384,488405,39712200
2017-11-08,0.297448,0.448972,0.293584,0.405850,390105,29158500
2017-11-07,0.272004,0.299989,0.272004,0.298560,200327,26664300
2017-11-06,0.289494,0.334004,0.268016,0.271911,314503,28378800
2017-11-05,0.271327,0.291204,0.266471,0.289184,329926,26597900
2017-11-04,0.266234,0.291717,0.263343,0.271355,323212,26098600
2017-11-03,0.262150,0.279437,0.258652,0.266432,249925,25698200
2017-11-02,0.323787,0.326377,0.231276,0.262221,327540,31740500
2017-11-01,0.325102,0.330734,0.303826,0.324238,251288,31869400
2017-10-31,0.359532,0.360899,0.319594,0.326794,278872,35244500
2017-10-30,0.370769,0.376912,0.350264,0.360319,239024,36346100
2017-10-29,0.358739,0.404851,0.356028,0.371936,302207,35166800
2017-10-28,0.385306,0.388616,0.362750,0.362750,216488,37771100
2017-10-27,0.419663,0.425122,0.382449,0.384659,371363,41139100
2017-10-26,0.411715,0.423451,0.408946,0.419703,302924,40360000
2017-10-25,0.408292,0.412002,0.389480,0.412002,350900,40024400
2017-10-24,0.447592,0.461264,0.407335,0.408129,257564,43876900
2017-10-23,0.421719,0.469895,0.400508,0.448143,405762,41340600
2017-10-22,0.404498,0.424938,0.390269,0.421271,361616,39652500
2017-10-21,0.404695,0.411592,0.399923,0.405171,329992,39671800
2017-10-20,0.383304,0.406876,0.378077,0.405552,388943,37574900
2017-10-19,0.384396,0.393749,0.374393,0.383583,354844,37681900
2017-10-18,0.392882,0.395988,0.361213,0.385060,269205,38513800
2017-10-17,0.395534,0.429225,0.389556,0.393072,450174,38773800
2017-10-16,0.412856,0.417525,0.392727,0.395300,468165,40471800
2017-10-15,0.389931,0.417491,0.379068,0.411794,187312,38224500
2017-10-14,0.379444,0.395082,0.375008,0.389839,166087,37196500
2017-10-13,0.442417,0.442417,0.345858,0.379054,359413,43369600
2017-10-12,0.468323,0.482814,0.433716,0.442007,299551,45909200
2017-10-11,0.482553,0.489064,0.457684,0.468110,269731,47304200
2017-10-10,0.536071,0.540722,0.481780,0.482579,215093,52550500
2017-10-09,0.550031,0.550031,0.495055,0.535779,424003,53918900
2017-10-08,0.532433,0.568333,0.525759,0.550871,466222,52193800
2017-10-07,0.559874,0.561677,0.515991,0.538361,311312,54883900
2017-10-06,0.542502,0.574418,0.542502,0.562956,239334,53180900
2017-10-05,0.548026,0.565362,0.496771,0.543692,311300,53722400
2017-10-04,0.500121,0.559669,0.494154,0.549733,350355,49026300
2017-10-03,0.526355,0.559954,0.493536,0.498359,338957,51598000
2017-10-02,0.570067,0.570918,0.505915,0.526298,324140,55883000
2017-10-01,0.587378,0.590083,0.562452,0.570291,297044,57580000
2017-09-30,0.579647,0.590342,0.563055,0.588774,265496,56822100
2017-09-29,0.652525,0.654173,0.572432,0.578811,271167,63966300
2017-09-28,0.595687,1.00,0.577855,0.653054,1556710,58394500
2017-09-27,0.620303,0.651122,0.513641,0.596373,321432,60807600
2017-09-26,0.551078,0.710692,0.529526,0.621741,1238280,54021600
2017-09-25,0.456830,0.554623,0.422998,0.550993,339614,44782500
2017-09-24,0.452012,0.462460,0.416439,0.457403,253507,44310300
2017-09-23,0.448961,0.465749,0.440764,0.452470,224785,44011200
2017-09-22,0.455670,0.482565,0.441652,0.449709,269976,44668900
2017-09-21,0.498635,0.518565,0.451798,0.456034,283602,48880700
2017-09-20,0.507562,0.552177,0.501108,0.502481,280827,49755800
2017-09-19,0.530356,0.537826,0.489800,0.507380,343858,51990200
2017-09-18,0.486288,0.545665,0.486288,0.529296,280572,47670200
2017-09-17,0.473673,0.494509,0.438738,0.486727,222673,46433600
2017-09-16,0.435462,0.506765,0.435035,0.473456,261891,42687800
2017-09-15,0.432672,0.460675,0.338348,0.437070,410254,42414300
2017-09-14,0.511897,0.514699,0.425835,0.431595,225767,50180700
2017-09-13,0.547208,0.550588,0.472445,0.511972,281136,53642200
2017-09-12,0.531079,0.578830,0.530879,0.546660,381473,52061000
2017-09-11,0.555361,0.555361,0.515330,0.531107,365585,54441400
2017-09-10,0.550930,0.600646,0.488609,0.553076,306801,54007000
2017-09-09,0.598474,0.634953,0.543412,0.552461,786063,58667700
2017-09-08,0.634769,0.784577,0.583289,0.598271,503694,62225700
2017-09-07,0.657935,0.659921,0.609410,0.635699,376033,64496600
2017-09-06,0.642986,0.687692,0.633951,0.658725,368943,63031200
2017-09-05,0.657533,0.712221,0.545756,0.641467,412531,64457200
2017-09-04,0.762222,0.777700,0.475361,0.654833,1162360,74719800
2017-09-03,0.835754,0.841496,0.729190,0.762015,384527,81928000
2017-09-02,0.802125,0.842792,0.744918,0.841140,353833,78631400
2017-09-01,0.863658,0.863658,0.784443,0.800772,487535,84663500
2017-08-31,0.840626,0.899005,0.840268,0.862464,521944,82405700
2017-08-30,0.930389,0.936811,0.830267,0.842273,452977,91205000
2017-08-29,0.981626,0.983514,0.885605,0.930517,457371,96227700
2017-08-28,0.906775,1.04,0.850746,0.983210,901485,88890200
2017-08-27,0.920124,0.939775,0.827523,0.909260,466256,90198800
2017-08-26,0.939109,0.961106,0.912999,0.920110,226452,92059900
2017-08-25,0.972059,1.19,0.912911,0.938830,343598,95289800
2017-08-24,0.904960,0.980339,0.844606,0.972529,359129,88712200
2017-08-23,0.989555,0.991561,0.903960,0.910039,385240,97005000
2017-08-22,0.997039,0.997816,0.890144,0.997816,328348,97738700
2017-08-21,1.08,1.10,0.962632,0.990853,453435,105576000
2017-08-20,1.11,1.11,1.05,1.08,339820,108591000
