Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.88,1.94,1.75,1.93,1381000,32565100
2017-11-23,1.79,1.99,1.69,1.86,1769960,31078300
2017-11-22,1.87,1.92,1.74,1.81,1429400,32421600
2017-11-21,1.94,2.02,1.85,1.86,1062210,33762800
2017-11-20,1.97,2.01,1.82,1.94,1087170,34162800
2017-11-19,2.02,2.17,1.91,1.97,1285930,35121400
2017-11-18,1.80,2.20,1.72,2.03,1551520,31329300
2017-11-17,1.87,1.98,1.74,1.81,1149420,32532700
2017-11-16,1.70,1.96,1.61,1.88,1275230,29542300
2017-11-15,1.72,1.78,1.62,1.62,728517,29865900
2017-11-14,1.75,1.78,1.63,1.72,942418,30307200
2017-11-13,1.63,1.91,1.57,1.74,880940,28233600
2017-11-12,1.73,1.77,1.41,1.61,1653200,30063000
2017-11-11,1.85,2.04,1.71,1.73,1037810,32125000
2017-11-10,2.20,2.35,1.67,1.84,1372930,38228900
2017-11-09,2.28,2.32,2.02,2.18,1818370,39630400
2017-11-08,2.12,2.47,1.85,2.23,3457010,36747900
2017-11-07,2.20,2.34,2.04,2.12,2406500,38242500
2017-11-06,1.90,2.28,1.84,2.19,2124950,32992000
2017-11-05,1.84,2.00,1.73,1.90,1925730,31878800
2017-11-04,1.88,1.94,1.71,1.85,1627550,32655300
2017-11-03,1.31,2.08,1.29,1.88,3026730,22818600
2017-11-02,1.33,1.36,1.13,1.31,283410,23054200
2017-11-01,1.27,1.59,1.08,1.32,510884,22009600
2017-10-31,1.58,1.58,1.20,1.27,572265,27399500
2017-10-30,1.75,1.89,1.34,1.58,949626,30316600
2017-10-29,2.31,2.33,1.61,1.62,864689,40170900
2017-10-28,2.62,2.62,2.15,2.31,1222330,45512800
2017-10-27,1.80,2.63,1.80,2.62,2312010,31329800
2017-10-26,1.31,1.83,1.10,1.77,1290120,22701300
2017-10-25,0.847218,1.43,0.845395,1.31,2089540,14713000
2017-10-24,0.630660,0.874367,0.588102,0.833207,538590,-
2017-10-23,0.487355,0.627249,0.472950,0.627249,119265,-
