Date,Open,High,Low,Close,Volume,Market_cap
2016-09-06,0.000118,0.000359,0.000116,0.000331,48,1975
2016-09-05,0.000274,0.000425,0.000117,0.000119,85,4573
2016-09-04,0.000322,0.000334,0.000102,0.000270,228,5376
2016-09-03,0.000509,0.000707,0.000280,0.000306,6,8512
2016-09-02,0.000478,0.000511,0.000188,0.000511,28,7995
2016-09-01,0.000256,0.000500,0.000163,0.000480,57,4272
2016-08-31,0.000189,0.000266,0.000086,0.000257,42,3160
2016-08-30,0.000081,0.000608,0.000073,0.000189,16,1349
2016-08-29,0.000081,0.000411,0.000070,0.000081,3,1360
2016-08-28,0.000088,0.000347,0.000042,0.000083,19,1469
2016-08-27,0.000213,0.000239,0.000034,0.000088,24,3564
2016-08-26,0.000325,0.000697,0.000013,0.000021,14,5428
2016-08-25,0.000649,0.000796,0.000315,0.000326,23,10855
2016-08-24,0.000222,0.000671,0.000217,0.000644,57,3710
2016-08-23,0.001020,0.001139,0.000090,0.000224,336,17046
2016-08-22,0.000785,0.001326,0.000785,0.001011,110,13116
2016-08-21,0.000562,0.000805,0.000553,0.000787,3,9385
2016-08-20,0.000767,0.000851,0.000544,0.000562,0,12824
2016-08-19,0.000586,0.000779,0.000492,0.000768,17,9794
2016-08-18,0.000873,0.000880,0.000582,0.000588,25,14587
2016-08-17,0.000806,0.000892,0.000781,0.000873,20,13467
2016-08-16,0.000796,0.000830,0.000760,0.000807,0,13304
2016-08-15,0.000782,0.000806,0.000736,0.000796,0,13075
2016-08-14,0.000774,0.000814,0.000734,0.000782,6,12933
2016-08-13,0.000704,0.000807,0.000704,0.000774,113,11769
2016-08-12,0.000643,0.000712,0.000623,0.000703,11,10749
2016-08-11,0.000792,0.000792,0.000511,0.000643,90,13240
2016-08-10,0.000805,0.000807,0.000765,0.000792,0,13456
2016-08-09,0.000797,0.000842,0.000535,0.000805,62,13326
2016-08-08,0.000650,0.000901,0.000632,0.000797,4,10860
2016-08-07,0.000645,0.000939,0.000617,0.000650,21,10781
2016-08-06,0.000601,0.000662,0.000595,0.000645,13,10041
2016-08-05,0.000869,0.000874,0.000843,0.000847,0,14517
2016-08-04,0.000834,0.000891,0.000804,0.000869,0,13944
2016-08-01,0.000870,0.000875,0.000813,0.000813,0,14540
2016-07-31,0.000918,0.000932,0.000868,0.000872,0,15346
2016-07-30,0.000914,0.000929,0.000645,0.000918,2,15284
2016-07-29,0.000883,0.000936,0.000878,0.000908,3,14753
2016-07-28,0.000665,0.000666,0.000627,0.000634,1,11112
2016-07-27,0.000878,0.000932,0.000661,0.000665,3,14670
2016-07-26,0.000631,0.000876,0.000631,0.000876,0,10551
2016-07-25,0.000893,0.000906,0.000623,0.000631,0,14925
2016-07-24,0.000910,0.000929,0.000879,0.000903,0,15215
2016-07-23,0.000889,0.000927,0.000877,0.000907,7,14853
2016-07-22,0.000587,0.000897,0.000585,0.000889,3,9815
2016-07-21,0.000605,0.000606,0.000585,0.000592,2,10109
2016-07-19,0.000663,0.000666,0.000633,0.000646,0,11088
2016-07-18,0.000971,0.000988,0.000659,0.000665,0,16229
2016-07-17,0.000965,0.000979,0.000961,0.000970,2,16133
2016-07-16,0.000976,0.000987,0.000962,0.000967,0,16310
2016-07-15,0.000984,0.000995,0.000655,0.000972,3,16443
2016-07-14,0.000639,0.000983,0.000637,0.000983,5,10687
2016-07-13,0.000653,0.000660,0.000627,0.000639,1,10914
2016-07-12,0.000936,0.001027,0.000645,0.000656,39,15648
2016-07-11,0.000612,0.000964,0.000607,0.000936,0,10225
2016-07-10,0.001005,0.001005,0.000601,0.000612,3,16800
2016-07-09,0.000635,0.001018,0.000628,0.001005,0,10619
2016-07-08,0.000608,0.000646,0.000597,0.000634,0,10169
2016-07-07,0.000534,0.001041,0.000530,0.000609,31,8920
2016-07-06,0.000471,0.000813,0.000471,0.000533,3,7876
2016-07-05,0.000758,0.000781,0.000439,0.000474,2,12673
2016-07-04,0.000797,0.000843,0.000780,0.000795,0,13315
2016-07-03,0.000438,0.000872,0.000430,0.000799,5,7318
2016-07-02,0.000451,0.000885,0.000428,0.000438,23,7539
2016-07-01,0.000453,0.000460,0.000443,0.000450,38,7566
2016-06-30,0.000802,0.000837,0.000780,0.000810,0,13411
2016-06-29,0.000747,0.000829,0.000422,0.000804,11,12489
2016-06-28,0.000508,0.000757,0.000508,0.000743,0,8489
2016-06-27,0.000828,0.000835,0.000475,0.000507,10,13832
2016-06-26,0.001038,0.001069,0.000446,0.000828,71,17354
2016-06-25,0.000842,0.001051,0.000512,0.001035,1017,14065
2016-06-24,0.000409,0.001037,0.000269,0.000847,26162,6830
2016-06-23,0.000340,0.000410,0.000320,0.000408,0,5674
2016-06-22,0.000371,0.000392,0.000340,0.000341,1,6196
2016-06-21,0.000527,0.000539,0.000477,0.000532,0,8811
2016-06-20,0.000424,0.000552,0.000394,0.000529,0,7094
2016-06-19,0.000586,0.000594,0.000418,0.000426,19,9802
2016-06-18,0.000568,0.000674,0.000542,0.000581,0,9487
2016-06-17,0.000383,0.000415,0.000360,0.000409,0,6405
2016-06-16,0.000358,0.000398,0.000348,0.000386,0,5987
2016-06-15,0.000335,0.000336,0.000326,0.000330,0,5590
2016-06-14,0.000313,0.000344,0.000302,0.000338,0,5227
