Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001033,0.001237,0.001015,0.001070,445,47394
2017-11-23,0.000906,0.001227,0.000786,0.001035,909,41558
2017-11-22,0.000966,0.001230,0.000813,0.001032,321,44314
2017-11-21,0.000989,0.001048,0.000578,0.000963,1309,45370
2017-11-20,0.001048,0.001200,0.000964,0.000989,155,48090
2017-11-19,0.001086,0.001108,0.001000,0.001049,80,49855
2017-11-18,0.001082,0.001246,0.000987,0.001088,326,49630
2017-11-17,0.001023,0.001435,0.000915,0.001086,738,46951
2017-11-16,0.001093,0.001273,0.000742,0.001025,1665,50161
2017-11-15,0.001057,0.001235,0.000801,0.001087,757,48513
2017-11-14,0.001300,0.001343,0.000743,0.001056,1879,59652
2017-11-13,0.001116,0.001366,0.001036,0.001297,506,51227
2017-11-12,0.001324,0.001324,0.000943,0.001115,1154,60765
2017-11-11,0.001249,0.001347,0.001120,0.001325,243,57305
2017-11-10,0.001353,0.001391,0.001225,0.001253,431,62066
2017-11-09,0.001642,0.001642,0.000957,0.001348,350,75340
2017-11-08,0.001494,0.001644,0.001188,0.001644,914,68557
2017-11-07,0.001278,0.001573,0.001248,0.001499,107,58625
2017-11-06,0.001167,0.001491,0.001155,0.001280,475,53530
2017-11-05,0.001239,0.001247,0.001102,0.001165,215,56838
2017-11-04,0.001218,0.001454,0.001139,0.001236,483,55898
2017-11-03,0.001466,0.001498,0.001185,0.001221,846,67258
2017-11-02,0.001279,0.001549,0.001217,0.001467,213,58690
2017-11-01,0.001351,0.001740,0.001256,0.001277,1078,62008
2017-10-31,0.001277,0.001353,0.001211,0.001353,782,58602
2017-10-30,0.001233,0.001357,0.001220,0.001281,433,56560
2017-10-29,0.001143,0.001323,0.001138,0.001240,669,52470
2017-10-28,0.001384,0.001410,0.001142,0.001145,327,63514
2017-10-27,0.001237,0.001596,0.001175,0.001382,649,56745
2017-10-26,0.000868,0.001523,0.000864,0.001237,2383,39853
2017-10-25,0.000940,0.001034,0.000860,0.000869,222,43157
2017-10-24,0.001046,0.001083,0.000905,0.000935,190,48004
2017-10-23,0.001076,0.001092,0.000871,0.001049,186,49383
2017-10-22,0.001082,0.001271,0.001042,0.001078,171,49668
2017-10-21,0.000954,0.001154,0.000954,0.001082,453,43762
2017-10-20,0.001064,0.001153,0.000947,0.000956,805,48823
2017-10-19,0.001174,0.001256,0.001058,0.001064,140,53862
2017-10-18,0.001344,0.001400,0.000984,0.001175,1280,61659
2017-10-17,0.000983,0.001342,0.000899,0.001232,1308,45127
2017-10-16,0.001082,0.001141,0.000950,0.000983,623,49628
2017-10-15,0.001059,0.001120,0.000822,0.001081,2181,48597
2017-10-14,0.000847,0.001364,0.000839,0.001109,2345,38850
2017-10-13,0.000825,0.001164,0.000292,0.000846,4919,37859
2017-10-12,0.000909,0.000913,0.000767,0.000823,48,41734
2017-10-11,0.000716,0.000916,0.000652,0.000909,504,32856
2017-10-10,0.000670,0.000772,0.000670,0.000716,67,30751
2017-10-09,0.000806,0.000865,0.000602,0.000670,582,36974
2017-10-08,0.000870,0.000894,0.000748,0.000806,304,39918
2017-10-07,0.000836,0.000924,0.000821,0.000871,58,38340
2017-10-06,0.000859,0.000910,0.000821,0.000835,188,39422
2017-10-05,0.000876,0.000905,0.000850,0.000859,168,40181
2017-10-04,0.000885,0.001010,0.000864,0.000875,173,40619
2017-10-03,0.001056,0.001065,0.000872,0.000884,84,48446
2017-10-02,0.000970,0.001097,0.000878,0.001056,1088,44532
2017-10-01,0.000959,0.001078,0.000951,0.000971,159,44018
2017-09-30,0.001003,0.001212,0.000944,0.000959,434,46040
2017-09-29,0.001001,0.001014,0.000895,0.001003,285,45947
2017-09-28,0.000968,0.001102,0.000950,0.001002,239,44420
2017-09-27,0.000974,0.001021,0.000937,0.000968,218,44696
2017-09-26,0.000947,0.001080,0.000938,0.000977,147,43447
2017-09-25,0.000936,0.001079,0.000936,0.000946,310,42942
2017-09-24,0.000863,0.001067,0.000860,0.000937,518,39624
2017-09-23,0.000794,0.000921,0.000787,0.000862,258,36435
2017-09-22,0.000865,0.000873,0.000778,0.000796,85,39671
2017-09-21,0.000953,0.001012,0.000799,0.000866,104,43736
2017-09-20,0.000938,0.001048,0.000922,0.000957,301,43064
2017-09-19,0.001028,0.001037,0.000909,0.000940,388,47194
2017-09-18,0.000871,0.001066,0.000871,0.001026,72,39968
2017-09-17,0.000959,0.001514,0.000864,0.000873,367,44027
2017-09-16,0.001206,0.001220,0.000860,0.000960,469,55351
2017-09-15,0.000971,0.001248,0.000821,0.001213,403,44579
2017-09-14,0.001165,0.001266,0.000965,0.000965,181,53439
