Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.100363,0.115836,0.098449,0.114909,415,63263
2017-11-23,0.102979,0.103482,0.100500,0.100500,74,64912
2017-11-22,0.101426,0.103913,0.100998,0.103012,52,63933
2017-11-21,0.099580,0.104030,0.093968,0.101180,37,62770
2017-11-20,0.090488,0.100105,0.089008,0.099562,15,57039
2017-11-19,0.097570,0.098079,0.089715,0.090530,29,61503
2017-11-18,0.096084,0.100185,0.093148,0.097751,38,60566
2017-11-17,0.099000,0.101595,0.095153,0.096454,165,62404
2017-11-16,0.092457,0.100994,0.090386,0.099162,29,58279
2017-11-15,0.083309,0.097119,0.083309,0.091869,105,52513
2017-11-14,0.094611,0.097918,0.080715,0.083252,70,59638
2017-11-13,0.070445,0.100663,0.069159,0.094411,89,44405
2017-11-12,0.081197,0.090637,0.067937,0.070343,76,51182
2017-11-11,0.119370,0.170251,0.080414,0.081257,125,75244
2017-11-10,0.076818,0.123301,0.076818,0.119796,1,48421
2017-11-09,0.084232,0.084232,0.074970,0.076590,31,53095
2017-11-08,0.073011,0.088467,0.072577,0.084319,4,46022
2017-11-07,0.071786,0.073264,0.071786,0.073241,1,45250
2017-11-06,0.075989,0.076325,0.073108,0.074706,226,47899
2017-11-05,0.074183,0.078221,0.073767,0.075820,232,46761
2017-11-04,0.093170,0.098145,0.091034,0.096728,18,58729
2017-11-03,0.081681,0.109291,0.080771,0.093413,33,51487
2017-11-02,0.102676,0.103856,0.079480,0.081788,2,64721
2017-11-01,0.102933,0.104352,0.099585,0.102561,10,64883
2017-10-31,0.070886,0.103008,0.070856,0.103008,15,44682
2017-10-30,0.110876,0.111325,0.093470,0.094076,1,69890
2017-10-29,0.106138,0.114690,0.091974,0.111523,19,66904
2017-10-28,0.111182,0.111333,0.105126,0.106284,11,70083
2017-10-27,0.090415,0.092096,0.087611,0.088789,13,56992
2017-10-26,0.088137,0.090696,0.066216,0.090394,42,55557
2017-10-25,0.083382,0.088305,0.081318,0.088148,4,52559
2017-10-24,0.086940,0.087004,0.082606,0.083348,49,54802
2017-10-23,0.087681,0.088871,0.062356,0.087018,68,55270
2017-10-22,0.087766,0.088537,0.081446,0.087823,90,55323
2017-10-21,0.073057,0.091930,0.072549,0.087739,779,46051
2017-10-20,0.098960,0.133048,0.072493,0.073211,298,62379
2017-10-19,0.102852,0.102852,0.087027,0.098933,3,64832
2017-10-18,0.135167,0.135171,0.099315,0.102799,7,85202
2017-10-17,0.138466,0.165341,0.134321,0.135158,43,87281
2017-10-16,0.102098,0.139168,0.101870,0.138445,126,64357
2017-10-15,0.121704,0.130060,0.098665,0.102084,2,76716
2017-10-14,0.135340,0.136696,0.088475,0.121487,16,85311
2017-10-13,0.129242,0.139607,0.109337,0.135304,1,81467
2017-10-12,0.115540,0.159849,0.115243,0.128845,31,72830
2017-10-11,0.138764,0.139342,0.113878,0.115442,1,87469
2017-10-10,0.132649,0.144702,0.116036,0.138788,27,83615
2017-10-09,0.131179,0.164088,0.130353,0.132659,107,82688
2017-10-08,0.126110,0.131452,0.125656,0.131146,30,79492
2017-10-07,0.129503,0.131369,0.122770,0.126448,1,81631
2017-10-06,0.147424,0.156080,0.124111,0.129461,3,92928
2017-10-05,0.114428,0.148881,0.103636,0.147424,240,72129
2017-10-04,0.141902,0.154944,0.114253,0.114325,11,89447
2017-10-03,0.144633,0.150227,0.139529,0.141574,7,91169
2017-10-02,0.180378,0.181768,0.143816,0.144628,4,113700
2017-10-01,0.303149,0.304524,0.146400,0.180457,123,191088
2017-09-30,0.162333,0.302985,0.110286,0.302985,1077,102325
2017-09-29,0.144136,0.165735,0.134305,0.162312,436,90855
2017-09-28,0.130272,0.174433,0.125513,0.144248,321,82116
2017-09-27,0.122208,0.164347,0.122208,0.130267,372,77033
2017-09-26,0.118492,0.161461,0.115402,0.122550,480,74690
