Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003455,0.003720,0.003352,0.003624,182979,5291350
2017-11-23,0.003057,0.003911,0.003057,0.003382,367524,4680610
2017-11-22,0.003158,0.003232,0.003023,0.003127,57050,4833960
2017-11-21,0.003221,0.003299,0.002975,0.003152,37100,4929670
2017-11-20,0.003135,0.003306,0.003034,0.003220,74485,4797290
2017-11-19,0.003119,0.003207,0.003031,0.003137,48868,4773000
2017-11-18,0.003071,0.003219,0.002951,0.003196,32701,4697480
2017-11-17,0.003221,0.003353,0.003015,0.003015,59389,4926180
2017-11-16,0.003144,0.003387,0.003003,0.003226,92961,4808300
2017-11-15,0.002778,0.003489,0.002723,0.003128,290468,4247750
2017-11-14,0.002632,0.002833,0.002586,0.002713,64889,4023290
2017-11-13,0.002345,0.002742,0.002309,0.002626,22862,3585050
2017-11-12,0.002550,0.002646,0.002213,0.002296,34046,3896440
2017-11-11,0.002564,0.002722,0.002470,0.002552,38421,3917070
2017-11-10,0.002988,0.003070,0.002510,0.002510,51226,4564680
2017-11-09,0.002766,0.003085,0.002707,0.002980,106877,4224830
2017-11-08,0.002783,0.002947,0.002672,0.002769,58432,4249670
2017-11-07,0.002785,0.003022,0.002666,0.002791,48900,4252950
2017-11-06,0.002590,0.003218,0.002503,0.002789,158718,3953760
2017-11-05,0.002585,0.002788,0.002556,0.002584,45991,3945960
2017-11-04,0.002512,0.002695,0.002434,0.002590,38179,3833270
2017-11-03,0.002459,0.002631,0.002411,0.002518,58324,3752330
2017-11-02,0.002762,0.002788,0.002330,0.002462,104410,4214070
2017-11-01,0.002645,0.002827,0.002466,0.002759,89498,4034450
2017-10-31,0.002698,0.002774,0.002508,0.002647,113079,4115020
2017-10-30,0.002646,0.003348,0.002567,0.002707,288198,4034490
2017-10-29,0.002350,0.003768,0.002295,0.002663,718719,3582260
2017-10-28,0.002420,0.002505,0.002237,0.002353,41477,3689340
2017-10-27,0.002235,0.002767,0.002135,0.002412,196618,3406750
2017-10-26,0.002124,0.002384,0.002054,0.002235,46885,3236580
2017-10-25,0.002153,0.002266,0.002017,0.002124,57777,3280610
2017-10-24,0.001940,0.002317,0.001815,0.002206,74866,2954220
2017-10-23,0.002093,0.002176,0.001814,0.001944,42548,3186830
