Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.550449,0.552659,0.533129,0.549001,290939,10694700
2017-11-23,0.539995,0.567441,0.524442,0.550029,356113,10491600
2017-11-22,0.514744,0.542192,0.513607,0.539735,248821,10001000
2017-11-21,0.538419,0.547595,0.505815,0.512540,289503,10461000
2017-11-20,0.547866,0.550337,0.538288,0.539733,291826,10644500
2017-11-19,0.565236,0.569650,0.547435,0.549992,315858,10982000
2017-11-18,0.543326,0.569577,0.532624,0.565189,296171,10556300
2017-11-17,0.571958,0.582991,0.524434,0.543879,291338,11112600
2017-11-16,0.581539,0.611212,0.552161,0.570789,449028,11298700
2017-11-15,0.567899,0.583169,0.567899,0.580041,219653,11033700
2017-11-14,0.567618,0.592314,0.543693,0.567158,176369,11028300
2017-11-13,0.499521,0.569639,0.498557,0.567009,138992,9705200
2017-11-12,0.594039,0.594039,0.483681,0.498893,236198,11541600
2017-11-11,0.555323,0.612531,0.554143,0.594241,348328,10789400
2017-11-10,0.614205,0.622739,0.543445,0.556898,253276,11933400
2017-11-09,0.581336,0.629813,0.571629,0.607081,441828,11294800
2017-11-08,0.598003,0.639970,0.559991,0.582364,808478,11618600
2017-11-07,0.607584,0.620834,0.596096,0.599024,155624,11804800
2017-11-06,0.624757,0.643616,0.599998,0.609143,319518,12138400
2017-11-05,0.597710,0.625613,0.594144,0.624041,274818,11612900
2017-11-04,0.608696,0.629836,0.586704,0.597471,272390,11826400
2017-11-03,0.606894,0.620054,0.576924,0.608775,338376,11791400
2017-11-02,0.677654,0.696479,0.579431,0.605715,357108,13166200
2017-11-01,0.790028,0.790028,0.651400,0.677443,541688,15349500
2017-10-31,0.609957,0.779953,0.606403,0.779953,821668,11850900
2017-10-30,0.618157,0.641021,0.597121,0.610951,311420,12010200
2017-10-29,0.600329,0.639289,0.597564,0.620322,318573,11663800
2017-10-28,0.607769,0.622618,0.569108,0.601306,332700,11808400
2017-10-27,0.661283,0.671852,0.593307,0.605832,365147,12848100
2017-10-26,0.698595,0.802910,0.602685,0.661569,1201170,13573000
2017-10-25,0.546954,0.707873,0.534289,0.705084,537349,10626800
2017-10-24,0.551513,0.598628,0.522519,0.546743,314091,10715400
2017-10-23,0.566623,0.567734,0.489535,0.551633,295472,11008900
2017-10-22,0.580711,0.600652,0.559233,0.567120,300867,11282700
2017-10-21,0.600811,0.610890,0.573507,0.581170,251377,11673200
2017-10-20,0.646110,0.703797,0.589707,0.601800,521962,12553300
2017-10-19,0.617780,0.650390,0.596998,0.646442,337150,12002900
2017-10-18,0.600543,0.626303,0.577943,0.618351,306561,11668000
2017-10-17,0.617215,0.618453,0.574197,0.600727,431581,11991900
2017-10-16,0.614362,0.621384,0.608646,0.617634,394886,11936500
2017-10-15,0.614492,0.617568,0.573420,0.613337,174771,11939000
2017-10-14,0.611682,0.626634,0.602314,0.614430,147565,11884400
2017-10-13,0.615230,0.633423,0.584667,0.611418,203255,11953300
2017-10-12,0.697747,0.697747,0.600162,0.612760,301763,13556500
2017-10-11,0.697597,0.780205,0.683311,0.697444,303961,13553600
2017-10-10,0.644238,0.712777,0.618552,0.697589,341500,12516900
2017-10-09,0.685282,0.696566,0.637488,0.643944,320474,13314400
2017-10-08,0.778040,0.794278,0.668012,0.686713,298078,15116500
2017-10-07,0.811358,0.812094,0.760747,0.779387,258502,15763900
2017-10-06,0.775847,0.821486,0.754972,0.811014,337222,15073900
2017-10-05,0.766256,0.817366,0.751896,0.775700,330758,14887600
2017-10-04,0.816526,0.836583,0.767367,0.767743,225037,15864300
2017-10-03,0.916968,0.924935,0.811037,0.815057,287332,17815800
2017-10-02,0.914938,0.924157,0.880314,0.916115,381969,17776400
2017-10-01,0.918393,0.927733,0.897407,0.912196,286066,17843500
2017-09-30,0.880118,0.927630,0.871029,0.920182,286585,17099800
2017-09-29,0.911667,0.921120,0.831866,0.879777,339652,17712800
2017-09-28,1.01,1.01,0.825103,0.914648,820283,19603900
2017-09-27,0.893187,1.01,0.888744,1.01,351106,17353800
2017-09-26,0.874781,0.894726,0.864623,0.894726,236258,16996100
2017-09-25,0.864759,0.886962,0.852049,0.870799,285682,16801400
2017-09-24,0.914209,0.941382,0.859273,0.865752,410194,17762200
2017-09-23,0.844436,0.920416,0.820598,0.909943,425274,16406600
2017-09-22,0.814399,0.953417,0.792711,0.847431,676643,15823000
2017-09-21,0.915170,0.936591,0.769081,0.784535,332000,17780900
2017-09-20,0.886326,1.10,0.882430,0.910315,764127,17220500
2017-09-19,0.836149,1.05,0.811726,0.887621,702528,16245600
2017-09-18,0.809765,0.849670,0.809765,0.835243,336454,15732900
2017-09-17,0.756476,0.839302,0.699050,0.811565,384245,14697600
2017-09-16,0.797456,0.835163,0.748283,0.759353,315384,15493800
2017-09-15,0.746008,0.827604,0.588481,0.798776,510165,14494200
2017-09-14,0.905396,0.934680,0.721387,0.740787,286594,17591000
2017-09-13,0.976771,0.989501,0.854573,0.905028,288734,18977700
2017-09-12,0.994085,1.04,0.950826,0.973071,419578,19314100
2017-09-11,1.01,1.06,0.977767,0.995065,293391,19668500
2017-09-10,1.04,1.04,0.962653,1.01,343979,20180100
2017-09-09,1.08,1.09,1.01,1.04,349686,21040600
2017-09-08,1.29,1.29,1.04,1.08,656059,24999600
2017-09-07,1.32,1.38,1.18,1.29,808903,25713000
2017-09-06,1.24,1.30,1.16,1.30,650810,24044600
2017-09-05,1.15,1.28,1.02,1.23,437068,22416400
2017-09-04,1.48,1.49,1.06,1.16,670219,28763600
2017-09-03,1.50,1.56,1.36,1.50,415868,29139100
2017-09-02,1.85,1.86,1.40,1.51,716864,35984100
2017-09-01,1.82,1.96,1.54,1.86,1660850,35446700
2017-08-31,1.42,1.84,1.40,1.83,1110110,27672600
2017-08-30,1.42,1.43,1.28,1.43,720976,27544500
2017-08-29,1.40,1.46,1.37,1.42,413938,27147700
2017-08-28,1.49,1.49,1.37,1.40,322610,28932100
2017-08-27,1.45,1.51,1.42,1.50,290430,28204100
2017-08-26,1.33,1.46,1.30,1.45,619178,25911400
2017-08-25,1.48,1.51,1.30,1.33,440949,28742600
2017-08-24,1.45,1.51,1.40,1.48,295877,28194300
2017-08-23,1.38,1.57,1.28,1.45,1248030,26727600
2017-08-22,1.41,1.41,1.25,1.38,393983,27345900
2017-08-21,1.49,1.51,1.38,1.40,413015,28955100
2017-08-20,1.63,1.63,1.47,1.49,335952,31618900
2017-08-19,1.71,1.73,1.39,1.63,2373650,33197200
2017-08-18,1.78,1.82,1.56,1.56,1233720,34633500
2017-08-17,1.87,1.90,1.72,1.79,620886,36346800
2017-08-16,1.68,1.87,1.57,1.87,491958,32713800
2017-08-15,1.90,1.90,1.63,1.68,652319,36916300
2017-08-14,2.02,2.09,1.74,1.89,2791460,39328900
2017-08-13,2.22,2.23,1.69,2.03,2698830,43196200
2017-08-12,1.88,2.42,1.77,2.18,3544820,36622600
2017-08-11,1.44,1.97,1.39,1.85,1105710,27882400
2017-08-10,1.48,1.57,1.40,1.44,536154,28719900
2017-08-09,1.53,1.64,1.40,1.48,378127,29648400
2017-08-08,1.55,1.57,1.34,1.53,614269,30027600
2017-08-07,1.53,1.65,1.46,1.55,500899,29642800
2017-08-06,1.53,1.73,1.50,1.53,816171,29803600
2017-08-05,1.26,1.51,1.20,1.45,662110,24402100
2017-08-04,1.15,1.46,1.14,1.25,824874,22341600
2017-08-03,0.896200,1.18,0.896200,1.15,354240,17412300
2017-08-02,0.853200,0.925303,0.844387,0.895839,221303,16576800
2017-08-01,0.776622,0.854185,0.747371,0.853558,156987,15089000
2017-07-31,0.760214,0.779037,0.739466,0.776425,139277,14770200
2017-07-30,0.786037,0.793483,0.724727,0.759415,124249,15271900
2017-07-29,0.797345,0.799009,0.735721,0.782238,138174,15491600
2017-07-28,0.892572,0.896601,0.796593,0.801890,149063,17341800
2017-07-27,0.802826,0.895834,0.799951,0.892337,166805,15598100
2017-07-26,0.752156,0.802297,0.721633,0.800925,143587,14613700
2017-07-25,0.968922,0.972010,0.730737,0.753861,210004,18825200
2017-07-24,0.978703,1.05,0.902454,0.968618,262799,19015200
2017-07-23,0.866057,1.12,0.837987,0.984462,471135,16826600
2017-07-22,0.714437,0.870135,0.710710,0.868356,186802,13880800
2017-07-21,0.673833,0.729340,0.662862,0.714258,148728,13091900
2017-07-20,0.575603,0.721512,0.575603,0.669820,204319,11183400
2017-07-19,0.681052,0.694510,0.569001,0.574386,221503,13232200
2017-07-18,0.553497,0.729758,0.530641,0.678345,193385,10753900
2017-07-17,0.471076,0.583490,0.467348,0.551915,211675,9152540
2017-07-16,0.509197,0.513629,0.429764,0.471930,129399,9893190
2017-07-15,0.637782,0.638722,0.510617,0.510617,109659,12391500
2017-07-14,0.723756,0.733118,0.606594,0.625224,169184,14061900
2017-07-13,0.705809,0.775546,0.680492,0.724393,280629,13713200
2017-07-12,0.554947,0.708294,0.530096,0.701135,221800,10782100
2017-07-11,0.591802,0.687039,0.506440,0.569435,293194,11498100
2017-07-10,0.823800,0.844299,0.572410,0.593060,402639,16005600
2017-07-09,1.02,1.04,0.748695,0.805691,448763,19765000
2017-07-08,1.05,1.07,1.00,1.02,172007,20334300
2017-07-07,1.28,1.28,1.03,1.05,284250,24777100
2017-07-06,1.26,1.28,1.20,1.28,293604,24469100
2017-07-05,1.34,1.34,1.22,1.26,272175,26042600
2017-07-04,1.36,1.45,1.31,1.34,278542,26363300
2017-07-03,1.30,1.57,1.26,1.35,457399,25298700
2017-07-02,1.37,1.42,1.23,1.34,439934,26540300
2017-07-01,1.43,1.55,1.37,1.37,402282,27874400
2017-06-30,1.67,1.70,1.41,1.43,463007,32526500
2017-06-29,1.76,1.83,1.67,1.67,430202,34212300
2017-06-28,1.92,1.94,1.71,1.78,644797,37386400
2017-06-27,1.65,1.90,1.45,1.90,441063,32058900
2017-06-26,1.88,1.97,1.33,1.58,590138,36441500
2017-06-25,2.15,2.18,1.80,1.88,892047,41720200
2017-06-24,2.20,2.52,2.06,2.13,1485300,42816900
2017-06-23,2.00,2.35,1.90,2.20,1771010,38905500
2017-06-22,2.00,2.37,1.98,2.00,1352570,38946800
2017-06-21,2.68,2.84,1.85,1.99,1753020,52103800
2017-06-20,3.29,4.56,2.53,2.65,5779950,63920700
2017-06-19,2.21,3.25,2.13,3.25,1762160,42991400
2017-06-18,2.29,2.60,2.06,2.22,562960,44573100
2017-06-17,2.17,2.38,2.05,2.28,435850,-
2017-06-16,2.11,2.40,2.00,2.17,575647,-
2017-06-15,2.14,2.16,1.65,2.08,833425,-
2017-06-14,2.45,2.65,2.15,2.19,1632900,-
