Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.60,1.67,1.58,1.67,230436,23625900
2017-11-23,1.60,1.62,1.56,1.60,205220,23590700
2017-11-22,1.46,1.63,1.44,1.60,341967,21568800
2017-11-21,1.50,1.53,1.45,1.47,129526,22102100
2017-11-20,1.53,1.55,1.50,1.51,98520,22608900
2017-11-19,1.58,1.60,1.52,1.54,107091,23222100
2017-11-18,1.55,1.61,1.50,1.60,155497,22862700
2017-11-17,1.47,1.61,1.43,1.55,311796,21618700
2017-11-16,1.48,1.51,1.44,1.47,170890,21783000
2017-11-15,1.39,1.50,1.39,1.48,132818,20501400
2017-11-14,1.39,1.41,1.36,1.39,120290,20465400
2017-11-13,1.36,1.43,1.35,1.39,301701,20010500
2017-11-12,1.48,1.49,1.31,1.36,287182,21752000
2017-11-11,1.43,1.51,1.39,1.47,288577,21049800
2017-11-10,1.62,1.72,1.40,1.41,505676,23909100
2017-11-09,1.52,1.66,1.49,1.62,464672,22352300
2017-11-08,1.39,1.61,1.39,1.52,458322,20556200
2017-11-07,1.30,1.51,1.28,1.43,420203,19107100
2017-11-06,1.28,1.31,1.24,1.28,149644,18913900
2017-11-05,1.28,1.34,1.25,1.28,167644,18794600
2017-11-04,1.23,1.30,1.21,1.28,95529,18197900
2017-11-03,1.24,1.28,1.23,1.24,112013,18252400
2017-11-02,1.30,1.32,1.21,1.24,215628,19091100
2017-11-01,1.13,1.35,1.10,1.29,448233,16642100
2017-10-31,1.09,1.14,1.08,1.13,94949,16113200
2017-10-30,1.12,1.13,1.04,1.10,107086,16553700
2017-10-29,1.08,1.14,1.07,1.12,82333,15904000
2017-10-28,1.09,1.11,1.07,1.08,69465,16048200
2017-10-27,1.13,1.14,1.08,1.09,34444,16616500
2017-10-26,1.11,1.15,1.10,1.13,61893,16331100
2017-10-25,1.15,1.15,1.08,1.12,121635,16927600
2017-10-24,1.14,1.20,1.11,1.13,127644,16781200
2017-10-23,1.23,1.23,1.12,1.14,87795,18110600
2017-10-22,1.22,1.26,1.19,1.23,79208,17948500
2017-10-21,1.24,1.24,1.19,1.22,109386,18286700
2017-10-20,1.18,1.26,1.15,1.24,245321,17395100
2017-10-19,1.14,1.18,1.12,1.18,123589,16773300
2017-10-18,1.16,1.17,1.06,1.13,103081,17155800
2017-10-17,1.18,1.19,1.11,1.16,111853,17387300
2017-10-16,1.20,1.20,1.11,1.18,132120,17617000
2017-10-15,1.21,1.24,1.14,1.19,150658,17886000
2017-10-14,1.19,1.22,1.17,1.21,92172,17481600
2017-10-13,1.20,1.26,1.16,1.19,189530,17736900
2017-10-12,1.21,1.29,1.17,1.21,409896,17882800
2017-10-11,1.22,1.26,1.17,1.22,130633,17972600
2017-10-10,1.26,1.27,1.18,1.20,199784,18496300
2017-10-09,1.30,1.32,1.24,1.26,122592,19223600
2017-10-08,1.36,1.36,1.30,1.30,66049,20003800
2017-10-07,1.21,1.37,1.18,1.37,225572,17776300
2017-10-06,1.21,1.23,1.17,1.20,123612,17894800
2017-10-05,1.25,1.26,1.18,1.21,132066,18385600
2017-10-04,1.27,1.29,1.24,1.24,138769,18787300
2017-10-03,1.31,1.34,1.26,1.27,192019,19367900
2017-10-02,1.39,1.40,1.31,1.31,201548,20475300
2017-10-01,1.38,1.40,1.36,1.39,57698,20301500
2017-09-30,1.39,1.41,1.35,1.38,123252,20530300
2017-09-29,1.43,1.44,1.37,1.39,77718,21119800
2017-09-28,1.50,1.54,1.42,1.44,219634,22074700
2017-09-27,1.37,1.53,1.33,1.50,305234,20137900
2017-09-26,1.39,1.42,1.36,1.37,118438,20550600
2017-09-25,1.38,1.42,1.35,1.40,117121,20362100
2017-09-24,1.43,1.47,1.36,1.38,101110,21006900
2017-09-23,1.34,1.47,1.31,1.43,166766,19738300
2017-09-22,1.31,1.38,1.30,1.34,144795,19238100
2017-09-21,1.36,1.41,1.21,1.22,124760,20028900
2017-09-20,1.47,1.50,1.35,1.37,63952,21597400
2017-09-19,1.53,1.66,1.40,1.47,127061,22554500
2017-09-18,1.31,1.55,1.18,1.54,79746,19307900
2017-09-17,1.23,1.37,1.13,1.31,92170,18072000
2017-09-16,1.12,1.41,1.10,1.23,163751,16539500
2017-09-15,0.902990,1.15,0.691836,1.13,127502,13306800
2017-09-14,1.43,1.57,0.887899,0.902557,197436,21049600
2017-09-13,1.50,1.54,1.31,1.43,117384,22065900
2017-09-12,1.55,1.63,1.46,1.50,115829,22897600
2017-09-11,1.58,1.64,1.51,1.55,83098,23294000
2017-09-10,1.67,1.70,1.52,1.58,87060,24683100
2017-09-09,1.58,1.68,1.52,1.67,71411,23215500
2017-09-08,1.87,1.88,1.54,1.57,132662,27535800
2017-09-07,1.86,2.00,1.78,1.88,118540,27367200
2017-09-06,1.80,1.92,1.78,1.85,136430,26465800
2017-09-05,1.66,1.84,1.52,1.80,197545,24487700
2017-09-04,2.00,2.00,1.64,1.67,149983,29429300
2017-09-03,1.97,2.02,1.86,2.00,100735,29088300
2017-09-02,2.16,2.16,1.91,1.98,94645,31883600
2017-09-01,2.08,2.18,2.00,2.15,172163,30687600
2017-08-31,1.92,2.12,1.92,2.08,156628,28309900
2017-08-30,2.08,2.12,1.86,1.92,143464,30586500
2017-08-29,2.13,2.14,2.04,2.10,117658,31437700
2017-08-28,2.20,2.21,2.02,2.10,218097,32348200
2017-08-27,2.33,2.37,2.04,2.17,272998,34287200
2017-08-26,1.89,2.56,1.88,2.33,439888,27839300
2017-08-25,1.90,2.02,1.84,1.87,170196,27979600
2017-08-24,1.87,1.91,1.83,1.90,80062,27537900
2017-08-23,1.83,2.07,1.78,1.86,214316,26901200
2017-08-22,1.92,2.01,1.71,1.83,127719,28267400
2017-08-21,1.69,2.32,1.66,1.98,299680,24898600
2017-08-20,1.68,1.74,1.66,1.70,87128,24820600
2017-08-19,1.70,1.78,1.60,1.69,72706,25053400
2017-08-18,1.76,1.86,1.66,1.70,118301,25953900
2017-08-17,1.77,1.79,1.67,1.77,104867,26036500
2017-08-16,1.87,2.25,1.70,1.76,326922,27515900
2017-08-15,1.72,1.84,1.60,1.80,109408,25337600
2017-08-14,1.77,1.88,1.61,1.71,93611,26143000
2017-08-13,1.72,1.91,1.62,1.87,126602,25347100
2017-08-12,1.85,1.89,1.70,1.74,112573,27268900
2017-08-11,1.97,1.97,1.82,1.89,86841,28975000
2017-08-10,1.97,2.01,1.93,1.96,71060,29063900
2017-08-09,2.06,2.06,1.92,1.98,67945,30293300
2017-08-08,2.06,2.11,1.94,2.05,121597,30368800
2017-08-07,2.06,2.26,2.00,2.06,143535,30329800
2017-08-06,1.96,2.25,1.90,2.04,208480,28951400
2017-08-05,1.82,2.03,1.81,1.94,188417,26888000
2017-08-04,1.82,1.89,1.79,1.82,73373,26872600
2017-08-03,1.86,1.91,1.76,1.82,94008,27344200
2017-08-02,1.68,1.99,1.67,1.86,139777,24694100
2017-08-01,1.65,1.74,1.61,1.67,72467,24269600
2017-07-31,1.71,1.83,1.62,1.66,79162,25236700
2017-07-30,1.79,1.81,1.66,1.68,73229,26401400
2017-07-29,2.01,2.09,1.69,1.77,157435,29618500
2017-07-28,1.79,2.21,1.70,1.96,392769,26423600
2017-07-27,1.80,1.85,1.71,1.78,87086,26570100
2017-07-26,1.94,1.95,1.73,1.79,87119,28531800
2017-07-25,2.16,2.17,1.91,1.94,859209,31807300
2017-07-24,2.15,2.20,2.14,2.15,491526,31729800
2017-07-23,2.24,2.25,2.08,2.15,681426,33066300
2017-07-22,2.13,2.28,2.09,2.25,746433,31360000
2017-07-21,2.20,2.21,2.08,2.13,539884,32436000
2017-07-20,1.88,2.25,1.88,2.19,1712970,27682000
2017-07-19,2.08,2.11,1.83,1.89,793144,30609700
2017-07-18,1.91,2.15,1.88,2.07,1181960,28201400
2017-07-17,1.71,1.93,1.70,1.92,1137830,25193900
2017-07-16,1.69,1.78,1.48,1.71,1538710,24870800
2017-07-15,1.91,1.91,1.68,1.69,694727,28105200
2017-07-14,2.10,2.15,1.75,1.91,1189170,30968900
2017-07-13,2.24,2.31,2.06,2.10,798727,33051100
2017-07-12,2.12,2.34,2.03,2.24,1321310,31253100
2017-07-11,2.41,2.53,2.00,2.11,2290570,35462000
2017-07-10,2.55,2.80,2.36,2.40,2390240,37589200
2017-07-09,2.71,2.73,2.55,2.55,513230,39941900
2017-07-08,2.50,2.71,2.41,2.71,921178,36784200
2017-07-07,2.79,2.80,2.44,2.51,1399950,41178700
2017-07-06,2.82,2.83,2.72,2.79,961046,41510000
2017-07-05,2.95,2.96,2.74,2.81,1236830,43535200
2017-07-04,2.58,2.96,2.58,2.95,3087180,38044900
2017-07-03,2.54,2.75,2.46,2.59,1721100,37405800
2017-07-02,2.38,2.56,2.27,2.53,1132430,35053900
2017-07-01,2.40,2.44,2.25,2.37,658609,35385300
2017-06-30,2.60,2.64,2.35,2.41,844043,38377700
2017-06-29,2.74,2.76,2.51,2.61,1846080,40356300
2017-06-28,2.67,2.76,2.51,2.74,2706470,39320600
2017-06-27,2.41,2.66,2.20,2.64,4234690,35583900
2017-06-26,3.12,3.12,2.04,2.41,6585920,45910900
2017-06-25,3.19,3.47,2.96,3.09,2983860,46997500
2017-06-24,3.60,3.68,2.95,3.17,4371970,53089400
2017-06-23,2.96,3.83,2.94,3.65,8951580,43684800
2017-06-22,2.24,3.44,2.22,3.09,7436590,33071300
2017-06-21,2.49,2.59,2.20,2.24,1750200,36718000
2017-06-20,2.26,2.56,2.25,2.51,1883500,33352000
2017-06-19,2.17,2.31,2.15,2.26,1355190,32014500
2017-06-18,2.24,2.31,2.13,2.17,1658980,33024000
