Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000085,0.000153,0.000082,0.000101,395,-
2017-11-23,0.000164,0.000165,0.000083,0.000085,1180,-
2017-11-22,0.000160,0.000165,0.000085,0.000164,2222,-
2017-11-21,0.000095,0.000179,0.000084,0.000161,2144,-
2017-11-20,0.000164,0.000242,0.000081,0.000095,9010,-
2017-11-19,0.000311,0.000391,0.000158,0.000241,17449,-
2017-11-18,0.000102,0.000392,0.000078,0.000312,390696,-
2017-11-17,0.000157,0.000201,0.000101,0.000102,244,-
2017-11-16,0.000074,0.000160,0.000072,0.000157,1028,-
2017-11-15,0.000132,0.000138,0.000072,0.000073,48,-
2017-11-14,0.000065,0.000132,0.000065,0.000132,676,-
2017-11-13,0.000059,0.000131,0.000059,0.000065,3447,-
2017-11-12,0.000127,0.000129,0.000057,0.000059,3627,-
2017-11-11,0.000131,0.000201,0.000081,0.000128,280,-
2017-11-10,0.000140,0.000217,0.000129,0.000131,550,-
2017-11-09,0.000149,0.000211,0.000085,0.000140,514,-
2017-11-08,0.000083,0.000150,0.000076,0.000150,708,-
2017-11-07,0.000148,0.000213,0.000081,0.000083,468,-
2017-11-06,0.000148,0.000153,0.000072,0.000148,462,-
2017-11-05,0.000126,0.000228,0.000125,0.000148,1038,-
2017-11-04,0.000072,0.000147,0.000070,0.000126,3619,-
2017-11-03,0.000071,0.000142,0.000070,0.000072,1039,-
2017-11-02,0.000134,0.000145,0.000070,0.000071,266,-
2017-11-01,0.000117,0.000135,0.000068,0.000134,791,-
2017-10-31,0.000123,0.000192,0.000114,0.000117,2632,-
2017-10-30,0.000161,0.000161,0.000122,0.000123,388,-
2017-10-29,0.000172,0.000230,0.000148,0.000162,4438,-
2017-10-28,0.000173,0.000176,0.000148,0.000172,774,-
2017-10-27,0.000187,0.000237,0.000167,0.000173,2244,-
2017-10-26,0.000171,0.000239,0.000155,0.000187,1553,-
2017-10-25,0.000167,0.000214,0.000161,0.000171,2202,-
2017-10-24,0.000164,0.000179,0.000125,0.000166,1181,-
2017-10-23,0.000180,0.000183,0.000116,0.000165,1207,-
2017-10-22,0.000180,0.000213,0.000121,0.000180,6123,-
2017-10-21,0.000184,0.000246,0.000180,0.000180,1494,-
2017-10-20,0.000228,0.000286,0.000179,0.000185,9776,-
2017-10-19,0.000335,0.000335,0.000225,0.000228,25856,-
2017-10-18,0.000280,0.000538,0.000163,0.000279,275498,-
2017-10-17,0.000232,0.000280,0.000222,0.000280,1329,-
2017-10-16,0.000284,0.000286,0.000223,0.000231,1367,-
2017-10-15,0.000234,0.000290,0.000219,0.000284,136,-
2017-10-14,0.000283,0.000336,0.000228,0.000234,1688,-
2017-10-13,0.000325,0.000350,0.000226,0.000283,2447,-
2017-10-12,0.000244,0.000324,0.000212,0.000324,2638,-
2017-10-11,0.000239,0.000307,0.000237,0.000244,3009,-
2017-10-10,0.000335,0.000340,0.000238,0.000239,12900,-
2017-10-09,0.000414,0.000416,0.000283,0.000335,5281,-
2017-10-08,0.000489,0.000491,0.000357,0.000414,83546,-
2017-10-07,0.000264,0.000608,0.000263,0.000490,122848,-
2017-10-06,0.000390,0.000435,0.000263,0.000263,49027,-
2017-10-05,0.000338,0.001014,0.000337,0.000390,156248,-
2017-10-04,0.000259,0.000464,0.000211,0.000338,251091,-
2017-10-03,0.000264,0.000264,0.000170,0.000258,18108,-
2017-10-02,0.000220,0.000267,0.000176,0.000264,15305,-
2017-10-01,0.000304,0.000473,0.000171,0.000220,162173,-
2017-09-30,0.000501,0.000551,0.000261,0.000304,235868,-
2017-09-29,0.000543,0.000595,0.000409,0.000459,105135,-
2017-09-28,0.001094,0.001672,0.000379,0.000544,175064,-
2017-09-27,0.000597,0.001222,0.000528,0.001094,216923,-
