Date,Open,High,Low,Close,Volume,Market_cap
2017-11-17,2.73,3.21,2.64,2.64,545,13654000
2017-11-16,2.36,2.87,2.34,2.74,3600880,11778800
2017-11-15,2.37,3.00,2.22,2.98,5959170,11863200
2017-11-14,2.49,2.72,2.31,2.37,4585530,12437300
2017-11-13,2.73,3.02,2.32,2.48,5208,13635400
2017-11-12,2.70,3.01,2.20,2.72,902325,13480200
2017-11-11,3.02,3.40,2.67,2.70,5584820,15107300
2017-11-10,2.82,3.05,2.25,3.03,13424100,14086900
2017-11-09,2.06,3.16,1.99,2.81,5308560,10300600
2017-11-08,1.82,2.13,1.79,2.06,4118620,9079890
2017-11-07,1.54,1.91,1.54,1.82,4339130,7704390
2017-11-06,1.66,1.74,1.54,1.54,4157400,8301090
2017-11-05,1.69,1.81,1.64,1.66,3381360,8452110
2017-11-04,1.65,1.90,1.61,1.69,4416420,8228950
2017-11-03,1.74,1.82,1.57,1.65,3329140,-
2017-11-02,1.69,1.90,1.60,1.74,3917230,-
2017-11-01,1.81,1.81,1.55,1.69,4155450,-
2017-10-31,1.72,1.81,1.54,1.81,6424290,-
2017-10-30,2.04,2.06,1.03,1.73,5152710,-
2017-10-29,1.66,2.10,1.66,2.06,4368280,-
2017-10-28,1.98,1.98,1.65,1.66,909188,-
2017-10-27,1.86,2.05,1.81,1.97,5200300,-
2017-10-26,1.76,2.00,1.76,1.86,4560900,-
2017-08-31,5.42,5.42,5.41,5.41,934,-
2017-08-30,5.17,5.44,5.04,5.42,277276,-
2017-08-29,5.07,5.28,4.87,5.17,644801,-
2017-08-28,5.54,5.65,4.84,5.07,1046260,-
2017-08-27,5.68,5.96,5.42,5.56,1058870,-
2017-08-26,4.94,5.86,4.89,5.69,1828830,-
2017-08-25,4.49,5.34,4.36,4.94,1231690,-
2017-08-24,4.37,4.61,4.30,4.49,441121,-
2017-08-23,4.58,4.59,4.20,4.34,995797,-
