Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000161,0.000250,0.000158,0.000238,12,373081
2017-11-23,0.000185,0.000249,0.000162,0.000162,231,427674
2017-11-22,0.000243,0.000327,0.000163,0.000187,92,563087
2017-11-21,0.000165,0.000250,0.000156,0.000243,3047,381436
2017-11-20,0.000162,0.000248,0.000160,0.000165,1843,374893
2017-11-19,0.000156,0.000241,0.000154,0.000162,17,360342
2017-11-18,0.000230,0.000234,0.000152,0.000156,489,532471
2017-11-17,0.000237,0.000321,0.000156,0.000231,1434,547154
2017-11-16,0.000225,0.000311,0.000155,0.000237,623,519255
2017-11-15,0.000140,0.000223,0.000134,0.000223,199,323319
2017-11-14,0.000131,0.000199,0.000068,0.000139,311,303474
2017-11-13,0.000176,0.000266,0.000064,0.000131,2106,407300
2017-11-12,0.000193,0.000194,0.000168,0.000176,433,446053
2017-11-11,0.000262,0.000272,0.000190,0.000193,144,604492
2017-11-10,0.000286,0.000294,0.000219,0.000263,10,659956
2017-11-09,0.000224,0.000287,0.000212,0.000284,245,518655
2017-11-08,0.000285,0.000314,0.000218,0.000225,315,658566
2017-11-07,0.000279,0.000288,0.000214,0.000286,657,643849
2017-11-06,0.000296,0.000297,0.000210,0.000211,233,683454
2017-11-05,0.000302,0.000308,0.000265,0.000295,298,696723
2017-11-04,0.000308,0.000310,0.000291,0.000297,6,711694
2017-11-03,0.000280,0.000310,0.000215,0.000308,37,647346
2017-11-02,0.000278,0.000366,0.000207,0.000281,4294,641480
2017-11-01,0.000258,0.000277,0.000255,0.000277,101,595697
2017-10-31,0.000245,0.000261,0.000244,0.000258,1814,566255
2017-10-30,0.000250,0.000254,0.000242,0.000246,364,578494
2017-10-29,0.000229,0.000253,0.000175,0.000252,73,529352
2017-10-28,0.000231,0.000235,0.000172,0.000229,2117,532443
2017-10-27,0.000236,0.000289,0.000228,0.000230,1046,543880
2017-10-26,0.000287,0.000299,0.000232,0.000235,74,663345
2017-10-25,0.000246,0.000288,0.000218,0.000287,161,567678
2017-10-24,0.000235,0.000292,0.000225,0.000244,176,541699
2017-10-23,0.000239,0.000245,0.000221,0.000235,658,552216
2017-10-22,0.000241,0.000303,0.000230,0.000240,67,555359
2017-10-21,0.000300,0.000304,0.000236,0.000240,238,693173
2017-10-20,0.000285,0.000306,0.000225,0.000301,179,658438
2017-10-19,0.000223,0.000287,0.000221,0.000285,60,515886
2017-10-18,0.000224,0.000273,0.000205,0.000223,33,517099
2017-10-17,0.000231,0.000284,0.000221,0.000224,2492,533576
2017-10-16,0.000285,0.000288,0.000226,0.000231,30,656649
2017-10-15,0.000242,0.000287,0.000230,0.000284,113,557994
2017-10-14,0.000282,0.000342,0.000232,0.000241,17,649815
2017-10-13,0.000218,0.000334,0.000216,0.000282,52,502279
2017-10-12,0.000240,0.000240,0.000199,0.000217,2211,553643
2017-10-11,0.000191,0.000240,0.000189,0.000240,2,439723
2017-10-10,0.000239,0.000295,0.000189,0.000191,1229,552127
2017-10-09,0.000276,0.000277,0.000229,0.000239,1414,636243
2017-10-08,0.000267,0.000276,0.000221,0.000276,408,614997
2017-10-07,0.000262,0.000268,0.000216,0.000267,84,605314
2017-10-06,0.000207,0.000263,0.000141,0.000262,3393,476913
2017-10-05,0.000212,0.000218,0.000206,0.000207,0,488428
2017-10-04,0.000255,0.000257,0.000209,0.000212,88,588720
2017-10-03,0.000264,0.000266,0.000253,0.000255,46,609176
2017-10-02,0.000220,0.000265,0.000218,0.000264,228,506606
2017-10-01,0.000261,0.000263,0.000213,0.000220,3852,600655
2017-09-30,0.000250,0.000276,0.000173,0.000260,412,577166
2017-09-29,0.000210,0.000254,0.000210,0.000250,285,483403
2017-09-28,0.000231,0.000254,0.000209,0.000210,370,531668
2017-09-27,0.000160,0.000244,0.000154,0.000232,10,368074
2017-09-26,0.000162,0.000197,0.000156,0.000160,6,374333
2017-09-25,0.000152,0.000206,0.000151,0.000162,105,351112
2017-09-24,0.000196,0.000201,0.000151,0.000152,405,452395
2017-09-23,0.000180,0.000233,0.000179,0.000196,196,415665
2017-09-22,0.000181,0.000225,0.000177,0.000181,362,418112
2017-09-21,0.000238,0.000241,0.000180,0.000182,48,548486
2017-09-20,0.000198,0.000243,0.000195,0.000239,214,455622
2017-09-19,0.000205,0.000206,0.000156,0.000198,667,471896
2017-09-18,0.000154,0.000242,0.000154,0.000204,252,354139
2017-09-17,0.000186,0.000221,0.000148,0.000154,220,427852
2017-09-16,0.000149,0.000187,0.000142,0.000186,6,342439
2017-09-15,0.000162,0.000187,0.000144,0.000149,190,373730
2017-09-14,0.000233,0.000236,0.000161,0.000161,64,535815
2017-09-13,0.000249,0.000250,0.000230,0.000233,233,573832
2017-09-12,0.000210,0.000261,0.000210,0.000250,28,484629
2017-09-11,0.000255,0.000263,0.000207,0.000210,83,587253
2017-09-10,0.000260,0.000260,0.000203,0.000255,21,598334
2017-09-09,0.000215,0.000261,0.000210,0.000260,1201,495420
2017-09-08,0.000232,0.000279,0.000205,0.000215,61,533485
2017-09-07,0.000281,0.000322,0.000184,0.000232,5547,647110
2017-09-06,0.000240,0.000326,0.000225,0.000282,604,551782
2017-09-05,0.000255,0.000263,0.000210,0.000239,16,587536
2017-09-04,0.000292,0.000319,0.000208,0.000254,123,673272
2017-09-03,0.000322,0.000331,0.000277,0.000293,197,740938
2017-09-02,0.000324,0.000362,0.000268,0.000322,540,746441
2017-09-01,0.000290,0.000357,0.000290,0.000324,1111,667073
2017-08-31,0.000275,0.000291,0.000232,0.000290,1707,632472
2017-08-30,0.000275,0.000279,0.000225,0.000275,1709,633407
2017-08-29,0.000263,0.000277,0.000219,0.000276,391,605859
2017-08-28,0.000188,0.000263,0.000182,0.000263,54,432174
2017-08-27,0.000217,0.000220,0.000187,0.000188,0,499794
2017-08-26,0.000262,0.000263,0.000214,0.000217,437,602810
2017-08-25,0.000263,0.000267,0.000217,0.000262,404,604193
2017-08-24,0.000289,0.000295,0.000213,0.000263,119,665915
2017-08-23,0.000281,0.000295,0.000212,0.000289,713,646608
2017-08-22,0.000280,0.000286,0.000217,0.000282,105,644184
2017-08-21,0.000203,0.000283,0.000198,0.000279,546,465924
2017-08-20,0.000208,0.000247,0.000203,0.000203,327,477336
2017-08-19,0.000204,0.000232,0.000194,0.000208,96,470103
2017-08-18,0.000215,0.000304,0.000198,0.000205,1236,494664
2017-08-17,0.000263,0.000264,0.000206,0.000216,811,605528
2017-08-16,0.000208,0.000264,0.000197,0.000264,7,478284
2017-08-15,0.000218,0.000258,0.000194,0.000208,308,501012
2017-08-14,0.000203,0.000218,0.000199,0.000217,1208,466953
2017-08-13,0.000193,0.000251,0.000193,0.000203,650,444591
2017-08-12,0.000184,0.000238,0.000182,0.000194,206,423676
2017-08-11,0.000205,0.000215,0.000179,0.000184,41,471230
2017-08-10,0.000167,0.000206,0.000166,0.000205,49,384144
2017-08-09,0.000199,0.000230,0.000162,0.000167,629,456644
2017-08-08,0.000168,0.000230,0.000164,0.000199,80,386747
2017-08-07,0.000193,0.000237,0.000166,0.000168,311,444033
2017-08-06,0.000228,0.000231,0.000191,0.000194,650,523668
2017-08-05,0.000200,0.000228,0.000171,0.000228,122,459198
2017-08-04,0.000172,0.000201,0.000170,0.000200,330,394852
2017-08-03,0.000189,0.000199,0.000163,0.000172,145,434901
2017-08-02,0.000142,0.000190,0.000134,0.000189,120,325655
2017-08-01,0.000172,0.000175,0.000134,0.000142,169,394506
2017-07-31,0.000164,0.000201,0.000162,0.000172,1159,377752
2017-07-30,0.000163,0.000192,0.000156,0.000164,857,373554
2017-07-29,0.000167,0.000193,0.000159,0.000163,295,383325
2017-07-28,0.000187,0.000196,0.000160,0.000168,970,429248
2017-07-27,0.000151,0.000188,0.000151,0.000186,439,347902
2017-07-26,0.000154,0.000179,0.000148,0.000151,697,352815
2017-07-25,0.000199,0.000200,0.000147,0.000154,554,456814
2017-07-24,0.000220,0.000224,0.000190,0.000199,367,505345
2017-07-23,0.000226,0.000229,0.000190,0.000220,294,520025
2017-07-22,0.000187,0.000227,0.000165,0.000226,1124,428454
2017-07-21,0.000227,0.000227,0.000158,0.000187,1517,520421
2017-07-20,0.000182,0.000232,0.000161,0.000225,1125,417118
2017-07-19,0.000161,0.000205,0.000158,0.000182,2834,370494
2017-07-18,0.000156,0.000183,0.000139,0.000161,498,358342
2017-07-17,0.000133,0.000167,0.000132,0.000156,388,304485
2017-07-16,0.000140,0.000163,0.000129,0.000133,415,321171
2017-07-15,0.000155,0.000176,0.000123,0.000140,895,356634
2017-07-14,0.000141,0.000178,0.000139,0.000156,933,322763
2017-07-13,0.000143,0.000168,0.000140,0.000141,372,328664
2017-07-12,0.000161,0.000168,0.000112,0.000167,2229,370563
2017-07-11,0.000187,0.000189,0.000140,0.000162,741,428634
2017-07-10,0.000175,0.000200,0.000162,0.000187,618,402265
2017-07-09,0.000137,0.000203,0.000137,0.000175,4337,313560
2017-07-08,0.000175,0.000177,0.000137,0.000137,302,401896
2017-07-07,0.000182,0.000206,0.000173,0.000175,12200,418481
2017-07-06,0.000180,0.000208,0.000179,0.000182,498,414167
2017-07-05,0.000182,0.000208,0.000180,0.000180,3891,417714
2017-07-04,0.000178,0.000210,0.000178,0.000182,70,407426
2017-07-03,0.000174,0.000205,0.000152,0.000178,16477,399852
2017-07-02,0.000144,0.000176,0.000121,0.000175,9451,331361
2017-07-01,0.000171,0.000199,0.000143,0.000144,11747,392291
2017-06-30,0.000203,0.000204,0.000171,0.000171,2236,464623
2017-06-29,0.000180,0.000205,0.000155,0.000202,341,413075
2017-06-28,0.000178,0.000204,0.000175,0.000180,233,409370
2017-06-27,0.000195,0.000201,0.000162,0.000177,292,447588
2017-06-26,0.000201,0.000204,0.000150,0.000195,3791,462108
2017-06-25,0.000250,0.000273,0.000200,0.000202,4416,573667
2017-06-24,0.000188,0.000325,0.000188,0.000251,10265,432131
2017-06-23,0.000200,0.000217,0.000188,0.000188,366,458344
2017-06-22,0.000201,0.000202,0.000177,0.000200,876,461062
2017-06-21,0.000175,0.000250,0.000150,0.000201,6210,400377
2017-06-20,0.000199,0.000225,0.000175,0.000175,504,457473
2017-06-19,0.000225,0.000250,0.000199,0.000199,3453,515549
2017-06-18,0.000225,0.000250,0.000200,0.000225,2557,515535
2017-06-17,0.000225,0.000250,0.000200,0.000225,6073,515267
2017-06-16,0.000194,0.000250,0.000149,0.000225,18601,444408
2017-06-15,0.000246,0.000250,0.000192,0.000194,386,564629
2017-06-14,0.000271,0.000277,0.000220,0.000246,617,620848
2017-06-13,0.000286,0.000299,0.000243,0.000271,2385,655525
2017-06-12,0.000298,0.000328,0.000262,0.000287,697,682143
2017-06-11,0.000347,0.000384,0.000295,0.000298,2207,794894
2017-06-10,0.000297,0.000380,0.000297,0.000347,1441,681800
2017-06-09,0.000292,0.000379,0.000285,0.000297,5975,668478
2017-06-08,0.000269,0.000311,0.000260,0.000292,3297,616613
2017-06-07,0.000315,0.000344,0.000253,0.000268,8557,722290
2017-06-06,0.000323,0.000351,0.000298,0.000315,18212,740660
2017-06-05,0.000227,0.000322,0.000180,0.000322,24907,519130
2017-06-04,0.000177,0.000229,0.000174,0.000226,8781,406526
2017-06-03,0.000172,0.000204,0.000146,0.000178,8516,394057
2017-06-02,0.000216,0.000218,0.000120,0.000172,10899,494029
2017-06-01,0.000183,0.000220,0.000119,0.000215,11256,419236
2017-05-31,0.000175,0.000240,0.000154,0.000183,44859,400848
2017-05-30,0.000168,0.000218,0.000137,0.000174,2263,383906
2017-05-29,0.000152,0.000202,0.000133,0.000167,1894,348250
2017-05-28,0.000184,0.000206,0.000125,0.000152,19533,421919
2017-05-27,0.000201,0.000249,0.000139,0.000183,4325,461278
2017-05-26,0.000231,0.000275,0.000190,0.000201,508,529852
2017-05-25,0.000281,0.000298,0.000218,0.000233,19202,643785
2017-05-24,0.000139,0.000617,0.000139,0.000281,12588,317776
2017-05-23,0.000105,0.000161,0.000085,0.000139,7593,241647
2017-05-22,0.000087,0.000106,0.000073,0.000106,4737,200287
2017-05-21,0.000061,0.000088,0.000061,0.000087,940,140631
2017-05-20,0.000059,0.000061,0.000040,0.000061,290,134857
2017-05-19,0.000038,0.000059,0.000038,0.000059,119,86385
2017-05-18,0.000054,0.000057,0.000036,0.000038,47,124110
2017-05-17,0.000069,0.000072,0.000036,0.000054,50,157880
2017-05-16,0.000052,0.000070,0.000051,0.000069,139,118751
2017-05-15,0.000072,0.000072,0.000051,0.000052,263,164071
2017-05-14,0.000071,0.000073,0.000053,0.000072,69,162999
2017-05-13,0.000068,0.000071,0.000051,0.000071,558,155327
2017-05-12,0.000073,0.000073,0.000053,0.000068,1159,166614
2017-05-11,0.000053,0.000073,0.000052,0.000073,8,121000
2017-05-10,0.000052,0.000071,0.000052,0.000053,96,120027
2017-05-09,0.000069,0.000070,0.000051,0.000052,199,157856
2017-05-08,0.000063,0.000090,0.000050,0.000069,720,145025
2017-05-07,0.000047,0.000063,0.000047,0.000063,51,108434
2017-05-06,0.000062,0.000063,0.000046,0.000047,54,142463
2017-05-05,0.000046,0.000064,0.000046,0.000062,455,106110
2017-05-04,0.000075,0.000078,0.000046,0.000046,536,171204
2017-05-03,0.000073,0.000551,0.000071,0.000075,1092,166320
2017-05-02,0.000044,0.000087,0.000044,0.000073,784,101023
2017-05-01,0.000068,0.000095,0.000044,0.000044,6386,155558
2017-04-30,0.000079,0.000105,0.000066,0.000068,8620,181271
2017-04-29,0.000079,0.000106,0.000079,0.000079,3964,180830
2017-04-28,0.000066,0.000105,0.000066,0.000079,8535,151575
2017-04-27,0.000077,0.000103,0.000066,0.000066,3306,175956
2017-04-26,0.000064,0.000090,0.000063,0.000077,8008,145599
2017-04-25,0.000088,0.000089,0.000064,0.000064,3450,200314
2017-04-24,0.000072,0.000097,0.000072,0.000088,5394,165796
2017-04-23,0.000086,0.000110,0.000072,0.000072,5081,197350
2017-04-22,0.000110,0.000135,0.000085,0.000086,20081,251742
2017-04-21,0.000135,0.000135,0.000086,0.000110,44817,309448
2017-04-20,0.000085,0.000147,0.000037,0.000111,55039,193909
2017-04-19,0.000424,0.000436,0.000072,0.000097,250942,970638
2017-04-18,0.000466,0.000473,0.000387,0.000436,86304,1065710
2017-04-17,0.000556,0.000588,0.000437,0.000478,596855,1272510
2017-04-16,0.000270,0.000783,0.000259,0.000532,1954510,617226
2017-04-15,0.000269,0.000285,0.000256,0.000281,16759,614597
2017-04-14,0.000281,0.000286,0.000256,0.000269,15026,642269
2017-04-13,0.000252,0.000296,0.000252,0.000269,33639,576925
2017-04-12,0.000265,0.000325,0.000240,0.000252,116430,606728
2017-04-11,0.000214,0.000290,0.000202,0.000253,87352,489043
2017-04-10,0.000214,0.000226,0.000201,0.000214,13995,489347
2017-04-09,0.000212,0.000224,0.000200,0.000214,7728,484432
2017-04-08,0.000200,0.000213,0.000198,0.000212,6565,457885
2017-04-07,0.000213,0.000214,0.000199,0.000200,4694,487195
2017-04-06,0.000214,0.000221,0.000195,0.000213,13468,489081
2017-04-05,0.000204,0.000226,0.000189,0.000214,15250,466826
2017-04-04,0.000206,0.000219,0.000190,0.000204,15002,471172
2017-04-03,0.000220,0.000239,0.000183,0.000206,35480,504460
2017-04-02,0.000249,0.000259,0.000198,0.000220,46054,568718
2017-04-01,0.000193,0.000273,0.000182,0.000248,74123,441492
2017-03-31,0.000185,0.000221,0.000176,0.000193,56582,422803
2017-03-30,0.000208,0.000256,0.000154,0.000195,111012,475975
2017-03-29,0.000367,0.000383,0.000187,0.000208,361311,838701
2017-03-28,0.000146,0.000723,0.000124,0.000367,2365740,335033
2017-03-27,0.000087,0.000167,0.000078,0.000146,62409,199094
2017-03-26,0.000097,0.000101,0.000078,0.000087,7696,222596
2017-03-25,0.000084,0.000098,0.000082,0.000097,1368,193071
2017-03-24,0.000093,0.000113,0.000081,0.000084,5728,213881
2017-03-23,0.000115,0.000116,0.000093,0.000093,11019,264059
2017-03-22,0.000112,0.000133,0.000093,0.000115,15300,256386
2017-03-21,0.000095,0.000112,0.000095,0.000112,4800,217321
2017-03-20,0.000093,0.000106,0.000084,0.000095,2171,213483
2017-03-19,0.000088,0.000107,0.000080,0.000093,1705,200522
2017-03-18,0.000110,0.000111,0.000077,0.000088,2863,251719
2017-03-17,0.000119,0.000119,0.000090,0.000110,1120,271751
2017-03-16,0.000125,0.000126,0.000104,0.000119,2792,285886
2017-03-15,0.000124,0.000125,0.000100,0.000125,1748,283682
2017-03-14,0.000111,0.000124,0.000098,0.000112,2959,253646
2017-03-13,0.000122,0.000124,0.000086,0.000111,4672,279412
2017-03-12,0.000094,0.000123,0.000094,0.000122,1212,215189
2017-03-11,0.000101,0.000119,0.000090,0.000094,3142,229914
2017-03-10,0.000119,0.000120,0.000089,0.000100,5280,271873
2017-03-09,0.000115,0.000142,0.000103,0.000119,22545,263063
2017-03-08,0.000098,0.000130,0.000082,0.000115,12306,223904
2017-03-07,0.000089,0.000102,0.000084,0.000098,284,203805
2017-03-06,0.000101,0.000102,0.000089,0.000089,381,231872
2017-03-05,0.000088,0.000101,0.000087,0.000101,721,200967
2017-03-04,0.000102,0.000102,0.000087,0.000088,1356,233302
2017-03-03,0.000088,0.000102,0.000088,0.000102,1397,200296
2017-03-02,0.000110,0.000110,0.000085,0.000088,766,251651
