Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.578852,0.635831,0.513253,0.589494,2642030,-
2017-11-23,0.697416,0.697416,0.568330,0.574498,2294320,-
2017-11-22,0.742628,0.749194,0.603306,0.678658,3320740,-
2017-11-21,0.849282,0.849282,0.716632,0.741822,4216300,-
2017-11-20,0.832272,0.926106,0.808810,0.862408,70420700,-
2017-11-19,0.759889,0.940992,0.733613,0.847398,45826200,-
2017-11-18,0.661671,0.792759,0.660023,0.764769,30353600,-
2017-11-17,0.784440,0.784440,0.657398,0.666624,5407500,-
2017-11-16,0.767628,0.824993,0.728745,0.789569,3618180,-
2017-11-15,0.794574,0.882761,0.713185,0.735744,3045360,-
2017-11-14,1.04,1.06,0.791844,0.807821,4432070,-
2017-11-13,0.574201,1.05,0.554979,1.05,7497080,-
2017-11-12,0.717353,0.737721,0.519787,0.545519,2179930,-
2017-11-11,0.618857,0.799266,0.571730,0.708030,3340790,-
2017-11-10,0.923467,0.940390,0.588090,0.615093,3385290,-
2017-11-09,0.608016,1.22,0.543419,0.911958,15906600,-
2017-11-08,0.177761,0.633672,0.176942,0.633672,4441610,-
2017-11-07,0.180655,0.184784,0.173171,0.179749,294062,-
2017-11-06,0.166720,0.188537,0.149416,0.180945,39259,-
2017-11-05,0.143110,0.170494,0.141692,0.166351,2277,-
2017-11-04,0.163262,0.169193,0.137770,0.143381,7694,-
2017-11-03,0.154091,0.171727,0.149072,0.163688,9594,-
2017-11-02,0.134572,0.155647,0.130524,0.154293,6099,-
2017-11-01,0.119213,0.171347,0.117844,0.134422,42802,-
2017-10-31,0.125007,0.128170,0.110596,0.119300,5627,-
2017-10-30,0.117597,0.128355,0.106399,0.125433,5658,-
2017-10-29,0.095885,0.120759,0.095688,0.118284,11374,-
2017-10-28,0.102416,0.104318,0.094801,0.096017,1091,-
2017-10-27,0.100664,0.105535,0.095235,0.102137,29940,-
2017-10-26,0.102072,0.105386,0.095609,0.100641,38119,-
2017-10-25,0.098379,0.103070,0.098378,0.102084,26708,-
