Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.091140,0.094564,0.089402,0.093304,1,-
2017-11-23,0.092838,0.131062,0.091265,0.091265,3,-
2017-11-22,0.091121,0.093207,0.090736,0.091074,7,-
2017-11-21,0.093199,0.093461,0.089604,0.090900,7,-
2017-11-20,0.085260,0.087615,0.084240,0.086898,2,-
2017-11-19,0.087447,0.091094,0.084532,0.085300,3,-
2017-11-18,0.084142,0.088284,0.084142,0.087609,1,-
2017-11-15,0.074248,0.078195,0.074248,0.078076,5,-
2017-11-14,0.072558,0.074670,0.072151,0.074197,4,-
2017-11-13,0.071447,0.074724,0.069691,0.072404,1,-
2017-11-11,0.069496,0.071982,0.067308,0.067910,1,-
2017-11-10,0.076203,0.076359,0.068193,0.069745,2,-
2017-11-08,0.113645,0.125249,0.112969,0.115919,1,-
2017-11-07,0.113138,0.114003,0.112753,0.114003,1,-
2017-11-05,0.117808,0.121555,0.116640,0.120419,1,-
2017-11-04,0.117069,0.120567,0.116891,0.118031,1,-
2017-10-30,0.098326,0.098587,0.097349,0.097922,31,-
2017-10-29,0.090100,0.100970,0.089861,0.098901,38,-
2017-10-28,0.070314,0.090506,0.058348,0.090166,15,-
2017-10-27,0.048600,0.070618,0.047449,0.070122,6,-
2017-10-26,0.090947,0.094913,0.090353,0.093104,9,-
2017-10-25,0.071959,0.091120,0.059038,0.090958,116,-
2017-10-24,0.132621,0.132621,0.070175,0.071930,23,-
2017-10-23,0.227273,0.228916,0.029286,0.132913,603,-
2017-10-22,0.229927,0.230303,0.218470,0.227639,62,-
2017-10-16,0.214357,0.218108,0.209647,0.218108,15,-
2017-10-15,0.205438,0.216444,0.205396,0.214328,16,-
2017-10-14,0.213049,0.215184,0.211055,0.214400,1,-
2017-10-13,0.218281,0.220497,0.207414,0.212992,1,-
2017-10-10,0.222078,0.225529,0.221336,0.224152,45,-
2017-10-09,0.212972,0.225974,0.212801,0.222095,44,-
2017-10-07,0.164456,0.164910,0.162655,0.163572,2,-
2017-10-06,0.162840,0.164863,0.162832,0.164403,2,-
