Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001768,0.002072,0.001734,0.001810,4,30217
2017-11-23,0.001645,0.001805,0.001620,0.001771,1,28113
2017-11-22,0.001785,0.002490,0.001644,0.001646,143,30507
2017-11-21,0.002060,0.002065,0.001688,0.001781,39,35211
2017-11-20,0.001770,0.002071,0.001765,0.002060,860,30241
2017-11-19,0.001947,0.002012,0.001705,0.001770,8,33269
2017-11-18,0.001922,0.001965,0.001863,0.001950,1,32841
2017-11-17,0.001961,0.002007,0.001718,0.001929,26,33516
2017-11-16,0.001461,0.002001,0.001428,0.001964,9,24961
2017-11-15,0.001587,0.001662,0.001378,0.001453,24,27118
2017-11-14,0.001739,0.001747,0.001542,0.001586,32,29719
2017-11-12,0.001590,0.001609,0.001384,0.001479,148,27178
2017-11-11,0.001621,0.001621,0.001575,0.001591,169,27706
2017-11-10,0.002139,0.002200,0.001935,0.002007,2,36549
2017-11-09,0.001875,0.002159,0.001622,0.002132,101,32050
2017-11-08,0.001708,0.001785,0.001698,0.001771,8,29187
2017-11-07,0.002505,0.002592,0.001677,0.001713,7,42813
2017-11-06,0.002144,0.002673,0.002062,0.002509,88,36641
2017-11-05,0.001918,0.002193,0.001899,0.002139,1,32777
2017-11-04,0.002007,0.002033,0.001848,0.001922,29,34294
2017-11-03,0.001967,0.002091,0.001945,0.002012,10,33607
2017-11-02,0.002153,0.002925,0.001689,0.001969,1534,36797
2017-11-01,0.002320,0.002356,0.001470,0.002151,1947,39645
2017-10-31,0.002293,0.002322,0.002293,0.002322,1,39182
2017-10-30,0.001970,0.001975,0.001951,0.001972,3,33670
2017-10-29,0.002062,0.002106,0.001845,0.001982,4,35240
2017-10-28,0.002079,0.002079,0.002059,0.002065,3,35521
2017-10-27,0.002178,0.002219,0.002134,0.002134,3,37223
2017-10-26,0.002180,0.002264,0.002146,0.002178,20,37257
2017-10-25,0.001876,0.001914,0.001830,0.001889,1,32064
2017-10-24,0.001994,0.001994,0.001865,0.001875,1,34082
2017-10-23,0.002212,0.002228,0.001926,0.001999,8,37808
2017-10-22,0.002179,0.002221,0.002176,0.002216,18,37235
2017-10-21,0.002162,0.002229,0.002125,0.002171,12,36945
2017-10-20,0.002415,0.002444,0.002164,0.002166,14,41272
2017-10-19,0.002067,0.002124,0.002048,0.002094,60,35329
2017-10-18,0.002072,0.002076,0.001900,0.002066,84,35414
2017-10-17,0.002563,0.002582,0.002059,0.002072,22,43805
2017-10-16,0.002618,0.002650,0.002561,0.002614,1,44745
2017-10-15,0.002926,0.002935,0.002519,0.002618,1,49998
2017-10-14,0.002884,0.002924,0.002070,0.002920,3,49293
2017-10-13,0.002067,0.002907,0.002019,0.002884,93,35332
2017-10-12,0.003137,0.003175,0.002007,0.002061,213,53611
2017-10-11,0.002905,0.003208,0.002768,0.003134,2616,49650
2017-10-10,0.003973,0.004294,0.002885,0.002906,8748,67889
2017-10-09,0.003998,0.004621,0.003848,0.003973,186,68320
2017-10-08,0.004755,0.004889,0.004738,0.004887,2,81255
2017-10-07,0.004374,0.004779,0.004337,0.004767,45,74747
2017-10-06,0.004497,0.004497,0.003616,0.004372,154,76845
2017-10-05,0.003968,0.004541,0.003574,0.004497,22,67814
2017-10-04,0.004708,0.004738,0.003777,0.003965,33,80466
2017-10-03,0.005019,0.005048,0.003525,0.004698,78,85777
2017-10-02,0.005229,0.005314,0.003592,0.005019,37,89361
2017-10-01,0.005735,0.005761,0.003389,0.005231,145,98012
2017-09-30,0.004881,0.005733,0.004877,0.005732,257,83419
2017-09-29,0.005284,0.005302,0.003060,0.004881,32,90301
2017-09-28,0.004628,0.005767,0.003038,0.005288,105,79095
2017-09-27,0.005133,0.005743,0.004598,0.004628,127,87720
2017-09-26,0.004327,0.005265,0.003540,0.005147,853,73941
2017-09-25,0.004260,0.004520,0.003515,0.004327,52,72801
2017-09-24,0.004167,0.004316,0.003020,0.004264,992,71219
2017-09-23,0.002525,0.004168,0.002209,0.004168,2061,43153
2017-09-22,0.002426,0.002551,0.002067,0.002532,286,41459
2017-09-21,0.002599,0.002617,0.002368,0.002429,133,44420
2017-09-20,0.002583,0.002703,0.002500,0.002612,204,44142
2017-09-19,0.002462,0.002649,0.002319,0.002586,206,42072
2017-09-18,0.002365,0.002624,0.002365,0.002456,7,40415
2017-09-17,0.002404,0.002419,0.002363,0.002370,66,41078
2017-09-16,0.002374,0.002484,0.002276,0.002393,44,40570
2017-09-15,0.001817,0.002448,0.001797,0.002380,113,31052
2017-09-14,0.002287,0.002318,0.001803,0.001803,117,39092
2017-09-13,0.001952,0.002338,0.001840,0.002288,544,33353
2017-09-12,0.002149,0.002233,0.001493,0.001959,203,36725
2017-09-11,0.001913,0.002184,0.001728,0.002147,133,32685
2017-09-10,0.001819,0.001947,0.001417,0.001916,276,31088
2017-09-09,0.001775,0.002175,0.001724,0.001824,23,30331
2017-09-08,0.001946,0.001973,0.001699,0.001771,2,33260
2017-09-07,0.001939,0.002623,0.001890,0.001946,11,33130
2017-09-06,0.002475,0.002700,0.001904,0.001942,2,42300
2017-09-05,0.002196,0.002519,0.001552,0.002472,359,37531
2017-09-04,0.002171,0.002529,0.001952,0.002185,840,37100
2017-09-03,0.002721,0.002917,0.002083,0.002170,38,46493
2017-09-02,0.002363,0.003212,0.002229,0.002719,328,40391
2017-09-01,0.003127,0.003296,0.002347,0.002361,797,53442
2017-08-31,0.002290,0.003144,0.002289,0.003127,2,39131
2017-08-30,0.002297,0.003048,0.002265,0.002294,163,39255
2017-08-29,0.001887,0.003017,0.001876,0.002300,64,32252
2017-08-28,0.001564,0.002854,0.001511,0.001884,524,26721
2017-08-27,0.001558,0.002096,0.001556,0.001565,13,26624
2017-08-26,0.002315,0.002320,0.002263,0.002301,40,39559
2017-08-25,0.002381,0.002411,0.001724,0.002314,76,40687
2017-08-24,0.001450,0.002402,0.001438,0.002385,1152,24781
2017-08-23,0.001553,0.001616,0.001429,0.001449,31,26535
2017-08-22,0.001120,0.001562,0.001014,0.001556,125,19145
2017-08-21,0.001460,0.001472,0.001092,0.001118,43,24959
2017-08-20,0.001036,0.001585,0.000972,0.001466,173,17711
2017-08-19,0.000945,0.001159,0.000945,0.001041,3,16149
2017-08-18,0.001455,0.001480,0.000914,0.000946,81,24868
2017-08-17,0.001273,0.001521,0.001230,0.001460,16,21751
2017-08-16,0.001412,0.001478,0.001239,0.001274,8,24135
2017-08-15,0.001514,0.001528,0.001159,0.001411,3,25882
2017-08-14,0.001340,0.001511,0.001314,0.001510,16,22908
2017-08-13,0.001315,0.001424,0.001307,0.001340,0,22473
2017-08-12,0.001059,0.001346,0.001048,0.001316,0,18091
2017-08-11,0.000957,0.001074,0.000952,0.001059,16,16346
2017-08-10,0.001137,0.001233,0.000952,0.000957,11,19424
2017-08-09,0.000957,0.001153,0.000912,0.001137,22,16359
2017-08-08,0.001221,0.001247,0.000911,0.000958,20,20867
2017-08-07,0.001191,0.001225,0.000832,0.001220,35,20362
2017-08-06,0.001107,0.001208,0.000798,0.001194,54,18914
2017-08-05,0.000885,0.001129,0.000884,0.001106,4,15123
2017-08-04,0.000752,0.000888,0.000747,0.000885,1,12860
2017-08-03,0.000892,0.000906,0.000688,0.000753,14,15249
2017-08-02,0.000955,0.001321,0.000877,0.000891,45,16325
2017-08-01,0.000945,0.001018,0.000930,0.000955,11,16142
2017-07-31,0.000959,0.001006,0.000937,0.000944,2,16392
2017-07-30,0.001169,0.001171,0.000952,0.000958,4,19971
2017-07-29,0.000946,0.001184,0.000911,0.001169,5,16161
2017-07-28,0.001331,0.001385,0.000920,0.000949,30,22738
2017-07-27,0.001262,0.001339,0.001038,0.001326,34,21574
2017-07-26,0.001459,0.001485,0.001001,0.001259,5,24940
2017-07-25,0.001572,0.001583,0.001397,0.001459,9,26867
2017-07-24,0.001210,0.001640,0.000961,0.001572,31,20682
2017-07-23,0.001231,0.001238,0.001170,0.001212,0,21030
2017-07-21,0.001982,0.001989,0.001862,0.001921,71,33878
2017-07-20,0.001173,0.002030,0.001173,0.001968,164,20041
2017-07-19,0.000990,0.001232,0.000924,0.001176,73,16922
2017-07-18,0.001378,0.001396,0.000954,0.000989,10,23553
2017-07-17,0.001192,0.001377,0.000873,0.001375,1,20374
2017-07-16,0.000873,0.001214,0.000865,0.001194,101,14927
2017-07-15,0.001087,0.001106,0.000836,0.000876,24,18578
2017-07-14,0.000819,0.001250,0.000791,0.001089,213,14003
2017-07-13,0.000740,0.000829,0.000733,0.000820,13,12642
2017-07-12,0.000669,0.000744,0.000652,0.000739,0,11430
2017-07-11,0.000632,0.000742,0.000631,0.000672,3,10799
2017-07-10,0.001027,0.001032,0.000616,0.000633,66,17553
2017-07-09,0.000920,0.001044,0.000912,0.001025,34,15728
2017-07-08,0.000675,0.000687,0.000668,0.000684,1,11543
2017-07-07,0.000961,0.001015,0.000652,0.000675,34,16431
2017-07-06,0.000962,0.000963,0.000951,0.000961,10,16439
2017-07-05,0.000663,0.000967,0.000662,0.000961,21,11324
2017-07-03,0.000573,0.000594,0.000568,0.000587,6,9785
2017-07-02,0.000653,0.000657,0.000566,0.000575,33,11152
2017-07-01,0.000858,0.000873,0.000836,0.000836,0,14665
2017-06-30,0.000962,0.000967,0.000602,0.000858,65,16444
2017-06-29,0.000638,0.000979,0.000634,0.000960,5,10906
2017-06-28,0.000994,0.000994,0.000578,0.000639,53,16985
2017-06-27,0.000950,0.000987,0.000894,0.000987,5,16236
2017-06-26,0.000982,0.000998,0.000904,0.000950,10,16784
2017-06-25,0.000658,0.000985,0.000645,0.000983,7,11241
2017-06-24,0.001076,0.001088,0.001009,0.001035,5,18391
2017-06-23,0.000899,0.001086,0.000899,0.001076,12,15368
2017-06-22,0.000849,0.000899,0.000849,0.000899,5,14515
2017-06-21,0.000674,0.000674,0.000674,0.000674,8,11526
2017-06-20,0.000799,0.000824,0.000674,0.000674,19,13661
2017-06-19,0.000699,0.000799,0.000699,0.000799,5,11953
2017-06-18,0.000974,0.000974,0.000699,0.000699,5,16649
2017-06-17,0.000625,0.000974,0.000625,0.000974,10,10673
2017-06-16,0.000941,0.000968,0.000625,0.000625,9,16088
2017-06-15,0.000958,0.000977,0.000830,0.000942,1,16378
2017-06-14,0.001056,0.001140,0.000831,0.000958,18,18048
2017-06-13,0.001083,0.001132,0.001046,0.001057,8,18507
2017-06-12,0.001249,0.001253,0.001032,0.001087,1,21349
2017-06-11,0.001417,0.001458,0.001242,0.001251,60,24211
2017-06-10,0.001293,0.001639,0.001126,0.001418,187,22093
2017-06-09,0.001317,0.001537,0.001283,0.001291,126,22500
2017-06-08,0.001480,0.001539,0.001271,0.001319,7,25290
2017-06-07,0.001319,0.001548,0.001294,0.001472,11,22535
2017-06-06,0.001320,0.001405,0.001247,0.001318,76,22566
2017-06-05,0.001180,0.001316,0.001176,0.001316,20,20169
2017-06-04,0.001140,0.001148,0.001114,0.001117,5,19488
2017-06-03,0.000990,0.001149,0.000972,0.001143,5,16918
2017-06-02,0.001104,0.001119,0.000971,0.000990,2,18864
2017-06-01,0.001029,0.001106,0.001029,0.001103,1,17588
2017-05-31,0.000964,0.001040,0.000952,0.001028,2,16469
2017-05-30,0.001048,0.001067,0.000921,0.000960,115,17907
2017-05-29,0.000847,0.001069,0.000633,0.001047,83,14470
2017-05-28,0.000737,0.000856,0.000737,0.000848,9,12588
2017-05-27,0.001141,0.001175,0.000715,0.000732,8,19498
2017-05-26,0.000961,0.001329,0.000900,0.001137,112,16429
2017-05-25,0.000776,0.001137,0.000775,0.000968,114,13262
2017-05-22,0.000551,0.000607,0.000549,0.000580,0,9411
2017-05-21,0.000614,0.000626,0.000547,0.000549,0,10489
2017-05-20,0.000569,0.000614,0.000513,0.000614,1,9726
2017-05-19,0.000490,0.000571,0.000490,0.000570,3,8379
2017-05-18,0.000487,0.000491,0.000486,0.000490,0,8322
2017-05-17,0.000417,0.000438,0.000413,0.000438,85,7131
2017-05-16,0.000415,0.000421,0.000414,0.000417,81,7084
2017-05-14,0.000498,0.000504,0.000496,0.000500,5,8514
2017-05-13,0.000458,0.000498,0.000436,0.000497,5,7824
2017-05-12,0.000490,0.000490,0.000450,0.000459,0,8368
2017-05-11,0.000616,0.000651,0.000610,0.000631,1,10534
2017-05-10,0.000474,0.000615,0.000464,0.000615,10,8100
2017-05-09,0.000490,0.000494,0.000460,0.000474,10,8376
2017-05-08,0.000559,0.000584,0.000559,0.000579,1,9550
2017-05-07,0.000553,0.000559,0.000548,0.000559,1,9443
2017-05-06,0.000513,0.000553,0.000509,0.000553,0,8772
2017-05-05,0.000507,0.000533,0.000507,0.000513,1,8672
2017-05-04,0.000402,0.000531,0.000402,0.000506,0,6876
2017-05-03,0.000395,0.000403,0.000393,0.000402,2,6744
2017-05-02,0.000469,0.000486,0.000467,0.000472,3,8017
2017-05-01,0.000431,0.000473,0.000369,0.000469,3,7371
2017-04-30,0.000436,0.000436,0.000329,0.000431,60,7454
2017-04-29,0.000344,0.000437,0.000342,0.000436,7,5875
2017-04-28,0.000303,0.000306,0.000298,0.000299,3,5179
2017-04-27,0.000282,0.000380,0.000282,0.000303,5,4817
2017-04-26,0.000607,0.000613,0.000256,0.000282,77,10381
2017-04-25,0.000588,0.000608,0.000588,0.000607,8,10041
2017-04-24,0.000555,0.000588,0.000392,0.000588,6,9490
2017-04-23,0.000604,0.000604,0.000554,0.000555,1,10314
2017-04-22,0.000611,0.000616,0.000402,0.000604,12,10442
2017-04-21,0.000637,0.000649,0.000608,0.000611,40,10894
2017-04-20,0.000666,0.000667,0.000665,0.000667,25,11376
2017-04-19,0.000569,0.000665,0.000568,0.000665,25,9732
2017-04-18,0.000418,0.000571,0.000418,0.000569,41,7141
2017-04-17,0.000342,0.000418,0.000340,0.000418,4,5840
2017-04-16,0.000340,0.000344,0.000340,0.000344,1,5811
2017-04-15,0.000427,0.000427,0.000340,0.000340,2,7291
2017-04-13,0.000432,0.000434,0.000421,0.000424,0,7385
2017-04-12,0.000362,0.000434,0.000359,0.000432,1,6178
2017-04-11,0.000362,0.000362,0.000362,0.000362,0,6189
2017-04-10,0.000333,0.000333,0.000330,0.000332,4,5684
2017-04-09,0.000353,0.000354,0.000333,0.000333,4,6029
2017-04-08,0.000447,0.000447,0.000351,0.000353,0,7643
