Date,Open,High,Low,Close,Volume,Market_cap
2017-11-20,0.000080,0.000081,0.000079,0.000080,1,-
2017-11-19,0.000078,0.000081,0.000077,0.000080,1,-
2017-11-16,0.000073,0.000078,0.000071,0.000078,39,-
2017-11-15,0.000066,0.000073,0.000066,0.000073,36,-
2017-11-14,0.000066,0.000066,0.000064,0.000066,1,-
2017-11-12,0.000064,0.000064,0.000055,0.000061,1,-
2017-11-11,0.000066,0.000068,0.000062,0.000064,1,-
2017-11-10,0.000071,0.000071,0.000065,0.000066,1,-
2017-11-09,0.000075,0.000075,0.000073,0.000074,1,-
2017-11-08,0.000071,0.000078,0.000071,0.000075,4,-
2017-11-07,0.000070,0.000072,0.000070,0.000071,1,-
2017-11-06,0.000074,0.000074,0.000069,0.000070,114,-
2017-11-05,0.000074,0.000074,0.000074,0.000074,1,-
2017-11-04,0.000072,0.000074,0.000070,0.000073,6,-
2017-11-03,0.000070,0.000075,0.000069,0.000072,294,-
2017-11-02,0.000070,0.000071,0.000069,0.000070,1,-
2017-10-31,0.000061,0.000064,0.000061,0.000064,1,-
2017-10-30,0.000061,0.000062,0.000060,0.000061,2,-
2017-10-29,0.000057,0.000063,0.000057,0.000062,62,-
2017-10-28,0.000057,0.000058,0.000057,0.000057,58,-
2017-10-24,0.000059,0.000059,0.000056,0.000057,5,-
2017-10-23,0.000060,0.000061,0.000057,0.000059,6,-
2017-10-22,0.000060,0.000060,0.000058,0.000060,1,-
2017-10-21,0.000060,0.000060,0.000060,0.000060,7,-
2017-10-20,0.000057,0.000061,0.000056,0.000060,15,-
2017-10-19,0.000056,0.000057,0.000055,0.000057,6,-
2017-10-18,0.000053,0.000056,0.000051,0.000056,0,-
2017-10-17,0.000058,0.000058,0.000056,0.000056,6,-
2017-10-16,0.000057,0.000058,0.000056,0.000058,6,-
2017-10-13,0.000054,0.000059,0.000054,0.000055,55,-
2017-10-12,0.000048,0.000054,0.000048,0.000054,54,-
2017-10-11,0.000048,0.000049,0.000047,0.000048,89,-
2017-10-10,0.000048,0.000049,0.000047,0.000048,5,-
2017-10-09,0.000046,0.000049,0.000046,0.000048,48,-
2017-10-08,0.000044,0.000046,0.000044,0.000046,99,-
2017-10-07,0.000044,0.000045,0.000043,0.000045,109,-
2017-10-06,0.000086,0.000087,0.000043,0.000044,1722,-
2017-10-05,0.000084,0.000087,0.000043,0.000086,273,-
2017-10-04,0.000086,0.000087,0.000043,0.000084,2784,-
2017-10-03,0.000088,0.000089,0.000043,0.000086,348,-
2017-10-02,0.000088,0.000089,0.000044,0.000088,164,-
2017-10-01,0.000087,0.000088,0.000085,0.000088,0,-
2017-09-30,0.000083,0.000087,0.000083,0.000087,113,-
2017-09-29,0.000126,0.000126,0.000042,0.000083,1019,-
2017-09-28,0.000126,0.000128,0.000124,0.000126,3,-
2017-09-27,0.000078,0.000127,0.000078,0.000126,2,-
2017-09-25,0.000110,0.000119,0.000110,0.000118,0,-
2017-09-24,0.000114,0.000114,0.000073,0.000110,334,-
2017-09-23,0.000108,0.000114,0.000107,0.000114,38,-
2017-09-22,0.000109,0.000113,0.000071,0.000109,425,-
2017-09-21,0.000116,0.000117,0.000072,0.000109,512,-
2017-09-20,0.000039,0.000121,0.000039,0.000117,98,-
2017-09-19,0.000041,0.000120,0.000039,0.000039,96,-
2017-09-18,0.000111,0.000123,0.000040,0.000041,58,-
2017-09-17,0.000074,0.000114,0.000072,0.000111,778,-
2017-09-16,0.000074,0.000078,0.000071,0.000074,62,-
2017-09-15,0.000065,0.000076,0.000060,0.000074,82,-
2017-09-14,0.000078,0.000112,0.000064,0.000064,5,-
2017-09-13,0.000125,0.000125,0.000077,0.000078,427,-
2017-09-12,0.000126,0.000131,0.000086,0.000125,80,-
2017-09-11,0.000085,0.000171,0.000083,0.000126,1228,-
2017-09-10,0.000087,0.000130,0.000081,0.000085,23,-
2017-09-09,0.000087,0.000132,0.000084,0.000087,122,-
2017-09-08,0.000093,0.000140,0.000083,0.000086,60,-
2017-09-07,0.000092,0.000141,0.000045,0.000093,1041,-
2017-09-06,0.000088,0.000096,0.000088,0.000092,149,-
2017-09-05,0.000086,0.000090,0.000081,0.000088,7,-
2017-09-04,0.000092,0.000092,0.000083,0.000086,72,-
2017-09-03,0.000092,0.000095,0.000089,0.000092,129,-
2017-09-02,0.000098,0.000100,0.000090,0.000092,92,-
2017-09-01,0.000096,0.000098,0.000096,0.000098,1,-
2017-08-30,0.000092,0.000093,0.000090,0.000091,2,-
2017-08-29,0.000088,0.000093,0.000087,0.000092,2,-
2017-08-28,0.000130,0.000130,0.000085,0.000088,236,-
2017-08-27,0.000087,0.000131,0.000086,0.000130,12,-
2017-08-26,0.000044,0.000131,0.000043,0.000087,52,-
2017-08-25,0.000130,0.000132,0.000043,0.000044,1,-
2017-08-24,0.000083,0.000131,0.000082,0.000130,8,-
2017-08-23,0.000041,0.000085,0.000041,0.000083,5,-
2017-08-22,0.000080,0.000082,0.000038,0.000041,30,-
2017-08-21,0.000081,0.000082,0.000079,0.000080,5,-
2017-08-20,0.000041,0.000083,0.000040,0.000081,1,-
2017-08-19,0.000082,0.000083,0.000041,0.000042,2,-
2017-08-18,0.000086,0.000087,0.000084,0.000086,0,-
2017-08-17,0.000044,0.000089,0.000042,0.000086,0,-
2017-08-16,0.000083,0.000084,0.000041,0.000044,4,-
2017-08-15,0.000087,0.000089,0.000077,0.000083,35,-
2017-08-14,0.000081,0.000125,0.000080,0.000086,5,-
2017-08-13,0.000116,0.000122,0.000077,0.000081,23,-
2017-08-12,0.000110,0.000116,0.000108,0.000116,1,-
2017-08-11,0.000102,0.000111,0.000102,0.000110,4,-
2017-08-10,0.000067,0.000103,0.000067,0.000102,2,-
2017-08-09,0.000103,0.000103,0.000065,0.000067,8,-
2017-08-08,0.000068,0.000104,0.000067,0.000103,0,-
2017-08-07,0.000097,0.000098,0.000065,0.000068,185,-
2017-08-06,0.000065,0.000098,0.000063,0.000097,3,-
2017-08-05,0.000086,0.000097,0.000063,0.000065,2,-
2017-08-04,0.000056,0.000086,0.000055,0.000086,3,-
2017-08-03,0.000054,0.000084,0.000054,0.000056,19,-
2017-08-02,0.000054,0.000055,0.000053,0.000054,1,-
2017-08-01,0.000057,0.000058,0.000053,0.000054,0,-
2017-07-31,0.000054,0.000084,0.000054,0.000057,18,-
2017-07-30,0.000082,0.000082,0.000078,0.000082,2,-
2017-07-29,0.000083,0.000111,0.000080,0.000082,149,-
2017-07-28,0.000080,0.000085,0.000080,0.000084,0,-
2017-07-27,0.000076,0.000080,0.000075,0.000080,2,-
2017-07-26,0.000077,0.000101,0.000072,0.000076,15,-
2017-07-25,0.000107,0.000107,0.000074,0.000077,35,-
2017-07-24,0.000083,0.000084,0.000081,0.000083,2,-
2017-07-23,0.000085,0.000113,0.000080,0.000083,103,-
2017-07-22,0.000053,0.000085,0.000053,0.000085,0,-
2017-07-21,0.000085,0.000085,0.000052,0.000053,7,-
2017-07-20,0.000068,0.000087,0.000046,0.000084,21,-
2017-07-19,0.000046,0.000068,0.000045,0.000068,7,-
2017-07-18,0.000045,0.000048,0.000045,0.000046,2,-
2017-07-17,0.000058,0.000063,0.000058,0.000062,1,-
2017-07-16,0.000060,0.000062,0.000040,0.000058,15,-
2017-07-15,0.000067,0.000067,0.000060,0.000060,0,-
2017-07-14,0.000047,0.000069,0.000044,0.000067,1,-
2017-07-13,0.000072,0.000073,0.000046,0.000047,2,-
2017-07-12,0.000069,0.000072,0.000067,0.000072,12,-
2017-07-11,0.000047,0.000071,0.000045,0.000070,0,-
2017-07-10,0.000075,0.000076,0.000046,0.000047,13,-
2017-07-09,0.000102,0.000102,0.000051,0.000075,75,-
2017-07-08,0.000100,0.000102,0.000074,0.000102,42,-
2017-07-07,0.000104,0.000104,0.000075,0.000100,30,-
2017-07-06,0.000078,0.000104,0.000077,0.000104,9,-
2017-07-05,0.000077,0.000078,0.000076,0.000078,0,-
2017-07-04,0.000101,0.000105,0.000101,0.000103,0,-
2017-07-03,0.000050,0.000103,0.000050,0.000102,128,-
2017-07-02,0.000096,0.000098,0.000048,0.000050,11,-
2017-07-01,0.000098,0.000100,0.000095,0.000096,1,-
2017-06-30,0.000101,0.000102,0.000050,0.000098,42,-
2017-06-29,0.000077,0.000103,0.000075,0.000101,1,-
2017-06-28,0.000076,0.000078,0.000050,0.000077,9,-
2017-06-27,0.000073,0.000099,0.000046,0.000076,142,-
2017-06-26,0.000076,0.000077,0.000070,0.000073,2,-
2017-06-25,0.000103,0.000103,0.000073,0.000076,1,-
2017-06-24,0.000108,0.000109,0.000101,0.000103,26,-
2017-06-23,0.000100,0.000109,0.000050,0.000108,7,-
2017-06-22,0.000100,0.000100,0.000100,0.000100,18,-
2017-06-21,0.000100,0.000100,0.000100,0.000100,59,-
2017-06-20,0.000050,0.000100,0.000050,0.000100,9,-
2017-06-19,0.000100,0.000100,0.000050,0.000050,4,-
2017-06-18,0.000075,0.000100,0.000075,0.000100,1,-
2017-06-17,0.000075,0.000075,0.000075,0.000075,250,-
2017-06-16,0.000048,0.000075,0.000046,0.000075,1,-
2017-06-15,0.000074,0.000075,0.000047,0.000048,10,-
2017-06-14,0.000081,0.000083,0.000070,0.000074,0,-
2017-06-13,0.000053,0.000083,0.000053,0.000081,10,-
2017-06-12,0.000089,0.000089,0.000050,0.000053,132,-
2017-06-11,0.000116,0.000119,0.000114,0.000118,1,-
2017-06-10,0.000084,0.000116,0.000057,0.000116,26,-
2017-06-09,0.000084,0.000086,0.000084,0.000084,28,-
2017-06-08,0.000081,0.000084,0.000079,0.000084,85,-
2017-06-07,0.000086,0.000086,0.000055,0.000080,29,-
2017-06-06,0.000054,0.000086,0.000054,0.000086,94,-
2017-06-05,0.000101,0.000107,0.000053,0.000054,8,-
2017-06-04,0.000051,0.000101,0.000050,0.000101,13,-
2017-06-03,0.000099,0.000102,0.000097,0.000102,2,-
2017-06-02,0.000048,0.000099,0.000047,0.000099,126,-
2017-06-01,0.000069,0.000097,0.000047,0.000048,16,-
2017-05-31,0.000066,0.000090,0.000044,0.000069,160,-
2017-05-30,0.000046,0.000068,0.000044,0.000065,328,-
2017-05-29,0.000044,0.000046,0.000044,0.000046,1,-
2017-05-28,0.000041,0.000044,0.000041,0.000043,3,-
2017-05-27,0.000045,0.000046,0.000038,0.000041,2,-
2017-05-26,0.000051,0.000052,0.000041,0.000045,5,-
2017-05-25,0.000073,0.000083,0.000070,0.000075,0,-
2017-05-24,0.000045,0.000075,0.000045,0.000073,26,-
2017-05-23,0.000021,0.000045,0.000021,0.000045,27,-
2017-05-22,0.000020,0.000045,0.000020,0.000021,1,-
2017-05-21,0.000041,0.000042,0.000020,0.000020,23,-
2017-05-20,0.000059,0.000060,0.000020,0.000041,11,-
2017-05-19,0.000057,0.000059,0.000019,0.000059,2,-
2017-05-18,0.000036,0.000057,0.000036,0.000057,1,-
2017-05-17,0.000035,0.000055,0.000034,0.000036,8,-
2017-05-16,0.000035,0.000053,0.000034,0.000035,22,-
2017-05-15,0.000036,0.000036,0.000034,0.000035,44,-
2017-05-14,0.000036,0.000036,0.000035,0.000036,13,-
2017-05-13,0.000034,0.000036,0.000032,0.000035,21,-
2017-05-12,0.000037,0.000037,0.000033,0.000034,1,-
2017-05-11,0.000037,0.000037,0.000036,0.000037,0,-
2017-05-10,0.000035,0.000036,0.000034,0.000035,3,-
2017-05-09,0.000034,0.000055,0.000034,0.000035,10,-
2017-05-08,0.000032,0.000050,0.000032,0.000034,112,-
2017-05-07,0.000032,0.000032,0.000031,0.000032,1,-
2017-05-06,0.000047,0.000047,0.000032,0.000032,1,-
2017-05-05,0.000031,0.000049,0.000031,0.000047,2,-
2017-05-04,0.000030,0.000031,0.000030,0.000031,0,-
2017-05-03,0.000044,0.000044,0.000029,0.000030,6,-
2017-05-02,0.000028,0.000044,0.000028,0.000044,2,-
2017-05-01,0.000029,0.000029,0.000028,0.000028,0,-
2017-04-30,0.000040,0.000040,0.000040,0.000040,8,-
2017-04-29,0.000040,0.000040,0.000039,0.000040,8,-
2017-04-28,0.000040,0.000040,0.000039,0.000040,4,-
2017-04-27,0.000039,0.000040,0.000039,0.000040,4,-
2017-04-26,0.000025,0.000026,0.000025,0.000025,1,-
2017-04-25,0.000038,0.000038,0.000025,0.000025,1,-
2017-04-24,0.000036,0.000038,0.000025,0.000038,24,-
2017-04-23,0.000025,0.000037,0.000024,0.000036,7,-
2017-04-22,0.000024,0.000025,0.000024,0.000025,0,-
2017-04-21,0.000025,0.000037,0.000024,0.000024,3,-
2017-04-20,0.000024,0.000024,0.000024,0.000024,0,-
2017-04-19,0.000024,0.000024,0.000024,0.000024,0,-
2017-04-18,0.000024,0.000024,0.000024,0.000024,30,-
2017-04-17,0.000024,0.000024,0.000023,0.000024,3,-
2017-04-16,0.000024,0.000024,0.000024,0.000024,10,-
2017-04-13,0.000024,0.000024,0.000023,0.000023,2,-
2017-04-12,0.000024,0.000024,0.000024,0.000024,6,-
2017-04-11,0.000024,0.000024,0.000024,0.000024,1,-
2017-04-10,0.000024,0.000036,0.000024,0.000024,30,-
2017-04-07,0.000024,0.000024,0.000023,0.000023,1,-
2017-04-06,0.000023,0.000024,0.000023,0.000024,1,-
2017-04-04,0.000034,0.000035,0.000034,0.000034,1,-
2017-04-03,0.000033,0.000035,0.000033,0.000034,1,-
2017-04-02,0.000032,0.000033,0.000032,0.000033,0,-
2017-04-01,0.000021,0.000033,0.000021,0.000032,7,-
2017-03-31,0.000021,0.000031,0.000021,0.000021,3,-
2017-03-30,0.000031,0.000031,0.000020,0.000021,10,-
2017-03-29,0.000021,0.000032,0.000020,0.000031,2,-
2017-03-28,0.000031,0.000032,0.000021,0.000021,1,-
2017-03-27,0.000019,0.000031,0.000019,0.000031,23,-
2017-03-26,0.000029,0.000030,0.000019,0.000019,147,-
2017-03-25,0.000028,0.000029,0.000018,0.000029,53,-
2017-03-24,0.000031,0.000031,0.000020,0.000028,22,-
2017-03-23,0.000042,0.000042,0.000021,0.000031,10,-
2017-03-22,0.000022,0.000054,0.000021,0.000042,96,-
2017-03-21,0.000032,0.000032,0.000021,0.000022,4,-
2017-03-20,0.000052,0.000052,0.000021,0.000032,19,-
2017-03-19,0.000020,0.000053,0.000020,0.000052,261,-
2017-03-18,0.000022,0.000033,0.000019,0.000019,41,-
2017-03-17,0.000024,0.000034,0.000022,0.000022,21,-
2017-03-16,0.000025,0.000025,0.000023,0.000024,3,-
2017-03-15,0.000025,0.000037,0.000025,0.000025,36,-
2017-03-14,0.000025,0.000037,0.000025,0.000025,5,-
2017-03-13,0.000037,0.000037,0.000024,0.000037,23,-
2017-03-12,0.000035,0.000037,0.000024,0.000037,365,-
2017-03-11,0.000033,0.000035,0.000023,0.000035,14,-
2017-03-10,0.000024,0.000048,0.000024,0.000034,37,-
2017-03-09,0.000046,0.000047,0.000023,0.000024,153,-
2017-03-08,0.000049,0.000061,0.000035,0.000046,57,-
2017-03-07,0.000038,0.000051,0.000036,0.000049,293,-
2017-03-06,0.000038,0.000051,0.000038,0.000038,114,-
2017-03-05,0.000050,0.000112,0.000025,0.000038,1602,-
2017-03-04,0.000179,0.000179,0.000013,0.000050,3194,-
2017-03-03,0.000138,0.000592,0.000089,0.000178,21199,-
2017-03-02,0.000098,0.000239,0.000087,0.000138,1883,-
2017-03-01,0.000094,0.000107,0.000094,0.000098,10,-
2017-02-28,0.000118,0.000178,0.000070,0.000094,350,-
2017-02-27,0.000058,0.000213,0.000058,0.000118,6277,-
2017-02-26,0.000034,0.000058,0.000034,0.000058,113,-
2017-02-25,0.000047,0.000047,0.000034,0.000034,58,-
2017-02-24,0.000035,0.000070,0.000035,0.000047,195,-
2017-02-23,0.000089,0.000092,0.000023,0.000035,334,-
2017-02-22,0.000033,0.000111,0.000033,0.000089,1470,-
2017-02-21,0.000032,0.000034,0.000032,0.000033,0,-
2017-02-20,0.000021,0.000032,0.000021,0.000032,8,-
2017-02-19,0.000032,0.000032,0.000021,0.000021,40,-
2017-02-18,0.000031,0.000032,0.000031,0.000032,11,-
2017-02-17,0.000031,0.000032,0.000031,0.000031,61,-
2017-02-16,0.000031,0.000031,0.000031,0.000031,63,-
2017-02-15,0.000030,0.000030,0.000030,0.000030,0,-
2017-02-14,0.000030,0.000030,0.000030,0.000030,0,-
2017-02-13,0.000030,0.000030,0.000029,0.000030,30,-
2017-02-12,0.000030,0.000040,0.000020,0.000030,23,-
2017-02-10,0.000030,0.000030,0.000029,0.000029,0,-
2017-02-09,0.000032,0.000033,0.000029,0.000030,0,-
2017-02-08,0.000032,0.000043,0.000031,0.000032,1,-
2017-02-07,0.000052,0.000053,0.000021,0.000032,5,-
2017-02-06,0.000021,0.000052,0.000021,0.000052,157,-
2017-02-05,0.000021,0.000021,0.000020,0.000021,0,-
2017-02-04,0.000031,0.000031,0.000020,0.000021,5,-
2017-02-03,0.000030,0.000031,0.000020,0.000031,138,-
2017-02-02,0.000040,0.000040,0.000030,0.000030,45,-
2017-02-01,0.000029,0.000059,0.000029,0.000040,145,-
2017-01-31,0.000028,0.000029,0.000019,0.000029,18,-
2017-01-30,0.000028,0.000028,0.000028,0.000028,3,-
2017-01-29,0.000028,0.000028,0.000018,0.000028,21,-
2017-01-28,0.000028,0.000037,0.000028,0.000028,95,-
2017-01-27,0.000028,0.000037,0.000018,0.000028,6,-
2017-01-26,0.000036,0.000036,0.000027,0.000028,9,-
2017-01-25,0.000027,0.000036,0.000027,0.000036,26,-
2017-01-24,0.000036,0.000055,0.000027,0.000027,2868,-
2017-01-23,0.000028,0.000046,0.000028,0.000037,174,-
2017-01-22,0.000028,0.000046,0.000018,0.000028,16,-
2017-01-21,0.000027,0.000046,0.000027,0.000028,22,-
2017-01-20,0.000045,0.000054,0.000018,0.000027,38,-
2017-01-19,0.000018,0.000054,0.000009,0.000045,779,-
2017-01-18,0.000009,0.000018,0.000009,0.000018,57,-
2017-01-17,0.000009,0.000009,0.000009,0.000009,92,-
2017-01-15,0.000008,0.000008,0.000008,0.000008,2,-
2017-01-14,0.000016,0.000017,0.000008,0.000008,2,-
2017-01-13,0.000008,0.000017,0.000008,0.000016,5,-
2017-01-12,0.000008,0.000008,0.000008,0.000008,0,-
2017-01-11,0.000009,0.000009,0.000008,0.000008,1,-
2017-01-10,0.000018,0.000018,0.000009,0.000009,1,-
2017-01-09,0.000018,0.000018,0.000018,0.000018,22,-
2017-01-08,0.000018,0.000019,0.000018,0.000018,2,-
2017-01-07,0.000018,0.000018,0.000016,0.000018,2,-
2017-01-06,0.000030,0.000031,0.000018,0.000018,11,-
2017-01-05,0.000012,0.000030,0.000011,0.000030,113,-
2017-01-04,0.000021,0.000022,0.000011,0.000012,0,-
2017-01-03,0.000020,0.000021,0.000020,0.000021,4,-
2017-01-02,0.000010,0.000021,0.000010,0.000020,59,-
2017-01-01,0.000019,0.000020,0.000010,0.000010,4,-
2016-12-31,0.000019,0.000029,0.000010,0.000019,232,-
2016-12-30,0.000019,0.000019,0.000010,0.000019,8,-
2016-12-29,0.000049,0.000049,0.000010,0.000019,164,-
2016-12-28,0.000009,0.000049,0.000009,0.000049,326,-
2016-12-27,0.000009,0.000009,0.000009,0.000009,8,-
2016-12-25,0.000009,0.000009,0.000009,0.000009,0,-
2016-12-24,0.000018,0.000018,0.000009,0.000009,0,-
2016-12-23,0.000017,0.000019,0.000009,0.000018,18,-
2016-12-22,0.000017,0.000018,0.000017,0.000017,1,-
2016-12-21,0.000008,0.000017,0.000008,0.000017,68,-
2016-12-20,0.000016,0.000016,0.000008,0.000008,10,-
2016-12-19,0.000016,0.000016,0.000008,0.000016,35,-
2016-12-18,0.000008,0.000016,0.000008,0.000016,53,-
2016-12-17,0.000008,0.000008,0.000008,0.000008,6,-
2016-12-16,0.000016,0.000016,0.000016,0.000016,0,-
2016-12-15,0.000016,0.000016,0.000016,0.000016,0,-
2016-12-14,0.000008,0.000016,0.000008,0.000016,49,-
2016-12-13,0.000008,0.000008,0.000008,0.000008,1,-
2016-12-12,0.000008,0.000008,0.000008,0.000008,9,-
2016-12-06,0.000015,0.000015,0.000015,0.000015,0,-
2016-12-05,0.000008,0.000015,0.000008,0.000015,0,-
2016-12-04,0.000008,0.000008,0.000008,0.000008,2,-
2016-12-03,0.000016,0.000016,0.000015,0.000015,0,-
2016-12-02,0.000008,0.000016,0.000008,0.000016,0,-
2016-12-01,0.000007,0.000008,0.000007,0.000008,0,-
2016-11-30,0.000015,0.000015,0.000007,0.000007,0,-
2016-11-29,0.000015,0.000015,0.000015,0.000015,5,-
2016-11-24,0.000015,0.000015,0.000015,0.000015,0,-
2016-11-23,0.000015,0.000015,0.000015,0.000015,0,-
2016-11-22,0.000007,0.000015,0.000007,0.000015,8,-
2016-11-21,0.000015,0.000015,0.000007,0.000007,11,-
2016-11-20,0.000023,0.000023,0.000007,0.000015,15,-
2016-11-19,0.000015,0.000023,0.000015,0.000023,7,-
2016-11-17,0.000015,0.000015,0.000015,0.000015,3,-
2016-11-16,0.000021,0.000021,0.000014,0.000015,3,-
2016-11-15,0.000014,0.000021,0.000014,0.000021,0,-
2016-11-14,0.000014,0.000014,0.000014,0.000014,0,-
2016-11-13,0.000021,0.000021,0.000021,0.000021,0,-
2016-11-12,0.000021,0.000021,0.000021,0.000021,0,-
2016-11-11,0.000021,0.000022,0.000021,0.000021,0,-
2016-11-10,0.000014,0.000021,0.000014,0.000021,1,-
2016-11-09,0.000015,0.000015,0.000014,0.000014,9,-
2016-11-08,0.000021,0.000021,0.000021,0.000021,1,-
2016-11-07,0.000021,0.000021,0.000021,0.000021,1,-
2016-11-06,0.000014,0.000014,0.000014,0.000014,0,-
2016-11-05,0.000021,0.000021,0.000014,0.000014,4,-
2016-11-04,0.000014,0.000021,0.000014,0.000021,0,-
2016-11-03,0.000014,0.000014,0.000014,0.000014,0,-
2016-11-01,0.000035,0.000036,0.000015,0.000015,1,-
2016-10-31,0.000021,0.000035,0.000021,0.000035,29,-
2016-10-30,0.000021,0.000021,0.000021,0.000021,4,-
2016-10-29,0.000014,0.000014,0.000014,0.000014,3,-
2016-10-28,0.000021,0.000021,0.000014,0.000014,3,-
2016-10-27,0.000014,0.000021,0.000014,0.000021,12,-
2016-10-26,0.000007,0.000014,0.000007,0.000014,0,-
2016-10-25,0.000013,0.000013,0.000007,0.000007,1,-
2016-10-24,0.000007,0.000007,0.000007,0.000007,2,-
2016-10-23,0.000007,0.000007,0.000007,0.000007,2,-
2016-10-21,0.000013,0.000013,0.000013,0.000013,0,-
2016-10-20,0.000013,0.000013,0.000013,0.000013,0,-
2016-10-19,0.000013,0.000013,0.000013,0.000013,0,-
2016-10-18,0.000013,0.000013,0.000013,0.000013,0,-
2016-10-17,0.000013,0.000013,0.000013,0.000013,0,-
2016-10-13,0.000013,0.000013,0.000013,0.000013,3,-
2016-10-12,0.000019,0.000019,0.000013,0.000013,3,-
2016-10-11,0.000013,0.000019,0.000013,0.000019,1,-
2016-10-09,0.000025,0.000025,0.000025,0.000025,0,-
2016-10-08,0.000012,0.000025,0.000012,0.000025,0,-
2016-10-07,0.000012,0.000012,0.000012,0.000012,0,-
2016-10-06,0.000012,0.000012,0.000012,0.000012,0,-
2016-10-03,0.000018,0.000018,0.000018,0.000018,0,-
2016-10-02,0.000018,0.000018,0.000018,0.000018,0,-
2016-10-01,0.000024,0.000024,0.000018,0.000018,0,-
2016-09-30,0.000018,0.000024,0.000018,0.000024,36,-
2016-09-29,0.000018,0.000018,0.000018,0.000018,0,-
2016-09-24,0.000006,0.000006,0.000006,0.000006,0,-
2016-09-23,0.000006,0.000006,0.000006,0.000006,0,-
2016-09-22,0.000018,0.000018,0.000018,0.000018,0,-
2016-09-21,0.000012,0.000018,0.000012,0.000018,8,-
2016-09-20,0.000012,0.000012,0.000012,0.000012,0,-
2016-09-17,0.000006,0.000006,0.000006,0.000006,1,-
2016-09-16,0.000012,0.000012,0.000006,0.000006,4,-
2016-09-15,0.000012,0.000012,0.000006,0.000012,4,-
