Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.033701,0.035106,0.033147,0.034283,37070,4434780
2017-11-23,0.034077,0.035128,0.032595,0.033760,32584,4483770
2017-11-22,0.033989,0.036475,0.033016,0.034771,30443,4471840
2017-11-21,0.032674,0.035160,0.030888,0.033875,26666,4298350
2017-11-20,0.034487,0.035548,0.032258,0.032670,39192,4536370
2017-11-19,0.033738,0.036620,0.032618,0.034518,73271,4437340
2017-11-18,0.034996,0.037478,0.032991,0.033796,78551,4602440
2017-11-17,0.034311,0.036257,0.032433,0.034539,45667,4511830
2017-11-16,0.035584,0.035761,0.032565,0.034283,61225,4678730
2017-11-15,0.031524,0.035586,0.031524,0.035409,30132,4144510
2017-11-14,0.031386,0.032419,0.030513,0.031478,12669,4125960
2017-11-13,0.029220,0.032685,0.028138,0.031227,22264,3840780
2017-11-12,0.032749,0.032749,0.026363,0.029266,95678,4304180
2017-11-11,0.033035,0.035673,0.031625,0.033204,51700,4341340
2017-11-10,0.035307,0.036745,0.031598,0.033135,57181,4639510
2017-11-09,0.034248,0.037855,0.032704,0.035408,76745,4499780
2017-11-08,0.034059,0.039832,0.032471,0.033703,173559,4474510
2017-11-07,0.032486,0.034416,0.032021,0.034177,25133,4267420
2017-11-06,0.033827,0.035414,0.031319,0.032529,48658,4443140
2017-11-05,0.033925,0.035397,0.032627,0.033290,17100,4455500
2017-11-04,0.034582,0.037254,0.033265,0.034385,62404,4541350
2017-11-03,0.032662,0.037033,0.031672,0.034060,153003,4288710
2017-11-02,0.033861,0.037207,0.030204,0.032700,170585,4445700
2017-11-01,0.031282,0.033910,0.029461,0.033830,67567,4106740
2017-10-31,0.032397,0.033628,0.030854,0.032113,40503,4252640
2017-10-30,0.030667,0.033621,0.029328,0.032680,93331,4025170
2017-10-29,0.028158,0.032085,0.027513,0.030852,40236,3695410
2017-10-28,0.029086,0.034371,0.027808,0.028195,91722,3816820
2017-10-27,0.031066,0.031082,0.027928,0.028554,12314,4076180
2017-10-26,0.030232,0.031577,0.028979,0.031071,13156,3966330
2017-10-25,0.031587,0.031978,0.029298,0.030387,25068,4143720
2017-10-24,0.027738,0.032599,0.025516,0.031572,35543,3638470
2017-10-23,0.031255,0.032183,0.026032,0.027793,32766,4099320
2017-10-22,0.028156,0.032092,0.025801,0.032092,36834,3692520
2017-10-21,0.030534,0.031192,0.026711,0.028123,21305,4003920
2017-10-20,0.031694,0.032445,0.029693,0.030599,19893,4155590
2017-10-19,0.031271,0.035341,0.030536,0.031684,64352,4099730
2017-10-18,0.032410,0.032547,0.028537,0.031739,51036,4248570
2017-10-17,0.032312,0.033200,0.031183,0.032412,18050,4235240
2017-10-16,0.033035,0.038134,0.031987,0.032043,62436,4329520
2017-10-15,0.034893,0.035146,0.030866,0.033028,19607,4572640
2017-10-14,0.033677,0.035566,0.032279,0.034561,25149,4412790
2017-10-13,0.038399,0.038913,0.032985,0.033872,40986,5031070
2017-10-12,0.034163,0.038706,0.032450,0.038281,111383,4475630
2017-10-11,0.031946,0.035155,0.031401,0.034140,19959,4184650
2017-10-10,0.030329,0.036510,0.028899,0.031505,71369,3972420
2017-10-09,0.030269,0.034865,0.027738,0.030356,41939,3964190
2017-10-08,0.038086,0.038818,0.029311,0.030261,49188,4987420
2017-10-07,0.038515,0.038532,0.037255,0.038184,32962,5043120
2017-10-06,0.037511,0.040293,0.037484,0.038914,26361,4911100
2017-10-05,0.037009,0.038898,0.035807,0.037514,32038,4844870
2017-10-04,0.038329,0.038528,0.036442,0.036949,33966,5017110
2017-10-03,0.038104,0.038913,0.036599,0.038248,37097,4987130
2017-10-02,0.038714,0.040999,0.037540,0.038105,44977,5066420
