Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001849,0.001918,0.001813,0.001911,8,-
2017-11-23,0.001810,0.001891,0.001782,0.001851,16,-
2017-11-22,0.000568,0.000572,0.000566,0.000571,49,-
2017-11-21,0.000585,0.000585,0.000559,0.000567,113,-
2017-11-20,0.001367,0.001370,0.001351,0.001368,8,-
2017-11-19,0.002098,0.002190,0.001356,0.001368,8,-
2017-11-18,0.002229,0.002236,0.001217,0.001241,39,-
2017-11-17,0.002275,0.002328,0.001211,0.002238,39,-
2017-11-16,0.002257,0.002321,0.002257,0.002279,8,-
2017-11-15,0.001071,0.001088,0.001071,0.001088,7,-
2017-11-14,0.001045,0.001075,0.001028,0.001050,7,-
2017-11-13,0.001023,0.001143,0.001008,0.001043,7,-
2017-11-11,0.001118,0.001158,0.001059,0.001086,6,-
2017-11-10,0.001112,0.001144,0.001112,0.001122,7,-
2017-11-08,0.001281,0.001307,0.001273,0.001305,7,-
2017-11-07,0.002714,0.002765,0.001275,0.001285,7,-
2017-11-06,0.001183,0.002794,0.001127,0.002718,14,-
2017-11-05,0.001427,0.001427,0.001167,0.001180,7,-
2017-11-03,0.001124,0.001396,0.001111,0.001378,15,-
2017-11-02,0.001077,0.001419,0.001077,0.001125,42,-
2017-11-01,0.001547,0.001547,0.001021,0.001075,7,-
2017-10-31,0.005209,0.005234,0.001512,0.001548,77,-
2017-10-30,0.004926,0.005284,0.004655,0.005226,25,-
2017-10-29,0.004641,0.005058,0.004638,0.004954,6,-
2017-10-27,0.004945,0.005037,0.004787,0.004810,6,-
2017-10-26,0.003097,0.004963,0.003078,0.004944,6,-
2017-10-25,0.002931,0.003102,0.002906,0.003097,115,-
2017-10-23,0.003169,0.003216,0.003002,0.003017,17,-
2017-10-22,0.004751,0.004793,0.003100,0.003174,18,-
2017-10-21,0.004744,0.004892,0.004651,0.004749,132,-
2017-10-20,0.004469,0.004785,0.004469,0.004754,18,-
2017-10-18,0.003696,0.003697,0.003463,0.003535,11,-
2017-10-17,0.003745,0.003749,0.003654,0.003696,17,-
2017-10-16,0.013547,0.013616,0.011134,0.011350,159,-
2017-10-15,0.013112,0.013682,0.013034,0.013545,159,-
2017-10-13,0.002992,0.003012,0.002973,0.003000,76,-
2017-10-12,0.002665,0.002983,0.002660,0.002983,76,-
2017-10-11,0.004810,0.006021,0.004772,0.006003,58,-
2017-10-10,0.005504,0.005733,0.004776,0.004811,129,-
2017-10-09,0.005385,0.005569,0.005363,0.005504,57,-
2017-10-08,0.007158,0.007175,0.005181,0.005384,433,-
2017-10-07,0.007479,0.007500,0.007459,0.007474,140,-
2017-10-06,0.010809,0.010989,0.007405,0.007477,140,-
2017-10-05,0.010005,0.020858,0.009942,0.010809,13,-
2017-10-04,0.012959,0.022583,0.009994,0.009996,89,-
2017-10-03,0.022989,0.023110,0.012832,0.012929,4,-
2017-10-02,0.027946,0.028162,0.009959,0.010003,9,-
2017-10-01,0.026286,0.029609,0.008788,0.027959,215,-
2017-09-30,0.006467,0.029631,0.006461,0.026272,13,-
2017-09-29,0.009561,0.030230,0.005829,0.006466,638,-
2017-09-28,0.005762,0.009600,0.005629,0.009569,21,-
2017-09-27,0.005327,0.005666,0.005327,0.005602,4,-
2017-09-26,0.004877,0.008226,0.004877,0.005342,23,-
2017-09-25,0.004333,0.004923,0.004332,0.004878,16,-
2017-09-24,0.004433,0.004433,0.004221,0.004338,4,-
2017-09-23,0.005231,0.005532,0.004337,0.004433,4,-
2017-09-22,0.005974,0.008272,0.005127,0.005245,25,-
2017-09-21,0.012764,0.012764,0.005813,0.005945,11,-
2017-09-20,0.007945,0.008158,0.007807,0.008140,36,-
2017-09-19,0.008165,0.008217,0.007770,0.007955,35,-
2017-09-18,0.010568,0.040319,0.003891,0.008145,471,-
2017-09-17,0.011292,0.011292,0.002137,0.010589,392,-
2017-09-16,0.011165,0.025740,0.004076,0.011225,639,-
2017-09-15,0.003504,0.011368,0.003198,0.011194,1376,-
2017-09-14,0.004420,0.007587,0.003477,0.003477,39,-
2017-09-13,0.004293,0.004518,0.003931,0.004420,12,-
2017-09-12,0.004336,0.004553,0.004226,0.004292,4,-
2017-09-11,0.004343,0.005498,0.004219,0.004337,29,-
2017-09-10,0.004038,0.004405,0.003724,0.004329,4,-
2017-09-09,0.008484,0.008484,0.003868,0.004034,4,-
2017-09-08,0.004263,0.008519,0.004145,0.008468,9,-
2017-09-07,0.008308,0.009202,0.003885,0.004262,9,-
2017-09-06,0.004965,0.008324,0.003849,0.008324,65,-
2017-09-05,0.003359,0.003435,0.003164,0.003432,4,-
2017-09-04,0.003649,0.003652,0.003281,0.003341,9,-
2017-09-03,0.003458,0.004117,0.003457,0.003648,23,-
2017-09-02,0.003496,0.003596,0.003283,0.003456,9,-
2017-09-01,0.003542,0.003542,0.003447,0.003492,20,-
2017-08-31,0.003114,0.003573,0.003090,0.003554,5,-
2017-08-30,0.003032,0.003233,0.003010,0.003119,14,-
2017-08-29,0.003674,0.003833,0.002999,0.003036,32,-
2017-08-28,0.003475,0.003517,0.003471,0.003502,4,-
2017-08-27,0.003172,0.003213,0.003154,0.003192,4,-
2017-08-26,0.003187,0.011215,0.003075,0.003173,30,-
2017-08-25,0.005021,0.005085,0.003138,0.003181,31,-
2017-08-24,0.005759,0.005858,0.004685,0.005029,9,-
2017-08-23,0.006007,0.027165,0.005633,0.005756,613,-
2017-08-22,0.005881,0.006134,0.005325,0.006019,53,-
2017-08-21,0.005396,0.005962,0.005278,0.005868,4,-
2017-08-20,0.004726,0.005523,0.004576,0.005416,29,-
2017-08-19,0.003994,0.004757,0.003994,0.004748,42,-
2017-08-18,0.008260,0.008330,0.003317,0.003517,4,-
2017-08-17,0.002151,0.008427,0.002137,0.008285,159,-
2017-08-16,0.003198,0.003244,0.001980,0.002153,4,-
2017-08-15,0.001947,0.003378,0.001583,0.003195,33,-
2017-08-14,0.001990,0.002051,0.001895,0.001942,9,-
2017-08-13,0.001857,0.002490,0.001852,0.001989,8,-
2017-08-12,0.001679,0.002620,0.001626,0.001858,23,-
2017-08-11,0.002425,0.002487,0.001152,0.001680,4,-
2017-08-10,0.002176,0.007466,0.002174,0.002426,24,-
2017-08-08,0.000984,0.001010,0.000971,0.000979,7,-
2017-08-07,0.002029,0.002125,0.000866,0.000983,20,-
2017-08-06,0.002083,0.002107,0.001991,0.002033,3,-
2017-08-05,0.001741,0.007900,0.001740,0.002083,3,-
2017-08-04,0.001282,0.001746,0.001281,0.001742,3,-
2017-08-03,0.008112,0.008171,0.000813,0.001282,70,-
2017-08-02,0.000464,0.008097,0.000458,0.008097,81,-
2017-08-01,0.000229,0.002784,0.000213,0.000464,3,-
2017-07-31,0.001425,0.001588,0.000228,0.000229,106,-
2017-07-30,0.001794,0.002926,0.001414,0.001424,11,-
2017-07-29,0.001613,0.006361,0.001597,0.001794,3,-
2017-07-28,0.002555,0.007058,0.001359,0.001619,22,-
2017-07-27,0.002399,0.002571,0.002389,0.002547,3,-
2017-07-26,0.003431,0.003492,0.002149,0.002392,5,-
2017-07-25,0.005240,0.005350,0.003409,0.003429,23,-
2017-07-24,0.005254,0.005423,0.005150,0.005241,6,-
2017-07-23,0.013501,0.013628,0.005026,0.005260,8,-
2017-07-22,0.005228,0.013643,0.005203,0.013501,48,-
2017-07-21,0.005409,0.006794,0.005055,0.005229,35,-
