Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000769,0.001150,0.000740,0.000819,4019,373963
2017-11-23,0.000877,0.000947,0.000648,0.000765,784,426657
2017-11-22,0.000871,0.001394,0.000648,0.000877,441,423464
2017-11-21,0.001027,0.001359,0.000560,0.000866,441,499455
2017-11-20,0.000882,0.001048,0.000642,0.001028,41,428769
2017-11-19,0.000827,0.001274,0.000746,0.000875,133,402064
2017-11-18,0.000633,0.000830,0.000529,0.000830,327,307778
2017-11-17,0.000623,0.000941,0.000575,0.000639,282,302797
2017-11-16,0.001240,0.003927,0.000490,0.000625,153,602914
2017-11-15,0.000499,0.001492,0.000470,0.001239,409,242617
2017-11-14,0.000482,0.000563,0.000442,0.000498,180,234271
2017-11-13,0.000626,0.000888,0.000473,0.000481,120,304368
2017-11-12,0.000873,0.001095,0.000481,0.000624,132,424395
2017-11-11,0.000577,0.001220,0.000492,0.000802,384,280408
2017-11-10,0.002403,0.002492,0.000499,0.000549,303,1168250
2017-11-09,0.000631,0.003984,0.000536,0.002401,203,306879
2017-11-08,0.000561,0.000632,0.000544,0.000632,115,272707
2017-11-07,0.000345,0.000564,0.000345,0.000562,287,167745
2017-11-06,0.000538,0.000658,0.000333,0.000346,281,261537
2017-11-05,0.000482,0.000836,0.000470,0.000537,286,234209
2017-11-04,0.000688,0.001108,0.000481,0.000484,36,334202
2017-11-03,0.000555,0.001019,0.000523,0.000693,39,269476
2017-11-02,0.000418,0.000559,0.000415,0.000556,617,202924
2017-11-01,0.000539,0.000757,0.000409,0.000417,500,261702
2017-10-31,0.000674,0.000727,0.000517,0.000540,2241,327156
2017-10-30,0.000532,0.000772,0.000502,0.000668,454,258363
2017-10-29,0.000690,0.000725,0.000525,0.000528,95,335300
2017-10-28,0.000648,0.000704,0.000635,0.000692,307,314556
2017-10-27,0.001040,0.001068,0.000656,0.000683,326,505321
2017-10-26,0.000642,0.001077,0.000638,0.001049,425,311850
2017-10-25,0.000631,0.000903,0.000585,0.000644,279,306406
2017-10-24,0.000795,0.001219,0.000603,0.000630,135,385898
2017-10-23,0.000683,0.000874,0.000636,0.000796,987,331631
2017-10-22,0.000679,0.000714,0.000624,0.000683,428,329743
2017-10-21,0.000725,0.000825,0.000672,0.000679,416,351917
2017-10-20,0.000995,0.001332,0.000666,0.000726,544,483172
2017-10-19,0.000684,0.001012,0.000647,0.000990,264,332237
2017-10-18,0.000764,0.001033,0.000669,0.000688,227,371078
2017-10-17,0.000750,0.000970,0.000672,0.000691,214,364129
2017-10-16,0.000638,0.001208,0.000638,0.000752,210,309497
2017-10-15,0.000672,0.000771,0.000577,0.000638,281,325877
2017-10-14,0.000725,0.000879,0.000644,0.000670,677,351984
2017-10-13,0.000624,0.000725,0.000610,0.000725,252,302723
2017-10-12,0.000587,0.000712,0.000579,0.000618,107,285079
2017-10-11,0.000831,0.000839,0.000580,0.000587,535,403040
2017-10-10,0.000616,0.001409,0.000571,0.000820,1397,298825
2017-10-09,0.000587,0.000676,0.000518,0.000622,472,284884
2017-10-08,0.000530,0.000641,0.000427,0.000587,812,256961
2017-10-07,0.000727,0.002266,0.000439,0.000531,1601,352699
2017-10-06,0.000804,0.000820,0.000595,0.000726,161,390241
2017-10-05,0.000537,0.001611,0.000515,0.000807,648,260489
2017-10-04,0.000540,0.000629,0.000496,0.000536,111,261774
2017-10-03,0.000531,0.002856,0.000499,0.000539,46,257733
2017-10-02,0.000542,0.000609,0.000490,0.000532,140,262845
2017-10-01,0.000503,0.000615,0.000491,0.000542,357,244004
2017-09-30,0.000495,0.000627,0.000466,0.000502,205,240326
2017-09-29,0.000538,0.000539,0.000410,0.000491,836,260758
2017-09-28,0.000995,0.001972,0.000536,0.000538,86,482805
2017-09-27,0.000702,0.002013,0.000471,0.001004,259,340328
2017-09-26,0.000999,0.001210,0.000508,0.000701,493,484489
2017-09-25,0.000601,0.000998,0.000478,0.000998,385,291657
2017-09-24,0.000557,0.000688,0.000486,0.000602,226,270234
2017-09-23,0.000464,0.001360,0.000462,0.000557,209,225129
2017-09-22,0.000606,0.002852,0.000397,0.000466,326,294047
2017-09-21,0.000436,0.000689,0.000428,0.000606,845,211384
2017-09-20,0.000502,0.000736,0.000437,0.000438,167,243315
2017-09-19,0.000774,0.000776,0.000488,0.000502,245,375330
2017-09-18,0.000549,0.001082,0.000531,0.000775,217,266077
2017-09-17,0.000607,0.000627,0.000433,0.000549,757,294319
2017-09-16,0.000474,0.000934,0.000431,0.000610,553,229895
2017-09-15,0.001467,0.001467,0.000390,0.000474,1383,711202
