Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.161281,0.182835,0.152676,0.180208,82110,36672800
2017-11-23,0.169835,0.176512,0.152927,0.162086,260091,38618000
2017-11-22,0.164914,0.169468,0.151975,0.169468,161168,37498900
2017-11-21,0.164504,0.176017,0.146961,0.164694,337132,37405800
2017-11-20,0.167838,0.180167,0.157069,0.164754,288399,38163800
2017-11-19,0.191209,0.196198,0.149280,0.168520,480040,43478000
2017-11-18,0.188268,0.199177,0.177296,0.191701,452925,42809200
2017-11-17,0.194750,0.194791,0.169221,0.189652,339417,44283300
2017-11-16,0.183961,0.189476,0.161224,0.188299,587424,41829900
2017-11-15,0.155404,0.186316,0.155404,0.179970,725580,35336600
2017-11-14,0.125575,0.158706,0.123720,0.152392,466356,28553900
2017-11-13,0.109199,0.132830,0.109199,0.132830,439908,24830100
2017-11-12,0.121796,0.121796,0.100612,0.109007,115560,27694600
2017-11-11,0.114819,0.125054,0.114514,0.121667,144006,26108200
2017-11-10,0.117866,0.127144,0.109309,0.118369,99091,26801000
2017-11-09,0.103925,0.132692,0.103473,0.117805,120330,23630900
2017-11-08,0.099710,0.108690,0.093254,0.104443,257679,22672400
2017-11-07,0.105070,0.108219,0.095730,0.099782,166743,23891200
2017-11-06,0.109716,0.110704,0.102099,0.104862,86841,24947700
2017-11-05,0.101515,0.109667,0.097385,0.109606,68063,23082900
2017-11-04,0.104682,0.117786,0.100695,0.101393,97722,23803200
2017-11-03,0.098039,0.111128,0.096877,0.104670,84289,22292600
2017-11-02,0.106421,0.107642,0.091356,0.097571,97011,24198600
2017-11-01,0.119446,0.120044,0.100541,0.106133,98919,27160100
2017-10-31,0.124958,0.129963,0.107695,0.119657,121233,28413400
2017-10-30,0.119324,0.130016,0.110434,0.124900,119875,27132400
2017-10-29,0.108595,0.128480,0.105244,0.118769,115963,24692900
2017-10-28,0.092097,0.129920,0.092097,0.108655,122933,20941600
2017-10-27,0.130406,0.137642,0.090788,0.092010,178147,29652400
2017-10-26,0.143527,0.146467,0.123253,0.132591,141154,32635900
2017-10-25,0.135926,0.148265,0.121340,0.143828,284565,30907500
2017-10-24,0.118370,0.149002,0.113548,0.135754,328981,26915600
2017-10-23,0.116418,0.131386,0.104737,0.116745,146622,26471600
2017-10-22,0.099132,0.126594,0.095527,0.116373,117778,22541200
2017-10-21,0.095895,0.105698,0.092061,0.099134,86528,21805100
2017-10-20,0.101032,0.106617,0.089963,0.096021,115520,22973000
2017-10-19,0.090716,0.118788,0.088402,0.101111,259554,20627500
2017-10-18,0.079341,0.118207,0.077776,0.090916,231800,18040900
2017-10-17,0.064692,0.079508,0.062700,0.079441,38650,14709900
2017-10-16,0.068967,0.095166,0.060014,0.067214,39660,15682000
2017-10-15,0.074090,0.112262,0.064175,0.068795,36405,16847000
2017-10-14,0.069138,0.077964,0.059975,0.073995,45128,15720800
2017-10-13,0.067098,0.071753,0.057482,0.069070,38435,15257100
2017-10-12,0.063133,0.068334,0.056050,0.067367,45906,14355600
2017-10-11,0.059087,0.069071,0.058119,0.063125,11639,13435400
2017-10-10,0.049233,0.066767,0.047941,0.059131,27423,11194900
2017-10-09,0.051676,0.057113,0.045347,0.049126,49960,11750400
2017-10-08,0.060469,0.061404,0.050995,0.052177,24933,13749700
2017-10-07,0.071154,0.071749,0.056618,0.059727,30283,16179400
2017-10-06,0.064434,0.071478,0.055832,0.071426,22993,36083300
2017-10-05,0.056974,0.065739,0.052702,0.064419,45215,31905400
2017-10-04,0.062574,0.064243,0.048433,0.056899,39581,35041300
2017-10-03,0.063698,0.067162,0.032522,0.062325,20403,35670800
2017-10-02,0.063796,0.074385,0.057846,0.063510,36216,35725700
2017-10-01,0.084386,0.089632,0.063065,0.063800,25408,47256100
2017-09-30,0.059101,0.086786,0.056007,0.084433,76816,33096300
2017-09-29,0.072046,0.095273,0.057510,0.059087,44375,40345600
2017-09-28,0.066745,0.074950,0.065611,0.072176,36131,37377400
2017-09-27,0.061694,0.073598,0.059605,0.066787,34326,34548800
2017-09-26,0.069002,0.072247,0.059537,0.061768,45941,38641200
2017-09-25,0.070332,0.165904,0.067476,0.068609,14087,39385900
2017-09-24,0.073141,0.375233,0.065386,0.070216,20750,40959200
2017-09-23,0.068704,0.076838,0.061471,0.073139,27388,38474200
2017-09-22,0.075622,0.085795,0.055937,0.068787,82644,42348200
2017-09-21,0.076172,0.077072,0.059694,0.075652,63339,42656500
2017-09-20,0.071525,0.081142,0.071291,0.078044,60382,40053700
2017-09-19,0.082093,0.085550,0.071303,0.071590,38782,45972300
2017-09-18,0.086218,0.102269,0.077199,0.081840,93453,48282000
2017-09-17,0.073616,0.090951,0.066319,0.086462,138786,41224800
2017-09-16,0.072786,0.083925,0.071764,0.073736,185929,40760300
2017-09-15,0.062093,0.105828,0.053705,0.076126,95562,34772000
2017-09-14,0.073935,0.078259,0.060034,0.061884,37394,41403800
2017-09-13,0.077656,0.084882,0.069593,0.074150,67254,43487100
2017-09-12,0.084654,0.114941,0.076484,0.077642,33374,47406000
2017-09-11,0.079598,0.108280,0.074982,0.084603,49633,44574900
2017-09-10,0.083114,0.085102,0.076100,0.079368,23176,46543900
2017-09-09,0.085247,0.089372,0.079445,0.083108,36948,47738300
2017-09-08,0.096899,0.099654,0.078788,0.084079,48027,54263400
2017-09-07,0.097671,0.099869,0.089209,0.097021,78714,54695700
2017-09-06,0.095806,0.106795,0.095111,0.096150,57945,53651500
2017-09-05,0.090194,0.103712,0.086847,0.095360,66921,50508900
2017-09-04,0.094904,0.102444,0.075831,0.089812,75433,53146100
2017-09-03,0.089176,0.129711,0.078495,0.094862,71286,49938800
2017-09-02,0.086228,0.090769,0.075100,0.088755,85950,48287500
2017-09-01,0.095001,0.100112,0.079708,0.085099,169899,53200500
2017-08-31,0.102043,0.111119,0.081229,0.095004,86131,57143900
2017-08-30,0.123719,0.125529,0.081988,0.101990,202993,69282800
2017-08-29,0.105632,0.129313,0.102847,0.121087,54834,59153800
2017-08-28,0.116540,0.122006,0.094635,0.105887,157062,65262300
2017-08-27,0.122331,0.137388,0.115560,0.116424,101704,68505500
2017-08-26,0.122296,0.136435,0.115551,0.121859,98620,68486000
