Date,Open,High,Low,Close,Volume,Market_cap
2017-11-23,0.000165,0.000165,0.000162,0.000163,1,-
2017-11-22,0.000165,0.000165,0.000162,0.000165,1,-
2017-11-21,0.000165,0.000165,0.000156,0.000162,97,-
2017-11-20,0.000160,0.000166,0.000159,0.000165,99,-
2017-11-17,0.000314,0.000321,0.000303,0.000309,2,-
2017-11-16,0.000219,0.000320,0.000214,0.000314,2,-
2017-11-15,0.000198,0.000220,0.000136,0.000218,10,-
2017-11-14,0.000133,0.000199,0.000129,0.000198,34,-
2017-11-11,0.000131,0.000136,0.000131,0.000133,1,-
2017-11-10,0.000214,0.000293,0.000129,0.000132,5,-
2017-11-09,0.000149,0.000217,0.000141,0.000213,36,-
2017-11-08,0.000144,0.000150,0.000143,0.000150,10,-
2017-11-06,0.000074,0.000074,0.000070,0.000070,4,-
2017-11-05,0.000074,0.000076,0.000073,0.000074,19,-
2017-11-03,0.000070,0.000075,0.000069,0.000074,26,-
2017-11-02,0.000070,0.000073,0.000068,0.000070,24,-
2017-10-30,0.000123,0.000124,0.000122,0.000123,2,-
2017-10-29,0.000115,0.000126,0.000115,0.000124,2,-
2017-10-25,0.000166,0.000169,0.000161,0.000163,1,-
2017-10-24,0.000059,0.000172,0.000058,0.000165,1,-
2017-10-23,0.000059,0.000061,0.000057,0.000059,10,-
2017-10-20,0.000171,0.000182,0.000169,0.000180,2,-
2017-10-19,0.000056,0.000172,0.000055,0.000171,2,-
2017-10-18,0.000056,0.000056,0.000051,0.000056,2,-
2017-10-17,0.000173,0.000174,0.000055,0.000056,11,-
2017-10-16,0.000171,0.000174,0.000167,0.000173,3,-
2017-10-15,0.000168,0.000172,0.000164,0.000171,5,-
2017-10-13,0.000163,0.000176,0.000162,0.000168,6,-
2017-10-12,0.000145,0.000163,0.000144,0.000163,5,-
2017-10-11,0.000144,0.000146,0.000143,0.000145,1,-
2017-10-08,0.000133,0.000137,0.000133,0.000137,1,-
2017-10-07,0.000175,0.000175,0.000130,0.000134,3,-
