Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.369685,0.420466,0.348128,0.408909,33693,1501600
2017-11-23,0.406667,0.423891,0.360266,0.380038,31731,1624250
2017-11-22,0.406114,0.443191,0.392122,0.407271,53068,1591820
2017-11-21,0.408124,0.456013,0.375586,0.405038,54845,1570470
2017-11-20,0.385973,0.434711,0.350281,0.408051,105930,1455630
2017-11-19,0.373964,0.430724,0.359381,0.386409,47568,1384030
2017-11-18,0.388524,0.434047,0.371423,0.371423,24708,1409480
2017-11-17,0.425997,0.492623,0.374121,0.390097,55535,1514960
2017-11-16,0.390820,0.450907,0.387742,0.428541,33069,1360700
2017-11-15,0.414033,0.440656,0.378310,0.388655,44336,1411700
2017-11-14,0.394741,0.448467,0.390981,0.413624,32620,1316810
2017-11-13,0.412995,0.469263,0.365362,0.396977,42335,1349150
2017-11-12,0.355759,0.446335,0.320514,0.411852,43975,1134390
2017-11-11,0.446367,0.471671,0.288624,0.355931,55542,1392760
2017-11-10,0.515889,0.542806,0.414055,0.464182,57574,1572530
2017-11-09,0.638457,0.638457,0.504583,0.513075,94210,1901980
2017-11-08,0.556175,0.675098,0.552872,0.635548,100530,1616610
2017-11-07,0.564496,0.659648,0.469878,0.560580,305699,1602590
2017-11-06,0.391769,0.747874,0.351171,0.571372,370387,1078030
2017-11-05,0.278907,0.387145,0.276188,0.387145,59923,745755
2017-11-04,0.289040,0.305806,0.268401,0.278213,14099,752282
2017-11-03,0.291574,0.315084,0.264661,0.288157,24190,737282
2017-11-02,0.269849,0.304148,0.262482,0.289904,22425,662301
2017-11-01,0.336630,0.337474,0.241165,0.275112,29054,801986
2017-10-31,0.422249,0.451493,0.306459,0.359802,82688,976850
2017-10-30,0.215492,0.493239,0.209532,0.416117,166560,481240
2017-10-29,0.177984,0.260650,0.177819,0.253909,29571,383710
2017-10-28,0.158414,0.254010,0.155469,0.183544,23137,-
2017-10-27,0.114543,0.196763,0.114543,0.195193,9082,-
