Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,6.95,7.00,6.19,6.86,224397,5908330
2017-11-23,7.08,7.30,6.97,6.97,173455,6017930
2017-11-22,7.28,7.35,7.00,7.08,192294,6189680
2017-11-21,7.58,7.59,7.23,7.27,178644,6446680
2017-11-20,7.69,7.71,7.52,7.59,180110,6537560
2017-11-19,7.01,7.80,6.99,7.68,174308,5958350
2017-11-18,6.52,7.04,6.42,7.02,170282,5542250
2017-11-17,6.66,6.70,6.37,6.53,155607,5662120
2017-11-16,7.06,10.86,6.35,6.67,203411,5997730
2017-11-15,6.11,7.20,6.11,7.04,150196,5193910
2017-11-14,5.73,6.17,5.73,6.11,121060,4869790
2017-11-13,6.22,6.39,5.60,5.73,103224,5289270
2017-11-12,6.26,6.41,5.20,6.22,123779,5324140
2017-11-11,8.50,8.68,6.22,6.26,164016,7223650
2017-11-10,8.99,9.10,8.41,8.52,134572,7637420
2017-11-09,9.20,9.20,8.56,8.97,183305,7823830
2017-11-08,7.34,9.32,7.32,9.23,143018,6236880
2017-11-07,7.33,7.50,7.26,7.35,85920,6227460
2017-11-06,7.10,7.42,7.03,7.33,170591,6034310
2017-11-05,7.05,7.14,7.03,7.09,156300,5992970
2017-11-04,6.94,7.16,6.81,7.05,170735,5897190
2017-11-03,7.30,7.33,6.87,6.94,158817,6206280
2017-11-02,7.60,7.65,7.18,7.29,121337,6462540
2017-11-01,7.78,7.78,7.52,7.61,159638,6610410
2017-10-31,7.87,7.97,7.76,7.79,150235,6690480
2017-10-30,8.00,8.02,7.82,7.88,140672,6801310
2017-10-29,8.05,8.25,8.02,8.03,159841,6839520
2017-10-28,8.38,8.43,8.03,8.05,173295,7120130
2017-10-27,8.37,8.47,8.30,8.35,155682,7112990
2017-10-26,8.67,8.73,8.30,8.37,166237,7371570
2017-10-25,8.82,8.83,8.48,8.68,172030,7493560
2017-10-24,8.21,8.94,8.05,8.80,179061,6980410
2017-10-23,8.17,8.35,8.03,8.22,173492,6942040
2017-10-22,8.11,8.53,7.85,8.17,171024,6894350
2017-10-21,8.02,8.27,7.92,8.12,161951,6819970
2017-10-20,8.44,8.57,8.01,8.03,192838,7174730
2017-10-19,8.63,8.67,8.44,8.44,182223,7332640
2017-10-18,8.68,8.68,8.02,8.64,171832,7375160
2017-10-17,8.93,8.97,8.67,8.67,133935,7586360
2017-10-16,9.12,9.20,8.83,8.92,146714,7755780
2017-10-15,8.80,9.13,8.77,9.12,41638,7479780
2017-10-14,9.43,9.43,8.61,8.79,55118,8013020
2017-10-13,9.44,10.83,8.72,9.41,63551,8019850
2017-10-12,9.38,9.79,9.35,9.45,82502,7975760
2017-10-11,9.07,9.38,9.05,9.38,74944,7710150
2017-10-10,8.78,9.19,8.67,9.07,73481,7465570
2017-10-09,9.24,9.36,8.78,8.78,79078,7854510
2017-10-08,10.27,10.30,8.98,9.20,92603,8727300
