Date,Open,High,Low,Close,Volume,Market_cap
2017-11-07,0.000070,0.000072,0.000070,0.000071,3567,3478
2017-11-06,0.000073,0.000074,0.000069,0.000070,3478,3658
2017-11-01,0.000064,0.000064,0.000064,0.000064,1,3221
2017-10-31,0.000061,0.000064,0.000061,0.000064,1,3063
2017-10-30,0.000062,0.000062,0.000060,0.000061,265,3077
2017-10-29,0.000057,0.000063,0.000057,0.000062,11,2863
2017-10-28,0.000058,0.000059,0.000057,0.000057,85,2881
2017-10-27,0.000059,0.000060,0.000057,0.000057,873,2942
2017-10-26,0.000057,0.000060,0.000057,0.000059,11,2866
2017-10-25,0.000055,0.000057,0.000054,0.000057,77,2758
2017-10-24,0.000059,0.000059,0.000055,0.000055,14,2932
2017-10-23,0.000060,0.000061,0.000057,0.000059,135,2989
2017-10-22,0.000060,0.000061,0.000057,0.000060,21,3006
2017-10-21,0.000060,0.000062,0.000059,0.000060,11,3002
2017-10-20,0.000057,0.000061,0.000056,0.000060,11,2851
2017-10-19,0.000056,0.000057,0.000055,0.000057,4,2793
2017-10-18,0.000056,0.000056,0.000051,0.000056,12,2799
2017-10-17,0.000058,0.000058,0.000055,0.000056,21,2889
2017-10-16,0.000057,0.000058,0.000056,0.000058,46,2845
2017-10-15,0.000059,0.000059,0.000055,0.000057,8,2925
2017-10-14,0.000057,0.000058,0.000056,0.000058,9,2827
2017-10-13,0.000054,0.000059,0.000054,0.000057,30,2719
2017-10-12,0.000048,0.000054,0.000048,0.000054,74,2412
2017-10-11,0.000048,0.000049,0.000047,0.000048,176,2381
2017-10-10,0.000048,0.000049,0.000047,0.000048,13,2392
2017-10-09,0.000046,0.000049,0.000046,0.000048,46,2301
2017-10-08,0.000044,0.000046,0.000044,0.000046,18,2221
2017-10-07,0.000044,0.000045,0.000043,0.000045,110,2186
2017-10-06,0.000043,0.000044,0.000043,0.000044,3,2161
2017-10-05,0.000042,0.000044,0.000042,0.000043,118,2110
2017-10-04,0.000043,0.000043,0.000042,0.000042,855,2159
2017-10-03,0.000044,0.000044,0.000042,0.000043,33,2201
2017-10-02,0.000044,0.000045,0.000044,0.000044,161,2196
2017-10-01,0.000043,0.000044,0.000043,0.000044,25,2172
2017-09-30,0.000042,0.000044,0.000042,0.000043,679,2085
2017-09-29,0.000042,0.000042,0.000040,0.000042,5,2096
2017-09-28,0.000042,0.000043,0.000041,0.000042,12,2103
2017-09-27,0.000039,0.000042,0.000039,0.000042,30,1944
2017-09-26,0.000039,0.000040,0.000039,0.000039,50,1966
2017-09-25,0.000037,0.000040,0.000037,0.000039,943,1836
2017-09-24,0.000038,0.000038,0.000036,0.000037,13,1894
2017-09-23,0.000036,0.000038,0.000036,0.000038,63,1803
2017-09-22,0.000036,0.000038,0.000035,0.000036,13,1810
2017-09-21,0.000039,0.000039,0.000036,0.000036,2,1939
2017-09-20,0.000039,0.000040,0.000038,0.000039,10,1956
2017-09-19,0.000041,0.000041,0.000039,0.000039,17,2051
2017-09-18,0.000037,0.000041,0.000037,0.000041,42,1847
2017-09-17,0.000037,0.000038,0.000035,0.000037,47,1857
2017-09-16,0.000037,0.000039,0.000036,0.000037,3,1854
2017-09-15,0.000032,0.000038,0.000030,0.000037,199,1622
2017-09-14,0.000039,0.000039,0.000032,0.000032,8,1938
2017-09-13,0.000042,0.000042,0.000038,0.000039,42,2076
2017-09-12,0.000042,0.000044,0.000041,0.000042,32,2106
2017-09-11,0.000043,0.000044,0.000041,0.000042,91,2124
2017-09-10,0.000043,0.000043,0.000040,0.000043,23,2165
2017-09-09,0.000043,0.000044,0.000042,0.000043,63,2164
2017-09-08,0.000046,0.000047,0.000041,0.000043,148,2316
2017-09-07,0.000046,0.000047,0.000045,0.000046,99,2307
2017-09-06,0.000044,0.000048,0.000044,0.000046,67,2209
2017-09-05,0.000043,0.000045,0.000041,0.000044,66,2152
2017-09-04,0.000046,0.000046,0.000042,0.000043,110,2309
2017-09-03,0.000046,0.000047,0.000044,0.000046,158,2305
2017-09-02,0.000049,0.000050,0.000045,0.000046,72,2461
2017-09-01,0.000047,0.000049,0.000047,0.000049,529,2368
2017-08-31,0.000046,0.000048,0.000046,0.000047,66,2289
2017-08-30,0.000046,0.000047,0.000045,0.000046,491,2296
2017-08-29,0.000044,0.000046,0.000043,0.000046,114,2190
2017-08-28,0.000043,0.000044,0.000042,0.000044,67,2171
2017-08-27,0.000043,0.000044,0.000043,0.000043,50,2171
2017-08-26,0.000044,0.000044,0.000043,0.000043,173,2183
2017-08-25,0.000043,0.000045,0.000043,0.000044,81,2164
2017-08-24,0.000041,0.000044,0.000041,0.000043,511,2071
2017-08-23,0.000041,0.000043,0.000041,0.000041,38,2042
2017-08-22,0.000040,0.000041,0.000036,0.000041,169,2000
2017-08-21,0.000041,0.000041,0.000040,0.000040,30,2028
2017-08-20,0.000041,0.000042,0.000040,0.000041,156,2072
2017-08-19,0.000041,0.000042,0.000040,0.000042,34,2054
2017-08-18,0.000043,0.000044,0.000040,0.000041,18,2139
2017-08-17,0.000044,0.000045,0.000042,0.000043,85,2194
