Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002432,0.002607,0.001306,0.001316,13,28753
2017-11-23,0.008259,0.008299,0.002086,0.002436,38,97630
2017-11-22,0.001647,0.008355,0.001640,0.008261,196,19471
2017-11-21,0.001648,0.001679,0.001225,0.001643,120,19486
2017-11-20,0.001609,0.001657,0.001510,0.001648,21,19017
2017-11-19,0.002281,0.002293,0.001547,0.001609,1,26964
2017-11-18,0.005046,0.006888,0.002258,0.002285,46,59652
2017-11-17,0.001761,0.005346,0.001753,0.005065,106,20813
2017-11-16,0.002052,0.002545,0.001670,0.001763,103,24254
2017-11-15,0.002395,0.003167,0.001910,0.002041,115,28310
2017-11-14,0.001437,0.008709,0.001285,0.002393,2098,16985
2017-11-13,0.001292,0.001463,0.001282,0.001434,1,15269
2017-11-12,0.001336,0.001510,0.001218,0.001290,3,15792
2017-11-11,0.002244,0.002324,0.001309,0.001337,34,26525
2017-11-10,0.002388,0.002639,0.001641,0.002252,8,28230
2017-11-09,0.002569,0.002569,0.002373,0.002381,85,30369
2017-11-08,0.001779,0.002671,0.001768,0.002572,86,21031
2017-11-07,0.001830,0.002236,0.001754,0.001785,11,21638
2017-11-06,0.002843,0.002852,0.001823,0.001833,9,33614
2017-11-05,0.001918,0.003849,0.001142,0.002837,275,22674
2017-11-04,0.002652,0.002724,0.001919,0.001922,13,31348
2017-11-03,0.001967,0.002718,0.001945,0.002659,5,23248
2017-11-02,0.001817,0.002047,0.001817,0.001969,2,21477
2017-11-01,0.002384,0.002385,0.001784,0.001815,5,28186
2017-10-31,0.002267,0.002386,0.002255,0.002386,1,26803
2017-10-30,0.001601,0.002275,0.001569,0.002275,6,18924
2017-10-29,0.001887,0.001983,0.001550,0.001610,21,22309
2017-10-28,0.001902,0.001937,0.001892,0.001906,12,22484
2017-10-27,0.001940,0.001954,0.001881,0.001897,12,22929
2017-10-26,0.001663,0.001663,0.001657,0.001657,3,19659
2017-10-25,0.001766,0.001770,0.001561,0.001663,3,20876
2017-10-24,0.001994,0.001994,0.001755,0.001765,15,23576
2017-10-23,0.001674,0.002003,0.001568,0.001999,100,19792
2017-10-22,0.001687,0.001702,0.001609,0.001677,1,19945
2017-10-21,0.001949,0.001949,0.001599,0.001628,420,23036
2017-10-20,0.001883,0.001888,0.001855,0.001867,15,22255
2017-10-19,0.001868,0.001895,0.001854,0.001882,15,22082
2017-10-17,0.002187,0.002277,0.002122,0.002229,4,25859
2017-10-16,0.002246,0.002251,0.002011,0.002187,16,26546
2017-10-14,0.002452,0.002452,0.002182,0.002244,2,28986
2017-10-13,0.003264,0.003526,0.002394,0.002451,3,38591
2017-10-12,0.002036,0.003254,0.002017,0.003254,7,24073
2017-10-11,0.002191,0.002213,0.001826,0.002035,431,25900
2017-10-10,0.002297,0.002333,0.002094,0.002191,368,27159
2017-10-09,0.002504,0.002636,0.002227,0.002298,4,29604
2017-10-08,0.001889,0.002620,0.001784,0.002504,58,22334
2017-10-07,0.001802,0.002071,0.001778,0.001894,82,21305
2017-10-06,0.003193,0.003220,0.001784,0.001802,27,37741
2017-10-05,0.002005,0.003224,0.000221,0.003193,193,23705
2017-10-04,0.001771,0.002015,0.001682,0.002003,55,20937
2017-10-03,0.001988,0.002032,0.001752,0.001767,13,23500
2017-10-02,0.002066,0.002240,0.001977,0.001988,113,24425
2017-10-01,0.001694,0.002619,0.001664,0.002067,209,20032
2017-09-30,0.001748,0.002048,0.001687,0.001694,65,20668
2017-09-29,0.002623,0.002632,0.001928,0.001958,12,31007
2017-09-28,0.003026,0.003067,0.002598,0.002625,95,35767
