Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001912,0.002279,0.001860,0.002164,58,239588
2017-11-23,0.002019,0.002074,0.001826,0.001928,21,252887
2017-11-22,0.001719,0.002040,0.001713,0.002023,76,215418
2017-11-21,0.001861,0.001866,0.001637,0.001715,53,233182
2017-11-20,0.001870,0.002118,0.001826,0.001861,48,234302
2017-11-19,0.002376,0.002376,0.001708,0.001871,115,297645
2017-11-18,0.001636,0.002396,0.001588,0.002380,15,205016
2017-11-17,0.001935,0.002100,0.001553,0.001643,70,242471
2017-11-16,0.002053,0.002053,0.001641,0.001939,46,257194
2017-11-15,0.001482,0.002165,0.001482,0.002042,299,185706
2017-11-14,0.001615,0.003244,0.001464,0.001481,208,202297
2017-11-13,0.001318,0.003369,0.001196,0.001611,688,165169
2017-11-12,0.001426,0.001533,0.001182,0.001316,146,178676
2017-11-11,0.001530,0.001576,0.001283,0.001427,171,191645
2017-11-10,0.002567,0.002641,0.001455,0.001545,166,321577
2017-11-09,0.001885,0.002591,0.001811,0.002559,17,236166
2017-11-08,0.001765,0.001947,0.001754,0.001889,9,221066
2017-11-07,0.001674,0.001785,0.001674,0.001770,23,209742
2017-11-06,0.001794,0.001799,0.001671,0.001677,35,224721
2017-11-05,0.001920,0.001935,0.001715,0.001737,169,240482
2017-11-04,0.001818,0.002015,0.001779,0.001923,86,227758
2017-11-03,0.001319,0.001828,0.001305,0.001822,12,165275
2017-11-02,0.001655,0.001807,0.001316,0.001321,8,207340
2017-11-01,0.001515,0.001821,0.001498,0.001653,36,189834
2017-10-31,0.001302,0.002399,0.001293,0.001517,15,163168
2017-10-30,0.001674,0.001715,0.000994,0.001310,10,209675
2017-10-29,0.001775,0.001813,0.001626,0.001683,7,222342
2017-10-28,0.001588,0.002027,0.001538,0.001777,9,198936
2017-10-27,0.001588,0.001617,0.001540,0.001584,28,198955
2017-10-26,0.001453,0.002205,0.001424,0.001588,5,181968
2017-10-25,0.001384,0.001463,0.001297,0.001453,16,173426
2017-10-24,0.001512,0.001521,0.001361,0.001383,150,189391
2017-10-23,0.001752,0.001764,0.001394,0.001515,422,219471
2017-10-22,0.000811,0.002000,0.000768,0.001755,150,101638
2017-10-21,0.001557,0.001947,0.000697,0.000811,41,195007
2017-10-20,0.001563,0.002114,0.001545,0.001560,222,195779
2017-10-19,0.002201,0.002246,0.001528,0.001562,197,275734
2017-10-18,0.002193,0.002211,0.001419,0.002200,83,274681
2017-10-17,0.005123,0.005123,0.002026,0.002194,1335,641853
2017-10-16,0.001844,0.006695,0.001706,0.005123,1642,230955
2017-10-15,0.001768,0.002712,0.001565,0.001843,713,221504
2017-10-14,0.001581,0.002241,0.001564,0.001765,173,198047
2017-10-13,0.001523,0.015568,0.001461,0.001580,1082,190851
2017-10-12,0.001486,0.001656,0.001479,0.001519,4,186203
2017-10-11,0.001278,0.004391,0.001268,0.001482,176,160121
2017-10-10,0.001347,0.001368,0.001242,0.001274,22,168787
2017-10-09,0.001195,0.001459,0.001190,0.001347,275,149741
2017-10-08,0.001379,0.002330,0.001188,0.001195,240,172806
2017-10-07,0.001356,0.001735,0.001348,0.001383,161,169866
