Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.009855,0.011290,0.009016,0.011276,4431,2482080
2017-11-23,0.010219,0.011535,0.009271,0.009869,6349,2573670
2017-11-22,0.011303,0.011831,0.009888,0.010223,3087,2846590
2017-11-21,0.010350,0.011699,0.008657,0.011275,9636,2606710
2017-11-20,0.009351,0.011623,0.008854,0.010351,3455,2355100
2017-11-19,0.009038,0.010933,0.008937,0.009360,6157,2276180
2017-11-18,0.006528,0.009103,0.006228,0.009055,2832,1643920
2017-11-17,0.010132,0.010132,0.006200,0.006552,117,2551510
2017-11-16,0.010736,0.010738,0.009782,0.010148,3827,2703550
2017-11-15,0.009444,0.011802,0.009444,0.010679,9192,2378380
2017-11-14,0.009828,0.010053,0.005536,0.009436,4960,2474850
2017-11-13,0.008898,0.009956,0.007738,0.009806,2444,2240640
2017-11-12,0.008193,0.009695,0.006605,0.008789,5710,2063190
2017-11-11,0.011108,0.011430,0.008043,0.008260,3315,2797070
2017-11-10,0.007884,0.011735,0.007335,0.011142,13120,1985350
2017-11-09,0.008407,0.008963,0.007584,0.007860,609,2116910
2017-11-08,0.007516,0.008425,0.007472,0.008415,766,1892620
2017-11-07,0.007870,0.008607,0.007291,0.007540,895,1981630
2017-11-06,0.007403,0.008389,0.006211,0.007883,816,1864100
2017-11-05,0.007256,0.009172,0.006982,0.007387,478,1827070
2017-11-04,0.007197,0.007564,0.005647,0.007270,925,1812030
2017-11-03,0.006812,0.008084,0.006650,0.007215,1024,1715220
2017-11-02,0.007038,0.007790,0.006518,0.006821,557,1772090
2017-11-01,0.006712,0.007134,0.006471,0.007030,472,1689830
2017-10-31,0.006602,0.007184,0.006297,0.006717,610,1662330
2017-10-30,0.005914,0.007424,0.005885,0.006360,756,1489050
2017-10-29,0.006149,0.006728,0.005450,0.005949,128,1548200
2017-10-28,0.005883,0.006193,0.005616,0.006158,50,1481160
2017-10-27,0.005247,0.006299,0.005242,0.005867,25,1320970
2017-10-26,0.005456,0.007114,0.005159,0.005246,756,1373580
2017-10-25,0.005756,0.006586,0.005237,0.005456,174,1449060
2017-10-24,0.005269,0.006518,0.005131,0.005743,76,1326540
2017-10-23,0.004813,0.007199,0.004772,0.005281,92,1211750
2017-10-22,0.005677,0.006440,0.004775,0.004821,65,1429340
2017-10-21,0.006425,0.006529,0.005585,0.005676,341,1617560
2017-10-20,0.006261,0.006453,0.005732,0.006439,759,1576150
2017-10-19,0.005781,0.007636,0.005645,0.006259,449,1455250
2017-10-18,0.006417,0.006707,0.005485,0.005779,397,1615350
2017-10-17,0.007839,0.007859,0.005227,0.006416,279,1973440
2017-10-16,0.006332,0.007882,0.004344,0.007839,409,1594120
2017-10-15,0.007431,0.007462,0.006094,0.006332,75,1870620
2017-10-14,0.006494,0.008039,0.005291,0.007418,590,1634830
2017-10-13,0.005966,0.006676,0.005617,0.006493,325,1501870
2017-10-12,0.005426,0.007242,0.005270,0.005948,203,1365960
2017-10-11,0.005713,0.006140,0.005136,0.005422,63,1438020
2017-10-10,0.006030,0.006245,0.004688,0.005714,493,1517950
2017-10-09,0.007051,0.009200,0.004160,0.006030,1879,1774740
2017-10-08,0.006978,0.007202,0.006000,0.007049,304,1756440
2017-10-07,0.006486,0.007455,0.005999,0.006995,219,1632450
2017-10-06,0.005897,0.007126,0.005591,0.006484,237,1484170
2017-10-05,0.005396,0.007502,0.005092,0.005897,318,1358140
2017-10-04,0.005367,0.005706,0.004863,0.005393,3143,1350900
2017-10-03,0.005340,0.007040,0.005092,0.005355,2589,1343970
2017-10-02,0.009094,0.010624,0.005311,0.005339,2753,2288990
2017-10-01,0.010962,0.011480,0.007811,0.009098,4274,2758960
2017-09-30,0.011997,0.012850,0.009004,0.010956,8140,3019490
2017-09-29,0.012560,0.012615,0.009007,0.012520,1630,3161080
2017-09-28,0.007882,0.013562,0.007082,0.012528,4718,1983620
2017-09-27,0.007648,0.008355,0.007231,0.007882,1097,1924860
2017-09-26,0.005547,0.008339,0.005111,0.007669,4602,1396130
2017-09-25,0.005198,0.005618,0.004709,0.005546,944,1308060
2017-09-24,0.004613,0.005519,0.004224,0.005203,771,1160930
2017-09-23,0.003374,0.006101,0.003168,0.004801,2958,849053
2017-09-22,0.003178,0.005182,0.003006,0.003383,1361,799844
2017-09-21,0.002657,0.003455,0.002156,0.003181,21233,668523
2017-09-20,0.004320,0.004411,0.002132,0.002455,58066,1087030
2017-09-19,0.004336,0.004464,0.003834,0.004321,41251,1091090
2017-09-18,0.003971,0.004905,0.003955,0.004290,54984,999243
2017-09-17,0.004903,0.004903,0.003312,0.004007,35668,1233810
2017-09-16,0.004954,0.007541,0.003391,0.004667,129351,1246600
2017-09-15,0.002344,0.005191,0.001866,0.004963,150736,589796
2017-09-14,0.007809,0.007812,0.002225,0.002341,44945,1964980
2017-09-13,0.007393,0.008103,0.006991,0.007810,36310,1860170
2017-09-12,0.007564,0.009449,0.007217,0.007396,57748,1903330
2017-09-11,0.007239,0.008766,0.007211,0.007564,30165,1821490
2017-09-10,0.009218,0.009381,0.006428,0.007251,52509,2319450
2017-09-09,0.009189,0.010762,0.008323,0.009223,40620,2312110
2017-09-08,0.014772,0.015450,0.007901,0.009368,132860,3716680
2017-09-07,0.020022,0.020039,0.013895,0.014772,105389,5037690
2017-09-06,0.013877,0.021302,0.013877,0.020043,209922,3491470
2017-09-05,0.013985,0.015194,0.009411,0.014285,99538,3518680
2017-09-04,0.020345,0.020664,0.013020,0.014089,87682,5118560
2017-09-03,0.021566,0.021719,0.019814,0.020582,23272,5425790
2017-09-02,0.022734,0.023845,0.020266,0.020738,49664,5719650
2017-09-01,0.021374,0.023303,0.021128,0.021938,53664,5377450
2017-08-31,0.021668,0.022094,0.020340,0.021356,11013,5451200
2017-08-30,0.022364,0.022511,0.019914,0.021667,36550,5626350
2017-08-29,0.023018,0.023668,0.022118,0.022354,17935,5790790
2017-08-28,0.025847,0.025925,0.022182,0.023009,53607,6502370
2017-08-27,0.022184,0.025275,0.021688,0.025231,90946,5580700
2017-08-26,0.021689,0.022732,0.021689,0.022185,24076,5456230
2017-08-25,0.022782,0.023208,0.021063,0.021858,46337,5731020
2017-08-24,0.023947,0.023947,0.021617,0.022782,34199,6024070
2017-08-23,0.021352,0.024743,0.021352,0.024004,78701,5371180
2017-08-22,0.023781,0.024753,0.019647,0.021344,81165,5982230
2017-08-21,0.023830,0.027736,0.021760,0.023606,105008,5994360
2017-08-20,0.021655,0.025158,0.020973,0.023692,58049,5447180
2017-08-19,0.022162,0.022344,0.019513,0.021654,59896,5574720
2017-08-18,0.025631,0.025631,0.021664,0.022139,51752,6447110
2017-08-17,0.027975,0.027976,0.025069,0.025647,23496,7036760
2017-08-16,0.025637,0.028054,0.025477,0.027955,55725,6448590
2017-08-15,0.026950,0.027800,0.023834,0.025661,86149,6778640
2017-08-14,0.028795,0.030107,0.026235,0.026950,60802,7242630
2017-08-13,0.028533,0.032114,0.026803,0.028779,97929,7176770
2017-08-12,0.028222,0.029506,0.026441,0.028563,76771,7098420
2017-08-11,0.029529,0.029994,0.027834,0.028495,76461,7427050
2017-08-10,0.030323,0.031712,0.027826,0.029471,84766,7626600
2017-08-09,0.030891,0.031585,0.029140,0.030297,107836,7769480
2017-08-08,0.033359,0.033645,0.030006,0.030895,189355,8389980
2017-08-07,0.031430,0.033983,0.030456,0.033372,117925,7904650
2017-08-06,0.037580,0.038574,0.031937,0.031940,307656,9451340
2017-08-05,0.034494,0.038025,0.033529,0.037535,269916,8675020
2017-08-04,0.031058,0.037937,0.031029,0.035072,295947,7810970
2017-08-03,0.031847,0.032247,0.030371,0.031099,98162,8009190
2017-08-02,0.030495,0.032640,0.029335,0.031857,197219,7669190
2017-08-01,0.027900,0.031371,0.027587,0.030362,126553,7016280
2017-07-31,0.029079,0.029205,0.026782,0.027886,52108,7312660
2017-07-30,0.030413,0.030857,0.028354,0.029090,41076,7648240
2017-07-29,0.031407,0.031407,0.028466,0.030413,62050,7898120
2017-07-28,0.033137,0.033270,0.030091,0.031147,96287,8332910
2017-07-27,0.032782,0.033907,0.030569,0.033167,172577,8243600
2017-07-26,0.030871,0.034115,0.025931,0.032556,247254,7762970
2017-07-25,0.039976,0.040696,0.027080,0.031559,301906,10052400
2017-07-24,0.039408,0.041635,0.037251,0.039979,228531,9909470
2017-07-23,0.047908,0.048587,0.034885,0.039841,677429,12046700
2017-07-22,0.039454,0.049489,0.038272,0.047893,813445,9920610
2017-07-21,0.042018,0.044827,0.035469,0.039858,639040,10565300
2017-07-20,0.033912,0.043581,0.033011,0.041246,821497,8526970
2017-07-19,0.027854,0.038393,0.026103,0.031291,520837,7003760
2017-07-18,0.025951,0.031047,0.023497,0.027825,334061,6525090
2017-07-17,0.021948,0.025982,0.021697,0.025407,173160,5518610
2017-07-16,0.026900,0.027433,0.020644,0.021839,166380,6763550
2017-07-15,0.030981,0.030981,0.023609,0.026930,267016,7789460
2017-07-14,0.034534,0.035813,0.029490,0.030364,220426,8682740
2017-07-13,0.038033,0.038373,0.031984,0.034619,312750,9562420
2017-07-12,0.034827,0.038681,0.029745,0.038681,299977,8756110
2017-07-11,0.036748,0.038525,0.031064,0.034828,279001,9239030
2017-07-10,0.042246,0.047639,0.035276,0.037553,367565,10621100
2017-07-09,0.052151,0.053382,0.041217,0.042817,383534,13111200
2017-07-08,0.043558,0.054983,0.034459,0.052562,777001,10950700
2017-07-07,0.054530,0.054824,0.043407,0.043520,600624,13708900
2017-07-06,0.064484,0.064484,0.052869,0.055113,568252,16211200
2017-07-05,0.068619,0.069491,0.061803,0.063785,571908,17161600
2017-07-04,0.070131,0.074615,0.067643,0.069536,551280,17539700
2017-07-03,0.080505,0.084016,0.069975,0.070689,1328580,20134300
2017-07-02,0.073370,0.082608,0.063613,0.078644,2405700,18350000
2017-07-01,0.108957,0.108957,0.072560,0.074209,2827990,27250100
2017-06-30,0.064511,0.112040,0.064409,0.104906,5401780,16134400
2017-06-29,0.072032,0.072888,0.059187,0.065048,1304700,18015400
2017-06-28,0.055018,0.074297,0.048433,0.067916,1090900,13760000
2017-06-27,0.058028,0.058028,0.046141,0.054370,441337,14513000
2017-06-26,0.068036,0.068887,0.047230,0.058028,785609,17015900
2017-06-25,0.067335,0.078119,0.065836,0.067454,795038,16840400
2017-06-24,0.079990,0.080699,0.066588,0.067488,21493,20005500
2017-06-23,0.072189,0.086695,0.071452,0.079999,1045240,18054600
2017-06-22,0.071046,0.075494,0.061762,0.071197,883384,17768800
2017-06-21,0.078426,0.093342,0.058986,0.071046,1670830,19614400
2017-06-20,0.093774,0.115000,0.069736,0.075693,1963570,23452900
2017-06-19,0.051319,0.094811,0.049089,0.092549,2643780,12834900
2017-06-18,0.046672,0.056327,0.046424,0.051319,376039,11672700
2017-06-17,0.051187,0.051187,0.040029,0.046423,424335,12801900
2017-06-16,0.038083,0.061108,0.038083,0.051925,1329150,9524670
2017-06-15,0.029006,0.037512,0.025011,0.036428,464173,7254330
2017-06-14,0.023762,0.041078,0.020812,0.029007,411791,5942800
2017-06-13,0.021329,0.025641,0.020422,0.023776,82856,5334380
2017-06-12,0.023794,0.024445,0.017553,0.020879,97711,5951030
2017-06-11,0.023001,0.023832,0.021884,0.023826,50497,5752550
2017-06-10,0.021907,0.023766,0.021109,0.023014,128766,5479090
2017-06-09,0.019334,0.023673,0.016330,0.021875,106779,4835500
2017-06-08,0.016730,0.019637,0.014221,0.019365,83220,4184190
