Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.016074,0.024824,0.015768,0.016453,77,97166
2017-11-23,0.024675,0.024766,0.016096,0.016096,282,149161
2017-11-22,0.016228,0.024828,0.016160,0.024683,73,98098
2017-11-21,0.016483,0.024903,0.015677,0.024283,398,99638
2017-11-20,0.024130,0.024767,0.015915,0.016480,294,145865
2017-11-19,0.023361,0.024188,0.015409,0.024141,177,141214
2017-11-18,0.015374,0.023410,0.014904,0.015603,21,92931
2017-11-17,0.023534,0.023855,0.015134,0.015433,78,142261
2017-11-16,0.014606,0.023749,0.014279,0.023573,188,88293
2017-11-15,0.019835,0.021724,0.013417,0.014530,14,119900
2017-11-14,0.013062,0.020163,0.012853,0.013214,16,78957
2017-11-13,0.011742,0.019866,0.011650,0.013034,1299,70977
2017-11-12,0.012722,0.019060,0.011074,0.011725,358,76906
2017-11-11,0.019725,0.020344,0.012463,0.012732,210,119233
2017-11-10,0.014258,0.021894,0.012903,0.019795,106,86187
2017-11-09,0.014935,0.022070,0.014168,0.014216,16,90280
2017-11-08,0.014232,0.022455,0.014148,0.014950,385,86033
2017-11-07,0.013918,0.021601,0.013918,0.014277,36,84133
2017-11-06,0.014787,0.022262,0.013890,0.013940,39,89384
2017-11-05,0.014754,0.022666,0.014591,0.014754,33,89184
2017-11-04,0.014334,0.022649,0.014005,0.014782,28,86647
2017-11-03,0.014047,0.022000,0.013890,0.014371,97,84910
2017-11-02,0.013457,0.021366,0.013457,0.014065,147,81348
2017-11-01,0.012888,0.019872,0.012731,0.013442,25,77906
2017-10-31,0.012256,0.019239,0.012191,0.012897,86,74084
2017-10-30,0.012314,0.018480,0.012071,0.012297,126,74436
2017-10-29,0.011456,0.018637,0.011425,0.012386,248,69250
2017-10-28,0.011527,0.017588,0.011347,0.011472,359,69679
2017-10-27,0.011774,0.017839,0.011399,0.011496,116,71170
2017-10-26,0.011469,0.017953,0.011394,0.011771,113,69328
2017-10-25,0.011037,0.017038,0.010764,0.011470,741,66715
2017-10-24,0.011731,0.017203,0.010986,0.011032,447,70914
2017-10-23,0.017938,0.018062,0.011328,0.011757,28,108433
2017-10-22,0.012027,0.024185,0.011709,0.017967,924,72705
2017-10-21,0.012010,0.018500,0.011912,0.012024,198,72601
2017-10-20,0.017114,0.024076,0.011918,0.012036,20,103451
2017-10-19,0.022349,0.022869,0.016608,0.017109,193,135098
2017-10-18,0.016802,0.022445,0.015416,0.022337,226,101568
2017-10-17,0.017337,0.022770,0.011213,0.016801,103,104801
2017-10-16,0.011384,0.023042,0.011173,0.017334,495,68814
2017-10-15,0.017554,0.023231,0.010953,0.011382,135,106111
2017-10-14,0.016967,0.023396,0.016781,0.023363,1262,102564
2017-10-13,0.016322,0.023019,0.016218,0.016962,112,98666
2017-10-12,0.014479,0.021526,0.014441,0.016272,1621,87523
2017-10-11,0.014288,0.019501,0.014175,0.019289,129,86371
2017-10-10,0.019145,0.019713,0.014186,0.014291,892,115728
2017-10-09,0.018411,0.019341,0.013674,0.019146,49,111294
2017-10-08,0.017774,0.022427,0.013728,0.018406,366,107445
2017-10-07,0.013121,0.021874,0.013033,0.017822,532,79318
2017-10-06,0.012971,0.017683,0.012945,0.013117,86,78409
2017-10-05,0.016886,0.021721,0.012452,0.012971,477,102072
2017-10-04,0.021598,0.021735,0.012604,0.016870,163,130561
2017-10-03,0.022014,0.022109,0.016990,0.021549,88,133074
2017-10-02,0.017576,0.022264,0.017472,0.022013,258,106248
2017-10-01,0.017379,0.021963,0.012794,0.017584,76,105056
2017-09-30,0.016688,0.021753,0.016672,0.017370,87,100878
2017-09-29,0.020968,0.021104,0.016193,0.016686,138,126750
2017-09-28,0.016830,0.021371,0.016557,0.020984,86,101736
2017-09-27,0.015554,0.021043,0.015554,0.016829,198,94025
2017-09-26,0.015733,0.019905,0.015461,0.015598,34,95107
2017-09-25,0.014689,0.019781,0.014684,0.015735,90,88797
2017-09-24,0.015154,0.018922,0.014642,0.014704,21,91605
2017-09-23,0.014429,0.018946,0.014291,0.015155,93,87223
2017-09-22,0.014483,0.018803,0.014143,0.014470,168,87551
2017-09-21,0.015518,0.019527,0.014349,0.014500,121,93803
2017-09-20,0.015654,0.020236,0.015399,0.015594,22,94629
2017-09-19,0.016412,0.020238,0.015462,0.015675,35,99211
2017-09-18,0.014781,0.020482,0.014781,0.016373,149,89347
2017-09-17,0.014858,0.018750,0.013956,0.014810,308,89814
2017-09-16,0.014837,0.019094,0.014225,0.014868,56,89690
2017-09-15,0.012979,0.018950,0.011957,0.014876,13,78454
2017-09-14,0.015508,0.019126,0.012878,0.012878,763,93747
2017-09-13,0.020762,0.020838,0.015118,0.015509,50,125505
2017-09-12,0.016855,0.021765,0.016418,0.020841,763,101884
2017-09-11,0.017001,0.021880,0.016546,0.016838,51,102768
2017-09-10,0.017325,0.021306,0.016191,0.017030,437,104729
2017-09-09,0.021644,0.021801,0.016820,0.017370,25,130837
2017-09-08,0.018535,0.023481,0.016723,0.021602,16,112044
2017-09-07,0.023078,0.023350,0.018000,0.018531,39,139507
2017-09-06,0.022100,0.023264,0.017673,0.023123,20,133593
2017-09-05,0.017224,0.022491,0.016419,0.022075,118,104120
2017-09-04,0.018476,0.022981,0.016611,0.017136,126,111686
2017-09-03,0.023055,0.023465,0.017728,0.018470,20,139368
2017-09-02,0.024619,0.024666,0.017972,0.023041,608,148823
2017-09-01,0.018953,0.024600,0.018769,0.024589,448,114567
2017-08-31,0.022897,0.027737,0.018427,0.018949,1993,138412
2017-08-30,0.022970,0.027819,0.022463,0.022937,1763,138853
2017-08-29,0.026333,0.027859,0.021747,0.023001,1567,159181
2017-08-28,0.021716,0.026140,0.020988,0.021907,953,131273
2017-08-27,0.021721,0.026410,0.021600,0.021739,204,131299
2017-08-26,0.021838,0.026265,0.021379,0.021725,341,132008
2017-08-25,0.021644,0.026753,0.021495,0.021831,1108,130834
2017-08-24,0.020715,0.030571,0.020548,0.026013,554,125219
2017-08-23,0.024516,0.025476,0.020366,0.020706,58,148199
2017-08-22,0.024006,0.027769,0.018885,0.024567,564,145112
2017-08-21,0.028398,0.032633,0.023879,0.023950,424,171664
2017-08-20,0.024872,0.033223,0.024368,0.028506,908,150349
2017-08-19,0.036977,0.037562,0.023956,0.024989,981,223522
2017-08-18,0.017119,0.037082,0.016802,0.028784,2667,103413
2017-08-17,0.017555,0.030812,0.016965,0.017172,4966,105965
2017-08-16,0.016615,0.021807,0.015800,0.017572,89,100223
2017-08-15,0.021635,0.022025,0.015450,0.016597,43,130416
2017-08-14,0.016248,0.021577,0.015923,0.021577,1017,97869
