Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.171124,0.230911,0.157527,0.206919,5699,1151620
2017-11-23,0.196729,0.198248,0.155792,0.171985,4020,1323930
2017-11-22,0.188052,0.212560,0.177850,0.196278,1647,1265540
2017-11-21,0.206924,0.208539,0.154521,0.187812,3836,-
2017-11-20,0.181269,0.209665,0.168047,0.207250,2355,-
2017-11-19,0.180838,0.199402,0.168841,0.181464,1770,-
2017-11-18,0.187553,0.212597,0.159081,0.181307,5351,-
2017-11-17,0.231008,0.238509,0.161544,0.187836,21778,-
2017-11-16,0.244860,0.276684,0.196571,0.231168,15349,-
2017-11-15,0.199840,0.371993,0.177417,0.232795,68481,-
2017-11-14,0.164176,0.221631,0.164176,0.199731,5273,-
2017-11-13,0.167639,0.204146,0.157154,0.164184,10525,-
2017-11-12,0.218849,0.218849,0.167142,0.167373,3959,-
2017-11-11,0.206029,0.220274,0.175802,0.218824,5975,-
2017-11-10,0.218349,0.237648,0.202437,0.206601,7044,-
2017-11-09,0.212497,0.258355,0.210768,0.238033,16796,-
2017-11-08,0.291454,0.401090,0.187860,0.213650,73591,-
2017-11-07,0.203496,0.356087,0.176371,0.291664,48893,-
2017-11-06,0.164663,0.220116,0.129653,0.192945,14181,-
2017-11-05,0.134193,0.201534,0.133748,0.164507,6101,-
2017-11-04,0.204084,0.204084,0.133700,0.134019,9715,-
2017-11-03,0.150758,0.204891,0.150045,0.204051,2427,-
2017-11-02,0.260816,0.262750,0.129965,0.150021,12930,-
2017-11-01,0.318531,0.350568,0.247001,0.260095,15677,-
2017-10-31,0.281588,0.416238,0.281588,0.319119,40141,-
