Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001348,0.001603,0.001069,0.001357,88,99884
2017-11-23,0.001689,0.001920,0.001349,0.001349,909,125165
2017-11-22,0.001543,0.002159,0.001085,0.001690,789,114320
2017-11-21,0.000906,0.001539,0.000740,0.001539,1172,67172
2017-11-20,0.000797,0.000911,0.000656,0.000906,131,59087
2017-11-19,0.000779,0.000940,0.000774,0.000797,4,57704
2017-11-18,0.000833,0.001009,0.000769,0.000780,227,61768
2017-11-17,0.000940,0.000962,0.000682,0.000837,72,69678
2017-11-16,0.001022,0.001122,0.000620,0.000942,629,75770
2017-11-15,0.000925,0.001208,0.000925,0.001017,70,68566
2017-11-14,0.000914,0.001253,0.000914,0.000925,446,67758
2017-11-13,0.000763,0.001309,0.000745,0.000978,133,56571
2017-11-12,0.000873,0.000873,0.000686,0.000762,38,64666
2017-11-11,0.000853,0.001288,0.000757,0.000873,118,63224
2017-11-10,0.000855,0.001366,0.000811,0.000856,426,63397
2017-11-09,0.000821,0.001084,0.000564,0.000853,119,60873
2017-11-08,0.000568,0.001175,0.000565,0.000972,276,42091
2017-11-07,0.000763,0.000785,0.000492,0.000570,107,56533
2017-11-06,0.000645,0.001370,0.000509,0.000764,251,47789
2017-11-05,0.000811,0.000890,0.000524,0.000644,69,60118
2017-11-04,0.000757,0.001113,0.000740,0.000887,64,56108
2017-11-03,0.000824,0.000853,0.000379,0.000759,904,61102
2017-11-02,0.001009,0.001097,0.000823,0.000826,207,74797
2017-11-01,0.001031,0.001096,0.000979,0.001008,165,76407
2017-10-31,0.000980,0.001032,0.000975,0.001032,31,72602
2017-10-30,0.000976,0.001100,0.000967,0.000983,186,72324
2017-10-29,0.000918,0.001085,0.000916,0.000981,150,68034
2017-10-28,0.001150,0.001167,0.000918,0.000919,27,85217
2017-10-27,0.000942,0.001616,0.000916,0.001148,124,69801
2017-10-26,0.000918,0.000981,0.000912,0.000942,145,67994
2017-10-25,0.000943,0.001032,0.000873,0.000918,60,69862
2017-10-24,0.001736,0.001846,0.000937,0.000942,69,128652
2017-10-23,0.000957,0.001773,0.000888,0.001741,32,70898
2017-10-22,0.000962,0.000971,0.000924,0.000958,37,71306
2017-10-21,0.001021,0.001045,0.000944,0.000962,5,75655
2017-10-20,0.000969,0.001069,0.000909,0.001023,12,71832
2017-10-19,0.000894,0.001033,0.000886,0.000969,41,66250
2017-10-18,0.001008,0.001008,0.000822,0.000893,112,74711
2017-10-17,0.000925,0.001017,0.000886,0.001008,15,68524
2017-10-16,0.000910,0.000929,0.000889,0.000925,97,67440
2017-10-15,0.001053,0.001057,0.000873,0.000910,290,78052
2017-10-14,0.000905,0.001097,0.000895,0.001051,89,67070
2017-10-13,0.000871,0.000939,0.000865,0.000905,64,64512
2017-10-12,0.000772,0.000868,0.000770,0.000868,58,57226
2017-10-11,0.000762,0.000780,0.000756,0.000772,3,56490
2017-10-10,0.000766,0.000882,0.000757,0.000762,17,56748
2017-10-09,0.000736,0.000817,0.000728,0.000766,110,54553
2017-10-08,0.000755,0.000863,0.000710,0.000736,41,55973
2017-10-07,0.000787,0.000921,0.000738,0.000757,148,58344
2017-10-06,0.000951,0.001059,0.000784,0.000787,45,70494
2017-10-05,0.000844,0.000998,0.000707,0.000951,72,62568
2017-10-04,0.000821,0.001087,0.000714,0.000844,369,60823
2017-10-03,0.000928,0.001017,0.000811,0.000819,43,68784
2017-10-02,0.001055,0.001382,0.000923,0.000928,206,78153
2017-10-01,0.000956,0.001055,0.000938,0.001055,16,70837
2017-09-30,0.000793,0.001033,0.000792,0.000955,21,58744
2017-09-29,0.000797,0.000890,0.000769,0.000793,11,59048
2017-09-28,0.000841,0.000855,0.000797,0.000797,14,62362
2017-09-27,0.001011,0.001068,0.000778,0.000841,66,74926
2017-09-26,0.000792,0.001035,0.000780,0.001014,2,58677
2017-09-25,0.000661,0.001146,0.000661,0.000792,174,48987
2017-09-24,0.000720,0.000757,0.000659,0.000662,107,53344
2017-09-23,0.000803,0.000893,0.000673,0.000720,12,59516
2017-09-22,0.000814,0.000823,0.000710,0.000806,1,60294
2017-09-21,0.000800,0.000880,0.000689,0.000814,66,59300
2017-09-20,0.000658,0.000819,0.000632,0.000804,60,48780
2017-09-19,0.001026,0.001031,0.000655,0.000659,57,76018
2017-09-18,0.000934,0.001032,0.000834,0.001023,22,69230
2017-09-17,0.001130,0.001130,0.000837,0.000896,1,83728
2017-09-16,0.000853,0.001129,0.000852,0.001129,27,63224
2017-09-15,0.000779,0.000900,0.000717,0.000855,41,57709
2017-09-14,0.000941,0.000961,0.000773,0.000773,16,69766
2017-09-13,0.001287,0.001291,0.000919,0.000942,27,95344
2017-09-12,0.001284,0.001353,0.001261,0.001291,136,95169
2017-09-11,0.001106,0.001329,0.001075,0.001283,355,81965
2017-09-10,0.001281,0.001281,0.001075,0.001108,27,94956
2017-09-09,0.001171,0.001288,0.001075,0.001285,54,86789
2017-09-08,0.001424,0.001426,0.001116,0.001166,45,105523
2017-09-07,0.001222,0.001435,0.001176,0.001424,807,90525
2017-09-06,0.001393,0.001456,0.001185,0.001225,179,103267
2017-09-05,0.001155,0.002130,0.001089,0.001391,686,85616
2017-09-04,0.001233,0.001753,0.000878,0.001150,506,91396
2017-09-03,0.001453,0.001560,0.001153,0.001234,0,107689
2017-09-02,0.001287,0.001462,0.001136,0.001454,268,95364
2017-09-01,0.001271,0.001471,0.001252,0.001284,252,94159
2017-08-31,0.001321,0.001479,0.001019,0.001270,237,97911
2017-08-30,0.001209,0.001506,0.000915,0.001324,871,89629
2017-08-29,0.001092,0.001596,0.001088,0.001211,104,80936
2017-08-28,0.000881,0.001473,0.000863,0.001090,338,65304
2017-08-27,0.000898,0.001045,0.000833,0.000882,170,66575
2017-08-26,0.000805,0.000900,0.000794,0.000898,91,59624
2017-08-25,0.000819,0.001122,0.000794,0.000804,145,60724
2017-08-24,0.000868,0.001001,0.000812,0.000821,46,64315
2017-08-23,0.000817,0.000904,0.000814,0.000867,43,60562
2017-08-22,0.000761,0.000896,0.000705,0.000819,40,56369
2017-08-21,0.000739,0.000900,0.000739,0.000759,37,54733
2017-08-20,0.000867,0.000867,0.000734,0.000741,4,64287
2017-08-19,0.000746,0.001035,0.000737,0.000870,111,55249
2017-08-18,0.001027,0.001032,0.000721,0.000746,15,76074
2017-08-17,0.000834,0.001263,0.000755,0.001030,45,61797
2017-08-16,0.000798,0.000835,0.000773,0.000835,90,59123
2017-08-15,0.000831,0.001005,0.000710,0.000797,13,61576
2017-08-14,0.001016,0.001064,0.000761,0.000829,317,75267
2017-08-13,0.001238,0.001311,0.000965,0.001015,359,91722
2017-08-12,0.001205,0.001241,0.000987,0.001239,233,89271
2017-08-11,0.000991,0.001225,0.000950,0.001206,236,73417
2017-08-10,0.000903,0.001130,0.000896,0.000991,31,66894
2017-08-09,0.001368,0.001446,0.000892,0.000903,183,101383
2017-08-08,0.001397,0.001419,0.000779,0.001369,829,103546
2017-08-07,0.001352,0.001473,0.001341,0.001396,297,100228
2017-08-06,0.001367,0.001383,0.001326,0.001355,10,101316
2017-08-05,0.001227,0.001528,0.001227,0.001367,324,90965
2017-08-04,0.001222,0.001256,0.001203,0.001228,11,90551
2017-08-03,0.001163,0.001235,0.001162,0.001222,72,86166
2017-08-02,0.001174,0.001212,0.001152,0.001161,62,86974
2017-08-01,0.001241,0.001318,0.001143,0.001174,133,91998
2017-07-31,0.001206,0.001257,0.001145,0.001241,236,89349
2017-07-30,0.001268,0.001271,0.001171,0.001204,162,93984
2017-07-29,0.001252,0.001517,0.001221,0.001268,84,92755
2017-07-28,0.001560,0.001647,0.001229,0.001256,105,115606
2017-07-27,0.001136,0.001760,0.001132,0.001558,261,84199
2017-07-26,0.001255,0.001348,0.001123,0.001133,178,92971
2017-07-25,0.001434,0.001498,0.001129,0.001254,240,106287
2017-07-24,0.001650,0.001650,0.001410,0.001434,116,122302
2017-07-23,0.001474,0.001668,0.001400,0.001652,290,109201
2017-07-22,0.001448,0.001698,0.001413,0.001474,48,107309
2017-07-21,0.001586,0.001760,0.001359,0.001448,218,117567
2017-07-20,0.001195,0.001577,0.001157,0.001575,206,88579
2017-07-19,0.001138,0.001334,0.001105,0.001199,154,84316
2017-07-18,0.001289,0.001317,0.001113,0.001136,140,95545
2017-07-17,0.001058,0.001332,0.001058,0.001286,228,78378
2017-07-16,0.001092,0.001380,0.001030,0.001059,517,80914
2017-07-15,0.001021,0.001271,0.000976,0.001055,329,75631
2017-07-14,0.001142,0.001568,0.001000,0.001022,702,84658
2017-07-13,0.000827,0.001635,0.000778,0.001143,725,61323
2017-07-12,0.000761,0.000875,0.000741,0.000827,66,56400
2017-07-11,0.000773,0.000801,0.000757,0.000765,65,57271
2017-07-10,0.000776,0.001198,0.000767,0.000774,68,57544
2017-07-09,0.000816,0.001200,0.000734,0.000775,87,60457
2017-07-08,0.000951,0.000956,0.000572,0.000815,356,70449
