Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001204,0.001238,0.001036,0.001153,827451,34535400
2017-11-23,0.001072,0.001237,0.001055,0.001206,1314890,30726100
2017-11-22,0.001054,0.001156,0.000976,0.001072,707296,30215100
2017-11-21,0.000990,0.001143,0.000937,0.000973,589948,28394700
2017-11-20,0.001047,0.001156,0.000984,0.000991,676891,30024800
2017-11-19,0.001166,0.001168,0.001004,0.001125,402688,33433600
2017-11-18,0.001152,0.001176,0.000998,0.001094,466378,33036700
2017-11-17,0.001177,0.001284,0.001006,0.001081,1319400,33752300
2017-11-16,0.001168,0.001269,0.001040,0.001179,1265180,33488200
2017-11-15,0.001123,0.001204,0.001026,0.001162,1108540,32204600
2017-11-14,0.001044,0.001238,0.000971,0.001123,2738760,29919300
2017-11-13,0.000882,0.001068,0.000874,0.000979,340337,25273800
2017-11-12,0.001017,0.001028,0.000833,0.000881,583416,29159200
2017-11-11,0.001051,0.001089,0.000945,0.001018,488123,30138100
2017-11-10,0.001282,0.001306,0.000980,0.000991,746393,36741400
2017-11-09,0.001122,0.001302,0.001080,0.001209,1177340,32157600
2017-11-08,0.001137,0.001217,0.001027,0.001195,510361,32581400
2017-11-07,0.001044,0.001154,0.001044,0.001072,276514,29926800
2017-11-06,0.001111,0.001185,0.001013,0.001046,628583,31828800
2017-11-05,0.001034,0.001217,0.001034,0.001179,338810,29621600
2017-11-04,0.001146,0.001196,0.001031,0.001108,380309,32837400
2017-11-03,0.001053,0.001175,0.000973,0.001149,463621,30184400
2017-11-02,0.001078,0.001163,0.000977,0.000985,1526460,30882400
2017-11-01,0.001095,0.001143,0.001020,0.001141,356745,31373100
2017-10-31,0.001163,0.001172,0.001010,0.001096,803903,33338400
2017-10-30,0.001231,0.001231,0.001036,0.001107,752761,35280400
2017-10-29,0.000917,0.001277,0.000916,0.001177,19297100,26277100
2017-10-28,0.001037,0.001056,0.000965,0.000975,372075,29703700
2017-10-27,0.001060,0.001079,0.000934,0.001034,295701,30357100
2017-10-26,0.001036,0.001132,0.000940,0.001001,770654,29680300
2017-10-25,0.001158,0.001161,0.000984,0.001036,778020,33183800
2017-10-24,0.000823,0.001249,0.000807,0.001158,2455390,23588900
2017-10-23,0.001015,0.001023,0.000818,0.000825,754277,29081200
2017-10-22,0.001021,0.001030,0.000920,0.001017,257149,29250400
2017-10-21,0.001021,0.001092,0.000910,0.001021,381382,29240800
2017-10-20,0.001082,0.001144,0.000963,0.000964,686888,31002000
2017-10-19,0.001007,0.001088,0.000971,0.001028,357106,28845000
2017-10-18,0.001064,0.001107,0.000932,0.001061,319439,30482400
2017-10-17,0.001156,0.001158,0.001003,0.001064,564014,33100500
2017-10-16,0.001194,0.001200,0.001059,0.001098,870225,34211300
2017-10-15,0.001111,0.001215,0.000983,0.001139,855285,31832000
2017-10-14,0.001131,0.001153,0.001012,0.001052,521398,32390500
2017-10-13,0.001088,0.001146,0.001001,0.001075,839497,31173600
2017-10-12,0.001062,0.001148,0.001010,0.001085,863314,30424200
2017-10-11,0.001048,0.001156,0.001040,0.001061,887243,30013400
2017-10-10,0.001004,0.001128,0.000913,0.001095,1217310,28762500
2017-10-09,0.001013,0.001060,0.000895,0.001004,778517,29003500
2017-10-08,0.001023,0.001115,0.000967,0.000968,744284,29300800
2017-10-07,0.000964,0.001072,0.000954,0.001026,519021,27597200
2017-10-06,0.001037,0.001061,0.000918,0.000963,765870,29698200
2017-10-05,0.001055,0.001061,0.000957,0.000996,388977,30218300
2017-10-04,0.001081,0.001122,0.000948,0.001054,2140740,30943100
2017-10-03,0.001188,0.001195,0.001063,0.001078,546129,34022600
2017-10-02,0.001143,0.001239,0.001099,0.001188,993862,32714400
2017-10-01,0.001217,0.001266,0.001083,0.001143,1257630,34857000
2017-09-30,0.001168,0.001369,0.001128,0.001217,1916440,33450800
