Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.322482,0.391571,0.310868,0.324536,18481,8463360
2017-11-23,0.336108,0.345077,0.320033,0.323749,17280,8820980
2017-11-22,0.294116,0.359401,0.293792,0.335580,18249,7718920
2017-11-21,0.306261,0.332047,0.279786,0.294865,12765,8037670
2017-11-20,0.326642,0.375362,0.292656,0.306566,21827,8572540
2017-11-19,0.316022,0.339209,0.302293,0.326965,17905,8293840
2017-11-18,0.315535,0.326185,0.289961,0.316792,10223,8281050
2017-11-17,0.314767,0.344237,0.302556,0.316157,15734,8260880
2017-11-16,0.327350,0.338593,0.297734,0.315056,13622,8591120
2017-11-15,0.335926,0.366012,0.310241,0.331901,29967,8816200
2017-11-14,0.306739,0.363137,0.306739,0.335737,39953,8050210
2017-11-13,0.279618,0.360159,0.270424,0.306566,23405,7338440
2017-11-12,0.279977,0.294706,0.241523,0.279202,9373,7347840
2017-11-11,0.308213,0.353077,0.266832,0.280047,24035,8088880
2017-11-10,0.405945,0.405945,0.309151,0.309151,7645,10653800
2017-11-09,0.316162,0.436506,0.280627,0.405631,36615,8297510
2017-11-08,0.273336,0.355281,0.272191,0.317439,12745,7173550
2017-11-07,0.293137,0.307572,0.271225,0.273713,12827,7693240
2017-11-06,0.294127,0.336989,0.270566,0.293051,16980,7719200
2017-11-05,0.313927,0.377701,0.244640,0.293834,21102,8238840
2017-11-04,0.336574,0.347312,0.292800,0.313533,25217,8833220
2017-11-03,0.311154,0.373142,0.269002,0.336557,15040,8166060
2017-11-02,0.301844,0.312706,0.226168,0.310267,21694,7921740
2017-11-01,0.352217,0.411312,0.301179,0.301215,28436,9243740
2017-10-31,0.316926,0.445893,0.316926,0.352764,39300,8317550
2017-10-30,0.429290,0.447821,0.314030,0.316154,28562,11266500
2017-10-29,0.427915,0.466241,0.388748,0.426587,11463,11230400
2017-10-28,0.418554,0.473510,0.409457,0.428161,8102,10984700
2017-10-27,0.556848,0.624315,0.417399,0.417983,16283,14614200
2017-10-26,0.474333,0.557368,0.412610,0.557075,31756,12448600
2017-10-25,0.472057,0.488830,0.441993,0.475237,20883,12388900
2017-10-24,0.484024,0.505829,0.443844,0.471678,17638,12702900
2017-10-23,0.508531,0.543946,0.443754,0.484757,21234,13346100
2017-10-22,0.458001,0.540405,0.418238,0.509016,17826,12020000
2017-10-21,0.478700,0.626483,0.436885,0.457917,14294,12563200
2017-10-20,0.476630,0.602351,0.459498,0.479643,25666,12508900
2017-10-19,0.442759,0.561430,0.411008,0.476887,29518,11620000
2017-10-18,0.437121,0.444135,0.415085,0.443636,12654,11472000
2017-10-17,0.463586,0.506651,0.428647,0.437326,25758,12166600
2017-10-16,0.536216,0.588191,0.396998,0.463375,17243,14072700
2017-10-15,0.476469,0.546254,0.440613,0.535442,25718,12504700
2017-10-14,0.451673,0.577247,0.222226,0.473433,15075,11853900
2017-10-13,0.528218,0.605819,0.443657,0.451408,20552,13862800
2017-10-12,0.619825,0.620793,0.488386,0.527739,40640,16267000
2017-10-11,0.600108,0.642882,0.579176,0.619442,17930,15749500
2017-10-10,0.545067,0.674884,0.532515,0.598626,29362,14305000
2017-10-09,0.579223,0.661383,0.528828,0.544561,38253,15201400
2017-10-08,0.654904,3.01,0.545812,0.578739,72231,17187600
2017-10-07,0.781530,2.36,0.583380,0.656903,74838,-
2017-10-06,0.656861,0.878747,0.583884,0.813983,45543,-
2017-10-05,0.622113,0.664410,0.514112,0.656820,27289,-
2017-10-04,0.548961,0.622150,0.526050,0.622119,30411,-
2017-10-03,0.573654,0.634387,0.524585,0.577984,32707,-
2017-10-02,0.538962,0.655157,0.538962,0.573435,17434,-
2017-10-01,0.625943,0.626149,0.518286,0.539007,23368,-
2017-09-30,0.544456,0.625726,0.507199,0.625698,13850,-
2017-09-29,0.605156,0.789466,0.498539,0.544407,17812,-
2017-09-28,0.651897,0.725987,0.585091,0.605983,41700,-
2017-09-27,0.745116,0.929867,0.508759,0.653339,74057,-
2017-09-26,0.493119,0.751249,0.469872,0.746688,52819,-
2017-09-25,0.734682,0.766069,0.493295,0.493295,31436,-
