Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003215,0.003336,0.003154,0.003299,370,-
2017-11-23,0.003290,0.003526,0.003219,0.003219,374,-
2017-11-22,0.003341,0.003403,0.003245,0.003291,78,-
2017-11-21,0.003626,0.003635,0.003430,0.003617,1,-
2017-11-20,0.003539,0.003645,0.003497,0.003626,1,-
2017-11-19,0.003193,0.003569,0.003180,0.003541,2,-
2017-11-18,0.003382,0.003382,0.003139,0.003199,3,-
2017-11-17,0.003138,0.003514,0.003124,0.003395,14,-
2017-11-16,0.002848,0.003201,0.002784,0.003143,4,-
2017-11-15,0.002711,0.002916,0.002711,0.002833,1,-
2017-11-14,0.002155,0.003521,0.002121,0.002709,35,-
2017-11-13,0.002759,0.002840,0.002070,0.002151,144,-
2017-11-12,0.002863,0.002896,0.002492,0.002755,6,-
2017-11-11,0.002959,0.003065,0.002852,0.002865,1,-
2017-11-10,0.003279,0.003370,0.002903,0.002969,2,-
2017-11-09,0.004107,0.004107,0.003243,0.003270,1,-
2017-11-08,0.003914,0.004314,0.003891,0.004111,1,-
2017-11-07,0.003827,0.003968,0.003827,0.003926,2,-
2017-11-06,0.003475,0.003941,0.003342,0.003834,33,-
2017-11-05,0.003541,0.003654,0.003429,0.003467,78,-
2017-11-04,0.004243,0.004334,0.003504,0.003548,8,-
2017-11-03,0.003863,0.004107,0.003820,0.003957,1,-
2017-11-02,0.003230,0.003895,0.003212,0.003868,158,-
2017-11-01,0.003415,0.003756,0.003198,0.003226,38,-
2017-10-31,0.003125,0.003977,0.003124,0.003418,6,-
2017-10-30,0.003106,0.003136,0.003078,0.003136,3,-
2017-10-29,0.003551,0.003627,0.003542,0.003606,1,-
2017-10-28,0.002939,0.003591,0.002893,0.003556,1,-
2017-10-27,0.002938,0.002947,0.002907,0.002931,1,-
2017-10-26,0.002925,0.003052,0.002905,0.003035,3,-
2017-10-25,0.002925,0.002931,0.002787,0.002925,5,-
2017-10-24,0.003050,0.003050,0.002894,0.002924,18,-
2017-10-23,0.003109,0.003155,0.002945,0.003057,17,-
2017-10-22,0.003247,0.003293,0.003053,0.003114,157,-
2017-10-21,0.003475,0.003530,0.003187,0.003246,7,-
2017-10-20,0.003080,0.003090,0.003035,0.003055,13,-
2017-10-19,0.003050,0.003146,0.003035,0.003080,46,-
2017-10-18,0.002912,0.002912,0.002729,0.002766,151,-
2017-10-17,0.002949,0.002950,0.002879,0.002912,226,-
2017-10-15,0.003979,0.003992,0.003710,0.003750,5,-
2017-10-14,0.005147,0.005198,0.003765,0.003972,20,-
2017-10-13,0.003749,0.005147,0.003689,0.005145,33,-
2017-10-12,0.003234,0.003606,0.003225,0.003565,5,-
2017-10-11,0.004382,0.004442,0.003225,0.003231,5,-
2017-10-10,0.004547,0.004618,0.003030,0.004382,280,-
2017-10-09,0.004511,0.004627,0.004148,0.004547,236,-
2017-10-08,0.003333,0.004520,0.003310,0.004510,634,-
2017-10-07,0.003105,0.004280,0.003098,0.003342,144,-
2017-10-06,0.002854,0.004284,0.002848,0.003104,311,-
2017-10-05,0.002575,0.003611,0.002552,0.002854,261,-
2017-10-04,0.002376,0.003521,0.002362,0.002573,149,-
2017-10-03,0.002422,0.003276,0.002348,0.002370,140,-
2017-10-02,0.002461,0.002501,0.002402,0.002421,3,-
2017-10-01,0.002477,0.002488,0.002345,0.002462,35,-
2017-09-30,0.002712,0.002827,0.002355,0.002475,14,-
2017-09-29,0.002642,0.002754,0.002348,0.002711,13,-
2017-09-28,0.002651,0.002655,0.002277,0.002644,16,-
2017-09-27,0.002333,0.002661,0.002333,0.002651,1,-
2017-09-26,0.002439,0.002449,0.002037,0.002340,22,-
2017-09-25,0.001799,0.002461,0.001799,0.002439,27,-
2017-09-24,0.001781,0.002281,0.001765,0.001801,57,-
2017-09-23,0.001623,0.001781,0.001608,0.001781,0,-
2017-09-22,0.002100,0.002181,0.001591,0.001628,30,-
2017-09-21,0.001746,0.002162,0.001669,0.002103,5,-
2017-09-20,0.001754,0.001821,0.001731,0.001754,3,-
2017-09-19,0.002052,0.002062,0.001933,0.002008,4,-
2017-09-18,0.001848,0.002624,0.001848,0.002047,4,-
2017-09-17,0.002414,0.002470,0.001731,0.001851,13,-
2017-09-16,0.002226,0.002435,0.002149,0.002416,29,-
2017-09-15,0.001947,0.002295,0.001375,0.002231,120,-
2017-09-14,0.002132,0.002165,0.001423,0.001932,228,-
2017-09-13,0.002533,0.002542,0.001965,0.002133,73,-
2017-09-12,0.003539,0.003552,0.002503,0.002543,0,-
2017-09-11,0.003613,0.003720,0.002247,0.003536,22,-
2017-09-10,0.003725,0.003725,0.002225,0.003619,5,-
2017-09-09,0.003160,0.003918,0.002439,0.003734,29,-
2017-09-08,0.002456,0.004852,0.002435,0.003154,1785,-
2017-09-07,0.001939,0.002483,0.001890,0.002455,4,-
2017-09-06,0.001768,0.002459,0.001768,0.001942,380,-
2017-09-05,0.002239,0.002249,0.001423,0.001766,143,-
2017-09-04,0.001524,0.002307,0.001499,0.002228,20,-
2017-09-03,0.001891,0.002275,0.001425,0.001524,37,-
2017-09-02,0.002019,0.002042,0.001842,0.001889,15,-
2017-09-01,0.001943,0.002018,0.001929,0.002016,24,-
2017-08-31,0.001923,0.002001,0.001923,0.001942,122,-
2017-08-30,0.002343,0.002465,0.001901,0.001927,40,-
2017-08-29,0.002194,0.002368,0.002181,0.002346,14,-
2017-08-28,0.002128,0.002198,0.002057,0.002191,4,-
2017-08-27,0.001825,0.002145,0.001814,0.002130,35,-
2017-08-26,0.001791,0.001913,0.001756,0.001825,2,-
2017-08-25,0.001745,0.001830,0.001724,0.001790,11,-
2017-08-24,0.001989,0.002042,0.001973,0.002039,3,-
2017-08-23,0.001553,0.002000,0.001547,0.001988,23,-
2017-08-22,0.001640,0.001904,0.001522,0.001556,340,-
2017-08-21,0.001460,0.001709,0.001429,0.001637,135,-
2017-08-20,0.001741,0.001741,0.001466,0.001466,50,-
2017-08-19,0.001808,0.001841,0.001475,0.001749,16,-
2017-08-18,0.001412,0.002003,0.001344,0.001809,167,-
2017-08-17,0.002019,0.002062,0.001384,0.001417,272,-
2017-08-16,0.001869,0.002050,0.001738,0.002021,240,-
2017-08-15,0.001688,0.002081,0.001281,0.001867,666,-
2017-08-14,0.001706,0.002115,0.001390,0.001683,1134,-
2017-08-13,0.001315,0.001732,0.001208,0.001705,47,-
2017-08-12,0.001168,0.001319,0.001156,0.001316,44,-
2017-08-11,0.001366,0.001996,0.001150,0.001169,174,-
2017-08-10,0.001337,0.001846,0.001327,0.001367,186,-
2017-08-09,0.001812,0.001955,0.001321,0.001337,68,-
2017-08-08,0.001879,0.002037,0.001471,0.001813,287,-
2017-08-07,0.001757,0.002037,0.001376,0.001877,129,-
2017-08-06,0.001211,0.001761,0.000917,0.001761,138,-
2017-08-05,0.000988,0.001352,0.000879,0.001211,299,-
2017-08-04,0.000319,0.001434,0.000318,0.000988,242,-
2017-08-03,0.001036,0.001043,0.000319,0.000319,222,-
2017-08-02,0.001453,0.001468,0.000916,0.001034,106,-
2017-08-01,0.001345,0.001808,0.001030,0.001454,149,-
2017-07-31,0.001300,0.001507,0.001276,0.001352,97,-
2017-07-30,0.002061,0.002073,0.001238,0.001583,71,-
2017-07-29,0.001519,0.002095,0.001358,0.002061,294,-
2017-07-28,0.000978,0.002124,0.000978,0.001524,219,-
2017-07-27,0.001612,0.001782,0.000778,0.000976,1218,-
2017-07-26,0.001211,0.001780,0.001211,0.001607,224,-
2017-07-25,0.001388,0.001407,0.001094,0.001210,97,-
2017-07-24,0.002028,0.002046,0.001375,0.001389,404,-
2017-07-23,0.002109,0.002418,0.001976,0.002030,339,-
2017-07-22,0.002263,0.002583,0.001593,0.002109,272,-
2017-07-21,0.002424,0.002432,0.001831,0.002264,134,-
2017-07-20,0.001550,0.002410,0.001550,0.002406,168,-
2017-07-19,0.001682,0.001885,0.001548,0.001554,44,-
2017-07-18,0.001623,0.001867,0.001571,0.001679,77,-
2017-07-17,0.001477,0.001621,0.001460,0.001619,10,-
2017-07-16,0.001529,0.001598,0.001413,0.001478,10,-
2017-07-15,0.001509,0.001704,0.001382,0.001533,21,-
2017-07-14,0.001592,0.001872,0.001467,0.001511,26,-
2017-07-13,0.001575,0.001638,0.001570,0.001593,6,-
