Date,Open,High,Low,Close,Volume,Market_cap
2017-10-12,0.769302,0.908577,0.758789,0.871548,92434,19124700
2017-10-11,0.732463,0.772466,0.722367,0.768652,88499,18206300
2017-10-10,0.744780,0.760042,0.722691,0.732586,46884,18509800
2017-10-09,0.720376,0.755005,0.686590,0.744835,71381,17900800
2017-10-08,0.673553,0.720330,0.671716,0.720237,54377,16734900
2017-10-07,0.656514,0.676859,0.646304,0.675359,49544,16309200
2017-10-06,0.653782,0.666026,0.648688,0.656302,32768,16239000
2017-10-05,0.627424,0.659896,0.613332,0.653784,66639,15582100
2017-10-04,0.669331,0.669752,0.620811,0.626859,36044,16620500
2017-10-03,0.707354,0.707354,0.634303,0.667782,76422,17562200
2017-10-02,0.659137,0.707651,0.655346,0.707327,33614,16362700
2017-10-01,0.713855,0.726470,0.649061,0.659428,83206,17718500
2017-09-30,0.658999,0.716968,0.658831,0.713469,55626,16354600
2017-09-29,0.639172,0.667804,0.614978,0.658915,56588,15860300
2017-09-28,0.631632,0.654571,0.623117,0.639666,25695,15671000
2017-09-27,0.590679,0.632282,0.590662,0.631609,13723,14652900
2017-09-26,0.590007,0.604773,0.580610,0.591980,27046,14634100
2017-09-25,0.550866,0.590065,0.548849,0.590065,22205,13661400
2017-09-24,0.599754,0.605667,0.549691,0.551425,71168,14871700
2017-09-23,0.500580,0.598485,0.486763,0.598485,55658,12410700
2017-09-22,0.518139,0.565070,0.449227,0.501997,44043,12844200
2017-09-21,0.639499,0.663766,0.526242,0.539766,93215,15850400
2017-09-20,0.618435,0.640292,0.596705,0.640292,24891,15326100
2017-09-19,0.639137,0.664524,0.603970,0.619261,50654,15836900
2017-09-18,0.530460,0.660498,0.519495,0.634511,95179,13142100
2017-09-17,0.538620,0.546762,0.480597,0.531823,27881,13342400
2017-09-16,0.532840,0.546682,0.491508,0.538987,19757,13197400
2017-09-15,0.511186,0.605804,0.464051,0.534232,117577,12659200
2017-09-14,0.576304,0.622156,0.485533,0.495514,87676,14269800
2017-09-13,0.633062,0.635366,0.537239,0.580512,79364,15673000
2017-09-12,0.606924,0.638535,0.556988,0.635479,39142,15023700
2017-09-11,0.629005,0.656166,0.585983,0.608689,14954,15568100
2017-09-10,0.602317,0.648445,0.553675,0.630074,60182,14905400
2017-09-09,0.616748,0.639056,0.595213,0.603870,38899,15260300
2017-09-08,0.645490,0.649291,0.579918,0.615555,39379,15969200
2017-09-07,0.623182,0.646841,0.597496,0.645360,11511,15415000
2017-09-06,0.593587,0.672156,0.593587,0.624377,20767,14680900
2017-09-05,0.594354,0.619978,0.536333,0.592911,32697,14697700
2017-09-04,0.644979,0.645447,0.527512,0.591286,41148,15947300
2017-09-03,0.640826,0.655030,0.589917,0.644765,20800,15842400
2017-09-02,0.620866,0.685944,0.589584,0.640414,76534,15346700
2017-09-01,0.591922,0.628134,0.584748,0.620090,30323,14629200
2017-08-31,0.563721,0.613968,0.559918,0.584060,14200,13930200
2017-08-30,0.588364,0.610772,0.555107,0.564707,16143,14537100
2017-08-29,0.582191,0.639723,0.568523,0.589149,37834,14382600
2017-08-28,0.586340,0.605022,0.539848,0.581203,21073,14482900
2017-08-27,0.606500,0.613080,0.583903,0.586955,27748,14978800
2017-08-26,0.567997,0.608878,0.567997,0.606636,38963,14025800
2017-08-25,0.560045,0.621343,0.517227,0.567825,40264,13827500
2017-08-24,0.498400,0.561526,0.497623,0.560929,21962,12303700
2017-08-23,0.492376,0.535774,0.490813,0.498184,26863,12153300
2017-08-22,0.500116,0.513521,0.443785,0.493382,6997,12342600
2017-08-21,0.517158,0.525682,0.496096,0.498960,10159,12761300
2017-08-20,0.519101,0.534715,0.507945,0.519128,18308,12807400
2017-08-19,0.519211,0.539301,0.479116,0.521535,24258,12808300
2017-08-18,0.454151,0.569769,0.447081,0.519654,113991,11201700
2017-08-17,0.468548,0.534459,0.433158,0.455543,48251,11555200
2017-08-16,0.447813,0.484307,0.400726,0.468981,24526,11042200
2017-08-15,0.508540,0.511017,0.431693,0.447321,23092,12537800
2017-08-14,0.504020,0.595479,0.489508,0.507176,28174,12424500
2017-08-13,0.425477,0.621858,0.425477,0.502982,171937,10486900
2017-08-12,0.409559,0.501769,0.406281,0.425873,30730,10093100
2017-08-11,0.413935,0.467733,0.388571,0.409878,20911,10199400
2017-08-10,0.421984,0.431504,0.399421,0.413959,14990,10396300
2017-08-09,0.451898,0.452978,0.401551,0.425494,16634,11131600
2017-08-08,0.455772,0.459020,0.412339,0.452204,8785,11225400
2017-08-07,0.451170,0.471719,0.433979,0.455345,10285,11110500
2017-08-06,0.455723,0.479751,0.442756,0.452181,10531,11221000
2017-08-05,0.393456,0.478232,0.393165,0.455613,17526,9686440
2017-08-04,0.367848,0.400187,0.367848,0.393630,10176,9054720
2017-08-03,0.359942,0.364635,0.337707,0.361559,7564,8858840
2017-08-02,0.354783,0.360158,0.331700,0.359300,7538,8730590
2017-08-01,0.346273,0.361041,0.319336,0.354850,13299,8519950
2017-07-31,0.345566,0.353455,0.332487,0.346105,6109,8501350
2017-07-30,0.341598,0.346626,0.325361,0.345212,7787,8402520
2017-07-29,0.359432,0.362370,0.335835,0.341647,6985,8839910
2017-07-28,0.371653,0.393458,0.357121,0.361662,9263,9139140
2017-07-27,0.373800,0.378070,0.357511,0.370529,4583,9190630
2017-07-26,0.338079,0.387230,0.327206,0.372743,16538,8311150
2017-07-25,0.402939,0.414746,0.322968,0.337926,5156,9904210
2017-07-24,0.417111,0.435557,0.344049,0.402982,18082,10251100
2017-07-23,0.444326,0.448966,0.410609,0.417597,5587,10918300
2017-07-22,0.426402,0.454289,0.424753,0.444325,13728,10476400
2017-07-21,0.453109,0.454610,0.418850,0.426883,4064,11131000
2017-07-20,0.364379,0.450448,0.364379,0.449774,20700,8949940
2017-07-19,0.365923,0.383125,0.357750,0.365477,11217,8986560
2017-07-18,0.353454,0.378686,0.342266,0.365342,8879,8679110
2017-07-17,0.307920,0.353087,0.307920,0.352545,11381,7559910
2017-07-16,0.333145,0.344619,0.301034,0.308261,8475,8178060
2017-07-15,0.372535,0.373206,0.334150,0.334150,3018,9143670
2017-07-14,0.388703,0.391324,0.350703,0.373175,10049,9539110
2017-07-13,0.381751,0.388233,0.372327,0.386551,8263,9367180
2017-07-12,0.361945,0.382594,0.352627,0.381467,8886,8879900
2017-07-11,0.388124,0.392872,0.358297,0.363752,11608,9520790
2017-07-10,0.427240,0.429380,0.378820,0.389536,8258,10478800
2017-07-09,0.407940,0.436804,0.407903,0.426410,13261,10004000
2017-07-08,0.420514,0.422844,0.374013,0.407575,13310,10310900
2017-07-07,0.471558,0.472327,0.413275,0.420161,16869,11560800
2017-07-06,0.488985,0.489288,0.468865,0.471212,6551,11986300
2017-07-05,0.465665,0.511420,0.459859,0.488743,26878,11413000
2017-07-04,0.445364,0.467937,0.445364,0.465916,12180,10913800
2017-07-03,0.441276,0.458507,0.437697,0.446378,15943,10812100
2017-07-02,0.463122,0.520641,0.437386,0.442907,190652,11345700
2017-07-01,0.468122,0.471260,0.459213,0.463178,11917,11466500
2017-06-30,0.481110,0.483645,0.466209,0.468302,17841,11783000
2017-06-29,0.548821,0.564070,0.480155,0.480155,121127,13439300
2017-06-28,0.519277,0.561270,0.500148,0.549330,45275,12714000
2017-06-27,0.473636,0.524233,0.466118,0.515914,71308,11594700
2017-06-26,0.452309,0.473636,0.423162,0.473636,75496,11071200
2017-06-25,0.454386,0.469476,0.435353,0.452546,49945,11120400
2017-06-24,0.463889,0.468858,0.440515,0.455380,18988,11351300
2017-06-23,0.439373,0.473599,0.432242,0.463942,22233,10749800
2017-06-22,0.440226,0.442792,0.433490,0.439373,33312,10769100
2017-06-21,0.554110,0.560030,0.374803,0.440226,168679,13553000
