Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.020276,0.020381,0.012548,0.017974,310,123493
2017-11-23,0.019782,0.021648,0.016467,0.020304,343,120461
2017-11-22,0.019883,0.020036,0.013976,0.019788,415,121059
2017-11-21,0.020058,0.020174,0.014476,0.019825,1049,122100
2017-11-20,0.022405,0.022455,0.017316,0.020054,99,136367
2017-11-19,0.023943,0.030773,0.017240,0.030773,568,145707
2017-11-18,0.020218,0.032657,0.015282,0.031780,1654,123016
2017-11-17,0.020725,0.040011,0.017961,0.020473,2131,126082
2017-11-16,0.016793,0.020825,0.015173,0.020759,129,102144
2017-11-15,0.013134,0.016817,0.013134,0.016781,405,79874
2017-11-14,0.016257,0.018624,0.013094,0.018611,240,98853
2017-11-13,0.014382,0.026166,0.014382,0.016223,60,87441
2017-11-12,0.017809,0.017809,0.012845,0.014362,106,108258
2017-11-11,0.024569,0.025231,0.014989,0.017994,111,149325
2017-11-10,0.020796,0.025246,0.016774,0.024670,764,126373
2017-11-09,0.020081,0.022117,0.018879,0.020733,6774,122010
2017-11-08,0.026029,0.029604,0.019675,0.020213,2777,158132
2017-11-07,0.020076,0.026163,0.017579,0.026163,1678,121949
2017-11-06,0.026616,0.027372,0.019771,0.021352,197,161639
2017-11-05,0.027495,0.040387,0.024702,0.035757,5719,166967
2017-11-04,0.017106,0.041827,0.016713,0.027483,44751,103858
2017-11-03,0.023904,0.040219,0.018003,0.035115,1477,145121
2017-11-02,0.017494,0.125827,0.015146,0.049225,4599,106178
2017-11-01,0.011818,0.020137,0.011079,0.017475,1157,71712
2017-10-31,0.013336,0.022516,0.008171,0.011826,1801,80876
2017-10-30,0.016237,0.023529,0.013274,0.013381,1113,98450
2017-10-29,0.022208,0.022476,0.012991,0.016331,1337,134648
2017-10-28,0.023040,0.023468,0.022004,0.022239,70,139671
2017-10-27,0.025168,0.025636,0.022641,0.022977,12,152551
2017-10-26,0.022660,0.027741,0.022527,0.025162,72,137337
2017-10-25,0.021208,0.037651,0.021127,0.022663,787,128515
2017-10-24,0.021082,0.022627,0.017726,0.021153,191,127729
2017-10-23,0.029273,0.029703,0.020869,0.021129,233,177197
2017-10-22,0.021186,0.043577,0.019242,0.029314,3035,128178
2017-10-21,0.024478,0.032593,0.022127,0.022189,2103,148062
2017-10-20,0.018971,0.026947,0.016189,0.026369,883,114669
