Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.048919,0.055845,0.048008,0.051707,4354,-
2017-11-23,0.053260,0.053671,0.047119,0.049166,13709,-
2017-11-22,0.054115,0.055242,0.047451,0.053138,60704,-
2017-11-21,0.058815,0.059639,0.052707,0.054046,7104,-
2017-11-20,0.053187,0.061600,0.042705,0.058908,66844,-
2017-11-19,0.034655,0.055394,0.034510,0.053245,42838,-
2017-11-18,0.043099,0.043099,0.032808,0.034744,7634,-
2017-11-17,0.042915,0.046161,0.026410,0.043164,36659,-
2017-11-16,0.043035,0.043303,0.038645,0.042945,10148,-
2017-11-15,0.043550,0.047113,0.042350,0.043068,23509,-
2017-11-14,0.047272,0.047590,0.041215,0.043527,21438,-
2017-11-13,0.042812,0.047370,0.040350,0.047274,12370,-
2017-11-12,0.053485,0.053485,0.039909,0.042744,8793,-
2017-11-11,0.038659,0.054446,0.038612,0.053479,33480,-
2017-11-10,0.044802,0.047900,0.037830,0.038770,19859,-
2017-11-09,0.040017,0.049322,0.039857,0.044781,13207,-
2017-11-08,0.040917,0.044112,0.038389,0.040234,14658,-
2017-11-07,0.038652,0.045491,0.038565,0.040945,7468,-
2017-11-06,0.038527,0.044330,0.038151,0.038594,13716,-
2017-11-05,0.045000,0.045038,0.038490,0.038490,2880,-
2017-11-04,0.045717,0.045717,0.041698,0.044941,16004,-
2017-11-03,0.039850,0.046311,0.038407,0.045709,8434,-
2017-11-02,0.046329,0.046691,0.036923,0.042488,9201,-
2017-11-01,0.051629,0.054858,0.044617,0.046201,9895,-
2017-10-31,0.049091,0.055118,0.046140,0.051724,22250,-
2017-10-30,0.048590,0.055812,0.048590,0.049064,7004,-
2017-10-29,0.053051,0.053177,0.047207,0.048687,6794,-
2017-10-28,0.050468,0.053156,0.049743,0.053073,2509,-
2017-10-27,0.050301,0.056579,0.049837,0.050422,4352,-
2017-10-26,0.056382,0.059681,0.050034,0.050326,7572,-
2017-10-25,0.056415,0.061342,0.055679,0.056503,8276,-
2017-10-24,0.051294,0.064248,0.050512,0.056365,19660,-
2017-10-23,0.055958,0.061575,0.049933,0.051328,4183,-
2017-10-22,0.056914,0.058126,0.055412,0.055991,905,-
2017-10-21,0.060641,0.063416,0.055333,0.056916,6681,-
2017-10-20,0.049207,0.061712,0.049200,0.060720,43965,-
2017-10-19,0.047044,0.055566,0.045791,0.049247,10192,-
2017-10-18,0.044281,0.050358,0.041547,0.047154,5833,-
2017-10-17,0.043487,0.048554,0.042111,0.044333,6503,-
2017-10-16,0.043731,0.054182,0.043405,0.043405,8394,-
2017-10-15,0.044032,0.047595,0.038438,0.043615,6939,-
2017-10-14,0.040439,0.047853,0.040078,0.043903,1308,-
2017-10-13,0.042385,0.045144,0.039350,0.040400,11711,-
2017-10-12,0.042386,0.049117,0.039525,0.042468,8989,-
2017-10-11,0.044774,0.045306,0.041906,0.042385,7859,-
2017-10-10,0.044542,0.048035,0.043858,0.044776,3665,-
2017-10-09,0.046419,0.046428,0.042321,0.044431,3476,-
2017-10-08,0.046719,0.050120,0.043209,0.046416,7731,-
2017-10-07,0.046213,0.050063,0.045763,0.046786,7419,-
2017-10-06,0.050242,0.051733,0.045229,0.046293,14783,-
2017-10-05,0.049642,0.052996,0.048966,0.050229,5865,-
2017-10-04,0.052580,0.053243,0.049221,0.049644,3917,-
2017-10-03,0.050520,0.052936,0.048942,0.052460,1276,-
2017-10-02,0.054663,0.057519,0.050097,0.050486,7779,-
2017-10-01,0.051514,0.054807,0.050336,0.054664,10220,-
2017-09-30,0.049757,0.054196,0.049745,0.051497,10632,-
2017-09-29,0.051507,0.053556,0.047785,0.049745,5243,-
2017-09-28,0.055861,0.057622,0.050844,0.051604,23852,-
2017-09-27,0.049189,0.056250,0.047217,0.055891,20020,-
2017-09-26,0.053151,0.053298,0.049126,0.049238,13784,-
2017-09-25,0.050961,0.054980,0.049057,0.053170,17787,-
2017-09-24,0.054466,0.056647,0.049851,0.050854,8218,-
