Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000080,0.000083,0.000079,0.000082,1,-
2017-11-23,0.000082,0.000083,0.000080,0.000080,793,-
2017-11-22,0.000081,0.000083,0.000081,0.000082,57,-
2017-11-21,0.000080,0.000084,0.000078,0.000081,4,-
2017-11-19,0.000078,0.000081,0.000077,0.000080,8,-
2017-11-18,0.000077,0.000079,0.000075,0.000078,9,-
2017-11-17,0.000078,0.000080,0.000076,0.000077,45,-
2017-11-16,0.000073,0.000080,0.000071,0.000079,9,-
2017-11-15,0.000066,0.000073,0.000066,0.000073,60,-
2017-11-14,0.000065,0.000067,0.000064,0.000066,54,-
2017-11-13,0.000063,0.000067,0.000063,0.000065,403,-
2017-11-12,0.000064,0.000064,0.000055,0.000060,3,-
2017-11-11,0.000066,0.000068,0.000062,0.000064,3,-
2017-11-10,0.000071,0.000073,0.000065,0.000066,125,-
2017-11-09,0.000075,0.000075,0.000071,0.000071,8,-
2017-11-08,0.000071,0.000078,0.000071,0.000075,36,-
2017-11-07,0.000070,0.000072,0.000070,0.000071,6,-
2017-11-06,0.000074,0.000074,0.000069,0.000070,920,-
2017-11-05,0.000074,0.000076,0.000073,0.000074,961,-
2017-11-04,0.000072,0.000075,0.000070,0.000074,367,-
2017-11-03,0.000070,0.000075,0.000069,0.000072,125,-
2017-11-02,0.000067,0.000073,0.000067,0.000070,1085,-
2017-11-01,0.000066,0.000067,0.000065,0.000067,27,-
2017-10-31,0.000061,0.000064,0.000061,0.000064,1,-
2017-10-30,0.000062,0.000062,0.000060,0.000061,1,-
2017-10-29,0.000057,0.000063,0.000057,0.000062,51,-
2017-10-28,0.000057,0.000057,0.000057,0.000057,1,-
2017-10-27,0.000059,0.000060,0.000057,0.000057,1,-
2017-10-26,0.000060,0.000060,0.000058,0.000059,1,-
2017-10-25,0.000055,0.000056,0.000054,0.000055,1,-
2017-10-24,0.000057,0.000057,0.000055,0.000055,1,-
2017-10-20,0.000057,0.000061,0.000056,0.000060,1,-
2017-10-19,0.000056,0.000057,0.000055,0.000057,1,-
2017-10-18,0.000056,0.000056,0.000051,0.000056,4,-
2017-10-17,0.000058,0.000058,0.000056,0.000056,84,-
2017-10-16,0.000057,0.000058,0.000056,0.000058,6,-
2017-10-15,0.000059,0.000059,0.000055,0.000057,15,-
2017-10-14,0.000057,0.000058,0.000056,0.000058,440,-
2017-10-13,0.000054,0.000059,0.000054,0.000057,47,-
2017-10-12,0.000052,0.000054,0.000052,0.000054,89,-
2017-10-09,0.000046,0.000046,0.000046,0.000046,2,-
2017-10-08,0.000044,0.000046,0.000044,0.000046,575,-
2017-10-07,0.000044,0.000045,0.000043,0.000045,2884,-
2017-10-06,0.000043,0.000044,0.000043,0.000044,0,-
2017-10-02,0.000044,0.000045,0.000044,0.000044,0,-
2017-10-01,0.000043,0.000044,0.000043,0.000044,44,-
2017-09-30,0.000042,0.000044,0.000042,0.000043,0,-
2017-09-29,0.000042,0.000042,0.000040,0.000042,42,-
2017-09-28,0.000042,0.000043,0.000041,0.000042,1,-
2017-09-27,0.000041,0.000042,0.000041,0.000042,1,-
2017-09-25,0.000037,0.000037,0.000037,0.000037,37,-
2017-09-24,0.000038,0.000038,0.000036,0.000037,37,-
2017-09-23,0.000037,0.000038,0.000037,0.000038,4,-
2017-09-22,0.000036,0.000038,0.000035,0.000036,8,-
2017-09-21,0.000037,0.000037,0.000036,0.000036,8,-
2017-09-18,0.000037,0.000040,0.000037,0.000040,0,-
2017-09-17,0.000037,0.000038,0.000035,0.000037,37,-
2017-09-16,0.000037,0.000039,0.000036,0.000037,1,-
2017-09-15,0.000032,0.000038,0.000030,0.000037,163,-
2017-09-14,0.000039,0.000039,0.000032,0.000032,16,-
2017-09-13,0.000042,0.000042,0.000038,0.000039,1,-
2017-09-12,0.000042,0.000044,0.000041,0.000042,51,-
2017-09-11,0.000043,0.000044,0.000041,0.000042,11,-
2017-09-10,0.000041,0.000043,0.000041,0.000043,2,-
2017-09-04,0.000046,0.000046,0.000042,0.000043,0,-
2017-09-03,0.000046,0.000047,0.000044,0.000046,0,-
2017-09-02,0.000046,0.000046,0.000045,0.000046,0,-
2017-08-31,0.000046,0.000046,0.000046,0.000046,1,-
2017-08-30,0.000046,0.000047,0.000045,0.000046,1,-
2017-08-29,0.000044,0.000046,0.000043,0.000046,104,-
2017-08-28,0.000043,0.000044,0.000042,0.000044,18,-
2017-08-27,0.000043,0.000044,0.000043,0.000043,0,-
2017-08-26,0.000044,0.000044,0.000043,0.000043,4,-
2017-08-25,0.000044,0.000045,0.000043,0.000044,2,-
2017-08-19,0.000041,0.000042,0.000040,0.000042,0,-
2017-08-18,0.000043,0.000044,0.000041,0.000041,53,-
2017-08-17,0.000044,0.000045,0.000042,0.000043,0,-
2017-08-16,0.000041,0.000044,0.000041,0.000044,9,-
2017-08-11,0.000034,0.000035,0.000034,0.000035,35,-
