Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000696,0.001069,0.000687,0.001067,330,-
2017-11-23,0.000841,0.000857,0.000651,0.000700,29,-
2017-11-22,0.000823,0.000937,0.000781,0.000844,41,-
2017-11-21,0.000826,0.000943,0.000554,0.000823,31,-
2017-11-20,0.000639,0.000832,0.000554,0.000827,27,-
2017-11-19,0.000546,0.000703,0.000540,0.000639,15,-
2017-11-18,0.000534,0.000769,0.000518,0.000547,37,-
2017-11-17,0.000719,0.000829,0.000531,0.000536,48,-
2017-11-16,0.000687,0.000821,0.000647,0.000721,21,-
2017-11-15,0.000818,0.000852,0.000675,0.000680,37,-
2017-11-14,0.000790,0.001028,0.000669,0.000818,86,-
2017-11-13,0.000879,0.001038,0.000384,0.000788,407,-
2017-11-12,0.001007,0.001007,0.000856,0.000876,45,-
2017-11-11,0.000925,0.001057,0.000922,0.001008,14,-
2017-11-10,0.000999,0.001297,0.000907,0.000928,37,-
2017-11-09,0.000897,0.001295,0.000875,0.000996,195,-
2017-11-08,0.000991,0.001121,0.000869,0.000898,94,-
2017-11-07,0.001049,0.001076,0.000973,0.000994,28,-
2017-11-06,0.000888,0.001087,0.000834,0.001053,12,-
2017-11-05,0.001031,0.001032,0.000877,0.000886,12,-
2017-11-04,0.000923,0.001055,0.000863,0.001031,26,-
2017-11-03,0.000863,0.000983,0.000856,0.000924,7,-
2017-11-02,0.001001,0.001091,0.000779,0.000864,24,-
2017-11-01,0.001062,0.001226,0.000672,0.001000,241,-
2017-10-31,0.000972,0.001111,0.000969,0.001062,5,-
2017-10-30,0.001047,0.001106,0.000905,0.000975,81,-
2017-10-29,0.001371,0.001419,0.000850,0.001054,87,-
2017-10-28,0.001033,0.001385,0.000826,0.001374,185,-
2017-10-27,0.001146,0.001320,0.000759,0.001030,428,-
2017-10-26,0.001182,0.001314,0.000861,0.001146,104,-
2017-10-25,0.000942,0.001184,0.000896,0.001182,58,-
2017-10-24,0.001057,0.001057,0.000808,0.000940,142,-
2017-10-23,0.001279,0.001293,0.001023,0.001060,5,-
2017-10-22,0.001066,0.001321,0.001028,0.001290,31,-
2017-10-21,0.001201,0.001522,0.001051,0.001066,30,-
2017-10-20,0.001369,0.001412,0.000787,0.001203,313,-
2017-10-19,0.001047,0.001519,0.001047,0.001369,202,-
2017-10-18,0.001154,0.001157,0.000965,0.001051,3,-
2017-10-17,0.001560,0.001565,0.001009,0.001153,262,-
2017-10-16,0.001418,0.001685,0.001113,0.001560,177,-
2017-10-15,0.002241,0.002272,0.001416,0.001418,196,-
2017-10-14,0.001526,0.002976,0.001438,0.002237,1253,-
2017-10-13,0.001034,0.001621,0.001027,0.001300,151,-
2017-10-12,0.001280,0.001525,0.000997,0.001031,217,-
2017-10-11,0.001398,0.001431,0.001041,0.001279,61,-
2017-10-10,0.001290,0.001406,0.000998,0.001398,59,-
2017-10-09,0.001287,0.001511,0.001059,0.001291,71,-
2017-10-08,0.001197,0.001421,0.001194,0.001287,194,-
2017-10-07,0.001050,0.001262,0.000910,0.001200,275,-
2017-10-06,0.001170,0.001195,0.001016,0.001049,76,-
2017-10-05,0.001224,0.001224,0.001081,0.001170,267,-
2017-10-04,0.001209,0.001304,0.001031,0.001223,646,-
2017-10-03,0.001277,0.001378,0.001194,0.001206,234,-
2017-10-02,0.001667,0.001697,0.001140,0.001277,320,-
2017-10-01,0.001955,0.001988,0.001280,0.001668,1129,-
2017-09-30,0.002414,0.002482,0.001681,0.001954,371,-
2017-09-29,0.002475,0.002483,0.002258,0.002414,167,-
2017-09-28,0.002546,0.002934,0.001484,0.002477,2753,-
2017-09-27,0.001013,0.003427,0.000983,0.002547,7442,-
2017-09-26,0.001140,0.001184,0.000909,0.001015,237,-
2017-09-25,0.001170,0.001180,0.000907,0.001137,67,-
2017-09-24,0.000948,0.001177,0.000883,0.001171,107,-
2017-09-23,0.001008,0.001175,0.000935,0.000948,35,-
2017-09-22,0.001050,0.001124,0.000884,0.001010,206,-
2017-09-21,0.001178,0.001329,0.001004,0.001051,123,-
2017-09-20,0.001056,0.001371,0.001053,0.001183,263,-
2017-09-19,0.001272,0.001367,0.001058,0.001058,242,-
2017-09-18,0.001108,0.001353,0.001060,0.001269,128,-
2017-09-17,0.001037,0.001172,0.000972,0.001111,7,-
2017-09-16,0.001334,0.001394,0.000948,0.001038,370,-
2017-09-15,0.000973,0.001376,0.000940,0.001337,105,-
2017-09-14,0.001120,0.001154,0.000965,0.000965,29,-
2017-09-13,0.001169,0.001196,0.001066,0.001101,7,-
2017-09-12,0.001390,0.001930,0.001142,0.001172,69,-
2017-09-11,0.001208,0.001480,0.001176,0.001389,212,-
2017-09-10,0.001420,0.001424,0.001142,0.001210,67,-
2017-09-09,0.001251,0.001436,0.001199,0.001424,104,-
2017-09-08,0.001247,0.001391,0.001076,0.001248,76,-
2017-09-07,0.001291,0.003190,0.001248,0.001248,49,-
2017-09-06,0.001366,0.001376,0.001210,0.001293,62,-
2017-09-05,0.001118,0.001418,0.001037,0.001364,280,-
2017-09-04,0.001709,0.001710,0.001052,0.001116,232,-
2017-09-03,0.001739,0.001793,0.001498,0.001708,156,-
2017-09-02,0.001965,0.001968,0.001461,0.001694,54,-
2017-09-01,0.001893,0.002378,0.001393,0.001770,695,-
2017-08-31,0.001558,0.001894,0.001070,0.001893,1647,-
2017-08-30,0.001746,0.001767,0.001495,0.001561,46,-
2017-08-29,0.001668,0.001972,0.001511,0.001748,256,-
2017-08-28,0.001606,0.002162,0.001593,0.001665,84,-
2017-08-27,0.002301,0.002332,0.001557,0.001608,197,-
2017-08-26,0.003056,0.003064,0.001910,0.001911,33,-
2017-08-25,0.003325,0.003409,0.001978,0.003051,216,-
2017-08-24,0.002237,0.003718,0.001836,0.003330,1299,-
2017-08-23,0.001740,0.002532,0.001518,0.002236,977,-
2017-08-22,0.001982,0.006006,0.000985,0.001743,2877,-
2017-08-21,0.001054,0.002427,0.001054,0.001977,1887,-
2017-08-20,0.000985,0.001118,0.000962,0.001058,265,-
2017-08-19,0.000945,0.001042,0.000928,0.000989,33,-
2017-08-18,0.000980,0.001075,0.000922,0.000944,234,-
2017-08-17,0.001009,0.001113,0.000961,0.000983,18,-
2017-08-16,0.000955,0.001183,0.000913,0.001010,10,-
2017-08-15,0.001001,0.001010,0.000866,0.000954,210,-
