Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.703217,0.892827,0.633624,0.879023,1940,-
2017-11-23,0.521190,0.901703,0.521190,0.706754,405,-
2017-11-22,0.472602,0.815987,0.472220,0.519994,2946,-
2017-11-21,0.720491,0.911986,0.468968,0.471999,5791,-
2017-11-20,0.618748,0.953096,0.454766,0.721627,10200,-
2017-11-19,0.630713,0.639521,0.550269,0.619414,5556,-
2017-11-18,0.869756,0.871890,0.602483,0.632346,7179,-
2017-11-17,0.897913,0.926582,0.607297,0.871068,1463,-
2017-11-16,0.937601,0.968817,0.777856,0.898536,5372,-
2017-11-15,0.704548,0.938334,0.594934,0.938334,5568,-
2017-11-14,0.625147,0.704308,0.609315,0.704165,8568,-
2017-11-13,0.609859,0.625488,0.581016,0.625175,1447,-
2017-11-12,0.699867,0.699867,0.557139,0.608891,2980,-
2017-11-11,0.655324,0.707285,0.450609,0.699787,3251,-
2017-11-10,0.700833,0.748065,0.568267,0.657211,4243,-
2017-11-09,0.738766,0.934529,0.668811,0.700501,2530,-
2017-11-08,0.584522,0.763221,0.582187,0.742774,4703,-
2017-11-07,0.686816,0.808695,0.581378,0.584935,3182,-
2017-11-06,0.889075,0.966475,0.685353,0.685790,1593,-
2017-11-05,0.770995,0.989062,0.736834,0.888236,4780,-
2017-11-04,0.704038,0.796454,0.680864,0.769992,971,-
2017-11-03,0.837508,0.878045,0.699480,0.703923,429,-
2017-11-02,0.868675,0.875447,0.536076,0.833417,5226,-
2017-11-01,0.709056,0.926295,0.591011,0.866273,6530,-
2017-10-31,0.865537,1.03,0.677858,0.710365,6899,-
2017-10-30,1.04,1.08,0.841004,0.865061,5019,-
2017-10-29,1.07,1.10,0.736586,1.04,5766,-
2017-10-28,0.893575,1.07,0.884805,1.07,5222,-
2017-10-27,0.885482,1.11,0.880681,0.892771,6539,-
2017-10-26,1.22,1.23,0.814400,0.885923,5583,-
2017-10-25,1.03,1.23,0.741066,1.23,3255,-
2017-10-24,0.997379,1.25,0.907498,1.03,8102,-
2017-10-23,1.10,1.20,0.921213,0.998052,3007,-
2017-10-22,1.11,1.51,1.03,1.10,10231,-
2017-10-21,1.50,1.81,0.973499,1.09,30410,-
2017-10-20,1.41,1.56,1.24,1.50,12305,-
2017-10-19,1.49,1.82,1.25,1.41,17189,-
2017-10-18,1.40,2.12,1.33,1.49,78575,-
2017-10-17,1.74,5.34,1.11,1.40,48125,-
2017-10-16,1.55,1.95,1.02,1.74,33812,-
2017-10-15,1.75,1.76,1.22,1.54,4511,-
2017-10-14,1.80,1.84,1.25,1.74,6285,-
2017-10-13,1.76,2.34,1.19,1.80,26544,-
2017-10-12,1.51,1.76,1.19,1.76,15174,-
2017-10-11,1.10,1.95,1.10,1.52,5450,-
2017-10-10,1.40,2.26,1.10,1.10,3773,-
2017-10-09,1.80,6.10,1.09,1.11,1630,-
2017-10-08,1.37,2.47,1.21,1.80,9244,-
