Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,251.16,289.43,235.62,269.71,731901,-
2017-11-23,267.27,267.77,243.76,251.54,550534,-
2017-11-22,236.07,323.29,234.78,266.93,838605,-
2017-11-21,161.14,361.80,127.33,235.87,1650470,-
2017-11-20,198.00,200.64,144.58,170.69,688418,-
2017-11-19,185.71,245.45,178.46,199.32,493901,-
2017-11-18,291.46,291.46,179.26,183.59,892535,-
2017-11-17,243.81,457.24,243.81,259.51,2400190,-
2017-11-16,253.39,399.74,174.07,242.65,981468,-
2017-11-15,272.95,325.22,240.11,257.08,569258,-
2017-11-14,321.55,419.27,211.48,272.54,655143,-
2017-11-13,293.57,340.58,272.50,325.29,481109,-
2017-11-12,332.00,365.35,247.22,298.30,548180,-
2017-11-11,447.05,453.45,322.29,335.14,673142,-
2017-11-10,340.46,527.67,331.48,450.52,1543180,-
2017-11-09,183.34,394.10,146.30,335.25,1292500,-
2017-11-08,1331.57,1347.87,181.09,183.03,1384530,-
2017-11-07,1377.30,1510.61,1323.10,1334.71,699599,-
2017-11-06,1658.09,1676.68,1359.78,1385.38,886347,-
2017-11-05,1656.84,1802.89,1423.85,1606.27,1157290,-
2017-11-04,1901.78,1968.80,1494.84,1647.74,830738,-
2017-11-03,1223.40,2476.23,1194.11,1903.03,1371430,-
2017-11-02,1179.90,1280.71,1068.86,1217.38,683080,-
2017-11-01,1148.09,1226.03,1101.23,1182.80,658474,-
2017-10-31,1006.37,1162.96,998.29,1159.10,622285,-
2017-10-30,1023.71,1033.80,971.10,1011.45,515032,-
2017-10-29,1021.04,1052.00,984.97,1016.73,8153750,-
2017-10-28,1011.61,1039.83,968.16,1021.03,568309,-
2017-10-27,1082.68,1100.87,975.59,1010.37,516201,-
2017-10-26,1020.59,1085.03,992.99,1083.33,544014,-
2017-10-25,929.96,1039.25,891.30,1020.25,615221,-
2017-10-24,1081.98,1106.26,923.48,926.89,743579,-
2017-10-23,906.98,1190.72,874.47,1088.14,485334,-
2017-10-22,850.05,1063.10,814.57,916.11,352207,-
2017-10-21,819.54,1002.41,814.01,854.22,1832880,-
2017-10-20,810.82,865.31,487.57,820.13,3263060,-
