Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.019672,0.020497,0.017502,0.019519,18377,1734710
2017-11-23,0.038996,0.039115,0.015513,0.019709,58609,3438830
2017-11-22,0.013036,0.049404,0.013011,0.039011,135335,1149600
2017-11-21,0.013479,0.013765,0.012377,0.013012,18299,1188650
2017-11-20,0.012765,0.013636,0.012697,0.013485,18275,1125660
2017-11-19,0.012318,0.013426,0.011250,0.012776,23343,1086240
2017-11-18,0.011078,0.012508,0.010263,0.012346,15583,976939
2017-11-17,0.011328,0.013107,0.010089,0.011109,17654,998939
2017-11-16,0.012595,0.013381,0.008350,0.011344,17611,1110660
2017-11-15,0.012877,0.014023,0.011446,0.012562,34468,1135510
2017-11-14,0.012180,0.014732,0.010880,0.012926,42225,1074110
2017-11-13,0.013396,0.015423,0.009500,0.012973,43519,1181310
2017-11-12,0.012706,0.019426,0.008961,0.013375,44886,1120440
2017-11-11,0.016338,0.018182,0.006556,0.012711,43268,1440730
2017-11-10,0.017920,0.019640,0.010203,0.016386,34826,1580210
2017-11-09,0.013920,0.019873,0.012432,0.017956,43565,1227500
2017-11-08,0.011500,0.016819,0.011450,0.013921,43413,1014120
2017-11-07,0.011102,0.013436,0.011059,0.011535,39779,979034
2017-11-06,0.013918,0.013918,0.006930,0.011102,38368,1227330
2017-11-05,0.012733,0.015016,0.011775,0.013894,50959,1122860
2017-11-04,0.011719,0.013499,0.010682,0.012743,51675,1033460
2017-11-03,0.011238,0.012670,0.010243,0.011735,61779,991017
2017-11-02,0.013742,0.014192,0.007809,0.011225,49538,1211810
2017-11-01,0.013025,0.014439,0.011669,0.013719,66016,1148590
2017-10-31,0.012490,0.013938,0.011892,0.013040,51686,1101420
2017-10-30,0.014797,0.015193,0.011601,0.012510,56298,1304840
2017-10-29,0.013738,0.015293,0.013515,0.014848,45410,1211440
2017-10-28,0.014217,0.014928,0.013542,0.013730,39965,1253670
2017-10-27,0.015265,0.015393,0.013643,0.014182,35329,1346110
2017-10-26,0.012732,0.015412,0.012732,0.015267,33960,1122750
2017-10-25,0.012460,0.014054,0.012101,0.012744,33710,1098750
2017-10-24,0.012567,0.015726,0.011811,0.012455,54855,1108170
2017-10-23,0.012791,0.013416,0.011320,0.012583,38978,1127980
2017-10-22,0.014204,0.014512,0.012310,0.012806,41415,1252530
2017-10-21,0.013329,0.015087,0.013021,0.014201,40394,1175420
2017-10-20,0.014824,0.015699,0.012301,0.013352,40543,1307220
2017-10-19,0.013609,0.016137,0.012719,0.014822,54681,1200120
2017-10-18,0.014189,0.015491,0.012700,0.013617,37125,1251200
2017-10-17,0.013587,0.018953,0.013148,0.014188,33172,1198150
2017-10-16,0.016727,0.017264,0.012787,0.013261,13299,1475080
2017-10-15,0.014523,0.016810,0.013101,0.016688,7266,1280690
2017-10-14,0.013659,0.017751,0.013557,0.014490,35047,1204510
2017-10-13,0.014675,0.015580,0.012711,0.013753,25308,1294100
2017-10-12,0.014535,0.016390,0.012897,0.014622,45022,1281730
