Date,Open,High,Low,Close,Volume,Market_cap
2017-11-23,0.000082,0.000083,0.000081,0.000082,1,-
2017-11-22,0.000081,0.000083,0.000081,0.000082,1,-
2017-11-21,0.000082,0.000084,0.000078,0.000081,101,-
2017-11-20,0.000080,0.000083,0.000079,0.000082,8,-
2017-11-19,0.000078,0.000081,0.000077,0.000080,21,-
2017-11-18,0.000077,0.000079,0.000075,0.000078,8,-
2017-11-17,0.000080,0.000080,0.000076,0.000077,4,-
2017-11-14,0.000065,0.000067,0.000065,0.000065,2,-
2017-11-13,0.000059,0.000067,0.000058,0.000065,3,-
2017-11-12,0.000061,0.000063,0.000057,0.000059,1,-
2017-11-03,0.000070,0.000075,0.000069,0.000072,1,-
2017-11-02,0.000067,0.000073,0.000067,0.000070,1,-
2017-11-01,0.000064,0.000067,0.000064,0.000067,1,-
2017-10-30,0.000062,0.000062,0.000061,0.000061,306,-
2017-10-29,0.000057,0.000063,0.000057,0.000062,310,-
2017-10-28,0.000057,0.000058,0.000057,0.000057,1,-
2017-10-22,0.000060,0.000061,0.000058,0.000059,1,-
2017-10-21,0.000061,0.000062,0.000059,0.000060,1,-
2017-10-20,0.000057,0.000061,0.000056,0.000060,6,-
2017-10-19,0.000057,0.000057,0.000057,0.000057,6,-
2017-10-18,0.000056,0.000056,0.000051,0.000052,1,-
2017-10-17,0.000056,0.000057,0.000056,0.000056,1,-
2017-10-16,0.000057,0.000058,0.000056,0.000057,1,-
2017-10-15,0.000056,0.000057,0.000056,0.000057,1,-
2017-10-13,0.000054,0.000059,0.000054,0.000056,1,-
2017-10-12,0.000053,0.000054,0.000053,0.000054,1,-
2017-10-10,0.000048,0.000049,0.000048,0.000048,1,-
2017-10-09,0.000046,0.000049,0.000046,0.000048,1,-
2017-10-08,0.000044,0.000046,0.000044,0.000046,23,-
2017-10-07,0.000044,0.000045,0.000043,0.000045,2,-
2017-10-06,0.000043,0.000044,0.000043,0.000044,5,-
2017-10-05,0.000042,0.000044,0.000042,0.000043,13,-
2017-10-04,0.000043,0.000043,0.000042,0.000042,43,-
2017-10-03,0.000044,0.000044,0.000042,0.000043,100,-
2017-10-02,0.000044,0.000045,0.000044,0.000044,61,-
2017-10-01,0.000043,0.000044,0.000043,0.000044,0,-
2017-09-30,0.000042,0.000043,0.000042,0.000043,0,-
2017-09-29,0.000042,0.000042,0.000040,0.000042,23,-
2017-09-28,0.000042,0.000042,0.000042,0.000042,1,-
2017-09-27,0.000039,0.000041,0.000039,0.000041,1,-
2017-09-26,0.000039,0.000040,0.000039,0.000039,1,-
2017-09-25,0.000037,0.000040,0.000037,0.000039,0,-
2017-09-24,0.000037,0.000037,0.000037,0.000037,3,-
2017-09-23,0.000036,0.000038,0.000036,0.000037,0,-
2017-09-22,0.000036,0.000038,0.000035,0.000036,0,-
2017-09-21,0.000039,0.000039,0.000036,0.000036,1,-
2017-09-20,0.000039,0.000040,0.000038,0.000039,12,-
2017-09-19,0.000041,0.000041,0.000039,0.000039,1,-
2017-09-18,0.000037,0.000041,0.000037,0.000041,5,-
2017-09-17,0.000037,0.000038,0.000036,0.000037,3,-
2017-09-16,0.000037,0.000039,0.000036,0.000037,1,-
2017-09-15,0.000031,0.000038,0.000030,0.000037,1,-
2017-09-14,0.000039,0.000039,0.000034,0.000034,1,-
2017-09-13,0.000042,0.000042,0.000038,0.000039,5,-
2017-09-12,0.000042,0.000044,0.000041,0.000042,8,-
2017-09-10,0.000043,0.000043,0.000040,0.000040,0,-
2017-09-09,0.000043,0.000044,0.000042,0.000043,1,-
2017-09-08,0.000046,0.000047,0.000041,0.000043,22,-
2017-09-07,0.000046,0.000047,0.000046,0.000046,6,-
2017-09-06,0.000044,0.000048,0.000044,0.000046,0,-
2017-09-05,0.000043,0.000045,0.000041,0.000044,7,-
2017-09-04,0.000046,0.000046,0.000043,0.000043,215,-
2017-09-03,0.000046,0.000047,0.000044,0.000046,1,-
2017-09-02,0.000049,0.000050,0.000045,0.000046,1,-
2017-09-01,0.000048,0.000049,0.000048,0.000049,108,-
2017-08-30,0.000046,0.000047,0.000045,0.000045,2,-
2017-08-29,0.000044,0.000046,0.000043,0.000046,2,-
2017-08-28,0.000043,0.000044,0.000042,0.000044,2,-
2017-08-27,0.000043,0.000044,0.000043,0.000043,6,-
2017-08-26,0.000044,0.000044,0.000043,0.000043,100,-
2017-08-25,0.000043,0.000045,0.000043,0.000044,6,-
2017-08-24,0.000041,0.000044,0.000041,0.000043,430,-
2017-08-23,0.000041,0.000043,0.000041,0.000041,9,-
2017-08-22,0.000040,0.000041,0.000036,0.000041,1,-
2017-08-21,0.000041,0.000041,0.000040,0.000040,5,-
2017-08-20,0.000041,0.000042,0.000040,0.000041,31,-
2017-08-19,0.000041,0.000083,0.000040,0.000042,345,-
2017-08-18,0.000043,0.000044,0.000040,0.000041,24,-
2017-08-17,0.000044,0.000089,0.000043,0.000043,34,-
2017-08-16,0.000083,0.000084,0.000039,0.000044,15,-
2017-08-15,0.000043,0.000084,0.000039,0.000083,26,-
2017-08-14,0.000041,0.000086,0.000040,0.000043,230,-
2017-08-13,0.000039,0.000082,0.000039,0.000041,203,-
2017-08-12,0.000037,0.000078,0.000036,0.000039,186,-
2017-08-11,0.000034,0.000070,0.000034,0.000037,16,-
2017-08-10,0.000033,0.000069,0.000033,0.000034,119,-
2017-08-09,0.000034,0.000034,0.000032,0.000033,29,-
2017-08-08,0.000034,0.000070,0.000033,0.000034,83,-
2017-08-07,0.000032,0.000065,0.000032,0.000034,98,-
2017-08-06,0.000065,0.000066,0.000032,0.000032,73,-
2017-08-05,0.000057,0.000066,0.000031,0.000065,273,-
2017-08-04,0.000028,0.000057,0.000028,0.000057,66,-
2017-08-03,0.000027,0.000056,0.000027,0.000028,288,-
2017-08-02,0.000027,0.000054,0.000027,0.000027,38,-
2017-08-01,0.000029,0.000029,0.000027,0.000027,43,-
2017-07-31,0.000027,0.000057,0.000027,0.000029,14,-
2017-07-30,0.000054,0.000055,0.000026,0.000027,386,-
2017-07-29,0.000056,0.000056,0.000027,0.000054,79,-
2017-07-28,0.000053,0.000056,0.000027,0.000056,185,-
2017-07-27,0.000050,0.000054,0.000025,0.000053,161,-
2017-07-26,0.000026,0.000051,0.000024,0.000050,54,-
2017-07-25,0.000028,0.000054,0.000025,0.000026,459,-
2017-07-24,0.000055,0.000056,0.000027,0.000028,34,-
2017-07-23,0.000028,0.000057,0.000027,0.000055,148,-
2017-07-22,0.000053,0.000057,0.000027,0.000028,68,-
2017-07-21,0.000028,0.000056,0.000026,0.000053,78,-
2017-07-20,0.000045,0.000054,0.000023,0.000028,7,-
2017-07-19,0.000023,0.000047,0.000022,0.000045,210,-
2017-07-18,0.000044,0.000047,0.000022,0.000023,150,-
2017-07-17,0.000019,0.000044,0.000019,0.000044,88,-
2017-07-16,0.000020,0.000041,0.000018,0.000019,83,-
2017-07-15,0.000022,0.000043,0.000020,0.000020,408,-
2017-07-14,0.000023,0.000047,0.000022,0.000022,275,-
2017-07-13,0.000048,0.000048,0.000023,0.000023,808,-
2017-07-12,0.000046,0.000048,0.000023,0.000048,451,-
2017-07-11,0.000047,0.000048,0.000023,0.000046,1090,-
2017-07-10,0.000025,0.000050,0.000023,0.000047,3575,-
2017-07-09,0.000051,0.000051,0.000025,0.000025,162,-
2017-07-08,0.000050,0.000051,0.000025,0.000051,1992,-
2017-07-07,0.000052,0.000052,0.000025,0.000050,2371,-
2017-07-06,0.000026,0.000052,0.000026,0.000052,10425,-
2017-07-05,0.000026,0.000026,0.000025,0.000026,383,-
2017-07-04,0.000025,0.000026,0.000025,0.000026,466,-
2017-07-03,0.000025,0.000026,0.000025,0.000025,50,-
2017-07-02,0.000024,0.000025,0.000024,0.000025,1547,-
2017-07-01,0.000025,0.000025,0.000024,0.000024,8,-
2017-06-30,0.000025,0.000025,0.000024,0.000025,259,-
2017-06-29,0.000026,0.000026,0.000025,0.000025,43,-
2017-06-28,0.000025,0.000026,0.000025,0.000026,842,-
2017-06-27,0.000024,0.000025,0.000023,0.000025,266,-
2017-06-26,0.000025,0.000026,0.000023,0.000024,175,-
2017-06-25,0.000026,0.000026,0.000024,0.000025,1,-
2017-06-24,0.000027,0.000027,0.000025,0.000026,26,-
2017-06-23,0.000025,0.000027,0.000025,0.000027,182,-
2017-06-22,0.000025,0.000025,0.000025,0.000025,6,-
2017-06-21,0.000025,0.000025,0.000025,0.000025,58,-
2017-06-20,0.000025,0.000025,0.000025,0.000025,12,-
2017-06-19,0.000025,0.000025,0.000025,0.000025,6,-
2017-06-18,0.000025,0.000025,0.000025,0.000025,4,-
2017-06-17,0.000025,0.000025,0.000025,0.000025,4,-
2017-06-16,0.000024,0.000025,0.000023,0.000025,6,-
2017-06-15,0.000025,0.000025,0.000021,0.000024,119,-
2017-06-14,0.000027,0.000028,0.000023,0.000025,3,-
2017-06-13,0.000026,0.000028,0.000026,0.000027,62,-
2017-06-12,0.000030,0.000030,0.000025,0.000027,93,-
2017-06-11,0.000029,0.000030,0.000029,0.000030,120,-
2017-06-10,0.000028,0.000058,0.000028,0.000029,5767,-
2017-06-09,0.000028,0.000057,0.000028,0.000028,95333,-
2017-06-08,0.000027,0.000028,0.000026,0.000028,788,-
2017-06-07,0.000029,0.000029,0.000026,0.000027,47,-
2017-06-06,0.000027,0.000029,0.000027,0.000029,1,-
2017-06-05,0.000025,0.000027,0.000025,0.000027,1,-
2017-06-04,0.000025,0.000026,0.000025,0.000025,1,-
2017-06-03,0.000025,0.000026,0.000024,0.000025,4,-
2017-06-02,0.000024,0.000025,0.000024,0.000025,2,-
2017-06-01,0.000023,0.000024,0.000023,0.000024,14,-
2017-05-31,0.000022,0.000023,0.000022,0.000023,24,-
2017-05-30,0.000023,0.000023,0.000022,0.000022,30,-
2017-05-29,0.000022,0.000023,0.000021,0.000023,0,-
2017-05-28,0.000020,0.000023,0.000020,0.000022,2,-
2017-05-27,0.000022,0.000023,0.000019,0.000020,2,-
2017-05-26,0.000023,0.000026,0.000021,0.000022,7,-
2017-05-25,0.000024,0.000028,0.000022,0.000023,3,-
2017-05-24,0.000023,0.000025,0.000023,0.000024,1,-
2017-05-23,0.000021,0.000023,0.000021,0.000023,1,-
2017-05-22,0.000020,0.000022,0.000020,0.000021,526,-
2017-05-21,0.000020,0.000021,0.000020,0.000020,0,-
2017-05-20,0.000020,0.000020,0.000020,0.000020,2,-
2017-05-19,0.000019,0.000020,0.000019,0.000020,0,-
2017-05-18,0.000018,0.000019,0.000018,0.000019,1,-
2017-05-17,0.000018,0.000018,0.000018,0.000018,1,-
2017-05-16,0.000017,0.000017,0.000017,0.000017,0,-
2017-05-15,0.000017,0.000017,0.000017,0.000017,0,-
2017-05-14,0.000018,0.000018,0.000018,0.000018,0,-
2017-05-13,0.000017,0.000018,0.000016,0.000018,0,-
2017-05-12,0.000018,0.000018,0.000017,0.000017,2,-
2017-05-11,0.000018,0.000019,0.000017,0.000018,1,-
2017-05-10,0.000018,0.000018,0.000017,0.000018,2,-
2017-05-09,0.000017,0.000018,0.000017,0.000018,1,-
2017-05-08,0.000016,0.000017,0.000016,0.000017,0,-
2017-05-07,0.000016,0.000016,0.000016,0.000016,2,-
2017-05-06,0.000016,0.000016,0.000015,0.000016,3,-
2017-05-05,0.000015,0.000016,0.000015,0.000016,16,-
2017-05-04,0.000015,0.000016,0.000015,0.000015,0,-
2017-05-03,0.000015,0.000015,0.000014,0.000015,1,-
2017-05-02,0.000014,0.000015,0.000014,0.000015,0,-
2017-05-01,0.000013,0.000014,0.000013,0.000014,1,-
2017-04-30,0.000013,0.000013,0.000013,0.000013,0,-
2017-04-29,0.000013,0.000013,0.000013,0.000013,9,-
2017-04-28,0.000013,0.000013,0.000013,0.000013,10,-
2017-04-27,0.000013,0.000013,0.000013,0.000013,11,-
2017-04-26,0.000013,0.000013,0.000013,0.000013,39,-
2017-04-25,0.000013,0.000013,0.000012,0.000013,0,-
2017-04-24,0.000012,0.000013,0.000012,0.000013,6,-
2017-04-23,0.000012,0.000012,0.000012,0.000012,2,-
2017-04-22,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-20,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-19,0.000012,0.000012,0.000012,0.000012,1,-
2017-04-18,0.000012,0.000012,0.000012,0.000012,9,-
2017-04-17,0.000012,0.000012,0.000012,0.000012,1,-
2017-04-16,0.000012,0.000012,0.000012,0.000012,4,-
2017-04-15,0.000012,0.000012,0.000012,0.000012,3,-
2017-04-14,0.000012,0.000012,0.000012,0.000012,25,-
2017-04-13,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-12,0.000012,0.000012,0.000012,0.000012,1,-
2017-04-11,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-10,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-09,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-08,0.000012,0.000012,0.000012,0.000012,0,-
2017-04-07,0.000012,0.000012,0.000012,0.000012,3,-
2017-04-04,0.000011,0.000012,0.000011,0.000011,0,-
2017-04-03,0.000011,0.000012,0.000011,0.000011,0,-
2017-04-02,0.000011,0.000011,0.000011,0.000011,2,-
2017-04-01,0.000011,0.000011,0.000011,0.000011,0,-
2017-03-31,0.000010,0.000011,0.000010,0.000011,0,-
2017-03-30,0.000010,0.000010,0.000010,0.000010,1,-
2017-03-29,0.000010,0.000011,0.000010,0.000010,14,-
2017-03-28,0.000010,0.000011,0.000010,0.000010,1,-
2017-03-27,0.000010,0.000010,0.000010,0.000010,0,-
2017-03-26,0.000010,0.000010,0.000010,0.000010,0,-
2017-03-25,0.000009,0.000010,0.000009,0.000010,0,-
2017-03-24,0.000010,0.000010,0.000009,0.000009,0,-
2017-03-23,0.000011,0.000011,0.000010,0.000010,0,-
2017-03-22,0.000011,0.000011,0.000010,0.000010,1,-
2017-03-21,0.000011,0.000011,0.000011,0.000011,0,-
2017-03-20,0.000011,0.000011,0.000010,0.000011,0,-
2017-03-19,0.000010,0.000010,0.000010,0.000010,1,-
2017-03-18,0.000011,0.000011,0.000010,0.000010,1,-
2017-03-14,0.000012,0.000012,0.000012,0.000012,0,-
2017-03-13,0.000012,0.000012,0.000012,0.000012,3,-
2017-03-12,0.000012,0.000012,0.000012,0.000012,0,-
2017-03-11,0.000011,0.000012,0.000011,0.000012,0,-
2017-03-10,0.000012,0.000013,0.000011,0.000011,0,-
2017-03-09,0.000012,0.000012,0.000011,0.000012,0,-
2017-03-08,0.000012,0.000012,0.000011,0.000012,0,-
2017-03-07,0.000013,0.000013,0.000012,0.000012,4,-
2017-03-06,0.000013,0.000013,0.000013,0.000013,1,-
2017-03-05,0.000013,0.000013,0.000012,0.000013,13,-
2017-03-04,0.000013,0.000013,0.000012,0.000013,1,-
2017-03-03,0.000013,0.000013,0.000013,0.000013,3,-
2017-03-02,0.000012,0.000013,0.000012,0.000013,0,-
2017-03-01,0.000012,0.000012,0.000012,0.000012,2,-
2017-02-28,0.000012,0.000012,0.000012,0.000012,0,-
2017-02-27,0.000012,0.000012,0.000012,0.000012,1,-
2017-02-26,0.000011,0.000012,0.000011,0.000012,0,-
2017-02-25,0.000012,0.000012,0.000011,0.000011,4,-
2017-02-24,0.000012,0.000012,0.000011,0.000012,0,-
2017-02-23,0.000011,0.000012,0.000011,0.000012,0,-
2017-02-22,0.000011,0.000011,0.000011,0.000011,1,-
2017-02-21,0.000011,0.000011,0.000011,0.000011,0,-
2017-02-20,0.000010,0.000011,0.000010,0.000011,1,-
2017-02-19,0.000011,0.000011,0.000010,0.000010,2,-
2017-02-18,0.000010,0.000011,0.000010,0.000011,0,-
2017-02-17,0.000010,0.000011,0.000010,0.000010,1,-
2017-02-16,0.000010,0.000010,0.000010,0.000010,0,-
2017-02-15,0.000010,0.000010,0.000010,0.000010,1,-
2017-02-14,0.000010,0.000010,0.000010,0.000010,0,-
2017-02-13,0.000010,0.000010,0.000010,0.000010,1,-
2017-02-12,0.000010,0.000010,0.000010,0.000010,2,-
2017-02-11,0.000010,0.000010,0.000010,0.000010,0,-
2017-02-10,0.000010,0.000010,0.000009,0.000010,1,-
2017-02-09,0.000011,0.000011,0.000010,0.000010,0,-
2017-02-08,0.000011,0.000011,0.000010,0.000011,1,-
2017-02-07,0.000010,0.000011,0.000010,0.000011,6,-
2017-02-06,0.000010,0.000010,0.000010,0.000010,0,-
2017-02-05,0.000010,0.000010,0.000010,0.000010,0,-
