Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.057867,0.060040,0.056763,0.059669,2,15151
2017-11-23,0.059249,0.059701,0.055905,0.057946,31,15513
2017-11-20,0.055338,0.056867,0.054677,0.056368,4,14489
2017-11-19,0.053038,0.055808,0.052985,0.055364,8,13887
2017-11-18,0.050579,0.051347,0.049033,0.050939,1,13243
2017-11-17,0.051467,0.051815,0.050088,0.050773,1,13476
2017-11-15,0.043504,0.045693,0.043504,0.045589,3,11391
2017-11-14,0.043038,0.044291,0.042287,0.043475,3,11269
2017-11-13,0.038630,0.043825,0.038329,0.042947,4,10115
2017-11-12,0.039439,0.042345,0.036433,0.038574,15,10326
2017-11-11,0.040633,0.044748,0.038636,0.039468,13,10639
2017-11-10,0.044413,0.074059,0.039871,0.040778,1295,11629
2017-11-09,0.051575,0.052456,0.043992,0.044281,66,13504
2017-11-08,0.050026,0.052997,0.049729,0.052357,1,13098
2017-11-07,0.049337,0.050199,0.049243,0.050184,1,12918
2017-11-05,0.064695,0.066753,0.064053,0.066033,3,16939
2017-11-04,0.052605,0.066210,0.051399,0.064817,7,13774
2017-11-03,0.042842,0.053232,0.042365,0.052742,11,11217
2017-11-02,0.059346,0.064415,0.041688,0.042898,131,15539
2017-11-01,0.057855,0.060610,0.057495,0.059280,13,15148
2017-10-30,0.055659,0.055806,0.055106,0.055560,1,14573
2017-10-29,0.050577,0.057155,0.050443,0.055984,4,13243
2017-10-28,0.048701,0.050780,0.044989,0.050589,25,12751
2017-10-27,0.051922,0.052887,0.048159,0.048568,3,13595
2017-10-26,0.048456,0.052843,0.048165,0.051910,10,12687
2017-10-25,0.046630,0.048548,0.045476,0.048461,2,12209
2017-10-24,0.050385,0.050707,0.046352,0.046611,10,13192
2017-10-23,0.051781,0.052543,0.048655,0.050496,9,13558
2017-10-22,0.060859,0.061393,0.050660,0.051864,7,15935
2017-10-21,0.050323,0.062547,0.049973,0.060840,2,13176
2017-10-20,0.046378,0.050541,0.045694,0.050429,1,12143
2017-10-19,0.056766,0.058273,0.044934,0.046365,95,14863
2017-10-18,0.053991,0.057010,0.049498,0.056737,2,14137
2017-10-17,0.055710,0.056802,0.053653,0.053987,15,14587
2017-10-16,0.055951,0.056236,0.053720,0.055701,6,14650
2017-10-15,0.056348,0.056530,0.052536,0.055944,9,14754
2017-10-14,0.054521,0.056325,0.053924,0.056247,14,14275
2017-10-13,0.052448,0.069090,0.052113,0.054506,15,13733
2017-10-12,0.046477,0.052287,0.046357,0.052287,5,12169
2017-10-11,0.045865,0.046949,0.045501,0.046437,7,12009
2017-10-10,0.046091,0.047459,0.045538,0.045873,4,12068
2017-10-09,0.056154,0.057690,0.046094,0.046094,3,14703
2017-10-08,0.055498,0.056271,0.055476,0.056140,1,14531
2017-10-07,0.053536,0.054527,0.052949,0.054527,3,14017
2017-10-06,0.053095,0.054334,0.045039,0.053518,7,13902
2017-10-05,0.054963,0.056299,0.052652,0.053095,18,14391
2017-10-04,0.056329,0.056685,0.054636,0.054913,5,14749
2017-10-03,0.070666,0.071066,0.055664,0.056198,31,18502
2017-10-02,0.071184,0.073280,0.070106,0.070663,21,18638
2017-10-01,0.069778,0.071216,0.068489,0.071216,3,18270
2017-09-30,0.068546,0.069988,0.068482,0.069740,1,17948
2017-09-29,0.067391,0.069619,0.065816,0.068537,7,17645
2017-09-28,0.067530,0.068602,0.066516,0.067444,9,17682
2017-09-27,0.039703,0.067803,0.039703,0.067528,105,10395
2017-09-26,0.031703,0.063247,0.030967,0.039814,121,8301
2017-09-25,0.028351,0.053124,0.028340,0.031706,2965,7423
2017-09-24,0.028733,0.028867,0.028259,0.028379,21,7523
2017-09-22,0.033891,0.035199,0.033094,0.033924,1,8874
2017-09-21,0.033278,0.034538,0.030886,0.033930,1,8713
2017-09-20,0.028452,0.029424,0.027958,0.028899,1,7450
2017-09-19,0.032332,0.033337,0.028230,0.028490,15,8466
2017-09-18,0.026827,0.032538,0.026827,0.032254,11,7024
2017-09-17,0.026670,0.027279,0.025052,0.026880,2,6983
2017-09-16,0.026521,0.028098,0.025534,0.026688,4,6944
2017-09-15,0.023491,0.027345,0.021372,0.026591,6,6151
2017-09-14,0.027372,0.027758,0.023309,0.023309,6,7167
2017-09-13,0.029648,0.029756,0.026722,0.027374,13,7763
2017-09-12,0.029425,0.032429,0.029307,0.029761,28,7704
2017-09-11,0.032356,0.033258,0.029267,0.029434,1,8472
2017-09-10,0.029876,0.033983,0.029580,0.032254,16,7822
2017-09-09,0.039609,0.040188,0.028931,0.029844,44,10371
2017-09-08,0.043187,0.076959,0.027659,0.039532,2946,11308
2017-09-07,0.042044,0.043289,0.041804,0.043178,19,11009
2017-09-05,0.060716,0.063192,0.057202,0.062851,9,15897
2017-09-04,0.076537,0.083627,0.041528,0.060402,56,20040
2017-09-03,0.076314,0.085707,0.074764,0.076511,5,19981
2017-09-02,0.090058,0.091063,0.074358,0.076264,8,23580
2017-09-01,0.086661,0.089988,0.085774,0.089945,5,22691
2017-08-31,0.084674,0.087123,0.084660,0.086645,90,22170
