Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,3.07,3.37,2.99,3.33,25076,9454930
2017-11-23,3.14,3.15,3.03,3.07,14307,9674990
2017-11-22,3.05,3.18,2.98,3.14,23692,9408740
2017-11-21,2.98,3.43,2.77,3.04,71505,9200950
2017-11-20,2.91,3.77,2.78,2.96,341210,8966450
2017-11-19,2.90,3.12,2.72,2.85,294757,8954450
2017-11-18,2.81,3.10,2.68,2.91,58533,8658200
2017-11-17,3.12,3.19,2.79,2.82,10667,9615820
2017-11-16,2.86,3.13,2.78,3.12,7163,8815690
2017-11-15,2.72,2.90,2.72,2.84,7381,8399700
2017-11-14,2.73,2.77,2.61,2.71,6315,8413900
2017-11-13,2.38,2.81,2.34,2.72,17310,7335130
2017-11-12,2.81,3.14,2.16,2.32,135941,8648520
2017-11-11,2.90,3.13,2.69,2.81,9172,8954430
2017-11-10,3.30,3.45,2.85,2.96,13184,10177900
2017-11-09,3.27,3.47,3.08,3.29,50723,10096100
2017-11-08,2.81,3.41,2.80,3.28,66003,8671670
2017-11-07,2.67,2.85,2.67,2.82,28039,8245250
2017-11-06,2.96,2.97,2.68,2.68,67938,9117310
2017-11-05,2.98,3.18,2.79,2.95,14787,9174220
2017-11-04,2.94,3.16,2.75,2.98,6400,9051520
2017-11-03,3.06,3.17,2.80,2.94,14347,9440430
2017-11-02,3.14,3.29,2.97,3.07,25167,9695290
2017-11-01,2.98,3.15,2.78,3.14,20624,9199070
2017-10-31,2.77,3.03,2.64,3.02,29925,8536180
2017-10-30,2.80,3.68,2.51,2.78,140377,8617560
2017-10-29,2.56,3.21,2.42,2.81,81297,7900200
2017-10-28,2.56,2.87,2.33,2.57,19309,7907070
2017-10-27,2.68,2.75,2.36,2.56,7658,8263630
2017-10-26,2.69,2.82,2.56,2.68,7244,8293640
2017-10-25,2.58,2.78,2.49,2.69,2962,7941480
2017-10-24,2.23,2.90,2.14,2.55,14546,6865650
2017-10-23,2.51,2.63,2.16,2.27,2857,7750310
2017-10-22,2.58,2.72,2.45,2.46,4362,7951930
2017-10-21,2.45,3.09,2.38,2.58,18211,7552960
2017-10-20,2.70,2.89,2.33,2.46,11553,8329830
2017-10-19,2.54,2.83,2.44,2.70,6150,7833830
2017-10-18,2.49,2.60,2.35,2.54,6033,7684560
2017-10-17,2.57,2.74,2.40,2.49,26761,7928860
2017-10-16,2.84,2.94,2.36,2.69,37099,8762310
2017-10-15,2.53,3.30,2.53,2.84,27493,7802080
2017-10-14,2.55,2.66,2.46,2.53,5008,7847120
2017-10-13,2.72,3.18,2.41,2.54,34411,8377450
2017-10-12,2.27,2.94,2.21,2.74,17381,6986580
2017-10-11,2.09,2.28,2.06,2.26,14255,6432160
2017-10-10,2.24,2.33,1.86,2.09,20177,6904970
2017-10-09,2.49,2.50,2.09,2.24,8282,7681110
2017-10-08,2.45,2.54,2.42,2.49,5478,7568360
2017-10-07,2.43,2.47,2.36,2.46,14345,7506160
2017-10-06,2.44,2.49,2.41,2.43,11484,7511240
2017-10-05,2.46,2.52,2.42,2.44,54294,7578390
2017-10-04,2.59,2.60,2.40,2.46,8636,7986550
2017-10-03,2.61,2.62,2.44,2.58,18606,8055450
2017-10-02,2.60,2.66,2.48,2.61,3102,8004240
2017-10-01,2.65,2.66,2.48,2.60,10467,8157060
2017-09-30,2.59,2.66,2.54,2.64,60773,7980520
2017-09-29,2.55,2.62,2.46,2.59,25109,7864380
2017-09-28,2.56,2.62,2.47,2.55,42982,7889240
