Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002811,0.003690,0.002697,0.003492,131,62976
2017-11-23,0.003200,0.003491,0.002814,0.002814,113,71689
2017-11-22,0.002884,0.003216,0.002805,0.003201,51,64617
2017-11-21,0.002308,0.002925,0.002243,0.002877,23,51704
2017-11-20,0.002442,0.002448,0.002208,0.002307,9,54718
2017-11-19,0.002424,0.002527,0.002019,0.002443,112,54311
2017-11-18,0.002217,0.002611,0.002136,0.002429,55,49665
2017-11-17,0.002706,0.002747,0.001810,0.002225,665,60625
2017-11-16,0.002604,0.002826,0.002223,0.002711,11,58338
2017-11-15,0.002509,0.002883,0.002453,0.002590,21,56210
2017-11-14,0.002310,0.002516,0.002280,0.002507,7,51750
2017-11-13,0.002223,0.002488,0.002159,0.002305,57,49812
2017-11-12,0.002002,0.002296,0.001740,0.002220,416,44850
2017-11-11,0.002202,0.002280,0.001950,0.002003,94,49331
2017-11-10,0.002144,0.002434,0.001974,0.002210,31,48030
2017-11-09,0.002430,0.002433,0.001809,0.002137,302,54441
2017-11-08,0.002814,0.003085,0.002219,0.002432,33,63051
2017-11-07,0.002784,0.002859,0.002760,0.002823,106,62369
2017-11-06,0.002528,0.003228,0.002423,0.002788,134,56632
2017-11-05,0.002729,0.002741,0.002428,0.002522,233,61157
2017-11-04,0.002795,0.002896,0.002569,0.002735,14,62627
2017-11-03,0.003371,0.003378,0.002788,0.002802,18,75535
2017-11-02,0.002823,0.003392,0.002680,0.003376,32,63251
2017-11-01,0.002391,0.002825,0.002221,0.002820,73,53582
2017-10-31,0.002355,0.002587,0.002146,0.002393,339,52777
2017-10-30,0.002410,0.002412,0.002122,0.002363,325,53999
2017-10-29,0.002814,0.002814,0.002244,0.002424,63,63054
2017-10-28,0.002309,0.002823,0.002309,0.002817,13,51736
2017-10-27,0.002478,0.002522,0.002286,0.002303,58,55533
2017-10-26,0.002459,0.002547,0.002319,0.002478,115,55094
2017-10-25,0.002387,0.002572,0.002329,0.002459,95,53491
2017-10-24,0.002493,0.002602,0.002372,0.002386,28,55864
2017-10-23,0.003005,0.003025,0.002468,0.002499,371,67326
2017-10-22,0.003136,0.003166,0.002914,0.003009,65,70276
2017-10-21,0.003043,0.003665,0.003026,0.003135,338,68186
2017-10-20,0.003219,0.004326,0.002980,0.003049,64,72124
2017-10-19,0.003183,0.003401,0.003154,0.003218,25,71321
2017-10-18,0.003423,0.003560,0.002907,0.003181,35,76704
2017-10-17,0.003293,0.003760,0.003204,0.003423,17,73787
2017-10-16,0.003529,0.003817,0.003143,0.003293,27,79070
2017-10-15,0.003579,0.003719,0.003338,0.003528,9,80190
2017-10-14,0.003506,0.003580,0.003462,0.003573,6,78554
2017-10-13,0.003355,0.003625,0.003334,0.003505,55,75173
2017-10-12,0.002927,0.003350,0.002920,0.003345,45,65593
2017-10-11,0.004135,0.004146,0.002810,0.002925,109,92645
2017-10-10,0.003024,0.005808,0.002649,0.004136,1139,67761
2017-10-09,0.002832,0.003061,0.002796,0.003024,13,63463
2017-10-08,0.002967,0.002981,0.002744,0.002832,26,66475
2017-10-07,0.002841,0.002982,0.002594,0.002975,11,63660
2017-10-06,0.002824,0.002892,0.002801,0.002840,9,63269
2017-10-05,0.003278,0.003304,0.002711,0.002823,41,73452
2017-10-04,0.003263,0.003364,0.002724,0.002766,44,73100
2017-10-03,0.003138,0.003421,0.002727,0.003255,86,70315
2017-10-02,0.003568,0.003575,0.003038,0.003054,100,79936
2017-10-01,0.003814,0.003832,0.002866,0.003569,197,85463
2017-09-30,0.002563,0.007887,0.002557,0.003843,2919,57425
2017-09-29,0.002715,0.002818,0.002551,0.002563,72,60839
2017-09-28,0.002848,0.002853,0.002656,0.002717,28,63821
2017-09-27,0.002555,0.002960,0.002555,0.002848,26,57255
2017-09-26,0.002905,0.002912,0.002402,0.002563,24,65079
2017-09-25,0.002424,0.002933,0.002417,0.002905,39,54307
2017-09-24,0.002390,0.002668,0.002300,0.002426,24,53557
2017-09-23,0.002237,0.002671,0.002215,0.002390,36,50111
2017-09-22,0.002388,0.002479,0.002227,0.002243,2,53514
2017-09-21,0.002589,0.002606,0.002366,0.002391,10,58009
2017-09-20,0.002622,0.002765,0.002572,0.002602,28,58751
2017-09-19,0.002684,0.002856,0.002548,0.002626,21,60136
2017-09-18,0.002708,0.003240,0.002607,0.002677,10,60684
2017-09-17,0.002491,0.002742,0.002391,0.002714,14,55808
2017-09-16,0.002655,0.002817,0.002376,0.002492,36,59484
2017-09-15,0.002217,0.002740,0.001867,0.002662,27,49667
2017-09-14,0.002666,0.002702,0.002200,0.002200,8,59735
2017-09-13,0.002893,0.002903,0.002602,0.002666,14,64814
2017-09-12,0.003136,0.003297,0.002714,0.002904,41,70259
2017-09-11,0.003245,0.003359,0.003009,0.003133,65,72698
2017-09-10,0.003787,0.003994,0.002834,0.003250,46,84846
2017-09-09,0.003762,0.004452,0.002302,0.003793,457,84283
2017-09-08,0.006652,0.006661,0.003327,0.003744,629,149037
2017-09-07,0.002705,0.008789,0.002559,0.006650,2591,60600
2017-09-06,0.002733,0.002816,0.002285,0.002710,75,61240
2017-09-05,0.002652,0.002782,0.002503,0.002730,102,59431
2017-09-04,0.002940,0.002942,0.002189,0.002639,57,65881
2017-09-03,0.002325,0.003507,0.002325,0.002939,27,52091
2017-09-02,0.003161,0.003331,0.002265,0.002323,162,70835
2017-09-01,0.003457,0.003693,0.003059,0.003157,19,77447
2017-08-31,0.003166,0.003462,0.003166,0.003456,9,70947
2017-08-30,0.002989,0.003346,0.002862,0.003172,72,66966
2017-08-29,0.003363,0.003556,0.002893,0.002993,166,75357
2017-08-28,0.002940,0.003787,0.002672,0.003358,205,65872
2017-08-27,0.002929,0.003163,0.002786,0.002943,23,65633
2017-08-26,0.002740,0.003092,0.002674,0.002930,18,61393
2017-08-25,0.002943,0.003192,0.002698,0.002739,58,65933
2017-08-24,0.002826,0.003182,0.002652,0.002947,43,63321
2017-08-23,0.003350,0.003534,0.002784,0.002825,9,75061
2017-08-22,0.002625,0.003462,0.002326,0.003357,34,58805
2017-08-21,0.003013,0.003835,0.002613,0.002618,59,67503
2017-08-20,0.003053,0.003325,0.003009,0.003024,7,68415
2017-08-19,0.003443,0.003669,0.002834,0.003068,60,77154
2017-08-18,0.003417,0.003734,0.002729,0.003426,57,76562
2017-08-17,0.003663,0.005389,0.003458,0.004030,63,82077
2017-08-16,0.002582,0.005608,0.002549,0.003667,30,57844
2017-08-15,0.003158,0.003190,0.002518,0.002579,38,70756
2017-08-14,0.002954,0.003149,0.002895,0.003149,26,66192
2017-08-13,0.003520,0.003781,0.002952,0.002952,391,78861
2017-08-12,0.003869,0.003895,0.003287,0.003523,1,86697
2017-08-11,0.003621,0.003974,0.003272,0.003872,163,81134
2017-08-10,0.004144,0.004404,0.003610,0.003621,38,92841
2017-08-09,0.003590,0.004155,0.003377,0.004143,175,80430
2017-08-08,0.003138,0.004631,0.003137,0.003592,33,70305
2017-08-07,0.004452,0.004557,0.003083,0.003135,113,99746
2017-08-06,0.004296,0.005843,0.003379,0.004462,45,96265
2017-08-05,0.002796,0.004435,0.002794,0.004295,105,62643
2017-08-04,0.002825,0.002901,0.002514,0.002797,61,63308
2017-08-03,0.002810,0.002848,0.002670,0.002826,6,62957
2017-08-02,0.002875,0.003295,0.002563,0.002805,140,64417
2017-08-01,0.002891,0.002989,0.002753,0.002876,57,64774
2017-07-31,0.002804,0.002904,0.002709,0.002890,13,62826
2017-07-30,0.003469,0.003476,0.002772,0.002801,58,77734
2017-07-29,0.003044,0.005988,0.002948,0.003470,444,68196
2017-07-28,0.003274,0.008317,0.002503,0.003055,1293,73354
2017-07-27,0.003038,0.003306,0.003027,0.003264,127,68075
2017-07-26,0.003115,0.003170,0.002918,0.003030,20,69792
2017-07-25,0.003422,0.003445,0.002986,0.003113,38,76674
2017-07-24,0.003555,0.003555,0.002816,0.003422,165,79656
2017-07-23,0.004277,0.004317,0.003548,0.003559,80,95830
2017-07-22,0.003761,0.005739,0.003706,0.004277,31,84266
2017-07-21,0.003894,0.005572,0.003524,0.003762,69,87244
2017-07-20,0.003270,0.003960,0.003229,0.003865,68,73269
2017-07-19,0.004144,0.005339,0.003164,0.003280,19,92847
2017-07-18,0.004930,0.005749,0.004094,0.004138,203,110454
2017-07-17,0.004169,0.005149,0.002939,0.004923,82,93420
2017-07-16,0.004367,0.004478,0.003353,0.004174,60,97855
2017-07-15,0.004650,0.005277,0.003241,0.004381,243,104193
2017-07-14,0.002088,0.005251,0.002052,0.004658,1372,46775
2017-07-13,0.002125,0.002153,0.002025,0.002089,17,47621
2017-07-12,0.001914,0.002396,0.001865,0.002124,12,42886
2017-07-11,0.001919,0.002445,0.001876,0.001924,41,42999
2017-07-10,0.003284,0.003289,0.001870,0.001923,44,73574
2017-07-09,0.002169,0.003344,0.001859,0.003277,46,48595
2017-07-08,0.002177,0.002197,0.001983,0.002167,6,48770
2017-07-07,0.001949,0.002441,0.001872,0.002175,53,43668
2017-07-06,0.002236,0.002238,0.001644,0.001948,37,50095
2017-07-05,0.001999,0.002248,0.001963,0.002235,27,44794
2017-07-04,0.002029,0.002187,0.001973,0.002000,10,45467
2017-07-03,0.002642,0.002697,0.002034,0.002034,5,59207
2017-07-02,0.002337,0.002675,0.001910,0.002652,13,52354
2017-07-01,0.002365,0.002462,0.002319,0.002337,24,53000
2017-06-30,0.002122,0.002773,0.002083,0.002366,25,47536
2017-06-29,0.002202,0.002672,0.002087,0.002117,29,49330
2017-06-28,0.002198,0.002325,0.002133,0.002204,4,49259
2017-06-27,0.002219,0.002428,0.002083,0.002184,27,49721
2017-06-26,0.001935,0.002379,0.001926,0.002219,108,43351
2017-06-25,0.002294,0.002294,0.001684,0.001936,86,51392
2017-06-24,0.003318,0.003580,0.001397,0.002296,275,74343
2017-06-23,0.004036,0.004332,0.002164,0.003351,126,90429
2017-06-22,0.003155,0.004036,0.003142,0.004036,192,70687
2017-06-21,0.003310,0.004170,0.003095,0.003155,29,74168
2017-06-20,0.003418,0.003645,0.003020,0.003310,48,76589
2017-06-19,0.003580,0.003747,0.002511,0.003418,131,80224
2017-06-18,0.002669,0.003634,0.002651,0.003580,4,59811
2017-06-17,0.002966,0.004604,0.002665,0.002669,79,66448
2017-06-16,0.002849,0.002966,0.002735,0.002966,58,63846
2017-06-15,0.003620,0.003646,0.002253,0.002852,96,81116
2017-06-14,0.003977,0.006027,0.003462,0.003620,79,89105
2017-06-13,0.004348,0.005701,0.003473,0.003979,44,97428
2017-06-12,0.005886,0.005904,0.003872,0.004363,487,131893
2017-06-11,0.005583,0.006217,0.005063,0.005894,352,125093
2017-06-10,0.007108,0.007293,0.005131,0.005586,496,159260
2017-06-09,0.006913,0.009007,0.006353,0.007097,241,154891
2017-06-08,0.004890,0.008836,0.004172,0.006923,2979,109566
2017-06-07,0.004158,0.006322,0.003823,0.004870,818,93168
2017-06-06,0.003669,0.004901,0.003060,0.004157,551,82207
2017-06-05,0.002332,0.004441,0.001303,0.003658,2247,52245
2017-06-04,0.002257,0.002993,0.002168,0.002331,219,50572
2017-06-03,0.002816,0.002838,0.002231,0.002263,95,63087
2017-06-02,0.004525,0.004656,0.002734,0.002817,488,101397
2017-06-01,0.003289,0.004530,0.002730,0.004523,606,73685
2017-05-31,0.002614,0.003782,0.002555,0.003286,245,58574
2017-05-30,0.002292,0.004048,0.002238,0.002602,1026,51349
2017-05-29,0.002934,0.002945,0.002055,0.002289,78,65732
2017-05-28,0.001273,0.003454,0.001258,0.002939,3158,28523
2017-05-27,0.001916,0.001969,0.000761,0.001265,239,42926
2017-05-26,0.002633,0.003028,0.001313,0.001910,231,58997
2017-05-25,0.003391,0.004340,0.002605,0.002653,102,75985
2017-05-24,0.001638,0.006032,0.001539,0.003403,1318,36699
2017-05-23,0.001248,0.002417,0.001184,0.001636,415,27957
2017-05-22,0.000839,0.001359,0.000778,0.001250,145,18788
2017-05-21,0.000947,0.001010,0.000744,0.000836,167,21213
2017-05-20,0.000961,0.000985,0.000766,0.000947,107,21524
2017-05-19,0.001409,0.001507,0.000781,0.000962,482,31562
2017-05-18,0.001818,0.002602,0.001186,0.001408,2659,40739
2017-05-17,0.000832,0.014793,0.000711,0.001821,13263,18645
2017-05-16,0.000569,0.002600,0.000496,0.000832,1785,12754
2017-05-15,0.000601,0.000602,0.000531,0.000570,10,13476
2017-05-14,0.000704,0.000714,0.000590,0.000601,28,15771
2017-05-13,0.000458,0.000731,0.000441,0.000702,1443,10257
2017-05-12,0.000502,0.000503,0.000450,0.000459,0,11248
2017-05-11,0.000458,0.000545,0.000453,0.000502,2,10264
2017-05-10,0.000456,0.000481,0.000433,0.000457,7,10226
2017-05-09,0.000457,0.000467,0.000439,0.000456,31,10239
2017-05-08,0.000415,0.000457,0.000415,0.000457,7,9302
2017-05-07,0.000405,0.000419,0.000399,0.000415,7,9074
2017-05-06,0.000418,0.000440,0.000384,0.000405,30,9376
2017-05-05,0.000400,0.000454,0.000400,0.000418,5,8963
2017-05-04,0.000410,0.000446,0.000382,0.000399,3,9191
2017-05-03,0.000421,0.000424,0.000400,0.000410,179,9440
2017-05-02,0.000372,0.000421,0.000371,0.000421,54,8342
2017-05-01,0.000394,0.000425,0.000373,0.000373,47,8828
2017-04-30,0.000370,0.000394,0.000368,0.000394,2,8292
2017-04-29,0.000385,0.000386,0.000363,0.000370,6,8618
2017-04-28,0.000394,0.000398,0.000368,0.000385,4,8830
2017-04-27,0.000436,0.000444,0.000371,0.000394,55,9764
2017-04-26,0.000451,0.000476,0.000436,0.000436,11,10108
2017-04-25,0.000479,0.000480,0.000450,0.000451,2,10736
2017-04-24,0.000466,0.000482,0.000367,0.000479,13,10451
2017-04-23,0.000419,0.000539,0.000399,0.000466,8,9383
2017-04-22,0.000441,0.000616,0.000392,0.000419,16,9888
2017-04-21,0.000478,0.000533,0.000386,0.000441,5,10714
2017-04-20,0.000498,0.000621,0.000469,0.000478,2,11152
2017-04-19,0.000606,0.000617,0.000488,0.000498,247,13574
2017-04-18,0.000667,0.000709,0.000595,0.000606,149,14955
2017-04-17,0.000772,0.000864,0.000666,0.000668,5,17302
2017-04-16,0.000881,0.000910,0.000698,0.000770,7,19732
2017-04-15,0.000566,0.000881,0.000557,0.000881,115,12690
2017-04-14,0.000474,0.000577,0.000418,0.000567,101,10627
2017-04-13,0.000386,0.000476,0.000313,0.000474,40,8658
2017-04-12,0.000352,0.000391,0.000352,0.000387,8,7892
2017-04-11,0.000286,0.000353,0.000286,0.000352,27,6404
2017-04-10,0.000249,0.000286,0.000248,0.000286,5,5589
2017-04-09,0.000279,0.000280,0.000247,0.000249,2,6252
2017-04-08,0.000285,0.000296,0.000279,0.000279,2,6380
2017-04-07,0.000260,0.000316,0.000258,0.000285,16,5830
2017-04-06,0.000293,0.000320,0.000259,0.000260,7,6559
2017-04-05,0.000222,0.000293,0.000205,0.000293,37,4980
2017-04-04,0.000286,0.000288,0.000221,0.000222,3,6407
2017-04-03,0.000264,0.000288,0.000227,0.000286,5,5913
2017-04-02,0.000303,0.000303,0.000215,0.000264,7,6779
2017-04-01,0.000215,0.000302,0.000215,0.000302,0,4813
2017-03-31,0.000259,0.000328,0.000202,0.000215,4,5796
2017-03-30,0.000177,0.000336,0.000173,0.000259,141,3970
2017-03-29,0.000199,0.000199,0.000163,0.000177,4,4458
