Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.208963,0.216162,0.204463,0.205747,69,-
2017-11-23,0.210418,0.376103,0.209237,0.209249,857,-
2017-11-22,0.208370,0.213139,0.207490,0.210485,150,-
2017-11-21,0.201725,0.214860,0.190827,0.207865,136,-
2017-11-20,0.265415,0.266016,0.200220,0.201688,2049,-
2017-11-19,0.381375,0.383142,0.200610,0.265539,209,-
2017-11-18,0.196462,0.386000,0.189568,0.382084,1275,-
2017-11-17,0.236261,0.321186,0.197218,0.197218,2967,-
2017-11-16,0.448492,0.448492,0.191128,0.236648,5682,-
2017-11-15,0.325253,0.465790,0.303437,0.446154,1511,-
2017-11-14,0.243186,0.505432,0.243186,0.325031,1607,-
2017-11-13,0.598823,0.606758,0.238942,0.242672,8680,-
2017-11-12,0.153305,0.649107,0.142714,0.597952,6843,-
2017-11-11,0.131497,0.258356,0.131337,0.153418,997,-
2017-11-10,0.199608,0.332029,0.129031,0.131967,6169,-
2017-11-09,0.165030,0.962465,0.163395,0.199017,10241,-
2017-11-08,1.04,1.11,0.088558,0.165200,8604,-
2017-11-07,0.184199,1.04,0.184199,0.642469,145489,-
