Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.202292,0.203625,0.155787,0.156141,309,910316
2017-11-23,0.164504,0.244033,0.162045,0.202569,2793,740266
2017-11-22,0.143295,0.164867,0.142689,0.164556,557,644827
2017-11-21,0.146450,0.148904,0.138538,0.142947,221,659027
2017-11-20,0.152261,0.152606,0.142095,0.146423,720,685176
2017-11-19,0.140164,0.161888,0.138902,0.152332,5,630740
2017-11-18,0.153735,0.181577,0.139209,0.140425,936,691806
2017-11-17,0.155325,0.234660,0.152320,0.154326,698,698961
2017-11-16,0.125195,0.163570,0.125089,0.155580,227,563379
2017-11-15,0.130914,0.151904,0.100319,0.151285,1,589112
2017-11-14,0.133556,0.134088,0.111855,0.130825,20,601002
2017-11-13,0.101976,0.143261,0.101976,0.133274,385,458892
2017-11-12,0.138640,0.139923,0.098344,0.101828,47,623879
2017-11-11,0.106184,0.143030,0.103239,0.138741,158,477828
2017-11-10,0.124755,0.157530,0.104193,0.106563,90,561397
2017-11-09,0.122748,0.157988,0.122687,0.124386,555,552367
2017-11-08,0.123686,0.125610,0.122478,0.125395,167,556588
2017-11-05,0.120242,0.124067,0.119050,0.122908,221,541088
2017-11-04,0.165484,0.167615,0.119307,0.120470,217,744679
2017-11-03,0.162027,0.172250,0.160222,0.165916,44,729122
2017-11-02,0.155095,0.168533,0.155095,0.162239,74,697926
2017-11-01,0.148597,0.155207,0.146791,0.154922,156,668687
2017-10-31,0.163735,0.171406,0.146801,0.148706,612,736806
2017-10-30,0.212291,0.212291,0.132844,0.164293,898,955308
2017-10-29,0.115589,0.214543,0.115282,0.213531,2701,520152
2017-10-28,0.116421,0.118583,0.114659,0.115748,134,523895
2017-10-27,0.122916,0.125203,0.115125,0.116104,91,553124
2017-10-26,0.115548,0.123372,0.114793,0.122888,27,519965
2017-10-25,0.116146,0.119122,0.111888,0.115562,672,522656
2017-10-24,0.183768,0.183768,0.174353,0.178210,9,826958
2017-10-23,0.120722,0.187804,0.116956,0.184173,119,543249
2017-10-22,0.121417,0.122483,0.116046,0.120917,5,546374
2017-10-21,0.135116,0.138359,0.119168,0.121380,4,608021
2017-10-20,0.142329,0.142780,0.126460,0.135401,19,640481
2017-10-19,0.132921,0.143213,0.111157,0.142289,614,598143
2017-10-18,0.128978,0.133491,0.128978,0.132852,0,580399
2017-10-17,0.115176,0.115506,0.110412,0.110489,2,518294
2017-10-16,0.134556,0.136180,0.112644,0.115159,2,605504
2017-10-15,0.146047,0.146519,0.101790,0.134538,747,657214
2017-10-14,0.199193,0.201188,0.086109,0.145787,4873,896368
2017-10-13,0.169206,0.206157,0.141411,0.199139,1594,761426
2017-10-12,0.150096,0.168686,0.149710,0.168686,46,675432
2017-10-11,0.152408,0.157170,0.147936,0.149969,1085,685837
2017-10-10,0.185033,0.187908,0.151319,0.152434,961,832650
2017-10-09,0.166299,0.188279,0.161527,0.185047,267,748344
2017-10-08,0.160503,0.168247,0.156335,0.166256,126,722264
2017-10-07,0.153390,0.199295,0.153390,0.160933,12,690257
2017-10-06,0.174806,0.261243,0.151876,0.153341,1017,786627
2017-10-05,0.147749,0.296916,0.147561,0.174807,1062,664872
2017-10-04,0.181686,0.182835,0.146871,0.147616,43,817588
2017-10-03,0.177523,0.200471,0.149046,0.181266,14396,798852
2017-10-02,0.221858,0.224311,0.176116,0.177516,798,998363
2017-10-01,0.218632,0.276900,0.197892,0.221956,2573,983843
2017-09-30,0.208684,0.335589,0.192893,0.218514,3030,939078
2017-09-29,0.209890,0.311103,0.202611,0.208657,227,944507
2017-09-28,0.248074,0.248074,0.208142,0.210053,590,1116330
2017-09-27,0.310933,0.311290,0.204383,0.248065,10564,1399200
2017-09-26,0.283909,0.314698,0.251482,0.311802,161,1277590
2017-09-25,0.204918,0.352365,0.204843,0.283937,6251,922132
2017-09-24,0.155821,0.273648,0.154478,0.205126,3431,701196
2017-09-23,0.148547,0.157005,0.147014,0.155835,10,668463
2017-09-22,0.171738,0.174833,0.139654,0.148968,250,772819
2017-09-21,0.232765,0.234329,0.153391,0.171934,1704,1047440
2017-09-20,0.178499,0.312986,0.138663,0.233914,39802,803244
2017-09-19,0.184597,0.208470,0.131321,0.178737,5312,830689
2017-09-18,0.184165,0.223088,0.160221,0.184152,6453,828743
2017-09-17,0.200344,0.200344,0.176514,0.184533,192,901549
2017-09-16,0.197070,0.205649,0.180241,0.200031,403,886813
2017-09-15,0.160977,0.202658,0.153493,0.195256,1515,724395
2017-09-14,0.169438,0.241428,0.140752,0.161230,1636,762473
2017-09-13,0.218793,0.245723,0.161350,0.169429,1768,984568
2017-09-12,0.227318,0.253869,0.171475,0.218723,2374,1022930
2017-09-11,0.276988,0.295902,0.218658,0.227391,3953,1246450
2017-09-10,0.320125,0.320125,0.206716,0.276115,1646,1440560
2017-09-09,0.302820,0.341575,0.295125,0.319786,987,1362690
2017-09-08,0.337737,0.398767,0.290543,0.302279,3465,1519820
2017-09-07,0.383837,0.418403,0.320447,0.337827,2221,1727270
2017-09-06,0.288140,0.440244,0.286614,0.404389,17178,1296630
