Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.258650,0.274171,0.251937,0.264736,36683,7098230
2017-11-23,0.267343,0.275078,0.259017,0.259017,55714,7334690
2017-11-22,0.251196,0.315090,0.250461,0.265570,203167,6889920
2017-11-21,0.261074,0.267021,0.243770,0.250629,56107,7158310
2017-11-20,0.248644,0.270325,0.244667,0.261030,51884,6815490
2017-11-19,0.255463,0.269637,0.248777,0.249477,47835,7000640
2017-11-18,0.274891,0.274891,0.246015,0.255938,108341,7531260
2017-11-17,0.253234,0.342443,0.235145,0.284611,596601,6936200
2017-11-16,0.244309,0.260517,0.234918,0.245467,150129,6690040
2017-11-15,0.247271,0.257512,0.226774,0.243034,170957,6768380
2017-11-14,0.287574,0.297374,0.231419,0.248948,855091,7869010
2017-11-13,0.162904,0.362659,0.159152,0.290081,2058370,4456380
2017-11-12,0.180279,0.180279,0.142248,0.161804,50134,4930650
2017-11-11,0.180139,0.203585,0.173391,0.180413,104177,4925530
2017-11-10,0.219521,0.228533,0.170168,0.180774,124973,6000780
2017-11-09,0.231509,0.259809,0.204395,0.218872,496669,6326760
2017-11-08,0.166499,0.305810,0.163219,0.239439,2301400,4548090
2017-11-07,0.170081,0.178450,0.156389,0.167023,59103,4644810
2017-11-06,0.163062,0.180216,0.150283,0.176673,161340,4452230
2017-11-05,0.181166,0.183413,0.154475,0.162849,78908,4945300
2017-11-04,0.185198,0.211996,0.179048,0.180553,412200,5053840
2017-11-03,0.195617,0.310640,0.174960,0.186111,2795900,5336570
2017-11-02,0.145389,0.204265,0.092239,0.193283,210601,3964790
2017-11-01,0.142533,0.149006,0.135312,0.146165,39602,3886100
2017-10-31,0.152563,0.158287,0.142382,0.142649,17209,4158540
2017-10-30,0.147781,0.159111,0.142132,0.153083,21205,4026870
2017-10-29,0.148125,0.156186,0.136017,0.150963,29684,4035390
2017-10-28,0.141181,0.150935,0.129801,0.148325,59990,3845100
2017-10-27,0.154377,0.156720,0.139614,0.140796,9535,4203560
2017-10-26,0.162788,0.165828,0.148136,0.154480,27595,4431510
2017-10-25,0.149818,0.162930,0.137980,0.162930,39520,4077060
2017-10-24,0.131339,0.153275,0.130562,0.149626,23616,3573220
2017-10-23,0.142219,0.148397,0.126099,0.126384,32293,3868030
2017-10-22,0.144626,0.159873,0.139857,0.144953,14440,3932670
2017-10-21,0.153414,0.176318,0.139409,0.144582,50167,4170600
2017-10-20,0.149771,0.179831,0.131920,0.156840,175513,4070060
2017-10-19,0.163151,0.166761,0.147092,0.149728,41599,4432720
2017-10-18,0.187507,0.195026,0.149901,0.163066,401456,5093180
2017-10-17,0.170369,0.203405,0.159867,0.187498,31814,4626590
2017-10-16,0.177305,0.179032,0.160994,0.170348,15446,4813420
2017-10-15,0.194351,0.206013,0.164876,0.175291,61330,5274760
2017-10-14,0.163271,0.213359,0.153642,0.184045,73620,4430330
2017-10-13,0.191111,0.216125,0.151723,0.163340,44838,5183890
2017-10-12,0.161080,0.198004,0.155015,0.190524,93147,4368240
2017-10-11,0.148188,0.170601,0.142071,0.160942,57521,4017340
2017-10-10,0.158405,0.158735,0.144124,0.148185,26159,4293310
2017-10-09,0.176907,0.205434,0.151920,0.162943,144856,4793630
2017-10-08,0.180088,0.183612,0.171677,0.176862,15207,4878520
2017-10-07,0.183596,0.183680,0.174056,0.180571,11712,4971950
2017-10-06,0.181471,0.183924,0.174386,0.183581,20631,4913300
2017-10-05,0.188141,0.191032,0.178056,0.179772,14310,5092480
2017-10-04,0.203202,0.207124,0.182532,0.187971,56413,5498590
2017-10-03,0.193241,0.252222,0.178525,0.202732,506962,5227220
2017-10-02,0.199330,0.207114,0.188415,0.193234,26710,5390140
2017-10-01,0.230479,0.231007,0.194201,0.199418,84140,6230830
2017-09-30,0.222400,0.324015,0.216672,0.230355,368265,6011210
2017-09-29,0.225843,0.242895,0.210734,0.222369,29242,6103060
2017-09-28,0.223135,0.231766,0.212731,0.226018,53131,6028630
2017-09-27,0.232397,0.242981,0.224110,0.229545,39878,6276620
2017-09-26,0.235587,0.245805,0.225481,0.233047,39499,6361110
2017-09-25,0.221309,0.232919,0.209937,0.231309,37086,5972400
2017-09-24,0.208747,0.223035,0.196596,0.216773,34634,5632020
2017-09-23,0.190136,0.215762,0.189912,0.208765,15436,5128800
2017-09-22,0.205992,0.212853,0.184866,0.190743,46838,5555390
2017-09-21,0.216992,0.245497,0.203364,0.204093,84422,5850930
2017-09-20,0.237727,0.260451,0.196660,0.218065,187552,6408450
2017-09-19,0.206686,0.271857,0.193532,0.244332,210701,5569470
2017-09-18,0.172998,0.211282,0.171849,0.211282,45787,4660210
2017-09-17,0.185863,0.186287,0.160279,0.170491,36560,5005740
2017-09-16,0.191007,0.210257,0.180892,0.185991,36870,5143170
2017-09-15,0.170431,0.236366,0.162695,0.191504,357953,4587830
2017-09-14,0.151402,0.252778,0.150522,0.174558,625684,4074500
2017-09-13,0.166244,0.237012,0.138505,0.151603,293908,4473080
2017-09-12,0.148956,0.184058,0.145920,0.166755,72941,4006360
2017-09-11,0.144445,0.160602,0.140018,0.148817,23310,3883880
2017-09-10,0.148493,0.148493,0.134110,0.144693,6758,3991570
2017-09-09,0.144797,0.150197,0.140470,0.148873,5384,3891230
2017-09-08,0.166711,0.166711,0.140210,0.144517,12760,4479100
2017-09-07,0.163767,0.182656,0.157753,0.166677,19653,4398470
2017-09-06,0.161383,0.176061,0.158896,0.164085,20259,4332780
2017-09-05,0.142175,0.178769,0.127494,0.161199,69710,3816250
2017-09-04,0.177040,0.179640,0.131174,0.141441,21326,4750510
2017-09-03,0.184125,0.190676,0.172928,0.176981,10761,4936150
2017-09-02,0.199467,0.211949,0.176925,0.184007,19273,5347440
2017-09-01,0.188579,0.209448,0.186849,0.199218,22295,5055040
2017-08-31,0.188628,0.194828,0.178350,0.190155,38495,5054140
2017-08-30,0.170072,0.189515,0.166808,0.188958,38222,4555350
2017-08-29,0.163002,0.177209,0.162680,0.170299,18472,4365980
2017-08-28,0.165999,0.174480,0.156730,0.162725,49543,4443350
2017-08-27,0.162904,0.182096,0.159838,0.166174,30183,4360500
2017-08-26,0.163435,0.169359,0.155415,0.162941,54652,4373950
2017-08-25,0.174102,0.183567,0.162361,0.163648,22266,4658390
2017-08-24,0.158054,0.182869,0.146705,0.174377,62906,4228170
2017-08-23,0.140479,0.199277,0.139368,0.157199,109902,3755760
2017-08-22,0.148635,0.165648,0.134764,0.140766,38218,3973800
2017-08-21,0.166900,0.196735,0.139882,0.148291,67079,4460830
2017-08-20,0.159512,0.168678,0.144258,0.167536,22738,4261280
2017-08-19,0.157234,0.182490,0.136629,0.160260,65589,4199200
2017-08-18,0.141405,0.195356,0.129365,0.159794,188641,3775310
2017-08-17,0.152907,0.158993,0.128844,0.141839,57309,4082060
2017-08-16,0.137363,0.203575,0.137363,0.153049,335018,3665210
2017-08-15,0.116744,0.279203,0.099030,0.132068,852845,3114320
2017-08-14,0.117554,0.122947,0.109041,0.116430,21379,3135170
2017-08-13,0.116071,0.126785,0.113839,0.117479,12114,3094610
2017-08-12,0.099472,0.121193,0.099472,0.116179,13988,2651060
2017-08-11,0.109316,0.115848,0.092199,0.099549,34962,2912760
2017-08-10,0.117005,0.120405,0.109048,0.109322,12623,3116910
2017-08-09,0.122767,0.137316,0.105181,0.116993,33167,3269680
