Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.32,1.35,1.12,1.18,265,415541
2017-11-23,1.13,1.38,1.12,1.33,351,353851
2017-11-22,1.15,1.16,1.11,1.13,381,360203
2017-11-21,1.14,1.17,1.08,1.15,221,355821
2017-11-20,1.11,1.15,1.10,1.14,211,346973
2017-11-19,1.08,1.16,1.06,1.11,197,334333
2017-11-18,1.06,1.09,1.03,1.08,170,330427
2017-11-17,1.23,1.26,1.05,1.07,502,381044
2017-11-16,1.13,1.28,1.12,1.23,329,350386
2017-11-15,1.26,1.42,1.10,1.13,127,388177
2017-11-14,1.30,1.50,1.25,1.26,536,401597
2017-11-13,1.40,2.28,1.26,1.30,2013,432034
2017-11-12,0.879392,2.03,0.703360,1.40,4759,270132
2017-11-11,0.831460,1.06,0.790286,0.880040,141,255001
2017-11-10,0.900547,0.971796,0.817291,0.835616,92,275874
2017-11-09,1.01,1.02,0.891582,0.897796,177,309420
2017-11-08,1.03,1.08,0.972426,1.01,321,315538
2017-11-07,0.895067,1.07,0.895067,1.04,151,272857
2017-11-06,0.976059,1.09,0.814111,0.896503,815,296785
2017-11-05,1.01,1.04,0.963135,0.973897,103,305753
2017-11-04,0.944241,1.14,0.925636,1.01,200,286353
2017-11-03,1.11,1.42,0.904494,0.946702,119,335122
2017-11-02,1.04,1.18,1.04,1.11,381,314587
2017-11-01,1.10,1.69,0.999335,1.04,253,330890
2017-10-31,1.10,1.15,1.06,1.10,248,330799
2017-10-30,1.64,1.82,1.09,1.10,934,491433
2017-10-29,1.26,2.88,1.13,1.65,5629,377216
2017-10-28,0.617646,2.09,0.614498,1.26,6158,184688
2017-10-27,0.676783,0.689452,0.611777,0.615965,571,201569
2017-10-26,0.705697,0.762595,0.666981,0.676626,753,209315
2017-10-25,0.683478,0.745751,0.666165,0.705781,327,202096
2017-10-24,0.762523,0.829300,0.665299,0.683303,451,224716
2017-10-23,0.841167,0.853545,0.751740,0.764204,458,247237
2017-10-22,0.924578,0.931516,0.828524,0.842523,88,271440
2017-10-21,0.844864,0.939992,0.832585,0.924299,27,247779
2017-10-20,0.851089,0.905841,0.793738,0.846644,569,249002
2017-10-19,0.733758,0.984775,0.730800,0.850851,599,213921
2017-10-18,1.24,1.24,0.692623,0.733377,374,359037
2017-10-17,1.32,1.33,0.978524,1.24,837,382193
2017-10-16,1.16,1.38,1.13,1.32,157,334348
2017-10-15,1.37,1.37,1.11,1.16,130,395870
2017-10-14,1.23,1.37,1.18,1.37,181,354793
2017-10-13,1.32,1.42,1.19,1.23,264,378850
2017-10-12,1.85,1.94,1.05,1.31,688,530089
2017-10-11,1.24,1.87,1.20,1.84,762,355423
2017-10-10,1.47,1.51,1.23,1.24,181,420950
2017-10-09,1.46,1.59,1.36,1.47,666,416627
2017-10-08,2.29,2.29,1.35,1.46,1588,654071
2017-10-07,0.678251,4.11,0.675012,2.37,48515,192970
2017-10-06,0.875571,1.02,0.668554,0.678033,1062,248527
2017-10-05,0.881482,1.02,0.688257,0.875574,293,249667
2017-10-04,0.764509,0.953516,0.760848,0.880686,49,216235
2017-10-03,0.819903,1.90,0.756674,0.762649,247,231403
2017-10-02,0.813602,0.955753,0.809969,0.819872,1555,229219
2017-10-01,0.869699,0.904925,0.779941,0.813960,317,244582
2017-09-30,1.12,1.23,0.852501,0.869284,753,314305
2017-09-29,0.745969,1.12,0.718867,1.12,1535,208624
2017-09-28,0.992162,1.71,0.682626,0.746541,2523,276421
2017-09-27,0.827435,1.01,0.792566,0.991175,267,230223
2017-09-26,1.07,1.19,0.828012,0.829746,1152,298097
2017-09-25,0.940680,1.15,0.940098,1.07,1301,260423
2017-09-24,0.907413,1.11,0.886931,0.941635,2397,250409
2017-09-23,0.887927,1.18,0.584800,0.907088,4232,243850
2017-09-22,0.409235,0.913471,0.408868,0.898564,4080,112081
2017-09-21,0.388099,0.442610,0.372290,0.409703,432,105961
2017-09-20,0.385425,0.535152,0.365724,0.390013,403,104898
2017-09-19,0.374146,0.534907,0.353543,0.385940,159,101607
2017-09-18,0.333106,0.410000,0.333106,0.373134,174,90325
2017-09-17,0.305587,0.345086,0.295226,0.333771,119,82700
2017-09-16,0.327912,0.343536,0.293209,0.306120,219,88601
2017-09-15,0.282153,0.337949,0.261448,0.328670,95,76064
2017-09-14,0.386837,0.395148,0.279971,0.279971,15,104131
2017-09-13,0.448167,0.449798,0.323794,0.386857,12,120508
2017-09-12,0.389045,0.463895,0.389045,0.449878,74,104488
2017-09-11,0.373448,0.417254,0.366135,0.388672,37,100150
2017-09-10,0.398463,0.399453,0.362341,0.373991,161,106669
2017-09-09,0.406354,0.446562,0.357226,0.398041,50,108545
2017-09-08,0.439944,0.474344,0.348679,0.405568,69,117339
2017-09-07,0.494595,0.515348,0.414082,0.439856,209,131614
2017-09-06,0.474166,0.524726,0.458468,0.495544,256,125985
2017-09-05,0.475554,0.486559,0.448239,0.473626,199,126149
2017-09-04,0.505967,0.530178,0.451349,0.473099,229,133964
2017-09-03,0.464959,0.520757,0.423308,0.505798,805,122900
2017-09-02,0.459879,0.905512,0.435218,0.464660,1038,121067
2017-09-01,0.606429,0.733196,0.409109,0.459304,893,158801
2017-08-31,0.775778,0.790080,0.463505,0.606364,807,201961
2017-08-30,0.870031,0.981399,0.707981,0.777131,2979,225167
2017-08-29,1.08,1.14,0.862395,0.871193,2299,276993
2017-08-28,0.360828,1.17,0.325661,1.07,5193,92268
2017-08-27,0.317596,0.361245,0.317506,0.361207,198,80728
2017-08-26,0.301853,0.350352,0.293405,0.315767,388,76345
2017-08-25,0.328370,0.528180,0.298344,0.325321,601,82598
2017-08-24,0.405012,0.407103,0.320844,0.328888,454,101313
2017-08-23,0.408920,0.477004,0.344002,0.404837,508,101699
2017-08-22,0.499899,0.499899,0.402961,0.409756,371,123743
2017-08-21,0.558926,0.584921,0.498393,0.498743,72,138103
2017-08-20,0.561571,0.599542,0.503086,0.561056,66,138596
2017-08-19,0.548623,0.558957,0.500414,0.552337,49,135236
2017-08-18,0.540469,0.570331,0.491912,0.547101,267,132874
2017-08-17,0.704788,0.746071,0.508272,0.542371,257,172824
2017-08-16,0.553101,0.749590,0.438141,0.734964,828,135226
2017-08-15,0.647389,0.807913,0.513198,0.549047,1003,157350
2017-08-14,0.753426,0.757081,0.616354,0.645652,723,182217
2017-08-13,0.826092,0.875265,0.752947,0.752947,801,198978
2017-08-12,0.743826,0.834006,0.733602,0.826859,579,178376
2017-08-11,0.785001,0.819792,0.711255,0.744406,415,187812
2017-08-10,0.949319,0.951367,0.700021,0.785047,806,226758
2017-08-09,1.08,1.12,0.928255,0.949229,579,256833
2017-08-08,1.12,1.23,0.976489,1.08,574,266292
2017-08-07,1.08,1.12,0.953865,1.12,437,256508
2017-08-06,0.987459,1.17,0.960907,1.08,367,233300
2017-08-05,0.506135,2.65,0.506020,0.987220,7953,119306
2017-08-04,0.570808,0.838907,0.505758,0.506359,222,134092
2017-08-03,0.696534,0.713687,0.561134,0.570950,72,163345
2017-08-02,0.645586,0.740481,0.587986,0.695527,165,151202
2017-08-01,0.689371,0.734879,0.634958,0.645709,256,161077
2017-07-31,0.967833,0.967833,0.671747,0.689038,519,225408
2017-07-30,1.02,1.02,0.872029,0.966841,298,235809
2017-07-29,1.01,1.33,0.890732,1.02,306,234558
2017-07-28,0.988363,1.41,0.893619,1.01,1917,227993
2017-07-27,0.868402,1.03,0.793181,0.985375,680,199555
2017-07-26,0.932398,1.02,0.826513,0.865944,606,213487
2017-07-25,0.961529,0.997798,0.841656,0.931975,777,219898
2017-07-24,0.965354,0.969960,0.942303,0.961631,355,220357
2017-07-23,0.985903,1.00,0.934636,0.966478,153,224745
2017-07-22,0.913608,1.15,0.836626,0.985901,587,207628
2017-07-21,0.981977,0.985229,0.778761,0.913793,651,222724
2017-07-20,0.880052,0.987011,0.713654,0.974748,576,198789
2017-07-19,0.911654,1.04,0.799693,0.882706,393,205006
2017-07-18,0.949003,1.05,0.881833,0.910205,51,213053
2017-07-17,0.759238,0.947977,0.718235,0.946561,32,170246
2017-07-16,0.805477,0.825204,0.694477,0.760082,70,180347
2017-07-15,0.918090,1.45,0.807906,0.807906,331,205188
2017-07-14,0.923852,0.997199,0.895273,0.919668,41,206185
2017-07-13,0.918205,0.941372,0.887139,0.924529,5,204651
2017-07-12,0.842376,0.936037,0.796745,0.917521,176,187523
2017-07-11,1.04,1.06,0.823387,0.846580,274,230176
2017-07-10,1.06,1.07,0.871618,1.04,227,236179
2017-07-09,0.957864,1.07,0.936004,1.06,109,212401
2017-07-08,1.07,1.10,0.949584,0.955227,252,236959
2017-07-07,1.26,1.27,0.944290,1.21,246,277536
2017-07-06,1.01,1.26,0.988268,1.26,363,223272
2017-07-05,1.29,1.29,1.01,1.01,63,283780
2017-07-04,1.13,1.29,0.976823,1.29,184,247426
2017-07-03,1.15,1.15,0.857200,1.13,46,252321
2017-07-02,1.26,1.27,0.827570,1.15,223,276343
2017-07-01,0.803851,1.26,0.788419,1.26,545,176005
2017-06-30,0.770417,1.16,0.748157,0.804160,184,168415
2017-06-29,0.824990,1.40,0.768886,0.768886,195,179957
2017-06-28,0.831466,1.25,0.695309,0.825756,440,180905
2017-06-27,0.765140,1.15,0.725869,0.826082,282,166102
2017-06-26,0.942014,1.19,0.715635,0.765140,151,204079
2017-06-25,1.16,1.22,0.928217,0.942506,128,251048
2017-06-24,1.04,1.28,0.798735,1.16,688,225407
2017-06-23,0.655018,1.19,0.644319,1.04,1337,141128
2017-06-22,0.787988,0.921493,0.655257,0.655257,272,169392
2017-06-21,0.819355,0.864024,0.700523,0.787988,103,175480
2017-06-20,0.838471,0.941840,0.791148,0.819355,100,179346
2017-06-19,0.770033,0.838472,0.742853,0.838471,299,164539
