Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.077971,0.078371,0.055252,0.059308,447,212304
2017-11-23,0.057544,0.078519,0.052298,0.078078,2369,156481
2017-11-22,0.051133,0.058339,0.050921,0.057706,250,138874
2017-11-21,0.052985,0.053428,0.050284,0.051010,240,143732
2017-11-20,0.052301,0.054772,0.052181,0.052975,312,141735
2017-11-19,0.049454,0.053046,0.048471,0.052449,1044,133897
2017-11-18,0.048872,0.050202,0.047449,0.049227,271,132178
2017-11-17,0.049813,0.050837,0.047655,0.048604,156,134593
2017-11-16,0.045960,0.050352,0.044933,0.049897,68,124007
2017-11-15,0.040767,0.046097,0.040767,0.045719,98,109836
2017-11-14,0.041288,0.042556,0.040181,0.040739,10,111129
2017-11-13,0.035507,0.043516,0.035507,0.041201,203,95442
2017-11-12,0.039066,0.040103,0.033423,0.035455,100,104954
2017-11-11,0.041137,0.043811,0.038571,0.039094,805,110366
2017-11-10,0.041455,0.041980,0.037956,0.041294,105,111166
2017-11-09,0.040423,0.044048,0.038685,0.041309,376,108260
2017-11-08,0.040280,0.043643,0.038333,0.040693,41,107786
2017-11-07,0.041556,0.042914,0.039875,0.040388,93,111097
2017-11-06,0.047068,0.047214,0.040529,0.041624,106,125665
2017-11-05,0.047705,0.048453,0.045276,0.046964,84,127219
2017-11-04,0.047263,0.049047,0.045106,0.047796,240,125914
2017-11-03,0.053213,0.054447,0.046869,0.047359,178,141663
2017-11-02,0.051547,0.057834,0.051547,0.053282,161,137083
2017-11-01,0.050337,0.052108,0.046518,0.051489,322,133739
2017-10-31,0.047213,0.050636,0.046104,0.050375,119,125279
2017-10-30,0.047875,0.048578,0.045940,0.047366,216,126825
2017-10-29,0.057952,0.067365,0.042140,0.048156,869,153299
2017-10-28,0.073727,0.075128,0.040160,0.057954,1681,194813
2017-10-27,0.085486,0.086992,0.073526,0.073526,53,225656
2017-10-26,0.086464,0.088294,0.074417,0.085466,45,228105
2017-10-25,0.068010,0.086629,0.066120,0.086474,21,179226
