Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.193270,0.238128,0.187417,0.225424,1085760,15897700
2017-11-23,0.183442,0.197963,0.181884,0.192828,201527,15089300
2017-11-22,0.181404,0.197949,0.180821,0.183421,213560,14921600
2017-11-21,0.177348,0.192842,0.165863,0.180421,304745,14588000
2017-11-20,0.162171,0.203645,0.155634,0.172421,901060,13339600
2017-11-19,0.150368,0.171888,0.150010,0.164478,364406,12368700
2017-11-18,0.145324,0.158092,0.141702,0.150647,133492,11953800
2017-11-17,0.153979,0.158047,0.140288,0.145884,144186,12665800
2017-11-16,0.158383,0.174001,0.151519,0.154501,390447,13028000
2017-11-15,0.160327,0.166850,0.151124,0.157364,298945,13187900
2017-11-14,0.151686,0.161857,0.150342,0.160217,223632,12477100
2017-11-13,0.128142,0.151617,0.128142,0.151617,204799,10540500
2017-11-12,0.147045,0.150710,0.123860,0.129509,197635,12095400
2017-11-11,0.155262,0.161433,0.145807,0.147154,190291,12771300
2017-11-10,0.160071,0.173400,0.148315,0.156035,374900,13166800
2017-11-09,0.161124,0.166673,0.154538,0.159280,260065,13253500
2017-11-08,0.149920,0.178340,0.140290,0.159436,430385,12331900
2017-11-07,0.139106,0.155073,0.139106,0.150392,178363,11442400
2017-11-06,0.142039,0.163006,0.138424,0.139592,311675,11683600
2017-11-05,0.133298,0.167041,0.132342,0.141339,445543,10964600
2017-11-04,0.136759,0.138714,0.129942,0.133448,88973,11249300
2017-11-03,0.127261,0.138762,0.123854,0.137541,144863,10468000
2017-11-02,0.137473,0.143852,0.119538,0.126837,322419,11308000
2017-11-01,0.149413,0.150544,0.134751,0.137356,156868,12290200
2017-10-31,0.146491,0.157200,0.145623,0.149522,196350,12049800
2017-10-30,0.142765,0.149679,0.140822,0.146990,75364,11743300
2017-10-29,0.137728,0.149575,0.137337,0.143355,163535,11329000
2017-10-28,0.136354,0.154659,0.133373,0.137918,291709,11216000
2017-10-27,0.129964,0.135066,0.125973,0.134721,154856,10690300
2017-10-26,0.142246,0.146189,0.126754,0.129606,215740,11700600
2017-10-25,0.140074,0.149584,0.134814,0.141536,190504,11522000
2017-10-24,0.126990,0.167832,0.117184,0.140018,492805,10445700
2017-10-23,0.127663,0.141137,0.124239,0.127270,172849,10501100
2017-10-22,0.120395,0.133164,0.116480,0.128375,123638,9903240
2017-10-21,0.130597,0.134498,0.117172,0.120360,89469,10742400
2017-10-20,0.120354,0.135018,0.119668,0.131140,291911,9899880
2017-10-19,0.128400,0.133122,0.117927,0.120320,153567,10561700
2017-10-18,0.132337,0.132885,0.119404,0.128334,126946,10885600
2017-10-17,0.142645,0.145969,0.127050,0.132322,158453,11733400
2017-10-16,0.138152,0.147942,0.135071,0.143356,90315,11363900
2017-10-15,0.146441,0.155896,0.132510,0.138134,205071,12045700
2017-10-14,0.130940,0.156784,0.125131,0.148400,211656,10770700
2017-10-13,0.136839,0.136839,0.109112,0.129874,390839,11255800
2017-10-12,0.128894,0.142753,0.127379,0.136418,283523,10602300
2017-10-11,0.127485,0.135265,0.123680,0.128785,199781,10486500
2017-10-10,0.133607,0.136973,0.124015,0.127512,181451,10990000
2017-10-09,0.136324,0.142284,0.121330,0.133617,318679,11213500
2017-10-08,0.150633,0.153029,0.132806,0.136289,245336,12390500
2017-10-07,0.150498,0.155297,0.147224,0.151293,90807,12379400
2017-10-06,0.153209,0.160366,0.150489,0.150579,70171,12602400
2017-10-05,0.155572,0.160045,0.150356,0.153209,119788,12796800
2017-10-04,0.153989,0.162337,0.153125,0.155375,223940,12666600
2017-10-03,0.155514,0.160869,0.144818,0.153634,300868,12792000
2017-10-02,0.161833,0.166121,0.154068,0.155509,270732,13311800
2017-10-01,0.178726,0.182993,0.161770,0.161770,501033,14701400
2017-09-30,0.157519,0.187238,0.155426,0.178630,663186,12957000
2017-09-29,0.159653,0.162097,0.150762,0.156213,226647,13132500
2017-09-28,0.165924,0.169297,0.155130,0.159779,258284,13648300
2017-09-27,0.158705,0.170715,0.152285,0.165514,434746,13054500
2017-09-26,0.163480,0.163877,0.155114,0.157707,244748,13447300
2017-09-25,0.140126,0.173301,0.139465,0.163121,386547,11526300
2017-09-24,0.147916,0.147916,0.138850,0.140393,216792,12167000
2017-09-23,0.148015,0.151235,0.145764,0.148861,89505,12175200
2017-09-22,0.145465,0.157733,0.135798,0.149179,381379,11965400
2017-09-21,0.170760,0.183383,0.143893,0.145109,1054690,14046100
2017-09-20,0.185704,0.192517,0.162123,0.172288,1956980,15275300
2017-09-19,0.152161,0.196338,0.138315,0.190986,2459790,12516200
2017-09-18,0.135283,0.153709,0.132785,0.153286,696649,11127900
2017-09-17,0.129422,0.146667,0.117500,0.135939,708855,10645800
2017-09-16,0.130915,0.136460,0.113878,0.130309,437172,10768600
2017-09-15,0.121172,0.135304,0.092679,0.130858,1073020,9967200
2017-09-14,0.148605,0.154767,0.120143,0.120143,286476,12223700
2017-09-13,0.163907,0.164295,0.142141,0.148993,287780,13482400
2017-09-12,0.170793,0.177632,0.161881,0.164736,317722,14048800
2017-09-11,0.179399,0.182801,0.168347,0.170682,397520,14756700
2017-09-10,0.186257,0.186565,0.170819,0.179828,191826,15320800
2017-09-09,0.183603,0.190919,0.174868,0.186714,216458,15102500
2017-09-08,0.205123,0.206715,0.172077,0.183248,294540,16872600
2017-09-07,0.198837,0.210215,0.188337,0.205081,349145,16355600
2017-09-06,0.185615,0.211250,0.185430,0.199218,608122,15268000
2017-09-05,0.187528,0.195538,0.167445,0.185046,461522,15425400
2017-09-04,0.211917,0.221254,0.177311,0.186321,605225,17431500
2017-09-03,0.218490,0.233177,0.203807,0.211850,452621,17972200
2017-09-02,0.222648,0.254701,0.210838,0.218255,1480960,18314200
2017-09-01,0.218228,0.226478,0.211324,0.223077,839000,17950600
2017-08-31,0.214615,0.228315,0.209098,0.217960,790841,17653400
2017-08-30,0.212978,0.223265,0.211865,0.214990,407879,17518800
2017-08-29,0.226707,0.230791,0.205580,0.213385,921120,18648100
2017-08-28,0.224715,0.233070,0.211517,0.226579,479540,18484200
2017-08-27,0.219278,0.236843,0.212215,0.221914,617690,18037000
2017-08-26,0.208540,0.225994,0.206496,0.220896,241710,17153700
2017-08-25,0.221022,0.223943,0.203172,0.208477,316156,18180500
2017-08-24,0.216162,0.241932,0.216162,0.221514,400482,17780700
2017-08-23,0.207217,0.226571,0.198825,0.216696,352366,17044900
2017-08-22,0.204861,0.211154,0.179875,0.207639,497642,16851100
2017-08-21,0.223709,0.233587,0.203163,0.205225,445728,18401500
2017-08-20,0.204316,0.266933,0.195019,0.224720,881497,16806200
2017-08-19,0.187831,0.217309,0.179152,0.211405,372446,15450300
2017-08-18,0.206288,0.208813,0.183293,0.188226,464568,16968500
2017-08-17,0.230452,0.233819,0.206743,0.207125,424935,18956100
2017-08-16,0.231495,0.243555,0.223011,0.230301,335618,19041900
2017-08-15,0.249736,0.249736,0.214550,0.228792,654395,20542400
2017-08-14,0.258780,0.282712,0.224320,0.249902,825444,21286300
2017-08-13,0.285085,0.309859,0.234284,0.258905,1447610,23450100
2017-08-12,0.302767,0.318426,0.263128,0.286366,1208120,24904500
2017-08-11,0.320034,0.322166,0.290349,0.301353,857810,26324800
2017-08-10,0.320391,0.371293,0.310355,0.321993,1984640,26354200
2017-08-09,0.303381,0.329803,0.288662,0.321786,727090,24955000
2017-08-08,0.297235,0.333905,0.294923,0.302237,1234630,24449500
2017-08-07,0.245658,0.342728,0.242624,0.302892,1414720,20206900
2017-08-06,0.267585,0.273321,0.243908,0.244934,329126,22010600
2017-08-05,0.253845,0.278500,0.243825,0.267127,381266,20880400
2017-08-04,0.254562,0.267104,0.242176,0.253959,347113,20939300
2017-08-03,0.253952,0.263159,0.234852,0.254604,279604,20889100
2017-08-02,0.238904,0.285992,0.232178,0.253499,633821,19651300
2017-08-01,0.198245,0.250743,0.196430,0.238908,437312,16306900
2017-07-31,0.196358,0.208754,0.193626,0.197720,251474,16151700
2017-07-30,0.211362,0.211362,0.195068,0.196328,175323,17385800
2017-07-29,0.197924,0.211761,0.184592,0.211761,247641,16280500
2017-07-28,0.239902,0.244195,0.198716,0.209248,543605,19733400
2017-07-27,0.231999,0.244043,0.227611,0.240552,141535,19083400
2017-07-26,0.241037,0.247422,0.220424,0.231274,259681,19826800
2017-07-25,0.290929,0.293355,0.221094,0.240638,803448,23930800
2017-07-24,0.305104,0.327479,0.283427,0.286822,521484,25096700
2017-07-23,0.337406,0.340998,0.286860,0.304915,541062,27753800
2017-07-22,0.255197,0.349222,0.254973,0.337406,1136390,20991600
2017-07-21,0.243912,0.267592,0.234147,0.255480,288303,20063300
2017-07-20,0.198005,0.259206,0.198005,0.242051,413041,16287200
2017-07-19,0.219811,0.233567,0.191936,0.198597,615678,18080900
2017-07-18,0.192148,0.228945,0.181197,0.218746,697427,15805400
2017-07-17,0.152671,0.191587,0.150566,0.191587,488688,12558200
2017-07-16,0.149650,0.158974,0.131491,0.152312,213448,12309700
2017-07-15,0.167608,0.171558,0.150839,0.150839,340778,13786900
2017-07-14,0.190211,0.192910,0.156435,0.168691,275509,15646100
2017-07-13,0.214853,0.222725,0.177307,0.191880,522703,17673000
2017-07-12,0.177605,0.228519,0.169163,0.214983,554915,14609100
2017-07-11,0.190918,0.204428,0.157838,0.178095,894381,15704200
2017-07-10,0.272766,0.273160,0.186372,0.189840,946551,22436800
