Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.46,1.61,1.46,1.56,20176,4705950
2017-11-23,1.55,1.56,1.44,1.47,17071,4969950
2017-11-22,1.49,1.57,1.45,1.55,15948,4772330
2017-11-21,1.57,1.57,1.42,1.44,18296,5021660
2017-11-20,1.54,1.59,1.51,1.57,14687,4918860
2017-11-19,1.49,1.58,1.46,1.54,18036,4767670
2017-11-18,1.51,1.51,1.43,1.49,11434,4829960
2017-11-17,1.49,1.60,1.43,1.52,20579,4763890
2017-11-16,1.42,1.57,1.39,1.49,12941,4546840
2017-11-15,1.34,1.45,1.34,1.42,11969,4281990
2017-11-14,1.33,1.37,1.29,1.34,14280,4231440
2017-11-13,1.20,1.38,1.14,1.32,18853,3820450
2017-11-12,1.30,1.31,1.09,1.20,19071,4122360
2017-11-11,1.36,1.52,1.27,1.30,49439,4315040
2017-11-10,1.56,1.58,1.34,1.36,108866,4971100
2017-11-09,1.51,1.72,1.46,1.56,77839,4810430
2017-11-08,1.46,1.54,1.38,1.52,47331,4625490
2017-11-07,1.36,1.75,1.31,1.46,269013,4303240
2017-11-06,1.45,1.46,1.29,1.36,54399,4605880
2017-11-05,1.45,1.56,1.35,1.45,60264,4605170
2017-11-04,1.43,1.59,1.22,1.46,198825,4530510
2017-11-03,1.23,1.97,1.17,1.41,495447,3884390
2017-11-02,1.37,1.39,1.07,1.23,64174,4317550
2017-11-01,1.54,1.60,1.30,1.34,234171,4862260
2017-10-31,1.21,2.35,1.19,1.59,1667620,3811040
2017-10-30,1.20,1.22,1.16,1.21,13753,3782720
2017-10-29,1.21,1.27,1.17,1.21,17790,3824320
2017-10-28,1.21,1.25,1.14,1.22,20456,3811170
2017-10-27,1.21,1.44,1.18,1.21,50049,3793920
2017-10-26,1.10,1.37,1.09,1.21,55790,3439540
2017-10-25,1.11,1.18,1.05,1.09,22412,3473000
2017-10-24,0.943006,1.26,0.907019,1.11,44432,2956670
2017-10-23,1.16,1.17,0.942171,0.997816,33187,3620420
2017-10-22,1.05,1.35,1.05,1.14,29536,3274240
2017-10-21,1.30,1.31,1.01,1.06,38983,4056420
2017-10-20,1.29,1.35,1.20,1.30,40369,4017340
2017-10-19,1.33,1.37,1.29,1.29,30701,4143590
2017-10-18,1.26,1.33,1.18,1.33,107517,3942150
2017-10-17,1.34,2.08,1.23,1.26,935894,4180990
2017-10-16,1.37,1.41,1.24,1.34,29945,4274690
2017-10-15,1.30,1.47,1.29,1.37,19296,4046280
2017-10-14,1.30,1.35,1.21,1.30,22656,4047000
2017-10-13,1.30,1.41,1.18,1.30,34019,4043990
2017-10-12,1.26,1.72,1.15,1.30,277753,3922700
2017-10-11,1.00,1.28,0.982670,1.26,31724,3109620
2017-10-10,1.09,1.11,0.930673,1.00,22303,3377430
2017-10-09,1.10,1.25,0.953723,1.09,51862,3420860
2017-10-08,1.38,1.40,1.09,1.10,42877,4263240
2017-10-07,1.40,1.41,1.31,1.38,10782,4315030
2017-10-06,1.41,1.46,1.39,1.39,10666,4371800
2017-10-05,1.40,1.51,1.35,1.41,24802,4326810
2017-10-04,1.40,1.43,1.31,1.40,14900,4332520
2017-10-03,1.43,1.47,1.33,1.39,24751,4404950
2017-10-02,1.55,1.63,1.41,1.43,110921,4785580
2017-10-01,1.56,1.62,1.51,1.55,24114,4787110
2017-09-30,1.71,1.75,1.52,1.55,75100,5260120
2017-09-29,1.48,1.84,1.38,1.67,295929,4548660
2017-09-28,1.48,1.54,1.45,1.48,18299,4558780
2017-09-27,1.50,1.52,1.39,1.48,63052,4593170
2017-09-26,1.52,1.57,1.47,1.48,17937,4650340
2017-09-25,1.51,1.56,1.43,1.49,33933,4624510
2017-09-24,1.41,1.58,1.35,1.51,176124,4317910
2017-09-23,1.39,1.48,1.35,1.41,17222,4236500
2017-09-22,1.37,1.49,1.32,1.39,30214,4184880
2017-09-21,1.49,1.52,1.36,1.37,37458,4559080
2017-09-20,1.53,1.73,1.36,1.50,235363,4654760
2017-09-19,1.29,1.53,1.23,1.45,71979,3930340
2017-09-18,1.19,1.35,1.19,1.29,42055,3617990
2017-09-17,1.17,1.20,1.09,1.19,17467,3563660
